,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.25,0.0,-0.546,45.55,2018-01-08,46.09,"Jan 8, 18",44.91,45.31,32217370,32217370,45.6573
1,-2.58,-0.05664105378704701,-5.664,42.97,2018-01-09,45.55,"Jan 9, 18",42.77,45.27,62982860,62982860,43.7872
2,0.34,-0.049176728869374006,0.791,43.31,2018-01-10,43.37,"Jan 10, 18",41.39,41.95,53347952,53347952,42.5683
3,-0.49,-0.059934138309549,-1.131,42.82,2018-01-11,44.0,"Jan 11, 18",42.62,43.52,39402219,39402219,43.0538
4,-0.01,-0.060153677277716006,-0.023,42.81,2018-01-12,43.35,"Jan 12, 18",42.675,42.82,28458481,28458481,42.9772
5,0.11,-0.057738748627881004,0.257,42.92,2018-01-16,43.86,"Jan 16, 18",42.42,43.14,38174769,38174769,43.2169
6,1.34,-0.028320526893523,3.122,44.26,2018-01-17,44.38,"Jan 17, 18",42.98,43.21,38077096,38077096,43.6405
7,-0.27,-0.034248079034028,-0.61,43.99,2018-01-18,44.65,"Jan 18, 18",43.91,44.21,25152064,25152064,44.2034
8,-1.24,-0.061470911086717005,-2.819,42.75,2018-01-19,44.2,"Jan 19, 18",42.651,43.95,41469156,41469156,43.0369
9,0.13,-0.058616904500548,0.304,42.88,2018-01-22,42.88,"Jan 22, 18",41.68,42.47,37879367,37879367,42.4613
10,1.07,-0.035126234906695,2.495,43.95,2018-01-23,44.66,"Jan 23, 18",42.73,43.25,41334108,41334108,43.7314
11,-0.87,-0.054226125137211006,-1.98,43.08,2018-01-24,43.95,"Jan 24, 18",42.7367,43.76,31305715,31305715,43.3006
12,-0.07,-0.055762897914379,-0.162,43.01,2018-01-25,44.72,"Jan 25, 18",42.86,44.23,40519234,40519234,43.6098
13,0.66,-0.041273326015367005,1.5350000000000001,43.67,2018-01-26,43.805,"Jan 26, 18",43.03,43.22,27177473,27177473,43.4052
14,-0.38,-0.049615806805707006,-0.87,43.29,2018-01-29,43.42,"Jan 29, 18",42.38,43.25,29455004,29455004,42.9454
15,-1.62,-0.08518111964873701,-3.742,41.67,2018-01-30,42.795,"Jan 30, 18",41.47,41.99,38861906,38861906,41.8921
16,2.05,-0.040175631174533,4.92,43.72,2018-01-31,43.96,"Jan 31, 18",42.77,42.98,45114641,45114641,43.4954
17,-1.23,-0.067178924259055,-2.813,42.49,2018-02-01,44.09,"Feb 1, 18",42.1,43.04,35713522,35713522,43.0628
18,-1.67,-0.103841931942919,-3.93,40.82,2018-02-02,42.21,"Feb 2, 18",40.61,42.0,40657381,40657381,41.2867
19,-1.42,-0.135016465422612,-3.479,39.4,2018-02-05,41.53,"Feb 5, 18",39.01,40.14,45796837,45796837,40.436
20,4.48,-0.036663007683863005,11.371,43.88,2018-02-06,43.93,"Feb 6, 18",40.55,40.55,66972802,66972802,42.3859
21,-1.87,-0.077716794731064,-4.2620000000000005,42.01,2018-02-07,43.56,"Feb 7, 18",41.74,43.26,51354784,51354784,42.608
22,-2.01,-0.12184412733260101,-4.785,40.0,2018-02-08,43.03,"Feb 8, 18",40.0,42.52,53794067,53794067,41.1292
