,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.21,0.0,-0.383,54.66,2018-01-08,55.0,"Jan 8, 18",54.38,54.92,1056476,1056476,54.7411
1,0.28,0.005122575923893,0.512,54.94,2018-01-09,55.29,"Jan 9, 18",54.51,54.83,1002247,1002247,54.9629
2,0.66,0.017197219173069,1.201,55.6,2018-01-10,55.82,"Jan 10, 18",54.9,55.0,1396628,1396628,55.5831
3,0.56,0.027442371020856,1.007,56.16,2018-01-11,56.5,"Jan 11, 18",55.76,55.84,2125763,2125763,56.056
4,1.69,0.058360775704354,3.009,57.85,2018-01-12,58.04,"Jan 12, 18",56.25,56.38,2057732,2057732,57.5607
5,-0.46,0.049945115257958,-0.795,57.39,2018-01-16,58.45,"Jan 16, 18",57.13,58.05,1638964,1638964,57.8008
6,1.88,0.084339553604098,3.276,59.27,2018-01-17,59.3,"Jan 17, 18",57.73,58.535,2614712,2614712,58.7279
7,-0.41000000000000003,0.07683863885839701,-0.6920000000000001,58.86,2018-01-18,59.14,"Jan 18, 18",58.45,59.04,1442455,1442455,58.761
8,0.5700000000000001,0.08726673984632201,0.968,59.43,2018-01-19,59.69,"Jan 19, 18",58.74,58.88,2143248,2143248,59.363
9,-0.06,0.08616904500548801,-0.101,59.37,2018-01-22,59.45,"Jan 22, 18",58.38,59.45,1633253,1633253,59.0857
10,-1.04,0.067142334431028,-1.752,58.33,2018-01-23,59.49,"Jan 23, 18",58.29,59.49,1614933,1614933,58.5854
11,1.44,0.09348701061105001,2.469,59.77,2018-01-24,60.61,"Jan 24, 18",58.32,58.71,3544159,3544159,59.7405
12,-0.16,0.09055982436882501,-0.268,59.61,2018-01-25,60.39,"Jan 25, 18",58.91,60.01,1272692,1272692,59.524
13,1.32,0.11470911086717801,2.214,60.93,2018-01-26,60.96,"Jan 26, 18",59.55,60.0,1319471,1319471,60.5273
14,-0.36,0.10812294182217301,-0.591,60.57,2018-01-29,61.03,"Jan 29, 18",60.111,60.61,1125005,1125005,60.622
15,-0.61,0.09696304427369201,-1.007,59.96,2018-01-30,60.91,"Jan 30, 18",59.51,60.05,1062871,1062871,60.2538
16,0.78,0.11123307720453701,1.301,60.74,2018-01-31,61.05,"Jan 31, 18",60.0,60.0,1568904,1568904,60.7479
17,-0.15,0.10848884010245101,-0.247,60.59,2018-02-01,61.07,"Feb 1, 18",60.08,60.77,1220252,1220252,60.4621
18,-1.5899999999999999,0.07939992682034401,-2.624,59.0,2018-02-02,60.87,"Feb 2, 18",58.91,60.49,1370249,1370249,59.4458
19,-2.05,0.041895353091840004,-3.475,56.95,2018-02-05,61.18,"Feb 5, 18",56.94,59.53,2323181,2323181,58.6205
20,1.25,0.06476399560922,2.195,58.2,2018-02-06,58.35,"Feb 6, 18",55.2001,55.99,2467971,2467971,57.4526
21,-0.46,0.056348335162824004,-0.79,57.74,2018-02-07,59.01,"Feb 7, 18",57.53,57.93,1518687,1518687,58.1846
22,-1.73,0.02469813391877,-2.996,56.01,2018-02-08,58.04,"Feb 8, 18",56.0,57.75,1793375,1793375,56.8763
23,0.2,0.028357116721551,0.357,56.21,2018-02-09,57.04,"Feb 9, 18",54.25,56.57,1744454,1744454,55.7767
24,1.24,0.051042810098792,2.206,57.45,2018-02-12,57.86,"Feb 12, 18",56.44,56.84,1833033,1833033,57.353
25,0.05,0.05195755579948701,0.08700000000000001,57.5,2018-02-13,57.67,"Feb 13, 18",56.87,57.24,1500321,1500321,57.3562
26,1.38,0.077204537138675,2.4,58.88,2018-02-14,58.94,"Feb 14, 18",56.88,56.95,1465256,1465256,58.3649
27,0.48,0.08598609586534901,0.8150000000000001,59.36,2018-02-15,59.64,"Feb 15, 18",58.77,59.28,1909029,1909029,59.1014
28,-0.25,0.081412367361873,-0.421,59.11,2018-02-16,59.5,"Feb 16, 18",58.61,59.01,1036983,1036983,59.1927
29,-0.16,0.078485181119648,-0.271,58.95,2018-02-20,59.66,"Feb 20, 18",58.6,58.69,1505814,1505814,59.1689
