,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.88,0.0,2.594,34.8,2018-01-08,34.935,"Jan 8, 18",33.66,33.89,3041924,3041924,34.4839
1,-0.28,-0.008045977011494001,-0.805,34.52,2018-01-09,35.2,"Jan 9, 18",34.4,34.89,2124811,2124811,34.6882
2,-0.49,-0.022126436781609003,-1.419,34.03,2018-01-10,35.04,"Jan 10, 18",33.945,34.71,2135996,2135996,34.3059
3,0.5700000000000001,-0.005747126436781,1.675,34.6,2018-01-11,35.15,"Jan 11, 18",33.98,34.25,2212221,2212221,34.6617
4,0.15,-0.001436781609195,0.434,34.75,2018-01-12,34.82,"Jan 12, 18",34.06,34.63,2046538,2046538,34.6436
5,-0.65,-0.020114942528735,-1.871,34.1,2018-01-16,35.12,"Jan 16, 18",34.08,34.95,1926615,1926615,34.4407
6,0.23,-0.013505747126436,0.674,34.33,2018-01-17,34.7,"Jan 17, 18",33.76,34.33,2186744,2186744,34.3602
7,-0.59,-0.030459770114942,-1.7189999999999999,33.74,2018-01-18,34.4,"Jan 18, 18",33.7,34.33,2243593,2243593,33.9596
8,-0.42,-0.042528735632183005,-1.245,33.32,2018-01-19,33.48,"Jan 19, 18",33.0,33.46,3670246,3670246,33.1953
9,0.8200000000000001,-0.018965517241379,2.461,34.14,2018-01-22,34.15,"Jan 22, 18",33.47,33.76,1629794,1629794,33.9342
10,-0.28,-0.027011494252873,-0.8200000000000001,33.86,2018-01-23,34.34,"Jan 23, 18",33.675,34.05,1893867,1893867,33.9986
11,0.27,-0.019252873563218,0.797,34.13,2018-01-24,34.4,"Jan 24, 18",33.63,34.02,2431250,2431250,34.0923
12,-0.32,-0.028448275862068002,-0.9380000000000001,33.81,2018-01-25,34.58,"Jan 25, 18",33.68,34.32,3444678,3444678,34.0424
13,0.15,-0.024137931034482002,0.444,33.96,2018-01-26,34.02,"Jan 26, 18",33.51,33.81,2071192,2071192,33.8725
14,-0.63,-0.042241379310344,-1.855,33.33,2018-01-29,34.36,"Jan 29, 18",33.235,33.75,3558375,3558375,33.5941
15,-1.6600000000000001,-0.08994252873563201,-4.98,31.67,2018-01-30,32.79,"Jan 30, 18",31.46,32.68,3581755,3581755,31.7911
16,-0.01,-0.09022988505747101,-0.032,31.66,2018-01-31,32.32,"Jan 31, 18",31.44,31.91,2634464,2634464,31.7399
17,0.4,-0.078735632183907,1.263,32.06,2018-02-01,32.28,"Feb 1, 18",31.5975,31.75,2256601,2256601,31.9814
18,-1.7000000000000002,-0.127586206896551,-5.303,30.36,2018-02-02,31.87,"Feb 2, 18",30.31,31.66,3736398,3736398,30.8458
19,-0.9500000000000001,-0.15488505747126402,-3.129,29.41,2018-02-05,30.64,"Feb 5, 18",29.28,30.0,4250786,4250786,29.8416
20,0.23,-0.148275862068965,0.782,29.64,2018-02-06,30.13,"Feb 6, 18",28.65,28.9,3701765,3701765,29.4586
21,-1.11,-0.180172413793103,-3.745,28.53,2018-02-07,29.93,"Feb 7, 18",28.46,29.57,3800172,3800172,29.1297
22,-2.15,-0.24195402298850502,-7.536,26.38,2018-02-08,28.84,"Feb 8, 18",26.34,28.57,3909500,3909500,27.2385
23,-0.4,-0.25344827586206803,-1.516,25.98,2018-02-09,26.79,"Feb 9, 18",24.56,26.6,5406616,5406616,25.587
24,0.8,-0.230459770114942,3.079,26.78,2018-02-12,27.33,"Feb 12, 18",26.25,26.44,3838653,3838653,26.8556
25,-0.67,-0.24971264367816,-2.502,26.11,2018-02-13,26.78,"Feb 13, 18",26.01,26.44,2816644,2816644,26.2496
26,0.62,-0.231896551724137,2.375,26.73,2018-02-14,26.78,"Feb 14, 18",25.41,25.7,3524933,3524933,26.3939
27,-1.04,-0.261781609195402,-3.891,25.69,2018-02-15,26.87,"Feb 15, 18",25.045,26.87,4520733,4520733,25.6141
28,0.21,-0.25574712643678105,0.8170000000000001,25.9,2018-02-16,26.57,"Feb 16, 18",25.51,25.56,4352675,4352675,26.0743
29,-0.17,-0.26063218390804505,-0.656,25.73,2018-02-20,26.4,"Feb 20, 18",25.555,26.03,5699220,5699220,25.8406
30,-2.5300000000000002,-0.33333333333333304,-9.833,23.2,2018-02-21,25.02,"Feb 21, 18",23.1,24.33,13105350,13105350,23.8591
31,0.26,-0.325862068965517,1.121,23.46,2018-02-22,24.23,"Feb 22, 18",22.96,23.6,7312432,7312432,23.5606
32,1.2,-0.291379310344827,5.115,24.66,2018-02-23,24.7,"Feb 23, 18",23.56,23.67,6302475,6302475,24.2262
33,0.2,-0.285632183908045,0.811,24.86,2018-02-26,25.06,"Feb 26, 18",24.41,24.75,4971429,4971429,24.7791
34,-0.62,-0.303448275862068,-2.4939999999999998,24.24,2018-02-27,25.01,"Feb 27, 18",24.23,24.74,4065338,4065338,24.4676
35,-0.91,-0.32959770114942505,-3.754,23.33,2018-02-28,24.62,"Feb 28, 18",23.31,24.36,5292428,5292428,23.6768
36,0.02,-0.329022988505747,0.08600000000000001,23.35,2018-03-01,23.94,"Mar 1, 18",23.24,23.4,4548183,4548183,23.5577
37,0.61,-0.311494252873563,2.612,23.96,2018-03-02,24.01,"Mar 2, 18",23.05,23.3,3771395,3771395,23.6288
38,0.42,-0.299425287356321,1.7530000000000001,24.38,2018-03-05,24.62,"Mar 5, 18",23.88,23.95,3728369,3728369,24.335
39,-1.18,-0.33333333333333304,-4.84,23.2,2018-03-06,24.71,"Mar 6, 18",23.17,24.67,5575638,5575638,23.5771
40,-0.26,-0.340804597701149,-1.121,22.94,2018-03-07,23.63,"Mar 7, 18",22.72,23.01,5428250,5428250,23.0134
41,0.5700000000000001,-0.32442528735632103,2.485,23.51,2018-03-08,23.61,"Mar 8, 18",22.93,23.1,4133467,4133467,23.3332
