,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.36,0.0,-0.623,57.4,2018-01-08,57.7,"Jan 8, 18",54.63,57.15,1337128,1337128,56.7173
1,10.63,0.18519163763066201,18.519,68.03,2018-01-09,69.4199,"Jan 9, 18",58.2,58.2,5986572,5986572,65.7341
2,0.87,0.200348432055749,1.279,68.9,2018-01-10,73.9499,"Jan 10, 18",65.33,67.63,6310183,6310183,68.9453
3,0.98,0.217421602787456,1.422,69.88,2018-01-11,70.52,"Jan 11, 18",68.0501,68.51,2454666,2454666,69.5943
4,2.12,0.254355400696864,3.034,72.0,2018-01-12,72.5,"Jan 12, 18",69.86,70.45,1904805,1904805,71.1681
5,-2.26,0.21498257839721202,-3.1390000000000002,69.74,2018-01-16,75.33,"Jan 16, 18",68.88,73.25,3684099,3684099,71.4042
6,-0.34,0.20905923344947702,-0.488,69.4,2018-01-17,70.98,"Jan 17, 18",68.521,69.99,2594151,2594151,69.7321
7,0.76,0.222299651567944,1.095,70.16,2018-01-18,70.91,"Jan 18, 18",68.15,69.25,1552996,1552996,69.7841
8,1.43,0.247212543554007,2.038,71.59,2018-01-19,72.18,"Jan 19, 18",69.62,69.75,3699340,3699340,71.4089
9,5.19,0.337630662020905,7.25,76.78,2018-01-22,79.75,"Jan 22, 18",72.18,72.41,3236563,3236563,76.8806
10,1.01,0.35522648083623704,1.315,77.79,2018-01-23,77.92,"Jan 23, 18",74.4602,76.43,2273018,2273018,76.3122
11,-1.26,0.333275261324041,-1.62,76.53,2018-01-24,78.77,"Jan 24, 18",75.881,78.0,2326395,2326395,76.9741
12,2.4,0.375087108013937,3.136,78.93,2018-01-25,79.37,"Jan 25, 18",75.06,76.2,1782044,1782044,77.2901
13,0.1,0.37682926829268304,0.127,79.03,2018-01-26,81.41,"Jan 26, 18",77.381,79.23,2496658,2496658,79.1952
14,3.36,0.43536585365853603,4.252,82.39,2018-01-29,82.74,"Jan 29, 18",79.25,79.25,2081104,2081104,81.3004
15,0.06,0.43641114982578405,0.073,82.45,2018-01-30,84.685,"Jan 30, 18",79.01,80.74,1654541,1654541,82.6219
16,1.16,0.45662020905923306,1.407,83.61,2018-01-31,84.45,"Jan 31, 18",82.54,83.5,1329511,1329511,83.5184
17,5.13,0.545993031358885,6.136,88.74,2018-02-01,90.0899,"Feb 1, 18",82.54,82.98,3385482,3385482,87.3837
18,-0.74,0.5331010452961671,-0.834,88.0,2018-02-02,99.02,"Feb 2, 18",83.6,87.5,6835582,6835582,90.6405
19,-5.5600000000000005,0.436236933797909,-6.318,82.44,2018-02-05,89.98,"Feb 5, 18",81.25,87.65,3158213,3158213,86.0789
20,-3.71,0.37160278745644604,-4.5,78.73,2018-02-06,83.28,"Feb 6, 18",73.01,80.46,3848004,3848004,78.0138
21,-2.16,0.33397212543554,-2.7439999999999998,76.57,2018-02-07,80.87,"Feb 7, 18",70.01,80.0,3479846,3479846,75.8702
22,-1.92,0.300522648083623,-2.508,74.65,2018-02-08,78.31,"Feb 8, 18",73.69,78.01,2339078,2339078,75.299
23,-0.01,0.300348432055749,-0.013000000000000001,74.64,2018-02-09,76.26,"Feb 9, 18",69.5,75.3,2298577,2298577,73.1313
24,4.06,0.371080139372822,5.439,78.7,2018-02-12,79.39,"Feb 12, 18",73.52,74.97,2274467,2274467,77.4279
25,-3.04,0.318118466898954,-3.863,75.66,2018-02-13,78.49,"Feb 13, 18",75.26,78.01,1618974,1618974,76.5719
26,8.34,0.46341463414634104,11.023,84.0,2018-02-14,86.8713,"Feb 14, 18",70.45,72.99,8584944,8584944,81.6922
27,-1.8599999999999999,0.431010452961672,-2.214,82.14,2018-02-15,86.34,"Feb 15, 18",81.099,86.19,2643928,2643928,83.0334
28,1.29,0.45348432055749105,1.57,83.43,2018-02-16,84.025,"Feb 16, 18",81.33,81.77,2343524,2343524,83.0865
29,0.02,0.45383275261324,0.024,83.45,2018-02-20,87.45,"Feb 20, 18",82.9,83.55,2382735,2382735,84.8339
30,3.0,0.506097560975609,3.5949999999999998,86.45,2018-02-21,89.4854,"Feb 21, 18",83.26,83.26,2032458,2032458,86.5814
31,1.76,0.536759581881533,2.036,88.21,2018-02-22,90.96,"Feb 22, 18",86.59,86.59,2382916,2382916,88.6867
32,1.3900000000000001,0.5609756097560971,1.576,89.6,2018-02-23,89.97,"Feb 23, 18",87.13,88.7,1286739,1286739,88.8354
33,0.96,0.5777003484320551,1.071,90.56,2018-02-26,90.91,"Feb 26, 18",89.55,89.59,1940987,1940987,90.2959
