,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.039383,0.0,0.013000000000000001,303.4961,2018-01-08,304.5594,"Jan 8, 18",302.8119,304.1754,660791,660791,303.5932
1,2.0971,0.006909808725713001,0.6910000000000001,305.5932,2018-01-09,308.0939,"Jan 9, 18",303.9364,304.4511,828881,828881,306.4388
2,-2.737,-0.002108429070423,-0.896,302.8562,2018-01-10,304.6923,"Jan 10, 18",301.6255,304.5594,676078,676078,303.0528
3,1.9100000000000001,0.004184897268861,0.631,304.7662,2018-01-11,304.9237,"Jan 11, 18",303.4961,304.1065,493165,493165,304.5851
4,5.5135000000000005,0.022351193310227002,1.8090000000000002,310.2796,2018-01-12,310.831,"Jan 12, 18",304.8843,305.2092,706139,706139,309.4447
5,-2.5697,0.013884527675973,-0.8280000000000001,307.71,2018-01-16,313.7748,"Jan 16, 18",307.5032,312.5146,756098,756098,310.3468
6,4.8932,0.030007304871462002,1.5899999999999999,312.6032,2018-01-17,312.8985,"Jan 17, 18",308.4779,310.1221,613131,613131,311.4237
7,-3.1604,0.019593991487864,-1.011,309.4428,2018-01-18,313.7748,"Jan 18, 18",309.1509,312.5933,598698,598698,310.5648
8,2.038,0.026309069539937002,0.659,311.4808,2018-01-19,312.2881,"Jan 19, 18",309.8267,311.3429,873975,873975,311.3521
9,-1.211,0.022318902944716,-0.389,310.2698,2018-01-22,311.6875,"Jan 22, 18",308.7142,311.215,731339,731339,310.2754
10,-1.6343,0.016933660762032,-0.527,308.6354,2018-01-23,310.4765,"Jan 23, 18",307.842,310.3584,653677,653677,309.0785
11,-0.019690000000000003,0.016868750537486002,-0.006,308.6157,2018-01-24,311.4316,"Jan 24, 18",307.847,308.6059,857452,857452,308.9971
12,11.3617,0.05430481643750901,3.681,319.9774,2018-01-25,320.9521,"Jan 25, 18",309.6101,311.8451,1405955,1405955,318.3402
13,10.3968,0.088561599308854,3.249,330.3742,2018-01-26,330.3841,"Jan 26, 18",318.6237,321.0407,1297890,1297890,326.9457
14,2.737,0.09757983710499,0.8280000000000001,333.1112,2018-01-29,335.9861,"Jan 29, 18",329.8721,330.8074,1389784,1389784,333.2238
15,1.1027,0.10121316221196901,0.331,334.2139,2018-01-30,336.0058,"Jan 30, 18",328.3608,330.0985,1297418,1297418,333.0186
16,1.0535,0.10468437650434301,0.315,335.2674,2018-01-31,338.8807,"Jan 31, 18",334.3715,335.3659,1318289,1318289,336.3197
