,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,6.5816,0.0,3.064,221.3821,2018-01-08,224.3738,"Jan 8, 18",217.9717,219.7866,22030422,22030422,222.0775
1,-0.059833,-0.000270121206728,-0.027,221.3223,2018-01-09,223.1971,"Jan 9, 18",218.0315,221.6015,12424995,12424995,220.9419
2,1.7352,0.007567910865422,0.784,223.0575,2018-01-10,223.1971,"Jan 10, 18",215.3988,217.5927,14566626,14566626,220.2249
3,0.39888599999999996,0.009369772894917,0.179,223.4564,2018-01-11,225.6403,"Jan 11, 18",222.5888,224.3738,10150767,10150767,223.9756
4,-1.0969,0.0044145393868790005,-0.491,222.3594,2018-01-12,224.3638,"Jan 12, 18",220.724,222.9777,8997902,8997902,222.736
5,-2.862,-0.00851333508897,-1.287,219.4974,2018-01-16,226.8768,"Jan 16, 18",216.0869,223.4264,17558687,17558687,221.9063
6,4.5972,0.012252571459029001,2.094,224.0946,2018-01-17,224.4935,"Jan 17, 18",216.2963,220.0858,13460222,13460222,220.5488
7,-0.27922,0.010990951842990001,-0.125,223.8153,2018-01-18,226.0092,"Jan 18, 18",222.0602,223.3167,10215841,10215841,224.4352
8,5.6542,0.036531860525308005,2.526,229.4696,2018-01-19,230.4468,"Jan 19, 18",226.3682,227.4552,15234486,15234486,228.756
9,3.5700000000000003,0.05265782554235401,1.556,233.0396,2018-01-22,233.1094,"Jan 22, 18",227.4652,229.7887,13773561,13773561,230.92
10,5.2055,0.076171470051101,2.234,238.2451,2018-01-23,239.1625,"Jan 23, 18",234.4467,235.1936,11880705,11880705,237.4908
11,-3.1013,0.062162207332932005,-1.302,235.1437,2018-01-24,239.8243,"Jan 24, 18",232.9,238.3747,14499309,14499309,236.3578
12,0.54847,0.064639824086951,0.233,235.6922,2018-01-25,239.0827,"Jan 25, 18",235.0939,237.3376,10247091,10247091,237.0499
13,6.9606,0.09608139050085801,2.9530000000000003,242.6528,2018-01-26,242.6627,"Jan 26, 18",236.9387,237.4573,12908854,12908854,240.6479
14,3.5102,0.11193723431117501,1.447,246.163,2018-01-29,247.4195,"Jan 29, 18",239.9403,242.0644,11377853,11377853,244.6607
