,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.096304,0.0,0.313,30.8936,2018-01-08,31.0766,"Jan 8, 18",30.5373,30.8358,2977240,2977240,30.817
1,-0.163715,-0.005298832120568001,-0.53,30.7299,2018-01-09,31.2018,"Jan 9, 18",30.6528,30.8454,5118104,5118104,30.829
2,-0.731892,-0.028989823134888,-2.382,29.998,2018-01-10,30.8069,"Jan 10, 18",29.8872,30.5565,5102844,5102844,30.1666
3,0.731892,-0.005298832120568001,2.44,30.7299,2018-01-11,30.8069,"Jan 11, 18",30.0461,30.1906,3356910,3356910,30.6169
4,0.337057,0.0056095760934300005,1.097,31.0669,2018-01-12,31.0766,"Jan 12, 18",30.6336,30.7684,3519245,3519245,30.9128
5,-0.491139,-0.010286920268275001,-1.581,30.5758,2018-01-16,31.3751,"Jan 16, 18",30.2626,31.221,5853160,5853160,30.5448
6,0.028890000000000002,-0.009351451433306,0.094,30.6047,2018-01-17,30.9514,"Jan 17, 18",30.5373,30.7684,3024110,3024110,30.6773
7,-0.47187799999999996,-0.024626459849289004,-1.542,30.1328,2018-01-18,30.6914,"Jan 18, 18",30.075,30.5276,4629355,4629355,30.2789
8,-0.067411,-0.026808141492088003,-0.224,30.0654,2018-01-19,30.4121,"Jan 19, 18",29.6706,30.335,5488242,5488242,29.9444
9,0.30816499999999997,-0.016831965196675,1.025,30.3736,2018-01-22,30.4602,"Jan 22, 18",29.8632,29.9498,6170598,6170598,30.3056
10,0.105932,-0.013404070746044001,0.34900000000000003,30.4795,2018-01-23,30.6817,"Jan 23, 18",30.2869,30.335,4007139,4007139,30.451
11,-0.404466,-0.026497397519227,-1.327,30.075,2018-01-24,30.6528,"Jan 24, 18",29.8343,30.5951,5255326,5255326,30.1428
12,-6.1826,-0.226619752958541,-20.557,23.8925,2018-01-25,26.9645,"Jan 25, 18",22.968,26.926,74381976,74381976,23.9559
13,0.500769,-0.210412512623973,2.096,24.3932,2018-01-26,25.5681,"Jan 26, 18",23.4976,23.7384,37608272,37608272,24.7142
14,0.028890000000000002,-0.209477043789004,0.11800000000000001,24.4221,2018-01-29,24.7303,"Jan 29, 18",23.9791,24.1525,13188124,13188124,24.4895
15,0.35631599999999997,-0.19794391071289802,1.459,24.7784,2018-01-30,24.841,"Jan 30, 18",24.0754,24.2006,10434910,10434910,24.5361
16,0.683743,-0.17580987647927002,2.759,25.4622,2018-01-31,25.4814,"Jan 31, 18",24.7495,24.894,14463885,14463885,25.2521
