,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.029582999999999998,0.0,0.179,16.5958,2018-01-08,16.6155,"Jan 8, 18",16.438,16.5662,3595574,3595574,16.5542
1,0.049304,0.002970631123537,0.297,16.6451,2018-01-09,16.7338,"Jan 9, 18",16.5563,16.6253,2128675,2128675,16.6319
2,-0.029582999999999998,0.001187047325226,-0.178,16.6155,2018-01-10,16.6648,"Jan 10, 18",16.5366,16.6155,2523825,2523825,16.6061
3,0.2268,0.014853155617686001,1.365,16.8423,2018-01-11,16.9803,"Jan 11, 18",16.6352,16.6352,3338168,3338168,16.8105
4,0.069025,0.019010834066450003,0.41000000000000003,16.9113,2018-01-12,16.936,"Jan 12, 18",16.7437,16.8719,1864885,1864885,16.8459
5,-0.17749499999999999,0.008315356897528001,-1.05,16.7338,2018-01-16,17.0198,"Jan 16, 18",16.7042,16.9606,1854099,1854099,16.8078
6,0.23666,0.022578001663071,1.4140000000000001,16.9705,2018-01-17,17.0494,"Jan 17, 18",16.7042,16.7338,1902051,1902051,16.9444
7,-0.197216,0.010695477168922001,-1.162,16.7733,2018-01-18,16.9902,"Jan 18, 18",16.7634,16.9409,2863948,2863948,16.8073
8,0.20707699999999998,0.023168512515214002,1.235,16.9803,2018-01-19,17.0395,"Jan 19, 18",16.7289,16.8423,4544118,4544118,16.8666
9,-0.039444,0.020794417864760002,-0.232,16.9409,2018-01-22,16.9507,"Jan 22, 18",16.7437,16.9212,1733440,1733440,16.8655
10,-0.108468,0.014256619144602,-0.64,16.8324,2018-01-23,16.8817,"Jan 23, 18",16.7141,16.8719,1519840,1519840,16.8065
11,0.019721,0.015443666469829,0.117,16.8521,2018-01-24,16.9507,"Jan 24, 18",16.7437,16.8817,1711764,1711764,16.8442
12,-0.049304,0.012473035346292,-0.293,16.8028,2018-01-25,16.9113,"Jan 25, 18",16.7437,16.8719,1250092,1250092,16.7996
13,0.098608,0.018414297593366002,0.587,16.9014,2018-01-26,16.9212,"Jan 26, 18",16.6845,16.8719,1314661,1314661,16.82
14,-0.078887,0.013666108292459001,-0.467,16.8226,2018-01-29,16.9951,"Jan 29, 18",16.7733,16.862,1281706,1281706,16.8539
15,-0.00986,0.013069571819375,-0.059000000000000004,16.8127,2018-01-30,16.9705,"Jan 30, 18",16.6845,16.7831,1990997,1990997,16.8139
16,0.059164999999999995,0.016636739415996003,0.352,16.8719,2018-01-31,16.9014,"Jan 31, 18",16.7092,16.8028,1710674,1710674,16.8217
17,-0.28596299999999997,-0.000596536473083,-1.695,16.5859,2018-02-01,16.8571,"Feb 1, 18",16.5662,16.7831,2126604,2126604,16.6679
18,-0.404294,-0.024958121934465,-2.438,16.1816,2018-02-02,16.5958,"Feb 2, 18",16.1619,16.5465,2367804,2367804,16.3292
19,-0.571928,-0.059418648091685004,-3.534,15.6097,2018-02-05,16.3591,"Feb 5, 18",15.6097,16.1717,3209568,3209568,15.8902
20,0.453598,-0.032086431506766,2.906,16.0633,2018-02-06,16.083,"Feb 6, 18",15.0082,15.3927,6201938,6201938,15.749600000000001
21,-0.2268,-0.04575253979922601,-1.412,15.836500000000001,2018-02-07,16.1274,"Feb 7, 18",15.7477,15.9844,2698050,2698050,15.9357
22,-0.404292,-0.070114125260608,-2.553,15.4322,2018-02-08,15.9154,"Feb 8, 18",15.4223,15.7872,2564849,2564849,15.5917
23,0.11833,-0.06298581568830601,0.767,15.5505,2018-02-09,16.1224,"Feb 9, 18",15.1364,15.5702,3827891,3827891,15.5283
24,-0.019722,-0.064172863013533,-0.127,15.5308,2018-02-12,15.7379,"Feb 12, 18",15.4519,15.6886,2714308,2714308,15.5738
25,0.463458,-0.036250135576471006,2.984,15.9942,2018-02-13,16.0238,"Feb 13, 18",15.4815,15.4815,2672152,2672152,15.8787
26,0.11833,-0.029115800383229,0.74,16.1126,2018-02-14,16.1717,"Feb 14, 18",15.836500000000001,15.8858,2778247,2778247,16.0732
27,0.029581999999999997,-0.027332216584919,0.184,16.1422,2018-02-15,16.2605,"Feb 15, 18",16.0075,16.1422,1885116,1885116,16.1017
28,-0.108469,-0.033870015305077,-0.672,16.0337,2018-02-16,16.2112,"Feb 16, 18",15.9745,16.0929,2258819,2258819,16.0828
29,-0.305685,-0.05229033851938401,-1.907,15.728,2018-02-20,16.0041,"Feb 20, 18",15.7083,15.9252,2015716,2015716,15.8111
30,0.059164999999999995,-0.048723170922763,0.376,15.7872,2018-02-21,16.0041,"Feb 21, 18",15.7379,15.7379,3429116,3429116,15.8774
31,0.20707699999999998,-0.036250135576471006,1.312,15.9942,2018-02-22,16.1126,"Feb 22, 18",15.8956,15.8956,2407632,2407632,16.0001
32,0.276103,-0.019607370539534003,1.726,16.2704,2018-02-23,16.2802,"Feb 23, 18",15.9154,16.0731,1737633,1737633,16.1251
33,0.138051,-0.011292013642005001,0.848,16.4084,2018-02-26,16.4281,"Feb 26, 18",16.221,16.2999,1085005,1085005,16.3606
34,-0.25638099999999997,-0.026741705732775,-1.562,16.152,2018-02-27,16.438,"Feb 27, 18",16.1422,16.3788,1359675,1359675,16.2207
35,-0.24652000000000002,-0.041594861350462004,-1.526,15.9055,2018-02-28,16.226,"Feb 28, 18",15.8956,16.1619,2055334,2055334,15.999
36,-0.37471099999999996,-0.064172863013533,-2.356,15.5308,2018-03-01,15.9647,"Mar 1, 18",15.4815,15.8858,2916092,2916092,15.6493
37,0.11832899999999999,-0.05704455344123201,0.762,15.6491,2018-03-02,15.6787,"Mar 2, 18",15.4223,15.5308,4372594,4372594,15.5755
38,0.27610399999999996,-0.040407814025235,1.764,15.9252,2018-03-05,15.9548,"Mar 5, 18",15.5406,15.5702,1831376,1831376,15.88
39,0.266241,-0.024361585461381,1.6720000000000002,16.1915,2018-03-06,16.2112,"Mar 6, 18",15.8661,15.9351,1962191,1962191,16.0737
40,-0.11833,-0.031495920654623005,-0.731,16.0731,2018-03-07,16.1224,"Mar 7, 18",15.8759,16.0436,1819293,1819293,16.0183
41,-0.078886,-0.036250135576471006,-0.491,15.9942,2018-03-08,16.1619,"Mar 8, 18",15.9252,16.1422,1075783,1075783,15.9933
42,0.24652000000000002,-0.021390954337844003,1.541,16.2408,2018-03-09,16.2408,"Mar 9, 18",16.0041,16.0731,1245250,1245250,16.1552
43,0.078887,-0.016636739415996003,0.486,16.3197,2018-03-12,16.438,"Mar 12, 18",16.2309,16.2802,956805,956805,16.3375
44,-0.079371,-0.021421082442545,-0.486,16.2403,2018-03-13,16.5329,"Mar 13, 18",16.1808,16.4288,1025516,1025516,16.2868
45,-0.039682999999999996,-0.023813253955820003,-0.244,16.2006,2018-03-14,16.3395,"Mar 14, 18",16.1411,16.3196,1461180,1461180,16.2142
46,0.08928699999999999,-0.018432374456187003,0.551,16.2899,2018-03-15,16.3643,"Mar 15, 18",16.2105,16.2105,1751861,1751861,16.2867
47,0.17857399999999998,-0.007670615456922001,1.096,16.4685,2018-03-16,16.5478,"Mar 16, 18",16.3097,16.3097,2281365,2281365,16.4507
48,-0.25794,-0.023216717482736002,-1.566,16.2105,2018-03-19,16.5181,"Mar 19, 18",16.1907,16.4189,2723368,2723368,16.2865
49,0.019840999999999998,-0.022017618915629002,0.122,16.2304,2018-03-20,16.28,"Mar 20, 18",16.1411,16.2403,1672445,1672445,16.2068
50,0.148812,-0.013051494956555,0.917,16.3792,2018-03-21,16.4486,"Mar 21, 18",16.2006,16.2304,1560269,1560269,16.3805
51,-0.23809799999999998,-0.027398498415261003,-1.454,16.1411,2018-03-22,16.4387,"Mar 22, 18",16.1212,16.2502,2142708,2142708,16.2488
52,-0.704374,-0.069842972318297,-4.364,15.4367,2018-03-23,16.2006,"Mar 23, 18",15.4367,16.1609,2207981,2207981,15.7109
53,0.11904899999999999,-0.062666457778474,0.771,15.5558,2018-03-26,15.6351,"Mar 26, 18",15.2135,15.6153,2485869,2485869,15.4361
54,-0.09920799999999999,-0.06864989937213001,-0.638,15.4565,2018-03-27,15.7542,"Mar 27, 18",15.3871,15.5855,1557608,1557608,15.5647
55,-0.148811,-0.077616023331204,-0.963,15.3077,2018-03-28,15.5657,"Mar 28, 18",15.3077,15.4565,3200482,3200482,15.4019
56,0.367068,-0.055495968859591,2.398,15.6748,2018-03-29,15.8236,"Mar 29, 18",15.3177,15.4367,1930604,1930604,15.6782
57,-0.38691000000000003,-0.07880909627737101,-2.468,15.2879,2018-04-02,15.7046,"Apr 2, 18",15.1589,15.6351,1884811,1884811,15.3376
58,0.228178,-0.06505862929174801,1.4929999999999999,15.5161,2018-04-03,15.5359,"Apr 3, 18",15.0796,15.2978,1979288,1979288,15.4029
59,0.13889,-0.056689041805758004,0.895,15.655,2018-04-04,15.6649,"Apr 4, 18",15.2184,15.3077,2055141,2055141,15.5073
60,-0.029762,-0.058484676845949005,-0.19,15.6252,2018-04-05,15.8137,"Apr 5, 18",15.5061,15.655,2166855,2166855,15.6911
61,-0.248019,-0.073428216777738,-1.587,15.3772,2018-04-06,15.6649,"Apr 6, 18",15.2532,15.4665,1306775,1306775,15.4286
62,0.148811,-0.06446209281866501,0.968,15.526,2018-04-09,15.774000000000001,"Apr 9, 18",15.3821,15.4268,2583984,2583984,15.6184
63,0.29762299999999997,-0.046529844900516,1.917,15.8236,2018-04-10,16.022,"Apr 10, 18",15.6153,15.655,1651344,1651344,15.8544
64,-0.148811,-0.055495968859591,-0.9400000000000001,15.6748,2018-04-11,15.8038,"Apr 11, 18",15.6351,15.7046,2031632,2031632,15.693
65,0.10912799999999999,-0.04892201641379101,0.6960000000000001,15.7839,2018-04-12,15.8435,"Apr 12, 18",15.6351,15.7542,957079,957079,15.776299999999999
66,-0.188494,-0.060280311886139006,-1.194,15.5954,2018-04-13,15.9327,"Apr 13, 18",15.5657,15.774000000000001,943273,943273,15.641
67,0.228177,-0.046529844900516,1.463,15.8236,2018-04-16,15.8633,"Apr 16, 18",15.6054,15.6847,2730545,2730545,15.7942
68,0.148812,-0.037563720941443,0.9400000000000001,15.9724,2018-04-17,16.0022,"Apr 17, 18",15.8038,15.8931,1472352,1472352,15.9265
69,-0.069446,-0.041745501873968006,-0.435,15.903,2018-04-18,16.0617,"Apr 18, 18",15.8683,15.9724,1515782,1515782,15.9535
70,0.15873199999999998,-0.03218284144181,0.998,16.0617,2018-04-19,16.0915,"Apr 19, 18",15.8236,15.8534,1550488,1550488,16.0281
71,-0.019840999999999998,-0.033375914387977004,-0.124,16.0419,2018-04-20,16.1014,"Apr 20, 18",15.9675,16.1014,2417061,2417061,16.0315
72,0.009921,-0.032779377914894,0.062,16.0518,2018-04-23,16.1411,"Apr 23, 18",15.9625,16.0518,1107760,1107760,16.0434
73,-0.277782,-0.049518552886875004,-1.7309999999999999,15.774000000000001,2018-04-24,16.1609,"Apr 24, 18",15.7442,16.1113,1173026,1173026,15.8831
74,-0.019840999999999998,-0.05071162583304201,-0.126,15.7542,2018-04-25,15.8236,"Apr 25, 18",15.6202,15.7442,1094548,1094548,15.7239
75,0.08928699999999999,-0.04533074633340901,0.5670000000000001,15.8435,2018-04-26,15.9228,"Apr 26, 18",15.7542,15.8633,1101045,1101045,15.859
76,0.039682999999999996,-0.042944600441075,0.25,15.8831,2018-04-27,16.1609,"Apr 27, 18",15.735,15.8236,883248,883248,15.8309
77,-0.029762999999999998,-0.044734209860326,-0.187,15.8534,2018-04-30,16.0319,"Apr 30, 18",15.7939,15.9327,1387642,1387642,15.8716
78,0.029762999999999998,-0.042944600441075,0.188,15.8831,2018-05-01,15.903,"May 1, 18",15.6897,15.8137,1874515,1874515,15.8313
79,-0.29762299999999997,-0.060876848359223,-1.874,15.5855,2018-05-02,15.8732,"May 2, 18",15.5657,15.8236,2250715,2250715,15.6679
80,0.168653,-0.05071162583304201,1.082,15.7542,2018-05-03,15.7889,"May 3, 18",15.4268,15.5756,1368156,1368156,15.6457
81,0.25794,-0.035171549428168004,1.637,16.0121,2018-05-04,16.022,"May 4, 18",15.645,15.6847,1236126,1236126,15.9382
82,0.248019,-0.020228009496378003,1.549,16.2601,2018-05-07,16.3196,"May 7, 18",15.9625,16.0319,1493696,1493696,16.2363
83,-0.019842,-0.021421082442545,-0.122,16.2403,2018-05-08,16.3395,"May 8, 18",16.1808,16.1808,2328580,2328580,16.264
84,0.138891,-0.013051494956555,0.855,16.3792,2018-05-09,16.3891,"May 9, 18",15.8931,16.3097,1688206,1688206,16.3337
85,0.07936599999999999,-0.008273177550946,0.485,16.4585,2018-05-10,16.5192,"May 10, 18",16.3097,16.4288,1979696,1979696,16.4358
86,-1.3988,-0.09255956326299401,-8.499,15.0597,2018-05-11,16.4288,"May 11, 18",15.0597,15.9724,3252955,3252955,15.2806
87,0.6349279999999999,-0.054302895913423,4.216,15.6946,2018-05-14,15.8038,"May 14, 18",15.2879,15.3077,4637769,4637769,15.6325
88,-0.029762,-0.05609250533267401,-0.19,15.6649,2018-05-15,15.7442,"May 15, 18",15.4764,15.655,2364096,2364096,15.6446
89,0.09920799999999999,-0.050115089359958,0.633,15.7641,2018-05-16,15.8633,"May 16, 18",15.5657,15.6748,1996350,1996350,15.7349
90,-0.148812,-0.059081213319032,-0.9440000000000001,15.6153,2018-05-17,15.8137,"May 17, 18",15.5756,15.7343,2517763,2517763,15.650500000000001
91,-0.10912799999999999,-0.065661191385772,-0.6990000000000001,15.5061,2018-05-18,15.6153,"May 18, 18",15.4665,15.5558,2746089,2746089,15.523
92,0.06944499999999999,-0.06147338483230701,0.448,15.5756,2018-05-21,15.6649,"May 21, 18",15.4565,15.5458,1570633,1570633,15.6012
93,-0.08928699999999999,-0.066854264331939,-0.5730000000000001,15.4863,2018-05-22,15.6698,"May 22, 18",15.4665,15.5756,1430084,1430084,15.5554
94,-0.12897,-0.07462731534484601,-0.833,15.3573,2018-05-23,15.4466,"May 23, 18",15.278,15.397,1275884,1275884,15.3443
95,0.039684,-0.07223514383157101,0.258,15.397,2018-05-24,15.4466,"May 24, 18",15.278,15.3276,1576997,1576997,15.3796
96,0.059524,-0.06864989937213001,0.387,15.4565,2018-05-25,15.4962,"May 25, 18",15.3375,15.3673,1269618,1269618,15.454
