,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.41598199999999996,0.0,-0.626,66.0542,2018-01-08,66.3347,"Jan 8, 18",65.7833,66.267,2256746,2256746,66.028
1,-0.44500599999999996,-0.006736891825197,-0.674,65.6092,2018-01-09,66.3637,"Jan 9, 18",65.3093,65.4931,2850059,2850059,65.7646
2,-0.270872,-0.010838069343054,-0.41300000000000003,65.3383,2018-01-10,65.7059,"Jan 10, 18",64.932,65.4544,1883783,1883783,65.3026
3,-0.657832,-0.020796557978145003,-1.007,64.6805,2018-01-11,65.3093,"Jan 11, 18",64.129,65.3093,2199611,2199611,64.5437
4,0.773921,-0.009080421835401,1.197,65.4544,2018-01-12,65.6769,"Jan 12, 18",64.4484,64.8062,2017295,2017295,65.3491
5,0.580441,-0.000293698205412,0.887,66.0348,2018-01-16,66.2477,"Jan 16, 18",65.5414,65.7059,3478209,3478209,66.0232
6,1.335,0.019916977270181,2.022,67.3698,2018-01-17,67.573,"Jan 17, 18",66.1799,66.4702,2620863,2620863,67.1728
7,-0.7062029999999999,0.009225757029833,-1.048,66.6636,2018-01-18,67.6407,"Jan 18, 18",66.4121,67.3408,1662864,1662864,66.8062
8,0.5610919999999999,0.017720296362684,0.842,67.2247,2018-01-19,67.4279,"Jan 19, 18",66.5089,66.6443,2559512,2559512,67.1365
9,0.203156,0.020796557978145003,0.302,67.4279,2018-01-22,67.8632,"Jan 22, 18",66.9732,67.3505,1681984,1681984,67.2831
10,0.280545,0.025043070690433003,0.41600000000000004,67.7084,2018-01-23,70.717,"Jan 23, 18",66.8474,67.4182,6875482,6875482,68.4169
11,-1.9058000000000002,-0.0038089932207180004,-2.815,65.8026,2018-01-24,67.8664,"Jan 24, 18",65.7349,67.8245,3229726,3229726,66.2056
12,0.590115,0.005126093420251001,0.897,66.3928,2018-01-25,66.4605,"Jan 25, 18",65.4254,65.9961,1880601,1880601,66.1295
13,1.335,0.025336768895846,2.011,67.7278,2018-01-26,67.9503,"Jan 26, 18",66.3637,66.683,1720320,1720320,67.4334
14,-1.1415,0.008053992024731001,-1.685,66.5862,2018-01-29,67.602,"Jan 29, 18",66.4992,67.5343,1263051,1263051,66.8087
15,-0.261199,0.004099663609581,-0.392,66.325,2018-01-30,67.0119,"Jan 30, 18",65.9187,66.4315,1415065,1415065,66.4811
16,0.185165,0.006903421735483001,0.279,66.5102,2018-01-31,67.0462,"Jan 31, 18",66.0666,66.8513,2135680,2135680,66.5383
17,-1.1889,-0.011095433749859001,-1.788,65.3213,2018-02-01,66.7441,"Feb 1, 18",65.0679,66.3543,2737906,2737906,65.4746
18,-0.419039,-0.017438709423473,-0.642,64.9023,2018-02-02,65.7306,"Feb 2, 18",64.8146,64.951,3252947,3252947,65.2147
19,-2.027,-0.048125630164319005,-3.123,62.8753,2018-02-05,65.6429,"Feb 5, 18",62.8558,64.7269,3601283,3601283,64.0258
20,-0.28260799999999997,-0.052403934950389,-0.449,62.5927,2018-02-06,62.8461,"Feb 6, 18",60.975,61.6864,3489708,3489708,61.9446
21,0.497,-0.044879810822021006,0.794,63.0897,2018-02-07,64.2646,"Feb 7, 18",62.0567,62.2711,2691333,2691333,63.4592
22,-2.8066,-0.087369160477304,-4.449,60.2831,2018-02-08,62.9533,"Feb 8, 18",60.2246,62.9533,3128571,3128571,61.2726
23,2.2414,-0.053436420394161,3.718,62.5245,2018-02-09,62.963,"Feb 9, 18",60.4488,60.9945,3338805,3338805,61.7897
24,0.516489,-0.045617084152105004,0.8260000000000001,63.041,2018-02-12,63.3918,"Feb 12, 18",62.5732,62.9338,2112974,2112974,63.064
25,-0.05847000000000001,-0.04650272049317,-0.093,62.9825,2018-02-13,63.2359,"Feb 13, 18",62.3685,62.6609,1562026,1562026,62.8778
26,0.721135,-0.035585927919799004,1.145,63.7036,2018-02-14,63.8595,"Feb 14, 18",62.3003,62.6901,1469687,1469687,63.3906
27,1.072,-0.019356831208310003,1.683,64.7756,2018-02-15,64.7756,"Feb 15, 18",63.6452,64.2396,2146018,2146018,64.4394
28,0.33133199999999996,-0.014341253092157,0.512,65.1069,2018-02-16,65.6819,"Feb 16, 18",64.7853,64.7853,3203782,3203782,65.1128
29,-1.3643,-0.034995503692422006,-2.095,63.7426,2018-02-20,65.1946,"Feb 20, 18",63.6354,64.9705,2239208,2239208,63.9588
30,-0.32158899999999996,-0.039864232705868,-0.505,63.421,2018-02-21,64.5514,"Feb 21, 18",63.421,63.9667,1536346,1536346,63.9034
31,-0.029234999999999997,-0.040306293922263,-0.046,63.3918,2018-02-22,64.1519,"Feb 22, 18",63.2261,63.6549,1181654,1181654,63.6074
32,1.3838,-0.019356831208310003,2.183,64.7756,2018-02-23,64.7951,"Feb 23, 18",63.5477,63.8595,1246884,1246884,64.4441
33,0.350823,-0.014046040978469001,0.542,65.1264,2018-02-26,65.2141,"Feb 26, 18",64.7171,64.8243,1711580,1711580,65.0215
34,-0.8868039999999999,-0.027471379564054002,-1.362,64.2396,2018-02-27,66.1399,"Feb 27, 18",64.2396,65.3213,2121677,2121677,64.731
35,-0.769861,-0.039126959375785,-1.198,63.4697,2018-02-28,65.0143,"Feb 28, 18",63.4502,64.7074,2474509,2474509,63.8204
36,-1.5397,-0.06243660509097,-2.426,61.93,2018-03-01,64.0544,"Mar 1, 18",61.481700000000004,62.0275,2769953,2769953,62.3192
37,0.23388299999999998,-0.058895573634984,0.378,62.1639,2018-03-02,62.3198,"Mar 2, 18",61.394,61.6279,1549669,1549669,61.9662
38,1.2181,-0.040454656933245,1.96,63.382,2018-03-05,63.5672,"Mar 5, 18",61.7156,61.7156,1772977,1772977,63.1659
39,0.048725,-0.039715869694886004,0.077,63.4308,2018-03-06,63.5769,"Mar 6, 18",62.7194,63.5769,1630996,1630996,63.2645
40,-0.263117,-0.043700476275543,-0.41500000000000004,63.1676,2018-03-07,63.4298,"Mar 7, 18",62.6999,63.0312,1602956,1602956,63.1385
41,0.55547,-0.035290715806110005,0.879,63.7231,2018-03-08,64.1422,"Mar 8, 18",63.3138,63.4015,2175121,2175121,63.7877
42,1.1012,-0.018619557878227,1.728,64.8243,2018-03-09,64.9997,"Mar 9, 18",63.8011,63.8303,1452131,1452131,64.5231
43,-0.01949,-0.018914769991915003,-0.03,64.8048,2018-03-12,65.2239,"Mar 12, 18",64.6197,64.9705,1261430,1261430,64.8923
44,0.214391,-0.015668950649617,0.331,65.0192,2018-03-13,65.7403,"Mar 13, 18",64.6489,65.2531,1639057,1639057,65.0927
45,-0.8088409999999999,-0.027913440780449,-1.244,64.2104,2018-03-14,65.2823,"Mar 14, 18",63.8985,65.2823,1504405,1504405,64.2267
46,0.49699899999999997,-0.020389316652082,0.774,64.7074,2018-03-15,65.0387,"Mar 15, 18",64.035,64.2883,1408737,1408737,64.6819
47,-0.24362799999999998,-0.02407871111905,-0.377,64.4637,2018-03-16,64.9705,"Mar 16, 18",64.2591,64.8048,3152803,3152803,64.5748
48,-0.799097,-0.036176352147176,-1.24,63.6646,2018-03-19,64.5709,"Mar 19, 18",63.0799,64.0934,1814232,1814232,63.6764
49,0.17541199999999998,-0.033519443123979004,0.276,63.8401,2018-03-20,64.2688,"Mar 20, 18",63.6841,64.0155,1547412,1547412,63.9073
50,0.03898,-0.032930532804878,0.061,63.879,2018-03-21,64.6002,"Mar 21, 18",63.5964,63.8401,2717933,2717933,64.0103
51,-2.0075,-0.063322241432036,-3.143,61.8715,2018-03-22,63.5867,"Mar 22, 18",61.8326,63.4502,2420093,2420093,62.5137
52,-1.7151,-0.08928728226214201,-2.7720000000000002,60.1564,2018-03-23,62.2419,"Mar 23, 18",60.0015,61.891,4116309,4116309,60.8042
53,-0.497,-0.096811406390509,-0.8260000000000001,59.6594,2018-03-26,62.9338,"Mar 26, 18",58.4218,61.7838,7059125,7059125,59.8768
54,-1.3448,-0.11717044487708501,-2.254,58.3146,2018-03-27,59.9713,"Mar 27, 18",57.8468,59.6497,4353555,4353555,58.9964
55,0.7406269999999999,-0.10595844019002501,1.27,59.0552,2018-03-28,59.3573,"Mar 28, 18",57.8858,58.3926,3365255,3365255,58.8842
56,0.964764,-0.09135225314968601,1.634,60.02,2018-03-29,60.5657,"Mar 29, 18",59.026,59.3281,3104892,3104892,59.9986
57,-1.2376,-0.110088381965113,-2.062,58.7824,2018-04-02,60.1174,"Apr 2, 18",58.1294,59.9323,3210570,3210570,58.8481
58,0.682156,-0.099762013619118,1.16,59.4645,2018-04-03,59.5815,"Apr 3, 18",58.5387,59.1916,1967664,1967664,59.137
59,0.7698619999999999,-0.088106433807388,1.295,60.2344,2018-04-04,60.439,"Apr 4, 18",58.5387,58.8993,2206045,2206045,59.892
60,0.321587,-0.083237704793941,0.534,60.556,2018-04-05,60.8581,"Apr 5, 18",60.1954,60.6632,1231950,1231950,60.5549
61,-1.3838,-0.10418716750789501,-2.285,59.1722,2018-04-06,60.4,"Apr 6, 18",58.7336,60.1467,1778810,1778810,59.3108
62,0.214392,-0.10094286207387201,0.362,59.3865,2018-04-09,60.4434,"Apr 9, 18",59.2014,59.4937,1483151,1483151,59.8441
63,1.0037,-0.08574625080615601,1.69,60.3903,2018-04-10,60.8961,"Apr 10, 18",60.0005,60.2441,1554577,1554577,60.4183
64,-0.292352,-0.090172918603207,-0.484,60.0979,2018-04-11,60.3903,"Apr 11, 18",59.5522,59.7958,1414404,1414404,60.0614
65,-0.019490999999999998,-0.09046661680862,-0.032,60.0785,2018-04-12,60.4,"Apr 12, 18",59.8348,60.3513,1920047,1920047,60.1057
66,-0.155921,-0.09282831371812801,-0.26,59.9225,2018-04-13,60.5949,"Apr 13, 18",59.6984,60.4195,1126534,1126534,60.0517
67,0.730881,-0.08176315813377401,1.22,60.6534,2018-04-16,60.8873,"Apr 16, 18",60.1077,60.3513,1039883,1039883,60.5908
68,-1.0817,-0.09813910394796901,-1.783,59.5717,2018-04-17,60.1272,"Apr 17, 18",58.7891,58.7891,5171290,5171290,59.5646
69,-0.097451,-0.09961365060813601,-0.164,59.4743,2018-04-18,59.8446,"Apr 18, 18",59.3719,59.7276,3609772,3609772,59.6107
70,-0.097449,-0.10108971117657901,-0.164,59.3768,2018-04-19,59.6984,"Apr 19, 18",59.11,59.4548,2841268,2841268,59.3987
