,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.9400000000000001,0.0,2.122,45.23,2018-01-08,45.29,"Jan 8, 18",44.13,44.29,6556534,6556534,44.9942
1,-0.39,-0.008622595622374,-0.862,44.84,2018-01-09,45.21,"Jan 9, 18",44.71,45.21,6127602,6127602,44.9045
2,-0.29,-0.015034269290294002,-0.647,44.55,2018-01-10,44.8,"Jan 10, 18",43.9357,44.49,6916527,6916527,44.405
3,-0.67,-0.029847446385142,-1.504,43.88,2018-01-11,44.67,"Jan 11, 18",43.68,44.55,5697728,5697728,43.9656
4,-0.06,-0.031173999557815003,-0.137,43.82,2018-01-12,44.06,"Jan 12, 18",43.6,43.85,6279188,6279188,43.8522
5,0.2,-0.026752155648905002,0.456,44.02,2018-01-16,44.26,"Jan 16, 18",43.77,43.99,4542961,4542961,44.0067
6,0.18,-0.022772496130886003,0.40900000000000003,44.2,2018-01-17,44.32,"Jan 17, 18",43.935,44.12,4322146,4322146,44.1878
7,0.30000000000000004,-0.016139730267521,0.679,44.5,2018-01-18,44.61,"Jan 18, 18",43.95,44.02,7085652,7085652,44.4388
8,-0.11,-0.018571744417421,-0.247,44.39,2018-01-19,44.775,"Jan 19, 18",44.31,44.59,4337721,4337721,44.4726
9,-0.45,-0.028520893212469003,-1.014,43.94,2018-01-22,44.7,"Jan 22, 18",43.81,44.5,4921199,4921199,44.0903
10,-0.1,-0.030731815166924,-0.228,43.84,2018-01-23,44.17,"Jan 23, 18",43.75,43.85,4493233,4493233,43.9632
11,-0.16,-0.034269290294052006,-0.365,43.68,2018-01-24,44.38,"Jan 24, 18",43.52,43.82,6067075,6067075,43.7562
12,-0.19,-0.038470042007517004,-0.435,43.49,2018-01-25,43.91,"Jan 25, 18",43.22,43.69,5662312,5662312,43.4488
13,0.05,-0.037364581030289,0.115,43.54,2018-01-26,43.9,"Jan 26, 18",43.32,43.77,4230333,4230333,43.5215
14,-0.56,-0.049745743975237004,-1.286,42.98,2018-01-29,43.4727,"Jan 29, 18",42.95,43.27,2737650,2737650,43.1531
15,-1.0,-0.071854963519787,-2.327,41.98,2018-01-30,43.02,"Jan 30, 18",41.81,42.93,7566515,7566515,42.0966
16,0.45,-0.06190581472474001,1.072,42.43,2018-01-31,42.55,"Jan 31, 18",41.67,42.09,7153113,7153113,42.2151
17,0.14,-0.058810523988503005,0.33,42.57,2018-02-01,47.0,"Feb 1, 18",41.86,42.45,15252772,15252772,43.5697
18,-1.13,-0.08379394207384401,-2.654,41.44,2018-02-02,42.29,"Feb 2, 18",41.18,42.1,5668493,5668493,41.5826
19,-1.1400000000000001,-0.10899845235463101,-2.751,40.3,2018-02-05,41.695,"Feb 5, 18",40.3,41.55,5042424,5042424,41.0619
20,-0.44,-0.118726508954233,-1.092,39.86,2018-02-06,40.09,"Feb 6, 18",38.45,40.0,7861409,7861409,39.4615
21,-0.38,-0.127128012381162,-0.9530000000000001,39.48,2018-02-07,40.345,"Feb 7, 18",39.33,39.82,5693490,5693490,39.8022
22,-1.24,-0.154543444616404,-3.141,38.24,2018-02-08,39.5,"Feb 8, 18",38.23,39.36,6051683,6051683,38.8901
23,0.33,-0.147247402166703,0.863,38.57,2018-02-09,38.8526,"Feb 9, 18",37.3,38.45,7358020,7358020,38.1145
24,0.77,-0.13022330311739902,1.996,39.34,2018-02-12,39.585,"Feb 12, 18",38.29,38.63,6050523,6050523,38.9799
25,0.49,-0.11938978554057,1.246,39.83,2018-02-13,40.08,"Feb 13, 18",38.99,39.22,8801037,8801037,39.5204
26,-0.75,-0.135971700198982,-1.883,39.08,2018-02-14,39.96,"Feb 14, 18",39.05,39.48,4741418,4741418,39.3779
27,0.88,-0.11651558699977801,2.252,39.96,2018-02-15,39.99,"Feb 15, 18",39.245,39.34,4891591,4891591,39.7355
28,0.44,-0.10678753040017601,1.101,40.4,2018-02-16,40.56,"Feb 16, 18",39.875,40.07,4106901,4106901,40.3412
29,-0.39,-0.115410126022551,-0.965,40.01,2018-02-20,40.51,"Feb 20, 18",39.74,40.3,4057167,4057167,39.9815
30,-0.22,-0.12027415432235201,-0.55,39.79,2018-02-21,40.6254,"Feb 21, 18",39.77,39.98,6735011,6735011,40.1607
31,0.30000000000000004,-0.11364138845898701,0.754,40.09,2018-02-22,40.35,"Feb 22, 18",39.79,39.93,4619372,4619372,40.0959
32,1.05,-0.09042670793720901,2.6189999999999998,41.14,2018-02-23,41.19,"Feb 23, 18",40.24,40.25,3304563,3304563,40.9463
33,-0.08,-0.09219544550077301,-0.194,41.06,2018-02-26,41.78,"Feb 26, 18",40.94,41.19,8214973,8214973,41.3054
34,-0.8300000000000001,-0.11054609772275001,-2.021,40.23,2018-02-27,41.66,"Feb 27, 18",40.23,41.13,5602706,5602706,40.7755
35,0.86,-0.09153216891443701,2.138,41.09,2018-02-28,41.45,"Feb 28, 18",40.06,40.45,7790981,7790981,41.0263
36,0.17,-0.08777360159186301,0.41400000000000003,41.26,2018-03-01,42.52,"Mar 1, 18",41.09,41.09,7259548,7259548,41.699
37,-0.54,-0.09971258014592001,-1.309,40.72,2018-03-02,41.58,"Mar 2, 18",40.6,41.0,4818286,4818286,40.8928
38,1.23,-0.07251824010612401,3.021,41.95,2018-03-05,42.15,"Mar 5, 18",40.22,40.72,5381636,5381636,41.4312
39,0.47000000000000003,-0.06212690692018501,1.12,42.42,2018-03-06,42.67,"Mar 6, 18",41.5363,41.93,6426815,6426815,42.2223
40,-1.3,-0.09086889232810001,-3.065,41.12,2018-03-07,42.6099,"Mar 7, 18",41.1,42.36,6288074,6288074,41.582300000000004
41,0.61,-0.077382268405925,1.483,41.73,2018-03-08,41.81,"Mar 8, 18",41.1,41.14,2675601,2675601,41.6409
42,0.30000000000000004,-0.07074950254256,0.719,42.03,2018-03-09,42.04,"Mar 9, 18",41.56,41.66,3644104,3644104,41.8697
