,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.658156,0.0,-0.5730000000000001,114.1998,2018-01-08,114.9257,"Jan 8, 18",113.89,114.4127,5730359,5730359,114.3013
1,0.08710799999999999,0.000762698358491,0.076,114.2869,2018-01-09,115.158,"Jan 9, 18",114.161,114.4611,4573557,4573557,114.5848
2,-0.5807249999999999,-0.00432312490915,-0.508,113.7061,2018-01-10,114.5579,"Jan 10, 18",112.9512,114.3353,3363949,3363949,113.6281
3,-0.580727,-0.009408072518515,-0.511,113.1254,2018-01-11,114.0643,"Jan 11, 18",112.6415,113.861,3685198,3685198,113.0924
4,0.48393899999999995,-0.005170762120423,0.428,113.6093,2018-01-12,114.2191,"Jan 12, 18",113.0964,113.1932,4335547,4335547,113.7407
5,0.46458099999999997,-0.0011024537696210002,0.40900000000000003,114.0739,2018-01-16,114.5482,"Jan 16, 18",113.2706,113.4351,4936457,4936457,114.0997
6,1.2776,0.010084956365948,1.12,115.3515,2018-01-17,116.3097,"Jan 17, 18",114.4127,114.4901,4554561,4554561,115.5971
7,-0.125825,0.008983378254602001,-0.109,115.2257,2018-01-18,115.7774,"Jan 18, 18",114.8386,115.2644,6221784,6221784,115.2731
8,1.084,0.018475513967625,0.9410000000000001,116.3097,2018-01-19,116.8033,"Jan 19, 18",114.8289,115.6419,6002630,6002630,116.2551
9,1.297,0.029832801808759003,1.115,117.6067,2018-01-22,117.9358,"Jan 22, 18",116.1452,116.242,4308565,4308565,117.4752
10,-0.203255,0.02805258853343,-0.17300000000000001,117.4034,2018-01-23,118.5746,"Jan 23, 18",116.9679,117.1808,3536885,3536885,117.6254
11,-0.15486000000000003,0.026697069522013003,-0.132,117.2486,2018-01-24,117.5776,"Jan 24, 18",116.9388,117.3454,3445192,3445192,117.286
12,-0.23229000000000002,0.024662915346611,-0.198,117.0163,2018-01-25,117.5517,"Jan 25, 18",116.4936,116.7356,2713029,2713029,117.0945
13,0.8323729999999999,0.031951019178667,0.711,117.8486,2018-01-26,117.9261,"Jan 26, 18",116.7356,116.7356,3993852,3993852,117.4965
14,-2.0229,0.014238203569533,-1.716,115.8258,2018-01-29,118.2358,"Jan 29, 18",115.8064,117.4809,3854724,3854724,116.5312
15,0.21293099999999998,0.016102480039369,0.184,116.0387,2018-01-30,117.3066,"Jan 30, 18",115.6612,115.8355,4945184,4945184,116.3009
16,0.39683,0.01957709207897,0.342,116.4355,2018-01-31,116.8711,"Jan 31, 18",115.6709,115.9903,4018071,4018071,116.3332
17,0.0,0.01957709207897,0.0,116.4355,2018-02-01,117.1227,"Feb 1, 18",115.4483,116.0678,3485603,3485603,116.4464
18,-1.5776,0.005762707115073,-1.355,114.8579,2018-02-02,116.4162,"Feb 2, 18",114.5966,116.0581,3348919,3348919,115.2616
19,-4.0748,-0.029918616319818004,-3.548,110.7831,2018-02-05,115.8161,"Feb 5, 18",110.7349,114.7611,5347638,5347638,112.7157
20,-0.871088,-0.037545599904728,-0.786,109.9121,2018-02-06,110.2895,"Feb 6, 18",106.6116,108.828,6643066,6643066,109.0375
