,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.202125,0.0,0.292,69.5021,2018-01-08,69.5406,"Jan 8, 18",68.684,69.223,961988,961988,69.2654
1,0.731499,0.010524861838706,1.052,70.2336,2018-01-09,70.7774,"Jan 9, 18",69.4155,69.5021,1477465,1477465,70.3628
2,0.394624,0.016202388129279002,0.562,70.6282,2018-01-10,71.2731,"Jan 10, 18",70.0603,70.2817,1329641,1329641,70.6976
3,0.481251,0.023127358741678,0.681,71.1095,2018-01-11,71.2346,"Jan 11, 18",70.5127,70.9555,1147602,1147602,71.0151
4,0.317625,0.027697004838702,0.447,71.4271,2018-01-12,71.61,"Jan 12, 18",70.8496,71.3116,1043177,1043177,71.2259
5,-1.2609,0.009555106967990001,-1.7650000000000001,70.1662,2018-01-16,71.995,"Jan 16, 18",69.5598,71.6388,1440048,1440048,70.5117
6,0.5293749999999999,0.017172142999995,0.754,70.6956,2018-01-17,71.0325,"Jan 17, 18",70.07,70.5705,1015760,1015760,70.7372
7,0.028874999999999998,0.017587957773937003,0.041,70.7245,2018-01-18,71.1768,"Jan 18, 18",70.5993,70.8207,923972,923972,70.8354
8,0.548625,0.025481244451606003,0.776,71.2731,2018-01-19,71.5041,"Jan 19, 18",70.6475,71.0132,1364721,1364721,71.1679
9,-0.077,0.024373364258058004,-0.108,71.1961,2018-01-22,71.5041,"Jan 22, 18",70.7341,71.3212,1008812,1008812,71.0875
10,-0.394626,0.018695837967485,-0.554,70.8015,2018-01-23,71.1672,"Jan 23, 18",70.3443,70.8496,1119441,1119441,70.7802
11,0.42350000000000004,0.024789179032,0.598,71.225,2018-01-24,71.4175,"Jan 24, 18",70.7533,71.1672,1000293,1000293,71.1663
12,0.25025000000000003,0.028389070258308002,0.35100000000000003,71.4752,2018-01-25,71.6292,"Jan 25, 18",71.071,71.4752,1508661,1508661,71.4064
13,0.750751,0.039191621548125,1.05,72.226,2018-01-26,72.2452,"Jan 26, 18",71.0228,71.5618,1203924,1203924,71.8518
14,-0.51975,0.031712710838953,-0.72,71.7062,2018-01-29,72.7505,"Jan 29, 18",71.5378,72.1105,1726705,1726705,71.8026
15,-5.775,-0.051378303677155006,-8.054,65.9312,2018-01-30,69.3722,"Jan 30, 18",65.4596,67.375,3470267,3470267,66.4699
16,-0.866251,-0.063841236451848,-1.314,65.065,2018-01-31,66.4606,"Jan 31, 18",64.8147,66.0275,2510879,2510879,65.3762
17,0.827751,-0.05193224377392901,1.272,65.8927,2018-02-01,66.0275,"Feb 1, 18",64.8147,64.8147,1866271,1866271,65.691
18,-2.0309,-0.08115294358012101,-3.082,63.8618,2018-02-02,66.3018,"Feb 2, 18",63.8041,65.5366,1352538,1352538,64.6391
19,-2.6950000000000003,-0.119928750354305,-4.22,61.1668,2018-02-05,64.0062,"Feb 5, 18",60.8781,62.8031,2105526,2105526,62.4332
20,0.952874,-0.106218373257786,1.558,62.1197,2018-02-06,62.4758,"Feb 6, 18",59.0684,60.06,2585154,2585154,61.4069
21,-0.59675,-0.114803725355061,-0.961,61.523,2018-02-07,63.0341,"Feb 7, 18",61.4556,61.6962,1630386,1630386,62.0373
22,-3.4072,-0.163828143322288,-5.538,58.1157,2018-02-08,61.4075,"Feb 8, 18",58.1061,61.0417,2232791,2232791,59.245
23,0.972124,-0.149841515580104,1.673,59.0878,2018-02-09,59.6028,"Feb 9, 18",57.0281,59.0108,2062647,2062647,58.3246
