,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.7107,0.0,0.854,202.0947,2018-01-08,202.9402,"Jan 8, 18",200.2463,200.3839,974719,974719,201.5194
1,1.7402000000000002,0.008610814632941001,0.861,203.8349,2018-01-09,204.4445,"Jan 9, 18",202.1438,202.4978,728523,728523,203.6553
2,-0.6980649999999999,0.005156493465687,-0.342,203.1368,2018-01-10,203.8644,"Jan 10, 18",202.3011,203.5596,993696,993696,203.1657
3,1.7107999999999999,0.013621831745216001,0.842,204.8476,2018-01-11,204.8967,"Jan 11, 18",203.2696,203.4023,1043106,1043106,204.5928
4,1.6616,0.021843719800667002,0.811,206.5092,2018-01-12,206.814,"Jan 12, 18",204.8574,205.4473,862630,862630,206.0704
5,-0.12781499999999998,0.021211342999099003,-0.062,206.3814,2018-01-16,209.2228,"Jan 16, 18",205.0246,207.6005,1237797,1237797,207.7291
6,0.875039,0.025540996374472002,0.424,207.2564,2018-01-17,208.3182,"Jan 17, 18",206.3814,207.7972,821238,821238,207.2538
7,-0.255629,0.024276242771334004,-0.123,207.0008,2018-01-18,208.6525,"Jan 18, 18",206.578,207.9545,859660,859660,207.2133
8,0.393277,0.026221865293844,0.19,207.394,2018-01-19,208.4165,"Jan 19, 18",206.4698,207.2564,902469,902469,207.3525
9,-0.698066,0.022768038944118003,-0.337,206.696,2018-01-22,207.0155,"Jan 22, 18",203.948,206.4404,836117,836117,205.6568
10,-0.88487,0.018389398633413,-0.428,205.8111,2018-01-23,207.1237,"Jan 23, 18",205.0246,206.9025,940462,940462,205.8332
11,-0.491595,0.015956875662746003,-0.23900000000000002,205.3195,2018-01-24,207.8955,"Jan 24, 18",204.179,206.6861,842417,842417,205.738
12,-1.2978,0.009535133776393001,-0.632,204.0217,2018-01-25,206.6272,"Jan 25, 18",202.3513,206.6272,960631,960631,204.069
13,2.1139,0.019995081513765,1.036,206.1356,2018-01-26,206.1798,"Jan 26, 18",203.2745,204.297,1162742,1162742,205.3363
14,-3.1364,0.004475624546314,-1.522,202.9992,2018-01-29,206.7451,"Jan 29, 18",202.7731,205.585,578548,578548,204.1265
15,-1.7894,-0.004378640310705,-0.881,201.2098,2018-01-30,202.075,"Jan 30, 18",199.2926,201.5834,992557,992557,201.0713
16,-3.1757,-0.020092560566902,-1.5779999999999998,198.0341,2018-01-31,203.7366,"Jan 31, 18",197.2672,202.075,1544665,1544665,199.8781
17,-7.8164,-0.058769477873491,-3.947,190.2177,2018-02-01,194.8682,"Feb 1, 18",189.264,192.4987,3058470,3058470,191.0779
18,-2.7824,-0.07253728078964901,-1.463,187.4353,2018-02-02,190.1882,"Feb 2, 18",183.9941,189.8736,2002521,2002521,186.6282
19,-8.4948,-0.11457104021035601,-4.532,178.9405,2018-02-05,187.6614,"Feb 5, 18",177.7017,184.997,1771621,1771621,182.5016
20,4.8373,-0.09063523189870801,2.7030000000000003,183.7778,2018-02-06,184.8987,"Feb 6, 18",174.7826,177.2789,2991506,2991506,181.5677
21,-3.5493,-0.10819779044180701,-1.931,180.2285,2018-02-07,185.1641,"Feb 7, 18",180.0909,183.1289,1506599,1506599,182.9918
22,-8.0322,-0.147942029157617,-4.457,172.1964,2018-02-08,180.0903,"Feb 8, 18",172.1865,180.0903,1520809,1520809,175.5166
23,2.3484,-0.136321734315645,1.3639999999999999,174.5448,2018-02-09,176.2124,"Feb 9, 18",166.2068,174.7125,2086443,2086443,171.1625
24,4.0358,-0.11635188849583801,2.312,178.5806,2018-02-12,180.3271,"Feb 12, 18",175.4822,176.3012,1529064,1529064,178.3989
25,-1.1348,-0.12196707781055101,-0.635,177.4458,2018-02-13,178.4326,"Feb 13, 18",176.39,177.4458,1077331,1077331,177.2078
26,4.0062,-0.10214369797921401,2.258,181.452,2018-02-14,181.748,"Feb 14, 18",176.242,176.7354,1152342,1152342,179.9621
27,0.730188,-0.098530540385274,0.402,182.1822,2018-02-15,184.3431,"Feb 15, 18",180.6527,182.8038,920087,920087,182.2041
28,-1.3913,-0.105414936660882,-0.764,180.7909,2018-02-16,183.83,"Feb 16, 18",180.7218,181.9059,869213,869213,181.832
29,-1.5887,-0.113276102737973,-0.879,179.2022,2018-02-20,181.2744,"Feb 20, 18",178.0329,179.587,893113,893113,179.5229
30,-0.30589000000000005,-0.11478974955800401,-0.171,178.8963,2018-02-21,182.271,"Feb 21, 18",178.8569,179.3108,687956,687956,180.4206
31,2.5853,-0.10199723199074401,1.445,181.4816,2018-02-22,182.7594,"Feb 22, 18",179.4637,180.0508,848644,848644,181.7171
32,-0.34536000000000006,-0.10370633173457701,-0.19,181.1362,2018-02-23,182.9321,"Feb 23, 18",178.8174,182.3993,722716,722716,180.4225
33,1.9537,-0.09403858686051601,1.079,183.09,2018-02-26,183.7314,"Feb 26, 18",180.9981,182.1723,860374,860374,182.4665
34,-3.6115,-0.11190892190641301,-1.9729999999999999,179.4785,2018-02-27,183.6426,"Feb 27, 18",179.4489,182.9814,721100,721100,181.1572
35,-3.3747,-0.128607529044551,-1.88,176.1038,2018-02-28,181.6395,"Feb 28, 18",176.0644,180.3666,983402,983402,178.3152
36,-1.1545,-0.134319702594872,-0.656,174.9494,2018-03-01,178.9161,"Mar 1, 18",173.3212,176.1335,1830534,1830534,175.6676
37,-1.7268,-0.14286421167898,-0.987,173.2226,2018-03-02,174.4856,"Mar 2, 18",170.884,173.9725,1354099,1354099,172.9262
38,1.5492,-0.135198993343219,0.894,174.7717,2018-03-05,175.719,"Mar 5, 18",170.509,172.1766,1026494,1026494,173.6515
39,0.710455,-0.13168331480241602,0.40700000000000003,175.4822,2018-03-06,178.2105,"Mar 6, 18",175.1467,175.6401,1173971,1173971,176.1211
40,-1.4308,-0.138763164001826,-0.8150000000000001,174.0514,2018-03-07,175.1467,"Mar 7, 18",172.7095,173.5285,1223039,1223039,174.0734
41,4.7068,-0.11547309256502,2.7039999999999997,178.7582,2018-03-08,178.8667,"Mar 8, 18",175.3145,176.4788,1417885,1417885,177.7968
42,5.3481,-0.089009756317211,2.992,184.1063,2018-03-09,185.3694,"Mar 9, 18",179.666,180.3666,1315806,1315806,183.4895
43,-4.1641,-0.10961395820870101,-2.262,179.9423,2018-03-12,184.7576,"Mar 12, 18",179.0147,184.7576,1039661,1039661,180.7056
44,-0.493371,-0.11205538789488201,-0.274,179.4489,2018-03-13,182.0292,"Mar 13, 18",178.9062,180.3764,823321,823321,180.0611
45,-2.3682,-0.12377365660752102,-1.32,177.0807,2018-03-14,180.8797,"Mar 14, 18",176.6663,180.5837,861649,861649,177.6057
46,0.611781,-0.12074636296746001,0.34500000000000003,177.6925,2018-03-15,179.1627,"Mar 15, 18",176.5422,177.4557,677555,677555,177.8443
47,2.5951,-0.107905353282396,1.46,180.2876,2018-03-16,181.373,"Mar 16, 18",177.4754,177.7418,1181320,1181320,180.069
48,-0.799261,-0.11185993497108,-0.443,179.4884,2018-03-19,180.3962,"Mar 19, 18",177.4458,180.1002,780952,780952,179.1267
49,-1.49,-0.11923271614742902,-0.8300000000000001,177.9984,2018-03-20,182.3203,"Mar 20, 18",177.8603,180.2482,1312742,1312742,179.3132
50,1.342,-0.11259226491342901,0.754,179.3404,2018-03-21,181.3829,"Mar 21, 18",177.7221,178.1069,972927,972927,179.7942
51,-5.802,-0.141302072741145,-3.235,173.5383,2018-03-22,178.2155,"Mar 22, 18",173.4396,177.7517,1144632,1144632,175.6946
52,-6.5421,-0.173673530280606,-3.77,166.9962,2018-03-23,174.604,"Mar 23, 18",166.7594,173.9725,1433365,1433365,169.5507
53,5.3087,-0.14740515213907102,3.179,172.3049,2018-03-26,172.3148,"Mar 26, 18",167.6968,170.6669,1071535,1071535,170.5218
54,-4.2035,-0.16820480695436302,-2.44,168.1014,2018-03-27,173.3089,"Mar 27, 18",167.5291,172.3444,1430836,1430836,170.0726
55,-2.1807,-0.17899529280085003,-1.297,165.9207,2018-03-28,168.8316,"Mar 28, 18",165.2794,168.2987,1083884,1083884,166.6687
56,2.8418,-0.164933568272695,1.713,168.7625,2018-03-29,171.1011,"Mar 29, 18",166.3647,166.4535,1291008,1291008,168.9534
57,-4.391,-0.186661005954139,-2.602,164.3715,2018-04-02,168.6408,"Apr 2, 18",161.6382,167.7659,1162106,1162106,164.0343
58,2.1511,-0.176016986096122,1.309,166.5226,2018-04-03,166.6104,"Apr 3, 18",163.8781,164.559,955867,955867,165.6057
59,2.161,-0.16532447412030002,1.298,168.6835,2018-04-04,168.9796,"Apr 4, 18",162.4967,163.1775,1433475,1433475,166.2574
60,1.2137,-0.15931887377551202,0.72,169.8972,2018-04-05,171.6635,"Apr 5, 18",168.6046,169.6407,810879,810879,170.0154
61,-4.6772,-0.18246198440632003,-2.753,165.2201,2018-04-06,169.1276,"Apr 6, 18",163.1973,168.0224,1392085,1392085,165.3598
62,-0.20721699999999998,-0.183487246325608,-0.125,165.0129,2018-04-09,168.2879,"Apr 9, 18",164.7857,166.0391,960926,960926,166.4028
63,5.1113,-0.15819563798555802,3.098,170.1242,2018-04-10,170.805,"Apr 10, 18",167.7461,167.9238,1550973,1550973,169.6912
64,-2.0228,-0.16820480695436302,-1.189,168.1014,2018-04-11,169.4927,"Apr 11, 18",167.5488,168.2494,759124,759124,168.4685
65,2.1708,-0.15746330804320902,1.291,170.2722,2018-04-12,171.1011,"Apr 12, 18",169.0289,169.4137,731712,731712,170.2065
66,-0.078939,-0.15785371907328502,-0.046,170.1933,2018-04-13,171.5747,"Apr 13, 18",169.0486,171.5056,886663,886663,170.2488
67,2.013,-0.147893537039813,1.183,172.2062,2018-04-16,172.3641,"Apr 16, 18",170.3018,171.5747,961837,961837,171.6778
68,1.3124,-0.141399551794282,0.762,173.5186,2018-04-17,174.6435,"Apr 17, 18",172.7391,173.489,879770,879770,173.8773
69,2.5754,-0.128656021162356,1.484,176.094,2018-04-18,176.982,"Apr 18, 18",174.3376,174.6435,1156747,1156747,176.1225
70,-2.2498,-0.139788425921115,-1.278,173.8442,2018-04-19,176.2272,"Apr 19, 18",172.4726,175.9657,928210,928210,173.813
71,0.20721699999999998,-0.138763164001826,0.11900000000000001,174.0514,2018-04-20,177.1005,"Apr 20, 18",173.2719,174.5448,1575238,1575238,174.6195
72,-4.3713,-0.16039262781260402,-2.511,169.6802,2018-04-23,175.1036,"Apr 23, 18",169.4433,174.0416,1138245,1138245,170.7029
73,-8.4958,-0.202431830226126,-5.007,161.1843,2018-04-24,172.6256,"Apr 24, 18",158.7372,170.6373,2574087,2574087,163.5428
74,4.8548,-0.178409428846971,3.012,166.0391,2018-04-25,166.6509,"Apr 25, 18",159.8818,161.1547,1823222,1823222,165.0435
75,-5.6442,-0.20633791979700503,-3.399,160.3949,2018-04-26,164.2925,"Apr 26, 18",152.1556,163.1282,4111837,4111837,158.569
76,1.8057,-0.197402504865293,1.126,162.2007,2018-04-27,163.8979,"Apr 27, 18",159.3095,159.3391,2795986,2795986,162.1744
77,0.236818,-0.19623077695753502,0.146,162.4375,2018-04-30,163.7104,"Apr 30, 18",161.3521,162.7434,2173719,2173719,162.7154
78,3.3056,-0.17987408873166802,2.035,165.7431,2018-05-01,166.2167,"May 1, 18",160.908,161.7172,1663494,1663494,163.9092
79,-0.14801,-0.180606913491546,-0.089,165.595,2018-05-02,167.4403,"May 2, 18",165.304,165.5457,1682935,1682935,165.9869
80,0.542706,-0.177921043946229,0.328,166.1378,2018-05-03,166.6607,"May 3, 18",162.3092,164.9734,1294509,1294509,164.9111
81,2.5458,-0.16532447412030002,1.532,168.6835,2018-05-04,169.3792,"May 4, 18",164.3123,165.0129,1113327,1113327,167.8569
82,-0.434166,-0.167472477012014,-0.257,168.2494,2018-05-07,168.5355,"May 7, 18",165.1806,167.7461,910214,910214,167.7846
83,0.592044,-0.164543157242619,0.352,168.8414,2018-05-08,169.2657,"May 8, 18",167.9139,168.0323,749552,749552,168.6289
84,4.153,-0.14399338527927702,2.46,172.9944,2018-05-09,173.1827,"May 9, 18",169.2677,169.8624,1150463,1150463,172.1298
85,-0.28743199999999997,-0.145415490856514,-0.166,172.707,2018-05-10,173.5296,"May 10, 18",172.0604,173.2124,1354635,1354635,172.6658
86,0.862296,-0.141148679307275,0.499,173.5693,2018-05-11,175.5416,"May 11, 18",172.4096,172.8061,734682,734682,173.6974
87,1.2984,-0.13472396851575,0.748,174.8677,2018-05-14,175.0362,"May 14, 18",172.9349,174.2135,939125,939125,174.5598
88,0.227964,-0.133596279368038,0.13,175.0956,2018-05-15,175.4524,"May 15, 18",173.3611,174.1243,834987,834987,174.8004
89,0.20814000000000002,-0.132566069273464,0.11900000000000001,175.3038,2018-05-16,176.4039,"May 16, 18",174.4613,174.8974,985644,985644,175.1929
90,1.4372,-0.125455046569751,0.8200000000000001,176.7409,2018-05-17,178.0492,"May 17, 18",175.4723,175.4723,889970,889970,176.84
91,0.7631819999999999,-0.12167859919136902,0.432,177.5041,2018-05-18,178.1483,"May 18, 18",176.1462,176.3544,906749,906749,177.0281
92,3.3104,-0.10529815972412901,1.865,180.8145,2018-05-21,182.2814,"May 21, 18",178.5186,178.5845,927035,927035,181.0163
93,-4.1727,-0.125945410740608,-2.308,176.6418,2018-05-22,181.6471,"May 22, 18",176.3246,180.5866,1003494,1003494,178.3278
94,-0.376635,-0.127808893553368,-0.213,176.2652,2018-05-23,176.3048,"May 23, 18",173.1431,175.9084,1178231,1178231,174.8772
95,-0.35681199999999996,-0.129574402495463,-0.202,175.9084,2018-05-24,177.2761,"May 24, 18",173.8369,175.5317,792830,792830,176.0035
96,-0.34690099999999996,-0.13129092450222501,-0.197,175.5615,2018-05-25,176.1661,"May 25, 18",174.2333,175.1254,645178,645178,175.3132
97,-4.361,-0.152870411742613,-2.484,171.2004,2018-05-29,173.9855,"May 29, 18",169.7781,173.5296,756545,756545,171.2854
98,2.4481,-0.140756289007084,1.43,173.6486,2018-05-30,174.5108,"May 30, 18",172.1916,172.1916,630712,630712,173.5412
99,-4.2619,-0.16184541207661501,-2.454,169.3866,2018-05-31,173.9261,"May 31, 18",168.5541,173.1332,1000253,1000253,170.0699
100,1.794,-0.15296838561327902,1.059,171.1806,2018-06-01,173.0935,"Jun 1, 18",170.6454,170.7544,893705,893705,171.6858
101,-0.47575000000000006,-0.15532272741442402,-0.278,170.7048,2018-06-04,172.9151,"Jun 4, 18",170.4868,172.1618,652779,652779,171.1862
102,0.8325619999999999,-0.151202876671184,0.488,171.5374,2018-06-05,172.1073,"Jun 5, 18",170.5264,170.6156,819328,819328,171.4927
103,1.1002,-0.145758894221372,0.641,172.6376,2018-06-06,172.6376,"Jun 6, 18",170.8446,172.2808,779438,779438,171.7359
104,1.2885,-0.13938317036518,0.746,173.9261,2018-06-07,174.1639,"Jun 7, 18",172.2609,173.0539,497991,497991,173.4878
105,-0.763181,-0.143159617743562,-0.439,173.1629,2018-06-08,174.4018,"Jun 8, 18",172.6078,173.9261,485796,485796,173.2175
106,-0.20814000000000002,-0.14418982783813702,-0.12,172.9547,2018-06-11,174.7685,"Jun 11, 18",172.816,173.2124,1321524,1321524,173.3281
107,-0.327078,-0.145807881156705,-0.189,172.6277,2018-06-12,173.9261,"Jun 12, 18",171.3392,173.4999,855113,855113,172.5837
108,-2.012,-0.155764104649948,-1.166,170.6156,2018-06-13,172.6754,"Jun 13, 18",170.4769,172.4195,1233513,1233513,171.0625
109,-0.227964,-0.15689179379766002,-0.134,170.3877,2018-06-14,172.8854,"Jun 14, 18",169.5155,171.5275,768166,768166,170.8808
110,-0.9812339999999999,-0.16174694338842102,-0.5760000000000001,169.4065,2018-06-15,169.8822,"Jun 15, 18",166.5916,169.7633,1171484,1171484,168.9461
111,-1.3578999999999999,-0.16846607060947102,-0.802,168.0486,2018-06-18,168.9307,"Jun 18, 18",166.5371,167.6224,1215179,1215179,167.9864
112,-5.8874,-0.197597957789095,-3.503,162.1612,2018-06-19,165.9969,"Jun 19, 18",161.6061,165.8681,1192884,1192884,162.548
113,0.8523839999999999,-0.193380133175189,0.526,163.0136,2018-06-20,163.5785,"Jun 20, 18",160.7042,162.6468,1020123,1020123,162.5101
114,-5.9171,-0.22265947597834002,-3.63,157.0964,2018-06-21,161.2196,"Jun 21, 18",156.0656,161.2196,1758792,1758792,157.6865
115,-1.1101,-0.22815195054595602,-0.707,155.9864,2018-06-22,159.0688,"Jun 22, 18",155.1241,158.603,3209080,3209080,157.0353
116,-1.6057000000000001,-0.23609723560291201,-1.029,154.3807,2018-06-25,155.6097,"Jun 25, 18",152.1407,155.4908,1607537,1607537,153.6693
117,0.06938000000000001,-0.23575383223805402,0.045,154.4501,2018-06-26,156.2341,"Jun 26, 18",154.3906,154.7375,1060781,1060781,155.1024
118,-1.8534000000000002,-0.24492527513091603,-1.2,152.5966,2018-06-27,156.6306,"Jun 27, 18",152.557,155.9864,1360734,1360734,154.2786
119,0.862296,-0.24065846358167703,0.5650000000000001,153.4589,2018-06-28,154.4203,"Jun 28, 18",151.1198,152.6462,1202976,1202976,152.9386
120,1.011,-0.23565585836738903,0.659,154.4699,2018-06-29,157.0766,"Jun 29, 18",154.3411,154.569,811161,811161,155.5905
121,0.237875,-0.23447868746681602,0.154,154.7078,2018-07-02,155.1141,"Jul 2, 18",152.4975,153.5085,778845,778845,154.4178
122,0.7136239999999999,-0.23094766958262603,0.461,155.4214,2018-07-03,157.3541,"Jul 3, 18",154.9556,155.1241,763397,763397,156.0546
123,0.26761,-0.22962353787605502,0.17200000000000001,155.689,2018-07-05,156.6504,"Jul 5, 18",154.7573,156.3432,852322,852322,155.7086
124,-0.257698,-0.23089868264729302,-0.166,155.4313,2018-07-06,156.3035,"Jul 6, 18",153.9942,155.471,757837,757837,155.4294
125,2.9437,-0.21633273905748102,1.8940000000000001,158.375,2018-07-09,158.8854,"Jul 9, 18",156.3035,156.3035,950901,950901,158.1242
126,0.237874,-0.215155568156908,0.15,158.6129,2018-07-10,159.3057,"Jul 10, 18",157.2352,158.6823,1053918,1053918,158.3622
127,-2.0517,-0.22530773939148302,-1.294,156.5612,2018-07-11,157.5821,"Jul 11, 18",155.7786,157.0469,986381,986381,156.7464
128,0.6343329999999999,-0.22216911180748403,0.405,157.1955,2018-07-12,157.7803,"Jul 12, 18",155.3421,156.8982,767755,767755,157.0111
129,2.8842,-0.207897089829668,1.835,160.0798,2018-07-13,160.8132,"Jul 13, 18",156.7793,156.7793,1495829,1495829,159.8928
130,-3.7763,-0.22658288416272102,-2.359,156.3035,2018-07-16,158.8994,"Jul 16, 18",155.6692,158.4741,1230202,1230202,156.5766
131,1.0407,-0.22143331814243503,0.666,157.3442,2018-07-17,157.6713,"Jul 17, 18",155.3718,155.5304,1453612,1453612,156.8368
132,3.3203,-0.20500339692233302,2.11,160.6646,2018-07-18,161.4575,"Jul 18, 18",156.8586,157.6713,1604760,1604760,160.0947
133,2.9536,-0.190388466397188,1.838,163.6182,2018-07-19,163.856,"Jul 19, 18",159.5446,159.6239,1297963,1297963,162.707
134,-1.5957,-0.19828476451881202,-0.975,162.0224,2018-07-20,163.3307,"Jul 20, 18",161.6061,162.4883,998725,998725,162.3827
135,-3.6672000000000002,-0.21643071292814703,-2.263,158.3552,2018-07-23,162.4684,"Jul 23, 18",157.4532,161.1106,1535396,1535396,158.3732
136,1.9426,-0.20681838761729002,1.227,160.2978,2018-07-24,162.0422,"Jul 24, 18",158.5732,159.9311,1283815,1283815,160.609
137,1.4074,-0.199853830902047,0.878,161.7053,2018-07-25,162.0422,"Jul 25, 18",158.6327,160.4564,1403591,1403591,160.3449
138,2.012,-0.18989810222633202,1.244,163.7173,2018-07-26,164.7927,"Jul 26, 18",161.6953,162.2504,948067,948067,163.9921
139,-0.7532700000000001,-0.19362556266938202,-0.46,162.964,2018-07-27,164.193,"Jul 27, 18",162.29,164.0543,1525036,1525036,163.0314
140,-0.9019419999999999,-0.19808832195995202,-0.553,162.0621,2018-07-30,164.9067,"Jul 30, 18",161.7945,162.8253,1050578,1050578,163.3308
141,5.4909,-0.170918386281282,3.388,167.553,2018-07-31,167.8107,"Jul 31, 18",162.1314,162.964,1189516,1189516,166.4492
142,-3.36,-0.187544255242715,-2.005,164.193,2018-08-01,166.5024,"Aug 1, 18",163.3605,166.2744,1453560,1453560,164.7279
143,5.8577,-0.15855932886908902,3.568,170.0507,2018-08-02,171.0716,"Aug 2, 18",155.9269,156.9973,2425507,2425507,167.9803
144,0.931677,-0.153949113954992,0.548,170.9824,2018-08-03,171.0518,"Aug 3, 18",169.119,170.5066,1308431,1308431,170.4594
145,1.7741,-0.14517055617985,1.038,172.7565,2018-08-06,174.2135,"Aug 6, 18",170.4769,172.9647,1509894,1509894,172.7782
146,-0.208141,-0.146200271456896,-0.12,172.5484,2018-08-07,174.1937,"Aug 7, 18",172.5286,173.4503,1164634,1164634,173.0234
147,-1.2984,-0.152624982248421,-0.752,171.25,2018-08-08,172.5632,"Aug 8, 18",170.2985,172.4096,727069,727069,171.3756
148,-1.7741,-0.161404034841091,-1.036,169.4758,2018-08-09,172.2015,"Aug 9, 18",169.3668,171.0319,1100165,1100165,170.0961
149,-2.9635,-0.17606795230156902,-1.749,166.5123,2018-08-10,168.5442,"Aug 10, 18",166.1258,168.5442,871738,871738,166.8134
150,-0.7136239999999999,-0.17959897018575902,-0.429,165.7987,2018-08-13,167.6719,"Aug 13, 18",164.7778,166.5321,1735002,1735002,165.7852
151,-1.0605,-0.18484651007671102,-0.64,164.7382,2018-08-14,166.3042,"Aug 14, 18",164.639,165.2932,901419,901419,165.2633
152,0.27752099999999996,-0.183473391434807,0.168,165.0157,2018-08-15,165.432,"Aug 15, 18",162.2504,163.5884,954972,954972,164.0965
153,1.7345000000000002,-0.174890781400996,1.051,166.7502,2018-08-16,167.4043,"Aug 16, 18",165.6203,165.8284,943183,943183,166.681
154,1.3182,-0.168368096738806,0.791,168.0684,2018-08-17,168.1675,"Aug 17, 18",166.3141,166.8691,791769,791769,167.4388
155,0.525307,-0.165768820260996,0.313,168.5937,2018-08-20,169.723,"Aug 20, 18",167.586,168.0387,920920,920920,168.7511
156,1.9526,-0.15610701319727802,1.158,170.5463,2018-08-21,171.0617,"Aug 21, 18",168.673,168.9406,1817144,1817144,170.4058
157,-1.3777,-0.162924114288994,-0.808,169.1686,2018-08-22,170.5066,"Aug 22, 18",168.7919,170.2192,632632,632632,169.5553
158,-1.5857999999999999,-0.170771425475284,-0.937,167.5827,2018-08-23,169.0397,"Aug 23, 18",167.1863,169.0397,602612,602612,167.6152
159,2.4283,-0.158755771427949,1.449,170.011,2018-08-24,170.1994,"Aug 24, 18",167.1566,168.227,1505837,1505837,169.7558
160,3.8728,-0.139592478179783,2.278,173.8838,2018-08-27,174.3119,"Aug 27, 18",170.9469,171.0763,1229723,1229723,173.6754
161,0.477867,-0.13722774521053702,0.275,174.3617,2018-08-28,175.1979,"Aug 28, 18",173.6947,174.74,754292,754292,174.4316
162,0.667022,-0.13392731229468102,0.383,175.0287,2018-08-29,175.1382,"Aug 29, 18",173.2168,174.6106,699578,699578,174.5814
163,-0.7168,-0.13747416433978701,-0.41000000000000003,174.3119,2018-08-30,175.3124,"Aug 30, 18",173.7544,175.1979,983236,983236,174.5158
164,0.507734,-0.13496197574701302,0.291,174.8196,2018-08-31,175.4568,"Aug 31, 18",172.9779,173.7146,841080,841080,174.7622
165,-0.8561789999999999,-0.139198108609478,-0.49,173.9635,2018-09-04,174.8893,"Sep 4, 18",173.1073,174.4314,660595,660595,173.9875
