,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.0801,0.0,0.864,126.0841,2018-01-08,126.6777,"Jan 8, 18",125.2376,125.6463,593244,593244,126.1458
1,-1.6347,-0.012964362675388,-1.296,124.4495,2018-01-09,126.415,"Jan 9, 18",124.177,126.269,990796,990796,125.0792
2,0.097304,-0.012192655537058,0.078,124.5468,2018-01-10,124.9457,"Jan 10, 18",123.8948,124.4884,484574,484574,124.4829
3,1.2065000000000001,-0.002623645646041,0.969,125.7533,2018-01-11,125.7922,"Jan 11, 18",123.924,124.9262,365290,365290,125.3782
4,-0.895179,-0.00972366856725,-0.712,124.8581,2018-01-12,125.8895,"Jan 12, 18",124.2646,125.8895,535861,535861,124.9666
5,-2.3742,-0.028553164118235,-1.901,122.484,2018-01-16,125.5587,"Jan 16, 18",121.9109,125.3155,708983,708983,123.4339
6,0.856259,-0.021762458549492002,0.6990000000000001,123.3402,2018-01-17,123.9338,"Jan 17, 18",122.2115,123.1943,565818,565818,123.1198
7,-0.632463,-0.026778158387933,-0.513,122.7078,2018-01-18,123.7975,"Jan 18, 18",122.6299,123.1845,553272,553272,122.9477
8,1.4109,-0.015588801442846,1.15,124.1186,2018-01-19,124.2451,"Jan 19, 18",123.058,123.2721,741165,741165,123.8278
9,-0.301637,-0.017980855635246002,-0.243,123.817,2018-01-22,124.43,"Jan 22, 18",123.0191,124.3522,650824,650824,123.647
10,-0.749226,-0.023922921288251003,-0.605,123.0678,2018-01-23,123.8024,"Jan 23, 18",121.6569,123.3889,672257,672257,122.9804
11,-0.272447,-0.026084177148427003,-0.221,122.7953,2018-01-24,124.5662,"Jan 24, 18",122.1337,123.564,620355,620355,123.0257
12,-0.554622,-0.030482828524770002,-0.452,122.2407,2018-01-25,123.8754,"Jan 25, 18",121.978,122.8051,806255,806255,122.6994
13,1.2649,-0.020450635726471003,1.035,123.5056,2018-01-26,127.5939,"Jan 26, 18",121.3261,122.8634,1295973,1295973,123.4726
14,-0.934102,-0.027859182878729002,-0.756,122.5715,2018-01-29,125.3446,"Jan 29, 18",122.4888,125.3252,745453,745453,123.2153
15,-1.226,-0.037582851445979004,-1.0,121.3455,2018-01-30,122.6202,"Jan 30, 18",120.7033,122.0558,1058850,1058850,121.4433
16,0.895179,-0.030482828524770002,0.738,122.2407,2018-01-31,122.5423,"Jan 31, 18",116.062,121.7055,2269244,2269244,120.3988
17,-2.0336,-0.046611745652306004,-1.6640000000000001,120.2071,2018-02-01,121.9196,"Feb 1, 18",119.1465,121.9196,1661979,1661979,120.4456
18,-0.428129,-0.050007098436678006,-0.356,119.779,2018-02-02,120.2557,"Feb 2, 18",118.514,119.8179,1020102,1020102,119.4672
19,-5.8089,-0.096079521525711,-4.85,113.97,2018-02-05,119.1951,"Feb 5, 18",111.8975,118.5724,1208706,1208706,115.6942
20,1.7806000000000002,-0.08195640846070201,1.562,115.7507,2018-02-06,116.0513,"Feb 6, 18",111.3526,111.3526,1487026,1487026,114.0319
21,-1.7806000000000002,-0.096079521525711,-1.538,113.97,2018-02-07,116.675,"Feb 7, 18",113.97,115.3517,1001342,1001342,115.1456
22,-5.0403,-0.13605442716409102,-4.422,108.9298,2018-02-08,113.6489,"Feb 8, 18",108.8811,113.6392,1136130,1136130,111.0756
23,1.7612,-0.12208676589673001,1.617,110.6909,2018-02-09,111.3137,"Feb 9, 18",107.3048,110.0293,830047,830047,109.8112
24,2.851,-0.099474874310083,2.576,113.5419,2018-02-12,114.0771,"Feb 12, 18",111.0704,112.2964,779146,779146,112.8142
25,-0.642193,-0.104568300047349,-0.5660000000000001,112.8997,2018-02-13,113.4932,"Feb 13, 18",112.3451,113.1235,464771,464771,112.9376
26,-0.038922,-0.104876824278398,-0.034,112.8608,2018-02-14,113.2111,"Feb 14, 18",111.4721,112.0629,707929,707929,112.3139
27,1.8877000000000002,-0.089905864419066,1.673,114.7484,2018-02-15,114.9528,"Feb 15, 18",111.8002,113.5419,1080939,1080939,113.5037
28,1.4012,-0.078792647129971,1.221,116.1496,2018-02-16,116.7723,"Feb 16, 18",114.1161,114.4663,811570,811570,116.0382
29,-0.496241,-0.08272811559903201,-0.427,115.6534,2018-02-20,116.6848,"Feb 20, 18",114.8166,115.3128,715707,715707,115.8236
30,0.35028699999999996,-0.079950604398175,0.303,116.0036,2018-02-21,118.3584,"Feb 21, 18",115.6903,116.0815,621733,621733,116.72
31,-0.437859,-0.083422889959955,-0.377,115.5658,2018-02-22,117.541,"Feb 22, 18",115.3225,116.7139,508862,508862,116.2358
32,0.574083,-0.078869579907379,0.497,116.1399,2018-02-23,116.5193,"Feb 23, 18",115.0112,116.422,452999,452999,115.8376
33,2.3158,-0.060502474142259004,1.994,118.4557,2018-02-26,118.4848,"Feb 26, 18",116.2955,116.7626,842043,842043,118.0352
34,-1.479,-0.07223273989345201,-1.249,116.9767,2018-02-27,118.8838,"Feb 27, 18",116.9767,118.3097,418018,418018,117.8348
35,-0.992482,-0.080104469952991,-0.848,115.9842,2018-02-28,118.5919,"Feb 28, 18",115.9744,117.3951,670035,670035,117.214
36,-0.5935429999999999,-0.08481243868180001,-0.512,115.3906,2018-03-01,116.7334,"Mar 1, 18",114.2133,116.2858,785601,785601,115.4777
37,-1.2357,-0.09461304002645801,-1.071,114.1549,2018-03-02,115.0209,"Mar 2, 18",112.3694,114.5246,674020,674020,113.7598
38,-0.379477,-0.09762293580237301,-0.332,113.7754,2018-03-05,115.0112,"Mar 5, 18",113.2257,113.4835,618380,618380,114.0044
39,2.0823,-0.081107768544963,1.83,115.8577,2018-03-06,116.928,"Mar 6, 18",114.1744,114.369,834408,834408,115.4744
40,-1.0509,-0.089442681511784,-0.907,114.8068,2018-03-07,115.9988,"Mar 7, 18",113.7268,114.5538,626102,626102,114.597
41,-1.2747,-0.099551807087491,-1.11,113.5322,2018-03-08,115.0695,"Mar 8, 18",112.8802,114.9041,659541,659541,113.6614
42,3.0942,-0.075011044215725,2.725,116.6264,2018-03-09,117.0642,"Mar 9, 18",113.7365,114.3884,1245420,1245420,116.3519
43,0.194605,-0.073467629939064,0.167,116.821,2018-03-12,117.8329,"Mar 12, 18",116.2274,116.6264,705940,705940,117.201
44,0.165413,-0.07215580711604401,0.14200000000000002,116.9864,2018-03-13,118.6794,"Mar 13, 18",116.6848,117.2005,493652,493652,117.5005
45,-1.0564,-0.080534341760777,-0.903,115.93,2018-03-14,117.72,"Mar 14, 18",115.5094,117.72,539075,539075,116.0739
46,-0.909677,-0.08774936728738901,-0.785,115.0203,2018-03-15,116.4337,"Mar 15, 18",114.3845,116.1354,575447,575447,115.2847
47,0.899895,-0.08061206765960101,0.782,115.9202,2018-03-16,116.7223,"Mar 16, 18",114.1009,115.0888,2864643,2864643,115.9065
48,-1.8096,-0.09496439281400201,-1.561,114.1106,2018-03-19,116.3799,"Mar 19, 18",113.4259,115.7148,1034048,1034048,114.5147
49,-0.146722,-0.096127901932123,-0.129,113.9639,2018-03-20,115.0888,"Mar 20, 18",112.8977,114.5899,714434,714434,113.8174
50,1.1151,-0.087283805015858,0.978,115.079,2018-03-21,116.4581,"Mar 21, 18",113.2107,113.9639,558481,558481,115.5472
51,-4.5679,-0.123512798203738,-3.969,110.5111,2018-03-22,114.2965,"Mar 22, 18",110.4426,113.7585,646032,646032,111.8877
52,-3.6974,-0.152837669460304,-3.346,106.8137,2018-03-23,111.6213,"Mar 23, 18",106.6572,110.8436,742545,742545,108.44
53,5.0277,-0.11296269712041401,4.707,111.8413,2018-03-26,111.9978,"Mar 26, 18",106.9604,106.9604,1142278,1142278,109.9539
54,-1.9759000000000002,-0.128633190069168,-1.767,109.8655,2018-03-27,112.5163,"Mar 27, 18",109.3275,112.5163,661372,661372,110.7583
55,-1.1151,-0.13747728698543202,-1.015,108.7504,2018-03-28,110.6531,"Mar 28, 18",108.457,110.1589,721492,721492,109.207
56,1.4868000000000001,-0.125685157763746,1.367,110.2372,2018-03-29,111.3474,"Mar 29, 18",109.0145,109.6014,676186,676186,110.2822
57,-2.7095000000000002,-0.14717478254593502,-2.458,107.5277,2018-04-02,110.3741,"Apr 2, 18",105.6008,109.4644,973960,973960,107.3854
58,1.927,-0.13189133284847102,1.792,109.4547,2018-04-03,109.7872,"Apr 3, 18",107.3027,107.8212,693875,693875,108.8696
59,0.410823,-0.128633190069168,0.375,109.8655,2018-04-04,110.2274,"Apr 4, 18",107.2538,107.7429,574654,574654,109.341
60,0.821643,-0.12211690451056001,0.748,110.6871,2018-04-05,111.8805,"Apr 5, 18",110.5111,110.7849,750561,750561,110.9953
61,-2.954,-0.145545711156283,-2.669,107.7331,2018-04-06,109.9095,"Apr 6, 18",107.0289,109.4644,594348,594348,108.0421
62,0.880332,-0.13856307020472802,0.8170000000000001,108.6135,2018-04-09,110.3643,"Apr 9, 18",107.8701,108.4374,716123,716123,109.1837
63,2.6997,-0.11715196444278,2.4859999999999998,111.3131,2018-04-10,112.0957,"Apr 10, 18",109.5623,110.0611,517872,517872,111.1387
64,-1.0955,-0.125840609561395,-0.984,110.2176,2018-04-11,111.0393,"Apr 11, 18",109.1514,110.4132,348623,348623,110.133
65,0.674921,-0.12048783312090901,0.612,110.8925,2018-04-12,111.4892,"Apr 12, 18",110.3839,110.7947,576168,576168,110.9121
66,0.166285,-0.11916887220513901,0.15,111.0588,2018-04-13,111.7827,"Apr 13, 18",110.5111,111.7142,350156,350156,111.156
67,0.371695,-0.11622083989971702,0.335,111.4305,2018-04-16,112.6532,"Apr 16, 18",111.1175,112.0174,544734,544734,111.7137
68,1.9465,-0.100782731526021,1.7469999999999999,113.377,2018-04-17,113.6411,"Apr 17, 18",111.5088,112.1152,614047,614047,113.2042
69,0.264099,-0.09868809786483701,0.233,113.6411,2018-04-18,114.7953,"Apr 18, 18",113.1423,114.0324,507226,507226,113.9908
70,0.009781,-0.09861037196601301,0.009000000000000001,113.65090000000001,2018-04-19,114.2427,"Apr 19, 18",112.7706,113.5531,524179,524179,113.5064
71,-0.058688,-0.099075934237544,-0.052000000000000005,113.5922,2018-04-20,114.365,"Apr 20, 18",113.0249,113.8661,672340,672340,113.6168
72,1.1542,-0.08992172684739701,1.016,114.7464,2018-04-23,114.8834,"Apr 23, 18",113.7585,113.7585,886028,886028,114.4493
73,-3.2377000000000002,-0.115599825830537,-2.822,111.5088,2018-04-24,116.0278,"Apr 24, 18",110.1002,115.5485,998108,998108,111.931
