,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.60306,0.0,0.764,79.4988,2018-01-08,79.4988,"Jan 8, 18",78.694,78.867,592806,592806,79.2478
1,-0.985957,-0.012402702933880001,-1.24,78.5128,2018-01-09,79.6232,"Jan 9, 18",78.4649,79.3743,572358,572358,78.7131
2,-1.388,-0.029862085968593,-1.768,77.1248,2018-01-10,78.3118,"Jan 10, 18",77.0817,78.1778,458105,458105,77.3901
3,-0.6222059999999999,-0.037688619199283006,-0.807,76.5026,2018-01-11,77.4215,"Jan 11, 18",76.2824,76.9429,432786,432786,76.6989
4,-0.670067,-0.046117677247958004,-0.876,75.8325,2018-01-12,76.7036,"Jan 12, 18",75.7272,76.3782,748717,748717,76.0949
5,-0.34460599999999997,-0.050452333871706,-0.454,75.4879,2018-01-16,76.4691,"Jan 16, 18",75.1866,76.0623,760467,760467,75.6251
6,0.6413500000000001,-0.042384287561573,0.85,76.1293,2018-01-17,76.4069,"Jan 17, 18",75.2008,75.6985,944183,944183,76.0692
7,-0.306317,-0.046237175907057004,-0.402,75.823,2018-01-18,76.3638,"Jan 18, 18",75.3922,76.2154,656602,656602,75.8338
8,-0.124441,-0.047803237281569,-0.164,75.6985,2018-01-19,76.5026,"Jan 19, 18",75.5741,75.9761,779059,779059,75.8968
9,-0.114869,-0.049248542116358006,-0.152,75.5836,2018-01-22,76.3207,"Jan 22, 18",75.4592,76.158,683730,683730,75.8538
10,0.890234,-0.038049630937825006,1.178,76.4739,2018-01-23,76.9525,"Jan 23, 18",75.4401,75.5071,738075,738075,76.5187
11,0.315889,-0.034075986052619,0.41300000000000003,76.7898,2018-01-24,77.1439,"Jan 24, 18",76.2059,76.5313,1054007,1054007,76.748
12,0.794508,-0.024082124510055,1.035,77.5843,2018-01-25,77.7183,"Jan 25, 18",76.7036,76.7036,703981,703981,77.3136
13,-0.105295,-0.025406672805124,-0.136,77.479,2018-01-26,77.8523,"Jan 26, 18",76.5409,77.8044,523860,523860,77.2249
14,-1.4837,-0.044069847595183,-1.915,75.9953,2018-01-29,77.2014,"Jan 29, 18",75.9857,77.2014,585635,585635,76.2482
15,-0.057435,-0.044793128952889005,-0.076,75.9378,2018-01-30,76.4739,"Jan 30, 18",75.6602,76.024,770022,770022,76.0239
16,1.9523000000000001,-0.020235525567681,2.571,77.8901,2018-01-31,77.9875,"Jan 31, 18",76.2924,76.8282,1124365,1124365,77.4538
17,-1.4516,-0.038494920678047,-1.8639999999999999,76.4385,2018-02-01,78.007,"Feb 1, 18",76.2729,77.5784,955133,955133,76.6956
18,-0.711193,-0.047440967662405006,-0.93,75.7273,2018-02-02,76.7503,"Feb 2, 18",75.6884,75.8929,681587,681587,75.9719
19,-1.7049,-0.06888657438854401,-2.251,74.0224,2018-02-05,76.3313,"Feb 5, 18",73.9834,75.6202,919045,919045,74.7859
20,-0.798874,-0.07893578267848,-1.079,73.2235,2018-02-06,73.7594,"Feb 6, 18",71.9083,73.3307,1267445,1267445,72.9329
21,0.0,-0.07893578267848,0.0,73.2235,2018-02-07,74.4803,"Feb 7, 18",73.1846,73.282,984395,984395,73.6639
22,-0.7988719999999999,-0.088983733087795,-1.091,72.4247,2018-02-08,74.3439,"Feb 8, 18",72.4052,72.8436,1342531,1342531,73.0678
23,1.8998,-0.06508777490981,2.623,74.3244,2018-02-09,75.0746,"Feb 9, 18",72.4441,72.4441,867304,867304,73.7904
24,0.42866299999999996,-0.05969524068287801,0.577,74.7531,2018-02-12,75.1233,"Feb 12, 18",73.6619,74.3244,935318,935318,74.5629
25,0.087682,-0.058592079377298004,0.117,74.8408,2018-02-13,75.172,"Feb 13, 18",73.8223,74.7531,608425,608425,74.582
26,-0.7111919999999999,-0.067538126361655,-0.9500000000000001,74.1296,2018-02-14,74.6849,"Feb 14, 18",73.8081,74.266,579531,579531,74.2301
27,1.9192,-0.043396881462361,2.589,76.0488,2018-02-15,76.0683,"Feb 15, 18",74.1393,74.2757,571601,571601,75.4639
28,0.613768,-0.035676010203927,0.807,76.6626,2018-02-16,76.8477,"Feb 16, 18",75.6202,75.9027,843259,843259,76.4922
29,-1.4516,-0.053935405314294006,-1.8940000000000001,75.211,2018-02-20,76.6772,"Feb 20, 18",75.0259,76.1852,572840,572840,75.398
