,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-1.0392,0.0,-1.152,89.1993,2018-01-08,90.4463,"Jan 8, 18",86.8241,90.4463,1655186,1655186,88.3638
1,0.7026669999999999,0.007877864512389001,0.788,89.902,2018-01-09,90.1742,"Jan 9, 18",89.0905,89.7239,1056960,1056960,89.8499
2,-0.7521519999999999,-0.0005549370903130001,-0.837,89.1498,2018-01-10,89.9366,"Jan 10, 18",88.3086,89.4962,884926,884926,89.1239
3,1.8903,0.020636933249476002,2.12,91.0401,2018-01-11,91.2083,"Jan 11, 18",89.1004,89.2389,981054,981054,90.4878
4,-0.18803799999999998,0.018529293391315,-0.20700000000000002,90.85210000000001,2018-01-12,91.7923,"Jan 12, 18",90.1494,91.2381,559679,559679,90.7492
5,-0.930295,0.008099839348515001,-1.024,89.9218,2018-01-16,91.624,"Jan 16, 18",89.4467,90.2484,848824,848824,90.3093
6,0.73236,0.016309545030061,0.8140000000000001,90.6541,2018-01-17,91.4063,"Jan 17, 18",89.5655,89.7832,894204,894204,90.6621
7,0.089071,0.017308431792626002,0.098,90.7432,2018-01-18,90.7927,"Jan 18, 18",88.4472,90.3968,1036762,1036762,89.9504
8,0.18803799999999998,0.019417192735817,0.20700000000000002,90.9313,2018-01-19,91.2776,"Jan 19, 18",89.7239,91.05,1239265,1239265,90.4758
9,1.5439,0.036724503443412,1.698,92.4751,2018-01-22,92.5048,"Jan 22, 18",90.5849,90.7135,765096,765096,91.8649
10,0.5443209999999999,0.042827690351830004,0.589,93.0195,2018-01-23,93.1976,"Jan 23, 18",91.4261,91.6438,919086,919086,92.7637
11,-0.376077,0.038611289550478003,-0.404,92.6434,2018-01-24,93.8261,"Jan 24, 18",91.7428,93.0788,723769,723769,92.6879
12,0.9698819999999999,0.049484693265530004,1.047,93.6133,2018-01-25,93.7122,"Jan 25, 18",92.7523,93.2867,692380,692380,93.3133
13,0.554217,0.05569774650697901,0.592,94.1675,2018-01-26,94.9394,"Jan 26, 18",93.3164,94.0784,989263,989263,94.0136
14,-2.7612,0.024742346632765002,-2.932,91.4063,2018-01-29,94.0537,"Jan 29, 18",91.4063,92.6929,1287825,1287825,92.5639
15,-2.1773,0.00033296225418800004,-2.382,89.229,2018-01-30,90.0504,"Jan 30, 18",88.7144,89.7733,889381,889381,89.3158
16,0.455248,0.005437262400041,0.51,89.6843,2018-01-31,90.0307,"Jan 31, 18",88.5659,89.3379,1203185,1203185,89.3908
17,0.336491,0.009209713529142,0.375,90.0208,2018-02-01,91.3469,"Feb 1, 18",89.6942,89.6942,793160,793160,90.3422
18,-0.554218,0.002995539202661,-0.616,89.4665,2018-02-02,90.1197,"Feb 2, 18",88.9519,89.7832,859882,859882,89.4549
19,-3.4737999999999998,-0.035947591516973,-3.883,85.9928,2018-02-05,89.7239,"Feb 5, 18",85.9433,89.2884,1215950,1215950,87.701
20,1.1381000000000001,-0.023188522779887002,1.324,87.1309,2018-02-06,87.6604,"Feb 6, 18",84.9536,85.4485,1154939,1154939,86.3351
21,-0.514631,-0.028957626349085,-0.591,86.6163,2018-02-07,87.5169,"Feb 7, 18",86.0819,86.2996,744747,744747,86.8944
22,-3.0482,-0.063130540262087,-3.519,83.5681,2018-02-08,87.0418,"Feb 8, 18",83.5681,86.2402,1103170,1103170,85.0134
23,0.861015,-0.05347799814572501,1.03,84.4291,2018-02-09,85.3693,"Feb 9, 18",81.9351,84.2114,1059843,1059843,83.8538
24,-0.009896,-0.053588985563787,-0.012,84.4192,2018-02-12,85.2604,"Feb 12, 18",83.5483,85.0625,1001717,1001717,84.3212
25,0.504734,-0.047930869412652004,0.598,84.9239,2018-02-13,85.7948,"Feb 13, 18",83.2217,83.8848,875483,875483,84.7489
26,0.8412229999999999,-0.038499181047384,0.991,85.7652,2018-02-14,86.4381,"Feb 14, 18",84.1124,84.3103,743162,743162,85.5005
