,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.5495999999999999,0.0,0.797,195.8941,2018-01-08,196.4908,"Jan 8, 18",194.3637,194.5081,768618,768618,195.5488
1,-2.2907,-0.011693563001642001,-1.169,193.6034,2018-01-09,196.5389,"Jan 9, 18",193.3724,196.4138,659878,659878,194.2315
2,-4.8509,-0.036456942807363,-2.5060000000000002,188.7524,2018-01-10,192.5639,"Jan 10, 18",187.9728,192.1789,1133154,1133154,188.94
3,0.009623999999999999,-0.03640742625735,0.005,188.7621,2018-01-11,189.9652,"Jan 11, 18",187.6937,189.4166,1094164,1094164,188.6379
4,-2.4736000000000002,-0.049034656990690005,-1.31,186.2885,2018-01-12,189.1278,"Jan 12, 18",186.1441,188.6658,957647,957647,187.0155
5,0.192496,-0.048051983188876005,0.10300000000000001,186.481,2018-01-16,190.9806,"Jan 16, 18",186.2596,186.9141,1034218,1034218,187.6125
6,1.8672,-0.038520302551225,1.001,188.3482,2018-01-17,189.6283,"Jan 17, 18",187.1451,187.4916,737901,737901,188.2479
7,-2.3485,-0.050508922933360005,-1.2469999999999999,185.9997,2018-01-18,188.3385,"Jan 18, 18",185.3741,187.7996,1241017,1241017,186.3018
8,0.298369,-0.048985650920573005,0.16,186.2981,2018-01-19,187.2028,"Jan 19, 18",185.4704,186.635,646108,646108,186.2414
9,0.211747,-0.047904454498629005,0.114,186.5099,2018-01-22,187.3183,"Jan 22, 18",185.2875,186.8564,909602,909602,186.2209
10,4.1483,-0.026728216929453003,2.224,190.6582,2018-01-23,191.0999,"Jan 23, 18",186.2981,186.7216,981967,981967,189.8647
11,-3.0511,-0.042303469068236,-1.6,187.6071,2018-01-24,190.5812,"Jan 24, 18",187.02,190.3983,687010,687010,187.8349
12,-2.2618,-0.053849503379632006,-1.206,185.3453,2018-01-25,187.4723,"Jan 25, 18",183.6609,186.7216,855527,855527,185.0022
13,0.269496,-0.052473760057092006,0.145,185.6148,2018-01-26,186.4088,"Jan 26, 18",183.5454,186.019,1083159,1083159,184.9078
14,-0.29837,-0.053997032069878007,-0.161,185.3164,2018-01-29,185.6918,"Jan 29, 18",183.016,185.2779,1121948,1121948,184.8834
15,1.0202,-0.048789116160211005,0.551,186.3366,2018-01-30,187.0006,"Jan 30, 18",183.1219,185.3164,1535542,1535542,185.7733
16,2.079,-0.038176239100616,1.116,188.4156,2018-01-31,188.4156,"Jan 31, 18",184.6811,186.2307,2749419,2749419,187.4805
17,-4.6007,-0.06166188772403001,-2.442,183.8149,2018-02-01,189.2048,"Feb 1, 18",183.555,188.7428,1125724,1125724,185.8946
18,-0.644864,-0.06495397258008201,-0.35100000000000003,183.17,2018-02-02,184.7485,"Feb 2, 18",181.3221,182.9679,973962,973962,183.2167
19,-5.13,-0.091141591298563,-2.801,178.04,2018-02-05,184.5368,"Feb 5, 18",176.3951,182.3616,1088800,1088800,180.1386
20,0.40424299999999996,-0.08907772107480501,0.227,178.4443,2018-02-06,180.0709,"Feb 6, 18",174.1375,176.115,1566375,1566375,177.2386
21,-0.048124,-0.08932377238518101,-0.027,178.3961,2018-02-07,181.5435,"Feb 7, 18",176.8658,177.7224,1021658,1021658,179.4418
22,-4.6777,-0.11320198004942401,-2.622,173.7185,2018-02-08,178.9688,"Feb 8, 18",173.7088,178.3961,1213663,1213663,176.3564
23,6.4198,-0.08043070209873501,3.6950000000000003,180.1382,2018-02-09,181.6204,"Feb 9, 18",173.9302,174.9312,2002079,2002079,178.6477
24,0.635238,-0.0771876233128,0.353,180.7735,2018-02-12,181.4953,"Feb 12, 18",176.0669,180.5906,1405648,1405648,179.6706
25,1.3282,-0.070407429320229,0.735,182.1017,2018-02-13,183.1412,"Feb 13, 18",180.4655,180.8986,1054536,1054536,181.801
26,-2.3292,-0.082297527082234,-1.279,179.7725,2018-02-14,181.0911,"Feb 14, 18",177.7609,180.7638,963755,963755,179.4291
27,3.5612,-0.064118316988617,1.9809999999999999,183.3337,2018-02-15,184.171,"Feb 15, 18",179.9842,180.4847,931850,931850,182.7244
28,-1.6651,-0.07261831775433701,-0.908,181.6686,2018-02-16,183.7957,"Feb 16, 18",179.9987,182.8524,1112611,1112611,181.3933
29,-2.3485,-0.084606938136472,-1.293,179.3201,2018-02-20,183.1123,"Feb 20, 18",178.9351,180.5906,1377216,1377216,180.1137
30,4.2734,-0.062792090216091,2.383,183.5935,2018-02-21,186.9334,"Feb 21, 18",178.8004,179.9554,2526872,2526872,183.6949
31,2.3003,-0.051049010664435006,1.2530000000000001,185.8939,2018-02-22,187.0777,"Feb 22, 18",183.6128,184.4405,1466730,1466730,185.5372
32,2.4447,-0.038569308621341,1.315,188.3386,2018-02-23,188.3962,"Feb 23, 18",185.6051,186.0767,778167,778167,187.4175
33,0.192496,-0.037586634819527,0.10200000000000001,188.5311,2018-02-26,190.0037,"Feb 26, 18",186.0575,188.6947,879881,879881,187.6411
34,-2.8489,-0.052130207086379006,-1.5110000000000001,185.6821,2018-02-27,190.3213,"Feb 27, 18",185.2971,189.1663,979556,979556,186.7462
35,1.463,-0.044661886192590004,0.788,187.1451,2018-02-28,189.3011,"Feb 28, 18",185.8746,186.5484,1152568,1152568,187.4829
36,1.6073,-0.036456942807363,0.859,188.7524,2018-03-01,191.0432,"Mar 1, 18",185.8361,186.9526,1196702,1196702,189.2457
37,-1.0684,-0.041910399547510004,-0.5660000000000001,187.6841,2018-03-02,190.1962,"Mar 2, 18",185.5955,188.8198,950665,950665,187.4062
38,2.2618,-0.030364365236114,1.205,189.9459,2018-03-05,191.534,"Mar 5, 18",187.7707,187.7707,1146861,1146861,190.3895
39,0.7796109999999999,-0.026384663958740003,0.41000000000000003,190.7255,2018-03-06,191.611,"Mar 6, 18",188.0835,189.4166,711877,711877,189.895
40,-0.144372,-0.027121286450179003,-0.076,190.5812,2018-03-07,191.4474,"Mar 7, 18",189.0316,189.9267,583960,583960,190.3947
41,1.7325,-0.018277732713746,0.909,192.3136,2018-03-08,192.9681,"Mar 8, 18",189.7342,190.7063,756595,756595,192.0873
42,0.144372,-0.017540599742411,0.075,192.458,2018-03-09,192.8815,"Mar 9, 18",190.2539,192.5735,884128,884128,191.5096
43,-0.529364,-0.020243080317375,-0.275,191.9286,2018-03-12,192.8911,"Mar 12, 18",191.1105,192.458,1004349,1004349,191.9735
44,-0.009644,-0.020292086387492,-0.005,191.919,2018-03-13,193.4746,"Mar 13, 18",191.2968,192.5023,1022151,1022151,192.2342
45,-2.7125,-0.034138853594876,-1.413,189.2065,2018-03-14,192.969,"Mar 14, 18",187.6412,192.3857,1903654,1903654,189.1088
46,0.544453,-0.031359801035355,0.28800000000000003,189.7509,2018-03-15,189.9454,"Mar 15, 18",188.3363,189.3717,676264,676264,189.27
47,2.7611,-0.017264430118109002,1.455,192.5121,2018-03-16,192.6968,"Mar 16, 18",189.8481,190.0912,1136318,1136318,191.6711
48,-1.2542,-0.023666868986865004,-0.651,191.2579,2018-03-19,192.5801,"Mar 19, 18",190.1204,192.5412,840194,840194,191.4101
49,1.2736,-0.017165397018082,0.666,192.5315,2018-03-20,193.1343,"Mar 20, 18",191.0634,191.4329,886790,886790,192.0428
50,0.476394,-0.014733470788553001,0.247,193.0079,2018-03-21,194.0579,"Mar 21, 18",190.7037,192.7454,1108463,1108463,192.534
51,-2.7514000000000003,-0.028778814675888,-1.426,190.2565,2018-03-22,194.3496,"Mar 22, 18",190.1787,192.8134,1046210,1046210,192.3903
52,-2.5667,-0.041881302193379,-1.349,187.6898,2018-03-23,191.812,"Mar 23, 18",187.3106,190.2759,850412,850412,189.1617
53,3.4612,-0.024213082476705002,1.8439999999999999,191.1509,2018-03-26,191.4718,"Mar 26, 18",188.1467,188.8856,703799,703799,189.9532
54,1.4485999999999999,-0.016817760208194,0.758,192.5996,2018-03-27,194.2815,"Mar 27, 18",188.8613,191.5301,921725,921725,192.6
55,3.9084000000000003,0.0031333256080700003,2.029,196.5079,2018-03-28,198.1607,"Mar 28, 18",192.5218,193.144,1249467,1249467,196.5864
56,-1.682,-0.005452435780352,-0.856,194.826,2018-03-29,197.2663,"Mar 29, 18",193.7273,196.4788,986751,986751,195.1827
57,-0.95279,-0.010316288239411001,-0.489,193.8732,2018-04-02,196.2843,"Apr 2, 18",192.5218,195.4676,762675,762675,193.8561
58,1.1764000000000001,-0.004311002730557001,0.607,195.0496,2018-04-03,196.0704,"Apr 3, 18",191.8023,193.8829,694567,694567,194.673
59,3.325,0.012662453846236,1.705,198.3746,2018-04-04,199.0649,"Apr 4, 18",194.1454,194.7871,896387,896387,197.2727
60,-2.6056,-0.000638610351205,-1.313,195.769,2018-04-05,197.9371,"Apr 5, 18",193.844,197.9371,863313,863313,195.1361
