,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.35000000000000003,0.0,0.445,79.05,2018-01-08,79.18,"Jan 8, 18",77.773,78.7,7963556,7963556,78.7066
1,0.14,0.0017710309930420002,0.177,79.19,2018-01-09,80.39,"Jan 9, 18",78.52,80.1,9620434,9620434,79.3795
2,0.18,0.004048070841239,0.227,79.37,2018-01-10,79.485,"Jan 10, 18",77.7,78.5,6248619,6248619,78.7712
3,0.38,0.008855154965211,0.47900000000000004,79.75,2018-01-11,79.87,"Jan 11, 18",78.91,79.45,6267464,6267464,79.4299
4,0.79,0.018848829854522003,0.991,80.54,2018-01-12,80.77,"Jan 12, 18",79.66,80.0,6891095,6891095,80.2849
5,-0.12,0.017330803289057003,-0.149,80.42,2018-01-16,81.8,"Jan 16, 18",79.94,80.95,9596634,9596634,80.811
6,2.05,0.043263757115749,2.549,82.47,2018-01-17,82.61,"Jan 17, 18",79.96,80.4,7146923,7146923,81.71
7,0.47000000000000003,0.049209361163820006,0.5700000000000001,82.94,2018-01-18,83.44,"Jan 18, 18",81.61,82.43,7395055,7395055,82.8341
8,0.9,0.060594560404807006,1.085,83.84,2018-01-19,84.19,"Jan 19, 18",83.1283,83.23,8783546,8783546,83.6566
9,0.14,0.062365591397849,0.167,83.98,2018-01-22,84.21,"Jan 22, 18",83.22,84.0,7560451,7560451,83.804
10,0.23,0.06527514231499,0.274,84.21,2018-01-23,84.55,"Jan 23, 18",83.45,84.12,9736409,9736409,84.0916
11,-0.5,0.058950031625553005,-0.594,83.71,2018-01-24,85.29,"Jan 24, 18",82.71,84.52,8735746,8735746,83.9189
12,0.63,0.066919671094244,0.753,84.34,2018-01-25,85.27,"Jan 25, 18",83.71,84.0,7268277,7268277,84.5234
13,1.11,0.080961416824794,1.316,85.45,2018-01-26,85.49,"Jan 26, 18",84.04,84.46,7840318,7840318,84.9105
14,-1.1400000000000001,0.06654016445287801,-1.334,84.31,2018-01-29,85.35,"Jan 29, 18",83.62,85.2,8198945,8198945,84.4628
15,-0.53,0.059835547122074006,-0.629,83.78,2018-01-30,84.17,"Jan 30, 18",82.0,83.0,7864528,7864528,83.5807
16,1.54,0.07931688804554,1.838,85.32,2018-01-31,86.32,"Jan 31, 18",84.16,84.18,15221427,15221427,85.2933
17,-6.92,-0.008222643896268,-8.111,78.4,2018-02-01,80.95,"Feb 1, 18",76.7,79.95,44271646,44271646,79.0361
18,-1.83,-0.031372549019607,-2.334,76.57,2018-02-02,79.62,"Feb 2, 18",76.28,78.1,21979787,21979787,77.5014
19,-1.865,-0.054965211891208,-2.436,74.705,2018-02-05,78.98,"Feb 5, 18",74.68,75.95,18810638,18810638,76.9865
20,0.975,-0.042631246046805,1.305,75.68,2018-02-06,76.515,"Feb 6, 18",72.25,72.63,19739626,19739626,74.9809
21,-0.09,-0.043769765970904005,-0.11900000000000001,75.59,2018-02-07,77.58,"Feb 7, 18",74.94,75.35,11988019,11988019,76.2761
22,-3.27,-0.085135989879822,-4.326,72.32,2018-02-08,75.91,"Feb 8, 18",72.27,75.63,13665355,13665355,74.2108
23,2.43,-0.054395951929158005,3.36,74.75,2018-02-09,75.27,"Feb 9, 18",71.63,73.14,14339365,14339365,73.6817
24,0.53,-0.047691334598355006,0.709,75.28,2018-02-12,76.28,"Feb 12, 18",74.852,75.49,10419606,10419606,75.5346
25,-0.31,-0.05161290322580601,-0.41200000000000003,74.97,2018-02-13,75.6,"Feb 13, 18",74.55,74.81,7743645,7743645,75.0766
26,2.3,-0.022517394054395002,3.068,77.27,2018-02-14,77.36,"Feb 14, 18",74.13,74.18,8955753,8955753,76.0023
27,1.025,-0.009550917141049001,1.327,78.295,2018-02-15,78.3,"Feb 15, 18",76.58,78.01,9311008,9311008,77.607
28,0.075,-0.008602150537634001,0.096,78.37,2018-02-16,78.75,"Feb 16, 18",77.53,78.2,9758525,9758525,78.2511
29,-1.31,-0.025173940543959,-1.6720000000000002,77.06,2018-02-20,78.54,"Feb 20, 18",76.66,77.7,6875391,6875391,77.5786
30,-0.55,-0.03213156230234,-0.714,76.51,2018-02-21,78.496,"Feb 21, 18",76.465,77.2,8260361,8260361,77.5567
31,1.19,-0.01707779886148,1.5550000000000002,77.7,2018-02-22,78.37,"Feb 22, 18",76.77,76.8,6632292,6632292,77.8218
32,1.99,0.008096141682479,2.561,79.69,2018-02-23,79.7,"Feb 23, 18",77.391,78.26,7520694,7520694,78.5856
33,-0.34,0.003795066413662,-0.427,79.35,2018-02-26,80.05,"Feb 26, 18",78.98,80.0,7130682,7130682,79.3569
34,0.11,0.005186590765338,0.139,79.46,2018-02-27,79.929,"Feb 27, 18",78.61,79.11,8861955,8861955,79.332
35,-0.05,0.0045540796963940006,-0.063,79.41,2018-02-28,82.17,"Feb 28, 18",79.39,79.9,10799506,10799506,80.55
36,-0.77,-0.005186590765338,-0.97,78.64,2018-03-01,80.44,"Mar 1, 18",77.88,79.6,8443335,8443335,79.1728
37,0.23,-0.0022770398481970003,0.292,78.87,2018-03-02,79.11,"Mar 2, 18",76.93,77.52,9426242,9426242,78.1655
38,0.2,0.00025300442757700004,0.254,79.07,2018-03-05,79.42,"Mar 5, 18",77.09,78.07,6652980,6652980,78.567
39,0.16,0.0022770398481970003,0.202,79.23,2018-03-06,79.95,"Mar 6, 18",78.85,79.33,7477760,7477760,79.3379
40,0.29,0.00594560404807,0.366,79.52,2018-03-07,79.555,"Mar 7, 18",78.01,78.65,5546703,5546703,79.0425
41,0.35000000000000003,0.010373181530676,0.44,79.87,2018-03-08,80.49,"Mar 8, 18",79.53,79.85,6878581,6878581,79.9287
42,0.84,0.020999367488931,1.052,80.71,2018-03-09,80.85,"Mar 9, 18",80.11,80.26,7667562,7667562,80.5358
43,-0.11,0.019607843137254003,-0.136,80.6,2018-03-12,81.17,"Mar 12, 18",80.35,80.75,6607596,6607596,80.7732
44,-0.4,0.014547754585705001,-0.496,80.2,2018-03-13,80.99,"Mar 13, 18",79.27,80.69,6414654,6414654,80.2364
45,3.11,0.053889943074003,3.878,83.31,2018-03-14,83.5,"Mar 14, 18",80.64,80.74,14281118,14281118,82.7702
46,-0.74,0.044528779253636006,-0.888,82.57,2018-03-15,83.99,"Mar 15, 18",81.57,83.75,9850566,9850566,82.7124
47,-0.41000000000000003,0.039342188488298006,-0.497,82.16,2018-03-16,83.23,"Mar 16, 18",81.27,82.8,8356179,8356179,82.1944
48,-1.8599999999999999,0.015812776723592003,-2.2640000000000002,80.3,2018-03-19,81.44,"Mar 19, 18",79.11,80.89,9028914,9028914,80.1392
49,0.56,0.022896900695762,0.6970000000000001,80.86,2018-03-20,81.19,"Mar 20, 18",80.0535,80.18,7388075,7388075,80.7339
50,0.18,0.025173940543959,0.223,81.04,2018-03-21,82.35,"Mar 21, 18",80.51,80.94,6757190,6757190,81.3363
51,-2.48,-0.006198608475648001,-3.06,78.56,2018-03-22,80.12,"Mar 22, 18",78.46,79.81,9608364,9608364,79.1716
52,-2.12,-0.033017077798861004,-2.699,76.44,2018-03-23,79.06,"Mar 23, 18",76.35,78.5,9569050,9569050,77.4706
53,2.51,-0.0012650221378870002,3.284,78.95,2018-03-26,79.17,"Mar 26, 18",77.0301,77.98,8682648,8682648,78.381
54,-2.64,-0.034661606578115005,-3.344,76.31,2018-03-27,79.9,"Mar 27, 18",75.65,79.59,7980307,7980307,77.4509
55,-1.25,-0.050474383301707004,-1.638,75.06,2018-03-28,76.75,"Mar 28, 18",74.74,75.7,14370325,14370325,75.488
56,0.81,-0.040227703984819,1.079,75.87,2018-03-29,77.2,"Mar 29, 18",74.55,75.31,11064269,11064269,75.8871
57,-0.87,-0.051233396584440004,-1.147,75.0,2018-04-02,76.3001,"Apr 2, 18",74.01,75.23,11417691,11417691,74.8501
58,-0.44,-0.05679949399114401,-0.587,74.56,2018-04-03,75.41,"Apr 3, 18",73.35,75.28,8885973,8885973,74.3929
59,0.22,-0.054016445287792,0.295,74.78,2018-04-04,75.06,"Apr 4, 18",72.52,73.0,8230790,8230790,73.9499
60,2.17,-0.026565464895635,2.902,76.95,2018-04-05,77.82,"Apr 5, 18",75.48,75.59,10015717,10015717,76.91
61,-3.09,-0.065654648956356,-4.016,73.86,2018-04-06,76.4,"Apr 6, 18",73.7,75.52,8179131,8179131,74.6213
62,1.33,-0.048829854522454,1.8010000000000002,75.19,2018-04-09,76.88,"Apr 9, 18",74.6,74.6,7328434,7328434,75.677
63,1.6,-0.028589500316255,2.128,76.79,2018-04-10,77.31,"Apr 10, 18",75.8003,76.51,6217464,6217464,76.6892
