,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.192388,0.0,-0.301,63.7478,2018-01-08,63.9979,"Jan 8, 18",63.4304,63.7286,4266861,4266861,63.7474
1,-0.9619409999999999,-0.015089148174525,-1.509,62.7859,2018-01-09,63.3534,"Jan 9, 18",62.4684,63.1418,7632310,7632310,62.8463
2,-0.00962,-0.015239741606769,-0.015,62.7763,2018-01-10,63.238,"Jan 10, 18",62.4107,62.9879,6569307,6569307,62.8527
3,0.16353099999999998,-0.012674947213864002,0.26,62.9398,2018-01-11,63.0071,"Jan 11, 18",62.6608,62.7185,4233066,4233066,62.8732
4,-0.048097999999999995,-0.013429483056670001,-0.076,62.8917,2018-01-12,63.3919,"Jan 12, 18",62.6031,63.1129,5007161,5007161,62.9349
5,2.7608,0.029878678166148004,4.39,65.6525,2018-01-16,66.0372,"Jan 16, 18",63.517,63.7093,24478762,24478762,65.2855
6,-0.221246,0.026407185816608003,-0.337,65.4312,2018-01-17,66.2777,"Jan 17, 18",64.6809,65.9122,12559107,12559107,65.5719
7,0.028857999999999998,0.026860534794926002,0.044,65.4601,2018-01-18,65.5851,"Jan 18, 18",64.9214,65.1715,6797858,6797858,65.3274
8,-0.009618999999999999,0.026709941362682003,-0.015,65.4505,2018-01-19,65.6525,"Jan 19, 18",65.1715,65.4505,8864282,8864282,65.4161
9,0.606022,0.036216151773080005,0.926,66.0565,2018-01-22,66.1334,"Jan 22, 18",65.1282,65.2292,8566244,8566244,65.8897
10,-0.31744,0.031235587737929,-0.481,65.739,2018-01-23,66.2729,"Jan 23, 18",65.6428,65.9891,7825572,7825572,65.9462
11,-0.34629899999999997,0.025803243406047,-0.527,65.3927,2018-01-24,65.6861,"Jan 24, 18",64.8156,65.6044,12383058,12383058,65.2019
12,-0.538687,0.017354324384527,-0.8240000000000001,64.8541,2018-01-25,65.7679,"Jan 25, 18",64.729,65.5467,9122225,9122225,65.2028
13,1.0678,0.034103137676908,1.646,65.9218,2018-01-26,65.9218,"Jan 26, 18",65.0272,65.3543,7918957,7918957,65.5492
14,-1.1639,0.015845252698916002,-1.766,64.7579,2018-01-29,65.7006,"Jan 29, 18",64.6809,65.5659,9745261,9745261,65.046
15,-0.317441,0.010864688663765,-0.49,64.4404,2018-01-30,65.3254,"Jan 30, 18",64.1903,64.8637,8059489,8059489,64.506
16,1.212,0.029878678166148004,1.881,65.6525,2018-01-31,65.7775,"Jan 31, 18",64.8925,64.9791,13915637,13915637,65.46340000000001
17,-1.3948,0.007997138724787,-2.125,64.2576,2018-02-01,65.7487,"Feb 1, 18",63.7959,64.45,16838486,16838486,64.7039
18,-0.702217,-0.0030181433712220002,-1.093,63.5554,2018-02-02,64.4885,"Feb 2, 18",63.3534,63.6612,10971652,10971652,63.7647
19,-4.1748,-0.068507462218303,-6.569,59.3806,2018-02-05,64.0172,"Feb 5, 18",58.1974,63.7767,35995985,35995985,61.0494
20,2.5684,-0.028217444366707003,4.325,61.949,2018-02-06,62.074,"Feb 6, 18",59.8327,59.9385,24458674,24458674,61.0868
