,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.81,0.0,1.191,68.84,2018-01-08,68.97,"Jan 8, 18",67.29,67.89,1390088,1390088,68.2775
1,0.16,0.002324230098779,0.232,69.0,2018-01-09,69.97,"Jan 9, 18",68.44,69.14,1513582,1513582,69.0027
2,-1.26,-0.015979081929111003,-1.826,67.74,2018-01-10,68.98,"Jan 10, 18",67.35,68.7,1691607,1691607,67.8745
3,1.1400000000000001,0.000581057524694,1.683,68.88,2018-01-11,69.39,"Jan 11, 18",67.67,68.0,1022358,1022358,68.83
4,2.16,0.031958163858222005,3.136,71.04,2018-01-12,71.23,"Jan 12, 18",68.705,69.12,1622037,1622037,70.5304
5,-1.74,0.0066821615339910006,-2.449,69.3,2018-01-16,71.61,"Jan 16, 18",68.9096,71.37,1188483,1188483,70.0349
6,1.55,0.029198140615920003,2.237,70.85,2018-01-17,71.09,"Jan 17, 18",69.32,69.47,1025748,1025748,70.4061
7,-0.15,0.027019174898314003,-0.212,70.7,2018-01-18,71.99,"Jan 18, 18",70.59,70.84,1233650,1233650,71.0331
8,-2.3,-0.006391632771644001,-3.253,68.4,2018-01-19,70.5,"Jan 19, 18",67.13,70.5,2820316,2820316,68.4043
9,-2.06,-0.036316095293434006,-3.012,66.34,2018-01-22,68.52,"Jan 22, 18",65.56,68.12,3155850,3155850,66.2561
10,0.98,-0.022080185938408003,1.477,67.32,2018-01-23,67.79,"Jan 23, 18",66.1,66.44,2130422,2130422,67.1646
11,-0.42,-0.028181289947704004,-0.624,66.9,2018-01-24,67.885,"Jan 24, 18",65.8,66.76,2797890,2797890,66.8188
12,-0.84,-0.040383497966298004,-1.256,66.06,2018-01-25,67.52,"Jan 25, 18",65.72,67.46,1914889,1914889,66.3244
13,1.88,-0.013073794305636,2.846,67.94,2018-01-26,67.94,"Jan 26, 18",66.1,66.42,1931972,1931972,67.0236
14,0.25,-0.009442184776292,0.368,68.19,2018-01-29,68.45,"Jan 29, 18",67.3,67.32,2286232,2286232,67.9005
15,2.48,0.026583381754793002,3.637,70.67,2018-01-30,75.08,"Jan 30, 18",67.4,67.48,6126485,6126485,71.1864
