,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-3.5175,0.0,-1.619,213.74,2018-01-08,217.15,"Jan 8, 18",213.4175,216.554,551786,551786,214.1286
1,-1.7588,-0.008228689061476,-0.8230000000000001,211.9812,2018-01-09,215.6258,"Jan 9, 18",211.9128,212.9485,436396,436396,213.3376
2,2.9508,0.005576869093290001,1.392,214.932,2018-01-10,216.0264,"Jan 10, 18",211.4048,211.6197,394473,394473,213.8959
3,2.775,0.018559932628426,1.291,217.707,2018-01-11,219.026,"Jan 11, 18",214.9564,215.3033,365390,365390,217.7226
4,1.3582,0.024913914101244,0.624,219.0651,2018-01-12,219.2117,"Jan 12, 18",215.5867,217.8144,277995,277995,218.2107
5,-1.4168,0.018285299897071002,-0.647,217.6483,2018-01-16,220.9216,"Jan 16, 18",217.365,220.4233,370479,370479,218.3299
6,3.1756,0.033142603162721,1.459,220.8239,2018-01-17,221.0389,"Jan 17, 18",217.3454,218.772,265892,265892,219.9048
7,-2.6968,0.020525404697295,-1.221,218.1271,2018-01-18,221.8987,"Jan 18, 18",217.8926,220.3744,312622,312622,218.7329
8,1.3289,0.026742771591653003,0.609,219.456,2018-01-19,220.3842,"Jan 19, 18",218.2883,218.7036,259152,259152,219.3711
9,5.7649,0.053713857958267004,2.627,225.2208,2018-01-22,230.4288,"Jan 22, 18",224.6834,224.7323,476974,476974,226.6368
10,1.1139000000000001,0.058925329839992005,0.495,226.3347,2018-01-23,226.4813,"Jan 23, 18",221.7131,224.8105,446543,446543,224.3146
11,0.31267,0.060388322260690006,0.138,226.6474,2018-01-24,228.3378,"Jan 24, 18",225.7436,226.6865,321113,321113,226.7094
12,-1.0064,0.055679797885281004,-0.444,225.641,2018-01-25,227.1799,"Jan 25, 18",224.7909,226.6279,288744,288744,225.7032
13,-1.6415000000000002,0.04799990642837,-0.727,223.9995,2018-01-26,225.8071,"Jan 26, 18",220.6089,225.8071,294787,294787,223.3547
14,-0.420151,0.046033966501356,-0.188,223.5793,2018-01-29,224.4978,"Jan 29, 18",220.1009,223.9702,253849,253849,223.0851
15,-1.3386,0.039771217366894006,-0.599,222.2407,2018-01-30,225.1719,"Jan 30, 18",221.0389,223.0517,291346,291346,222.3671
16,2.2962,0.050514176101805,1.033,224.5369,2018-01-31,225.299,"Jan 31, 18",222.3189,222.6804,419595,419595,224.0183
17,0.332213,0.052068400860858004,0.148,224.8691,2018-02-01,226.3543,"Feb 1, 18",222.866,223.5305,296010,296010,224.3367
18,-0.517861,0.049645363525778,-0.23,224.3512,2018-02-02,227.3021,"Feb 2, 18",224.0679,224.0679,346787,346787,225.484
19,-4.0843,0.03053710115093,-1.82,220.267,2018-02-05,226.4813,"Feb 5, 18",219.1824,223.081,493402,493402,222.8323
20,16.5032,0.10774819874614001,7.492,236.7701,2018-02-06,237.4346,"Feb 6, 18",220.8044,220.8044,942034,942034,233.2401
21,4.2797,0.127771123795265,1.808,241.0498,2018-02-07,244.9387,"Feb 7, 18",236.6822,236.7604,669237,669237,240.9717
22,-5.5108,0.10198839711799301,-2.286,235.539,2018-02-08,241.7533,"Feb 8, 18",235.539,240.3658,514859,514859,238.8414
23,-1.2605,0.09609104519509601,-0.535,234.2785,2018-02-09,237.8352,"Feb 9, 18",231.9824,237.8352,511343,511343,234.7903
24,-0.283358,0.09476560306914901,-0.121,233.9952,2018-02-12,238.6364,"Feb 12, 18",232.0019,236.0373,472821,472821,234.7943
25,-1.2702,0.088822401048002,-0.543,232.7249,2018-02-13,233.6727,"Feb 13, 18",231.0053,233.6727,388632,388632,232.642
26,4.309,0.108982408533732,1.8519999999999999,237.0339,2018-02-14,237.6886,"Feb 14, 18",231.9921,232.0801,280330,280330,235.8958
27,-0.19542,0.1080682137176,-0.082,236.8385,2018-02-15,239.0468,"Feb 15, 18",234.5619,237.9329,368559,368559,236.1501
28,0.850074,0.112045475811733,0.359,237.6886,2018-02-16,238.6071,"Feb 16, 18",234.855,236.2132,283334,283334,237.5467
29,0.0,0.112045475811733,0.0,237.6886,2018-02-20,239.3887,"Feb 20, 18",235.1091,237.6007,373446,373446,237.644
30,-3.2439999999999998,0.09686815757462301,-1.365,234.4446,2018-02-21,239.3887,"Feb 21, 18",234.2883,237.5909,375596,375596,236.5996
31,-0.527633,0.094399737999438,-0.225,233.917,2018-02-22,237.8839,"Feb 22, 18",233.8144,235.3436,382345,382345,235.3608
32,3.4589,0.110582483391035,1.479,237.3759,2018-02-23,237.5616,"Feb 23, 18",231.103,234.1906,257074,257074,236.3144
33,-1.28,0.10459389912978301,-0.539,236.0959,2018-02-26,238.0794,"Feb 26, 18",234.6303,238.0794,336001,336001,236.0968
34,1.5145,0.11167961074202201,0.641,237.6104,2018-02-27,239.335,"Feb 27, 18",235.324,236.7115,367295,367295,237.8372
35,-2.8727,0.098239917656966,-1.209,234.7378,2018-02-28,239.4083,"Feb 28, 18",234.7378,238.8709,286065,286065,236.6295
36,-1.8174000000000001,0.089737063722279,-0.774,232.9204,2018-03-01,237.3857,"Mar 1, 18",232.5491,235.7442,315380,315380,234.0714
37,0.6058,0.09257134836717401,0.26,233.5262,2018-03-02,233.79,"Mar 2, 18",231.5622,231.9042,226260,226260,232.8662
38,14.9984,0.162742584448395,6.423,248.5246,2018-03-05,249.4919,"Mar 5, 18",237.4932,239.3887,507208,507208,245.9876
39,1.6205,0.17032422569476902,0.652,250.1451,2018-03-06,250.9013,"Mar 6, 18",244.876,248.1023,423129,423129,248.8505
40,0.854441,0.174321605689155,0.342,250.9995,2018-03-07,251.5593,"Mar 7, 18",247.4541,248.1219,350524,350524,249.933
41,1.7089,0.182316833536071,0.681,252.7084,2018-03-08,253.0718,"Mar 8, 18",249.1728,250.8227,322574,322574,251.5092
42,5.215,0.206715635819219,2.064,257.9234,2018-03-09,258.7239,"Mar 9, 18",251.5839,253.9164,400192,400192,256.304
43,-1.208,0.20106390942266203,-0.468,256.7154,2018-03-12,258.6404,"Mar 12, 18",255.7039,257.5502,263600,263600,256.8464
44,0.373204,0.202809956021334,0.145,257.0886,2018-03-13,257.7663,"Mar 13, 18",255.3798,257.7663,184997,184997,256.7531
45,-1.375,0.196377374380087,-0.535,255.7137,2018-03-14,258.5422,"Mar 14, 18",254.6628,257.6583,279448,279448,256.3423
46,-0.9821169999999999,0.191782539534013,-0.384,254.7316,2018-03-15,257.2752,"Mar 15, 18",254.0343,256.7547,283138,283138,255.3026
47,1.9937,0.201110227379058,0.783,256.7253,2018-03-16,258.9154,"Mar 16, 18",254.7316,254.7316,559810,559810,256.7864
48,1.2473,0.206945354168616,0.486,257.9725,2018-03-19,258.6306,"Mar 19, 18",255.7235,256.5092,219287,219287,257.5121
49,-2.3669000000000002,0.19587161972489903,-0.918,255.6056,2018-03-20,258.4243,"Mar 20, 18",255.4682,258.4243,211221,211221,256.5439
50,-0.658017,0.19279311312809902,-0.257,254.9476,2018-03-21,260.143,"Mar 21, 18",252.0504,254.8101,151795,151795,255.6837
51,-6.1873000000000005,0.16384532609712701,-2.427,248.7603,2018-03-22,254.2994,"Mar 22, 18",248.6424,253.2486,275275,275275,250.9181
52,-4.5767,0.142432862356133,-1.8399999999999999,244.1836,2018-03-23,251.4611,"Mar 23, 18",244.1836,249.7129,352662,352662,246.8807
53,3.7517,0.15998549639749202,1.536,247.9353,2018-03-26,248.0826,"Mar 26, 18",244.3211,246.7961,228315,228315,246.1318
54,-1.7187000000000001,0.151944418452325,-0.6930000000000001,246.2166,2018-03-27,250.7245,"Mar 27, 18",245.2345,249.0156,220541,220541,247.9047
55,7.4935,0.18700383643679203,3.043,253.7102,2018-03-28,254.5597,"Mar 28, 18",246.855,246.9237,361375,361375,251.9982
56,-1.483,0.18006550014035702,-0.585,252.2272,2018-03-29,255.0066,"Mar 29, 18",252.1191,255.0066,329960,329960,253.0371
