,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-12.58,0.0,-3.267,372.52,2018-01-08,387.33,"Jan 8, 18",371.26,384.4,1117753,1117753,374.1698
1,-3.87,-0.010388703962203,-1.039,368.65,2018-01-09,378.58,"Jan 9, 18",368.12,372.61,1207647,1207647,371.2386
2,-2.19,-0.016267582948566003,-0.594,366.46,2018-01-10,371.42,"Jan 10, 18",365.6,368.65,805844,805844,367.1028
3,1.8,-0.011435627617309001,0.491,368.26,2018-01-11,370.09,"Jan 11, 18",363.0,367.0,627683,627683,366.5281
4,-1.3,-0.014925373134328,-0.353,366.96,2018-01-12,370.01,"Jan 12, 18",366.73,369.45,830679,830679,367.6697
5,3.25,-0.0062010093417800005,0.886,370.21,2018-01-16,374.81,"Jan 16, 18",367.35,368.92,1003447,1003447,371.692
6,3.86,0.0041608504241380006,1.043,374.07,2018-01-17,378.7,"Jan 17, 18",370.28,373.86,738854,738854,375.7353
7,-2.79,-0.0033286803393100003,-0.746,371.28,2018-01-18,374.71,"Jan 18, 18",369.03,374.21,596372,596372,370.7836
8,0.25,-0.002657575432191,0.067,371.53,2018-01-19,376.47,"Jan 19, 18",370.96,372.17,665014,665014,372.8028
9,4.33,0.008965961559111,1.165,375.86,2018-01-22,376.01,"Jan 22, 18",370.62,374.44,760137,760137,374.2634
10,5.85,0.024669816385697003,1.556,381.71,2018-01-23,383.95,"Jan 23, 18",373.2692,374.47,842220,842220,381.5026
11,1.6099999999999999,0.028991731987544,0.422,383.32,2018-01-24,387.71,"Jan 24, 18",380.0,383.1,712861,712861,383.6875
12,8.52,0.051862987222162,2.223,391.84,2018-01-25,396.22,"Jan 25, 18",382.04,386.4,869794,869794,391.053
13,-17.48,0.004939332116396001,-4.461,374.36,2018-01-26,393.15,"Jan 26, 18",371.97,392.9,1429581,1429581,376.6843
14,8.52,0.027810587351014004,2.276,382.88,2018-01-29,385.71,"Jan 29, 18",371.51,373.5,1095243,1095243,380.2846
15,-3.11,0.019462042306453,-0.812,379.77,2018-01-30,384.22,"Jan 30, 18",375.0,382.8,603747,603747,380.5465
16,-13.12,-0.015757543219156,-3.455,366.65,2018-01-31,379.17,"Jan 31, 18",366.18,379.16,848735,848735,370.5867
17,-20.86,-0.071754536669172,-5.689,345.79,2018-02-01,370.99,"Feb 1, 18",345.01,366.69,2403117,2403117,352.0088
18,2.07,-0.066197788038226,0.599,347.86,2018-02-02,353.97,"Feb 2, 18",340.65,345.17,1546555,1546555,345.9715
19,-15.88,-0.10882637173843,-4.565,331.98,2018-02-05,350.8,"Feb 5, 18",331.67,346.33,1296986,1296986,340.0101
20,6.82,-0.09051862987222101,2.054,338.8,2018-02-06,339.1,"Feb 6, 18",319.5,328.44,2005639,2005639,329.0681
21,-4.19,-0.101766348115537,-1.237,334.61,2018-02-07,343.378,"Feb 7, 18",331.09,338.8,1022570,1022570,336.4027
22,-11.99,-0.13395253946096802,-3.583,322.62,2018-02-08,352.5,"Feb 8, 18",322.02,342.03,1634573,1634573,332.1471
23,13.76,-0.09701492537313401,4.265,336.38,2018-02-09,339.6,"Feb 9, 18",314.99,327.21,2088286,2088286,327.37
24,6.29,-0.08012992591001801,1.87,342.67,2018-02-12,350.99,"Feb 12, 18",334.87,339.68,1398200,1398200,341.7334
25,-18.1,-0.128717921185439,-5.282,324.57,2018-02-13,340.84,"Feb 13, 18",322.69,340.84,1557330,1557330,327.5797
26,6.12,-0.112289273059164,1.8860000000000001,330.69,2018-02-14,330.84,"Feb 14, 18",313.531,321.34,1981369,1981369,321.1617
27,2.49,-0.10560506818425801,0.753,333.18,2018-02-15,336.0409,"Feb 15, 18",327.51,331.91,834447,834447,331.3612
28,-1.03,-0.10837002040158901,-0.309,332.15,2018-02-16,341.08,"Feb 16, 18",328.9482,334.0,1175433,1175433,333.4173
29,-9.11,-0.132825083217008,-2.743,323.04,2018-02-20,332.41,"Feb 20, 18",322.1,331.0,843959,843959,325.7096
30,-5.53,-0.147669923762482,-1.712,317.51,2018-02-21,324.661,"Feb 21, 18",316.17,320.55,946763,946763,319.3524
31,-1.69,-0.152206592934607,-0.532,315.82,2018-02-22,321.66,"Feb 22, 18",315.3,317.425,841559,841559,317.4323
32,8.04,-0.130623859121657,2.5460000000000003,323.86,2018-02-23,323.9,"Feb 23, 18",315.155,318.06,688703,688703,320.7861
33,1.03,-0.127858906904327,0.318,324.89,2018-02-26,326.1595,"Feb 26, 18",320.6,324.35,552254,552254,323.7601
34,-3.92,-0.13838183184795402,-1.207,320.97,2018-02-27,327.87,"Feb 27, 18",318.5,324.96,935138,935138,321.4806
35,-0.53,-0.139804574251046,-0.165,320.44,2018-02-28,324.21,"Feb 28, 18",318.96,321.13,840298,840298,321.3444
36,1.34,-0.136207451948888,0.418,321.78,2018-03-01,327.38,"Mar 1, 18",320.23,320.35,923258,923258,322.6818
37,8.69,-0.11287984537742901,2.701,330.47,2018-03-02,333.13,"Mar 2, 18",321.5,321.94,909488,909488,328.866
38,3.44,-0.10364544185547,1.041,333.91,2018-03-05,334.15,"Mar 5, 18",327.97,327.97,746249,746249,332.2612
39,-0.43,-0.10479974229571501,-0.129,333.48,2018-03-06,337.0,"Mar 6, 18",328.2,335.0,716730,716730,332.5585
40,0.93,-0.10230323204123201,0.279,334.41,2018-03-07,335.04,"Mar 7, 18",328.28,330.33,599278,599278,331.8989
41,6.37,-0.085203479007838,1.905,340.78,2018-03-08,341.17,"Mar 8, 18",332.84,334.58,836141,836141,338.5442
42,0.92,-0.08273381294964001,0.27,341.7,2018-03-09,344.79,"Mar 9, 18",339.48,343.58,759694,759694,342.1911
