,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.07,0.0,0.862,125.21,2018-01-08,125.46,"Jan 8, 18",123.27,123.74,1401809,1401809,124.9083
1,-1.06,-0.00846577749381,-0.847,124.15,2018-01-09,125.89,"Jan 9, 18",123.5,125.65,1147322,1147322,124.135
2,0.36,-0.0055906077789310005,0.29,124.51,2018-01-10,124.77,"Jan 10, 18",122.59,123.14,1861936,1861936,123.8991
3,1.65,0.007587253414264,1.325,126.16,2018-01-11,126.46,"Jan 11, 18",124.25,124.65,2098805,2098805,125.873
4,-0.21,0.005910071080584001,-0.166,125.95,2018-01-12,126.79,"Jan 12, 18",125.11,126.24,1067453,1067453,126.0935
5,-1.3599999999999999,-0.004951681175624,-1.08,124.59,2018-01-16,127.67,"Jan 16, 18",123.8101,126.98,1289126,1289126,125.4783
6,2.01,0.011101349732449,1.613,126.6,2018-01-17,126.93,"Jan 17, 18",124.69,124.87,1081353,1081353,126.3232
7,-1.13,0.002076511460745,-0.893,125.47,2018-01-18,126.42,"Jan 18, 18",124.82,126.22,1473040,1473040,125.4667
8,0.47000000000000003,0.005830205255171,0.375,125.94,2018-01-19,126.36,"Jan 19, 18",125.1,125.71,1469079,1469079,125.7601
9,2.07,0.022362431115725,1.6440000000000001,128.01,2018-01-22,128.07,"Jan 22, 18",125.12,125.75,1947493,1947493,127.4772
10,0.14,0.023480552671511,0.109,128.15,2018-01-23,128.48,"Jan 23, 18",126.83,128.23,1485922,1485922,127.8822
11,0.74,0.029390623752096,0.577,128.89,2018-01-24,129.83,"Jan 24, 18",128.24,129.0,1811899,1811899,129.0679
12,2.01,0.045443654660171,1.5590000000000002,130.9,2018-01-25,131.97,"Jan 25, 18",128.79,129.76,1744907,1744907,130.786
13,4.32,0.079945691238719,3.3,135.22,2018-01-26,135.54,"Jan 26, 18",131.34,131.5,2239603,2239603,134.3428
14,-2.27,0.061816148869898,-1.679,132.95,2018-01-29,135.77,"Jan 29, 18",132.88,135.01,1529826,1529826,133.7323
15,-1.49,0.049916140883316,-1.121,131.46,2018-01-30,132.7347,"Jan 30, 18",130.03,131.56,1184168,1184168,131.5483
16,-0.08,0.049277214280009,-0.061,131.38,2018-01-31,133.32,"Jan 31, 18",131.01,132.31,1436132,1436132,131.8475
17,-0.76,0.043207411548598,-0.578,130.62,2018-02-01,131.69,"Feb 1, 18",129.575,130.47,1347190,1347190,130.6154
18,-2.61,0.022362431115725,-1.998,128.01,2018-02-02,130.04,"Feb 2, 18",127.78,129.93,1382548,1382548,128.8024
19,-0.96,0.014695311876048,-0.75,127.05,2018-02-05,135.0,"Feb 5, 18",125.82,125.97,3677177,3677177,130.4392
20,1.63,0.027713441418417,1.283,128.68,2018-02-06,129.19,"Feb 6, 18",124.5,124.5,2050854,2050854,127.0479
21,0.13,0.02875169714879,0.101,128.81,2018-02-07,130.69,"Feb 7, 18",127.82,128.08,1460900,1460900,129.4377
22,-4.16,-0.004472486223145,-3.23,124.65,2018-02-08,129.56,"Feb 8, 18",124.64,129.56,2050619,2050619,126.3089
23,2.19,0.013018129542368001,1.7570000000000001,126.84,2018-02-09,128.17,"Feb 9, 18",121.27,126.02,1943700,1943700,124.7578
24,2.48,0.032824854244868,1.955,129.32,2018-02-12,130.18,"Feb 12, 18",127.04,127.97,1486616,1486616,128.901
25,2.71,0.054468492931874,2.096,132.03,2018-02-13,132.18,"Feb 13, 18",128.06,128.75,2027411,2027411,130.9851
26,2.16,0.071719511221148,1.6360000000000001,134.19,2018-02-14,134.57,"Feb 14, 18",130.71,131.0,2205186,2205186,133.5877
27,5.88,0.118680616564172,4.382,140.07,2018-02-15,140.38,"Feb 15, 18",134.67,135.0,2606496,2606496,138.9795
28,2.64,0.139765194473285,1.885,142.71,2018-02-16,143.67,"Feb 16, 18",139.37,139.8,2251228,2251228,142.4206
29,1.6099999999999999,0.152623592364827,1.1280000000000001,144.32,2018-02-20,145.97,"Feb 20, 18",141.13,141.51,3242464,3242464,144.5371
30,-0.9,0.145435668077629,-0.624,143.42,2018-02-21,147.9,"Feb 21, 18",143.23,144.88,2395134,2395134,145.7829
31,1.24,0.155339030428879,0.865,144.66,2018-02-22,146.185,"Feb 22, 18",143.59,143.9,1329025,1329025,144.8966
32,1.96,0.170992732209887,1.355,146.62,2018-02-23,146.69,"Feb 23, 18",144.42,145.67,957165,957165,145.9844
33,1.4100000000000001,0.182253813593163,0.962,148.03,2018-02-26,148.44,"Feb 26, 18",146.68,147.12,874384,874384,147.7942
34,-0.59,0.177541729893778,-0.399,147.44,2018-02-27,150.3,"Feb 27, 18",147.43,148.67,1649484,1649484,148.4063
35,-0.04,0.177222266592125,-0.027,147.4,2018-02-28,149.62,"Feb 28, 18",147.4,148.0,1289432,1289432,148.4718
36,-1.96,0.161568564811117,-1.33,145.44,2018-03-01,147.94,"Mar 1, 18",143.8,147.7,1691322,1691322,145.6109
37,3.32,0.188084018848334,2.283,148.76,2018-03-02,149.02,"Mar 2, 18",143.33,144.08,1186836,1186836,147.6543
38,1.07,0.196629662167558,0.719,149.83,2018-03-05,150.28,"Mar 5, 18",147.07,147.62,1217896,1217896,149.1814
39,-0.11,0.195751138088012,-0.073,149.72,2018-03-06,152.31,"Mar 6, 18",148.39,151.12,1529841,1529841,149.6017
40,3.59,0.224422969411388,2.398,153.31,2018-03-07,157.22,"Mar 7, 18",148.04,148.81,2346053,2346053,152.7984
