,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.227966,0.0,0.442,51.7779,2018-01-08,51.8621,"Jan 8, 18",51.3814,51.4409,4803621,4803621,51.7303
1,1.0903,0.021057246431392,2.106,52.8682,2018-01-09,53.116,"Jan 9, 18",51.8572,51.9464,6660649,6660649,52.8219
2,0.218054,0.025267536922123003,0.41200000000000003,53.0862,2018-01-10,53.9931,"Jan 10, 18",52.8781,53.0069,9043341,9043341,53.3459
3,0.604603,0.036944333393204,1.139,53.6908,2018-01-11,53.7503,"Jan 11, 18",52.7692,53.2745,5379327,5379327,53.425
4,1.2092,0.06029792633536601,2.252,54.9,2018-01-12,55.0289,"Jan 12, 18",54.1765,54.1765,7516978,7516978,54.7302
5,0.138761,0.062978606702859,0.253,55.0388,2018-01-16,55.6335,"Jan 16, 18",54.4837,55.237,9365297,9365297,55.0617
6,0.555047,0.07369746552100401,1.008,55.5938,2018-01-17,55.7524,"Jan 17, 18",54.0377,55.1181,8312166,8312166,55.3259
7,-0.753277,0.05915071874293801,-1.355,54.8406,2018-01-18,55.7227,"Jan 18, 18",54.6473,55.2866,5837280,5837280,54.9673
8,0.148673,0.062020669049922005,0.271,54.9892,2018-01-19,55.1082,"Jan 19, 18",54.6622,54.9496,7439457,7439457,54.9035
9,-0.039646999999999995,0.061255863988303,-0.07200000000000001,54.9496,2018-01-22,55.1181,"Jan 22, 18",54.2459,54.9099,7245606,7245606,54.6567
10,-0.11893799999999999,0.05895758615162001,-0.216,54.8306,2018-01-23,55.3659,"Jan 23, 18",54.5432,54.6721,7011542,7011542,54.8357
11,0.069381,0.06029792633536601,0.127,54.9,2018-01-24,55.3758,"Jan 24, 18",54.4689,55.2568,6351387,6351387,54.9442
12,-1.1993,0.037135534658609005,-2.185,53.7007,2018-01-25,55.1676,"Jan 25, 18",53.5075,55.1181,7453650,7453650,54.0383
13,0.08920399999999999,0.038858277373165,0.166,53.7899,2018-01-26,53.9485,"Jan 26, 18",53.2646,53.8891,8782004,8782004,53.5739
14,-0.218054,0.034647986882434,-0.405,53.5719,2018-01-29,54.2657,"Jan 29, 18",53.3935,53.8791,8052354,8052354,53.6861
