,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.108,0.0,0.908,123.1333,2018-01-08,123.1819,"Jan 8, 18",121.5491,122.0934,1045729,1045729,122.7107
1,0.097193,0.000789388410771,0.079,123.2305,2018-01-09,123.872,"Jan 9, 18",122.6182,122.9681,1314322,1314322,123.3992
2,-2.5562,-0.019970227387717,-2.074,120.6743,2018-01-10,122.7203,"Jan 10, 18",120.305,122.2877,1354219,1354219,120.9118
3,-0.981645,-0.027942075782911004,-0.8130000000000001,119.6927,2018-01-11,121.1506,"Jan 11, 18",119.4206,120.9756,659018,659018,119.9998
4,0.27213899999999996,-0.025732275509549003,0.227,119.9648,2018-01-12,120.3439,"Jan 12, 18",119.3525,120.0523,617956,617956,119.8649
5,0.563717,-0.021153497875879,0.47000000000000003,120.5286,2018-01-16,121.3051,"Jan 16, 18",120.1592,120.5577,723522,723522,120.5812
6,1.7786,-0.006708989363559001,1.476,122.3072,2018-01-17,123.4152,"Jan 17, 18",121.0242,121.0242,673181,673181,122.493
7,-0.15550899999999998,-0.007971848395194001,-0.127,122.1517,2018-01-18,122.6668,"Jan 18, 18",121.034,122.0059,857054,857054,121.9657
8,1.7981,0.006630212948081001,1.472,123.9497,2018-01-19,124.0761,"Jan 19, 18",122.1614,122.5599,807376,807376,123.1937
9,-0.145788,0.005446130331924001,-0.11800000000000001,123.8039,2018-01-22,124.2413,"Jan 22, 18",123.0847,123.3957,569632,569632,123.6016
10,0.6414719999999999,0.010655931417415,0.518,124.4454,2018-01-23,124.9314,"Jan 23, 18",122.8612,123.4152,815923,815923,124.2788
11,-1.0691,0.001973471026927,-0.859,123.3763,2018-01-24,125.0091,"Jan 24, 18",122.4918,124.6398,1084215,1084215,123.4507
12,2.5367,0.022574721866464,2.056,125.913,2018-01-25,129.0329,"Jan 25, 18",124.3385,124.3871,2091136,2091136,126.6641
13,1.4676,0.034493512315514,1.166,127.3806,2018-01-26,127.4487,"Jan 26, 18",125.5631,125.913,839376,839376,126.6995
14,-1.5939999999999999,0.021549004209259003,-1.251,125.7867,2018-01-29,128.0464,"Jan 29, 18",125.5729,126.4184,943487,943487,126.266
15,-1.905,0.0060779659117390005,-1.514,123.8817,2018-01-30,126.4962,"Jan 30, 18",123.4152,125.1355,969452,969452,124.2073
16,-0.553998,0.001578776821542,-0.447,123.3277,2018-01-31,124.3677,"Jan 31, 18",122.7445,124.0761,4547084,4547084,123.3022
17,-0.8358559999999999,-0.0052098010854900005,-0.678,122.4918,2018-02-01,123.1139,"Feb 1, 18",121.4713,122.9195,1136232,1136232,122.2534
18,-5.7440999999999995,-0.05185843309648901,-4.689,116.7478,2018-02-02,121.9864,"Feb 2, 18",116.5242,121.7435,1481681,1481681,118.7824
19,-3.392,-0.07940662680201001,-2.9050000000000002,113.3557,2018-02-05,117.7586,"Feb 5, 18",113.3557,115.6495,1145576,1145576,115.2873
20,3.1976,-0.053437209918032004,2.821,116.5534,2018-02-06,117.0782,"Feb 6, 18",111.1203,111.684,1275637,1275637,115.1117
21,-0.087473,-0.054147821913324005,-0.075,116.4659,2018-02-07,117.7877,"Feb 7, 18",115.6884,115.9216,1341496,1341496,116.9445
22,-0.665266,-0.059550909461534005,-0.5710000000000001,115.8006,2018-02-08,117.992,"Feb 8, 18",115.7909,116.9355,1185316,1185316,116.8916
23,1.125,-0.050413657394059,0.972,116.9257,2018-02-09,117.9333,"Feb 9, 18",114.2452,116.9648,942805,942805,116.288
24,-0.117394,-0.051367095659744004,-0.1,116.8083,2018-02-12,118.0703,"Feb 12, 18",115.8496,117.3659,893082,893082,116.9568
25,0.283704,-0.049063088539006004,0.243,117.092,2018-02-13,117.4931,"Feb 13, 18",114.8028,116.143,882600,882600,116.6084
26,1.2913000000000001,-0.038576079744472004,1.103,118.3833,2018-02-14,118.4812,"Feb 14, 18",114.5778,116.2702,1084760,1084760,117.319
27,1.6044,-0.025546298198781,1.355,119.9877,2018-02-15,120.8389,"Feb 15, 18",116.8083,118.941,1394633,1394633,119.0775
28,1.7707000000000002,-0.011165947798036,1.476,121.7584,2018-02-16,122.2378,"Feb 16, 18",116.3778,121.1128,1513132,1513132,120.0301
29,-0.577194,-0.015852738454991,-0.47400000000000003,121.1813,2018-02-20,121.822,"Feb 20, 18",119.5377,121.6313,953384,953384,120.9185
30,-2.9838,-0.040085013558476004,-2.462,118.1975,2018-02-21,122.5117,"Feb 21, 18",118.0801,121.5237,744103,744103,119.868
31,1.9762,-0.024036552256781002,1.6720000000000002,120.1736,2018-02-22,120.3546,"Feb 22, 18",118.0507,118.3442,1073109,1073109,119.9496
32,1.6729,-0.010450463034776002,1.392,121.8465,2018-02-23,121.8661,"Feb 23, 18",118.7355,120.6041,1447685,1447685,120.8283
33,2.4164,0.009173797827232,1.983,124.2629,2018-02-26,124.2922,"Feb 26, 18",121.0834,121.6313,989606,989606,123.358
34,-0.371751,0.006154305943233,-0.299,123.8911,2018-02-27,127.3934,"Feb 27, 18",123.8911,124.302,1384223,1384223,125.2379
35,-0.332619,0.0034531682331260002,-0.268,123.5585,2018-02-28,125.4466,"Feb 28, 18",123.3237,124.5955,1109819,1109819,123.9683
36,0.5869759999999999,0.008220359561548,0.47500000000000003,124.1455,2018-03-01,125.8477,"Mar 1, 18",122.9422,123.3139,912716,912716,124.0995
37,1.5164,0.020534656343978,1.221,125.6618,2018-03-02,126.1999,"Mar 2, 18",123.6172,123.6172,879319,879319,125.5214
38,1.5359,0.033008942341348005,1.222,127.1978,2018-03-05,127.5206,"Mar 5, 18",122.1302,125.202,981246,981246,126.9706
