,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.46317899999999995,0.0,-0.481,95.8973,2018-01-08,96.4956,"Jan 8, 18",95.2701,96.1772,844354,844354,95.8276
1,-0.723718,-0.007546614972475001,-0.755,95.1736,2018-01-09,96.0035,"Jan 9, 18",95.1061,95.6271,1039838,1039838,95.5264
2,-2.4606,-0.033205314435338,-2.585,92.713,2018-01-10,94.8262,"Jan 10, 18",92.327,94.8262,993821,993821,93.0191
3,-0.337735,-0.036727832796126,-0.364,92.3752,2018-01-11,93.3112,"Jan 11, 18",92.1244,93.1183,664325,664325,92.5051
4,-0.250889,-0.039343130619944,-0.272,92.1244,2018-01-12,92.5296,"Jan 12, 18",91.8928,92.5007,616582,616582,92.1998
5,-0.46317899999999995,-0.044173297892641,-0.503,91.6612,2018-01-16,93.181,"Jan 16, 18",91.6129,92.3849,695142,695142,92.1408
6,0.077198,-0.043368270013858005,0.084,91.7384,2018-01-17,92.4331,"Jan 17, 18",91.1112,92.2015,850050,850050,91.5896
7,-0.9263579999999999,-0.053028604559252006,-1.01,90.812,2018-01-18,91.7866,"Jan 18, 18",90.6962,91.7866,858522,858522,90.9656
8,-0.192992,-0.055041174256209004,-0.213,90.619,2018-01-19,91.4055,"Jan 19, 18",89.6927,90.8796,1699843,1699843,90.1984
9,1.9782000000000002,-0.034412856253512,2.183,92.5972,2018-01-22,92.7612,"Jan 22, 18",90.5901,90.5901,1183588,1183588,92.0485
10,1.1483,-0.022438587947731,1.24,93.7455,2018-01-23,93.8034,"Jan 23, 18",92.6261,92.8095,830588,830588,93.5108
11,-0.164043,-0.024149793581258003,-0.17500000000000002,93.5814,2018-01-24,94.1894,"Jan 24, 18",93.1183,93.7358,980037,980037,93.5063
12,-0.47282799999999997,-0.029080067947689,-0.505,93.1086,2018-01-25,93.6876,"Jan 25, 18",91.28,92.6454,1111095,1111095,92.6081
13,1.3799000000000001,-0.014690716005560002,1.482,94.4885,2018-01-26,95.7719,"Jan 26, 18",93.0266,94.6718,987339,987339,94.2462
14,0.530726,-0.009156670730041,0.562,95.0192,2018-01-29,95.5113,"Jan 29, 18",93.5814,94.4595,1288918,1288918,94.7395
15,-0.270187,-0.011974268305781001,-0.28400000000000003,94.749,2018-01-30,95.521,"Jan 30, 18",94.3727,94.9324,1350870,1350870,94.7897
16,2.2483,0.011471647272655,2.373,96.9974,2018-01-31,97.036,"Jan 31, 18",94.8069,95.1061,1612494,1612494,96.3567
17,-0.984254,0.001207541818174,-1.015,96.0131,2018-02-01,97.4461,"Feb 1, 18",95.5017,96.9491,1202948,1202948,96.0977
18,-1.3799000000000001,-0.013181810123955001,-1.437,94.6332,2018-02-02,95.9359,"Feb 2, 18",93.9964,95.3377,1426507,1426507,94.8918
19,-4.2748,-0.057757621955988006,-4.517,90.3585,2018-02-05,94.4306,"Feb 5, 18",90.3585,94.2666,1788310,1788310,92.1082
20,-0.183342,-0.05967008455921,-0.203,90.1751,2018-02-06,91.3862,"Feb 6, 18",88.004,89.0847,2448717,2448717,89.5489
21,-0.569325,-0.06560664377412001,-0.631,89.6058,2018-02-07,91.4296,"Feb 7, 18",89.5286,89.91460000000001,1100825,1100825,90.2431
22,-2.1711,-0.08824648869154801,-2.423,87.4347,2018-02-08,90.8796,"Feb 8, 18",87.4347,89.4128,1376334,1376334,89.0305
23,1.5150000000000001,-0.07244938074377401,1.733,88.9496,2018-02-09,89.7892,"Feb 9, 18",86.325,87.9557,1761105,1761105,88.3254
24,0.492127,-0.067316806625421,0.553,89.4418,2018-02-12,89.9339,"Feb 12, 18",86.4794,89.0751,996285,996285,88.6068
25,1.0904,-0.055946309228726,1.219,90.5322,2018-02-13,90.9664,"Feb 13, 18",88.6891,89.4128,921313,921313,89.9726
26,-0.028949,-0.056248716074383004,-0.032,90.5032,2018-02-14,91.1208,"Feb 14, 18",88.8049,89.8567,1124675,1124675,90.2924
27,1.6886999999999999,-0.038639252617122005,1.866,92.1919,2018-02-15,92.6068,"Feb 15, 18",90.5708,90.8313,1040004,1040004,92.1409
28,0.636872,-0.031997772617164,0.6910000000000001,92.8288,2018-02-16,93.2437,"Feb 16, 18",92.0375,92.1244,639791,639791,92.782
29,0.048248,-0.031495151584038004,0.052000000000000005,92.877,2018-02-20,94.0929,"Feb 20, 18",92.4235,92.5007,1043264,1043264,93.2507
30,-1.6886999999999999,-0.049104615041299,-1.818,91.1883,2018-02-21,93.9385,"Feb 21, 18",91.1787,92.6647,1382164,1382164,92.1598
31,1.3606,-0.034916520068865003,1.492,92.5489,2018-02-22,93.7455,"Feb 22, 18",91.2462,91.3427,885990,885990,92.9118
32,1.6501000000000001,-0.017709570550995,1.783,94.199,2018-02-23,94.2473,"Feb 23, 18",92.0665,93.1183,431887,431887,93.529
33,0.42458,-0.01328191721769,0.451,94.6236,2018-02-26,94.6718,"Feb 26, 18",93.6007,94.4981,556776,556776,94.2834
34,-2.094,-0.035117777038561004,-2.213,92.5296,2018-02-27,95.4824,"Feb 27, 18",92.491,94.778,959204,959204,93.2353
35,0.9939049999999999,-0.024753564490345003,1.074,93.5235,2018-02-28,94.9806,"Feb 28, 18",92.5875,93.0604,1467199,1467199,93.8231
36,-0.24124,-0.027268755220428,-0.258,93.2823,2018-03-01,94.7104,"Mar 1, 18",92.2401,93.0121,1233692,1233692,93.4684
37,1.1386,-0.015395636790608002,1.221,94.4209,2018-03-02,94.4788,"Mar 2, 18",91.9121,92.9156,1015160,1015160,93.4025
38,0.540374,-0.009760441639128,0.5720000000000001,94.9613,2018-03-05,95.7622,"Mar 5, 18",93.1376,93.3402,1354153,1354153,95.0118
39,1.3702,0.004528803209266,1.443,96.3316,2018-03-06,96.4281,"Mar 6, 18",94.3824,94.8938,698881,698881,95.8327
40,0.24124,0.007043993939349001,0.25,96.5728,2018-03-07,97.036,"Mar 7, 18",95.4149,95.8491,996531,996531,96.5593
41,-0.5886239999999999,0.0009061777547430001,-0.61,95.9842,2018-03-08,96.9781,"Mar 8, 18",95.685,96.9781,761608,761608,96.1526
42,0.135094,0.0023149765426130004,0.14100000000000001,96.1193,2018-03-09,96.2737,"Mar 9, 18",94.3727,96.2158,799569,799569,95.6112
43,0.17369099999999998,0.004126289269875,0.181,96.293,2018-03-12,96.6114,"Mar 12, 18",95.5403,95.9649,1115684,1115684,96.1805
44,-1.2544,-0.008955413760345001,-1.303,95.0385,2018-03-13,96.843,"Mar 13, 18",94.7587,96.843,928463,928463,95.3397
45,0.21229099999999998,-0.006741587093692001,0.223,95.2508,2018-03-14,95.5885,"Mar 14, 18",94.5946,95.4631,784012,784012,95.0971
46,-0.318436,-0.010061805702558001,-0.334,94.9324,2018-03-15,95.521,"Mar 15, 18",94.2955,95.4438,761499,761499,94.9173
47,0.540376,-0.004426610551079,0.5690000000000001,95.4728,2018-03-16,95.9649,"Mar 16, 18",94.2955,94.8069,2466745,2466745,95.4111
48,-0.656171,-0.011269347520733,-0.687,94.8166,2018-03-19,95.521,"Mar 19, 18",94.1604,95.521,737900,737900,94.9364
49,-0.65617,-0.018112084490387002,-0.6920000000000001,94.1604,2018-03-20,95.6271,"Mar 20, 18",93.4753,94.9034,813500,813500,94.1154
50,-0.578974,-0.024149793581258003,-0.615,93.5814,2018-03-21,94.6815,"Mar 21, 18",93.1134,94.2183,843660,843660,93.7707
51,-0.897409,-0.033507721280995,-0.9590000000000001,92.684,2018-03-22,94.7683,"Mar 22, 18",92.6358,93.2726,604609,604609,93.8055
52,-3.001,-0.064801615895337,-3.238,89.683,2018-03-23,92.9156,"Mar 23, 18",89.3742,92.713,1116560,1116560,90.682
53,1.4474,-0.04970838595038601,1.6139999999999999,91.1304,2018-03-26,91.3234,"Mar 26, 18",89.1812,90.4646,814005,814005,90.3155
54,0.501777,-0.044475704738298004,0.551,91.6322,2018-03-27,93.0797,"Mar 27, 18",89.6541,91.0726,753250,753250,91.6704
55,2.9238,-0.013986838002738,3.191,94.556,2018-03-28,94.7876,"Mar 28, 18",92.1726,92.1726,829003,829003,94.1564
56,-0.338093,-0.017512484710205,-0.358,94.2179,2018-03-29,95.1715,"Mar 29, 18",93.8093,94.5682,773978,773978,94.4223
57,-1.4206,-0.032326249018481,-1.508,92.7973,2018-04-02,94.6072,"Apr 2, 18",92.0481,94.3055,832719,832719,93.0883
58,1.3914,-0.017815934338088,1.499,94.1888,2018-04-03,94.5877,"Apr 3, 18",92.014,92.8752,945592,945592,93.878
59,-0.46705199999999997,-0.022686770117615003,-0.496,93.7217,2018-04-04,94.7142,"Apr 4, 18",92.7098,93.5466,1242531,1242531,93.6316
60,-0.311368,-0.025933993970633003,-0.332,93.4103,2018-04-05,94.0331,"Apr 5, 18",92.486,94.0331,627264,627264,93.2365
61,-1.4401000000000002,-0.04095005803083,-1.542,91.9703,2018-04-06,94.0331,"Apr 6, 18",91.6881,93.1379,951440,951440,92.3113
62,-0.06811199999999999,-0.041660192727011006,-0.074,91.9022,2018-04-09,92.9627,"Apr 9, 18",91.6832,92.2232,559920,559920,92.3038
63,0.720038,-0.034152160696912,0.783,92.6222,2018-04-10,93.2644,"Apr 10, 18",91.6492,92.3887,648948,648948,92.6015
64,-0.077842,-0.034964488051279004,-0.084,92.5443,2018-04-11,93.4979,"Apr 11, 18",91.6005,92.0092,482632,482632,92.7499
65,-0.10703199999999999,-0.036080265033530005,-0.116,92.4373,2018-04-12,92.6708,"Apr 12, 18",91.4351,92.6416,888084,888084,92.1543
66,0.13622299999999998,-0.034659995641170005,0.147,92.5735,2018-04-13,92.7876,"Apr 13, 18",91.727,92.486,728077,728077,92.2608
67,1.3428,-0.020657515905035003,1.45,93.9163,2018-04-16,94.3153,"Apr 16, 18",92.3497,93.1671,781225,781225,93.5707
68,0.544894,-0.014975395553367,0.58,94.4612,2018-04-17,95.1618,"Apr 17, 18",93.4687,94.0233,626551,626551,94.5508
69,-0.554624,-0.020758665780997002,-0.587,93.9066,2018-04-18,95.2591,"Apr 18, 18",93.6147,94.8699,750800,750800,94.2381
70,0.525434,-0.015279887963477002,0.56,94.432,2018-04-19,95.5705,"Apr 19, 18",92.34,94.0136,864368,864368,93.9365
71,-1.0217,-0.025933993970633003,-1.082,93.4103,2018-04-20,95.4829,"Apr 20, 18",92.5833,94.3444,842026,842026,93.4648
72,0.21406499999999998,-0.023701397223905,0.229,93.6244,2018-04-23,94.1401,"Apr 23, 18",92.9044,93.6244,764121,764121,93.6262
73,-0.048651,-0.024208189385936003,-0.052000000000000005,93.5758,2018-04-24,93.9552,"Apr 24, 18",92.5735,93.3325,718734,718734,93.4213
74,0.21406499999999998,-0.021976635421435003,0.229,93.7898,2018-04-25,94.3542,"Apr 25, 18",92.8557,93.4882,803370,803370,93.6048
75,1.2455,-0.00898878279159,1.328,95.0353,2018-04-26,95.6191,"Apr 26, 18",93.7704,93.965,834238,834238,95.1196
76,0.924373,0.000650696109275,0.973,95.9597,2018-04-27,96.7673,"Apr 27, 18",94.5293,94.6461,1136184,1136184,96.1417
77,-0.856262,-0.00827864809541,-0.892,95.1034,2018-04-30,96.5727,"Apr 30, 18",94.9574,96.4073,1147247,1147247,95.4078
78,0.4184,-0.003915647260141,0.44,95.5218,2018-05-01,96.0862,"May 1, 18",94.5196,95.1618,1513701,1513701,95.3719
79,-1.1287,-0.015685530249548,-1.182,94.3931,2018-05-02,95.2104,"May 2, 18",93.0114,95.0547,1208978,1208978,94.5817
80,0.486512,-0.010612394718099001,0.515,94.8796,2018-05-03,95.2591,"May 3, 18",94.072,94.1888,2358100,2358100,94.8082
81,2.345,0.013840848491041,2.472,97.2246,2018-05-04,97.6722,"May 4, 18",94.8504,94.8699,1103871,1103871,96.9245
82,0.428131,0.018304999202271,0.44,97.6527,2018-05-07,97.9738,"May 7, 18",97.283,97.8181,795519,795519,97.6597
83,-0.087573,0.017392564754169,-0.09,97.5652,2018-05-08,97.9154,"May 8, 18",96.9035,97.4776,752668,752668,97.5101
84,0.622736,0.023885969677978004,0.638,98.1879,2018-05-09,98.4117,"May 9, 18",97.1954,97.536,612806,612806,98.0097
85,0.30163799999999996,0.027031000872808002,0.307,98.4895,2018-05-10,98.976,"May 10, 18",97.9008,98.5576,605865,605865,98.4679
86,-1.1092,0.01546446041755,-1.126,97.3803,2018-05-11,98.8885,"May 11, 18",97.1759,98.6257,614674,614674,97.5586
87,-1.0898,0.004100219714215,-1.119,96.2905,2018-05-14,97.6041,"May 14, 18",95.948,97.3705,1153124,1153124,96.5084
88,-2.4131,-0.021063158191106,-2.5060000000000002,93.8774,2018-05-15,95.8332,"May 15, 18",93.5563,95.6386,1350875,1350875,94.3061
89,-1.3233000000000001,-0.034862295393092005,-1.4100000000000001,92.5541,2018-05-16,94.3602,"May 16, 18",92.4179,94.0915,1212436,1212436,92.8572
90,-0.5351629999999999,-0.040443265868799004,-0.578,92.0189,2018-05-17,93.0357,"May 17, 18",91.7173,92.5054,989681,989681,92.1345
