,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.0492,0.0,0.654,161.4328,2018-01-08,162.3103,"Jan 8, 18",160.5649,161.1562,1874939,1874939,161.4263
1,-3.5482,-0.021978804802989003,-2.198,157.8847,2018-01-09,161.5854,"Jan 9, 18",157.5031,161.1085,1720886,1720886,158.6714
2,-0.524597,-0.025228454192704003,-0.332,157.3601,2018-01-10,157.4936,"Jan 10, 18",155.2521,157.0739,1339538,1339538,156.6948
3,-0.143072,-0.026114891149753003,-0.091,157.217,2018-01-11,157.8465,"Jan 11, 18",156.4825,157.6176,1494603,1494603,157.232
4,0.648593,-0.022097120287822,0.41300000000000003,157.8656,2018-01-12,158.3043,"Jan 12, 18",156.7759,157.3887,1238631,1238631,157.8726
5,-0.448291,-0.024874127191004004,-0.28400000000000003,157.4173,2018-01-16,160.336,"Jan 16, 18",157.2838,158.2566,1449412,1449412,158.3467
6,2.251,-0.010930244659077,1.43,159.6683,2018-01-17,160.2024,"Jan 17, 18",157.0167,158.0659,1699268,1699268,159.2614
7,-3.0045,-0.029541704040318,-1.8820000000000001,156.6638,2018-01-18,159.8877,"Jan 18, 18",156.1869,159.3154,1947562,1947562,157.0165
8,-0.009538,-0.029601171509135004,-0.006,156.6542,2018-01-19,157.651,"Jan 19, 18",155.5001,157.2933,1805213,1805213,156.7727
9,1.7741,-0.01861145938124,1.1320000000000001,158.4283,2018-01-22,159.1246,"Jan 22, 18",156.4921,156.6924,1751645,1751645,158.0829
10,0.219376,-0.017252379937658,0.138,158.6477,2018-01-23,161.4615,"Jan 23, 18",157.9419,159.22,2863969,2863969,159.1434
11,-0.219376,-0.01861145938124,-0.138,158.4283,2018-01-24,159.4394,"Jan 24, 18",157.1598,158.9529,1802212,1802212,158.0441
12,-1.8122,-0.029837183026002002,-1.1440000000000001,156.6161,2018-01-25,158.5523,"Jan 25, 18",155.09,157.9323,1476861,1476861,156.3148
13,-0.46737000000000006,-0.032732505414017,-0.298,156.1487,2018-01-26,157.7225,"Jan 26, 18",155.4906,157.2361,1574717,1574717,156.1905
14,-0.753512,-0.037400082263331004,-0.483,155.3952,2018-01-29,156.225,"Jan 29, 18",154.3555,155.8816,1678637,1678637,155.3149
15,-0.29568099999999997,-0.039231804193447004,-0.19,155.0995,2018-01-30,155.9198,"Jan 30, 18",153.8119,155.2903,2145028,2145028,154.6654
16,0.724897,-0.034741390844983004,0.467,155.8244,2018-01-31,156.1106,"Jan 31, 18",151.2366,152.5815,3259452,3259452,154.3847
17,-3.5482,-0.056720815100772,-2.277,152.2762,2018-02-01,157.217,"Feb 1, 18",151.9424,156.0533,2652727,2652727,153.1109
18,-2.9854000000000003,-0.07521395899718,-1.9609999999999999,149.2908,2018-02-02,152.6101,"Feb 2, 18",148.5087,151.8375,3166161,3166161,149.9261
19,-1.3353000000000002,-0.08348551223790901,-0.894,147.9555,2018-02-05,151.8279,"Feb 5, 18",147.2306,148.4896,2678627,2678627,149.2098
20,0.820278,-0.07840476037087801,0.554,148.7757,2018-02-06,148.8807,"Feb 6, 18",145.1036,147.0398,3469694,3469694,147.0805
21,-1.0683,-0.08502175518234101,-0.718,147.7075,2018-02-07,151.1793,"Feb 7, 18",147.6121,148.5945,2055725,2055725,148.8199
22,-2.5562,-0.100856207660401,-1.7309999999999999,145.1513,2018-02-08,149.6246,"Feb 8, 18",145.1131,147.2592,2940126,2940126,147.0422
23,4.7881,-0.071196188135248,3.299,149.9394,2018-02-09,151.1507,"Feb 9, 18",144.2833,145.8285,3211691,3211691,148.102
24,-0.381526,-0.073559400567914,-0.254,149.5579,2018-02-12,150.5498,"Feb 12, 18",145.3229,150.0634,2338537,2338537,148.1643
25,0.6180939999999999,-0.069730562810036,0.41300000000000003,150.176,2018-02-13,150.7651,"Feb 13, 18",148.254,149.2777,1481858,1481858,149.7902
26,-1.3522,-0.07810680357399401,-0.9,148.8238,2018-02-14,149.7317,"Feb 14, 18",146.1388,149.3743,2092528,2092528,148.3333
27,1.9896,-0.06578217066172401,1.337,150.8134,2018-02-15,151.3131,"Feb 15, 18",148.6017,149.2874,1692440,1692440,150.3085
28,-0.05795,-0.066140833833025,-0.038,150.7555,2018-02-16,152.1559,"Feb 16, 18",150.176,150.6782,1909869,1909869,150.9621
29,-0.48291199999999995,-0.069132790857867,-0.32,150.2725,2018-02-20,152.0207,"Feb 20, 18",150.2146,150.6396,1516642,1516642,150.8598
30,-4.1434,-0.094798578727495,-2.757,146.1292,2018-02-21,150.3691,"Feb 21, 18",146.1098,149.7027,1657113,1657113,147.6188
31,2.6367000000000003,-0.078465466745295,1.804,148.7659,2018-02-22,150.6299,"Feb 22, 18",146.8439,146.8439,1602912,1602912,149.1675
32,2.5401,-0.06273074616806401,1.7069999999999999,151.306,2018-02-23,151.306,"Feb 23, 18",148.621,149.1618,1071009,1071009,150.549
33,2.3276,-0.048312362791204,1.538,153.6336,2018-02-26,153.7109,"Feb 26, 18",151.1514,151.7792,1451846,1451846,152.7414
34,-4.9643,-0.07906385815026401,-3.231,148.6693,2018-02-27,155.5749,"Feb 27, 18",148.6693,154.6381,1944287,1944287,150.4896
35,-0.405647,-0.08157697816057201,-0.273,148.2636,2018-02-28,150.4947,"Feb 28, 18",148.1381,149.3936,2076066,2076066,148.871
36,1.3811,-0.073021096084562,0.932,149.6448,2018-03-01,151.5233,"Mar 1, 18",147.6649,148.0608,1655159,1655159,149.8224
37,0.5601769999999999,-0.069551540950785,0.374,150.2049,2018-03-02,150.4174,"Mar 2, 18",147.887,149.4806,1566075,1566075,149.5273
38,1.8737,-0.057944853833917,1.2469999999999999,152.0786,2018-03-05,153.2473,"Mar 5, 18",149.0942,149.0942,1610266,1610266,151.98930000000001
39,0.164189,-0.05692771233603001,0.108,152.2428,2018-03-06,152.774,"Mar 6, 18",150.6975,151.3929,1472017,1472017,152.0471
40,-1.6516000000000002,-0.067157975330911,-1.085,150.5913,2018-03-07,153.0734,"Mar 7, 18",149.9538,151.3253,1461896,1461896,150.7631
41,0.347696,-0.065004137944705,0.231,150.939,2018-03-08,151.6826,"Mar 8, 18",149.8669,150.8424,1201691,1201691,150.9945
42,0.28009,-0.06326905065141601,0.186,151.2191,2018-03-09,151.4315,"Mar 9, 18",148.8818,150.8037,1376266,1376266,150.2278
43,0.164189,-0.06225252860633,0.109,151.3832,2018-03-12,152.407,"Mar 12, 18",150.7748,151.3639,2259690,2259690,151.4639
44,0.705052,-0.057884766912300004,0.466,152.0883,2018-03-13,153.8268,"Mar 13, 18",150.7023,151.7599,1409061,1409061,152.4414
45,0.9851409999999999,-0.051782537377781004,0.648,153.0734,2018-03-14,153.8751,"Mar 14, 18",151.6537,152.8513,2498165,2498165,152.9566
46,-1.8254000000000001,-0.063090028792166,-1.193,151.248,2018-03-15,153.7254,"Mar 15, 18",150.4657,153.1024,1792806,1792806,151.5275
47,0.511887,-0.05991904990807301,0.338,151.7599,2018-03-16,152.6485,"Mar 16, 18",150.7168,151.1514,2092573,2092573,151.6712
48,-1.6419000000000001,-0.070089845434137,-1.082,150.118,2018-03-19,151.9338,"Mar 19, 18",148.8818,151.9338,1269287,1269287,150.1187
49,-0.8209500000000001,-0.075174933470769,-0.547,149.2971,2018-03-20,151.4412,"Mar 20, 18",148.9204,150.3691,1318213,1318213,149.4471
50,-0.23179799999999998,-0.076610825061573,-0.155,149.0653,2018-03-21,150.3305,"Mar 21, 18",148.0801,149.5675,1401020,1401020,149.0343
51,-1.7481,-0.08744009891422201,-1.173,147.3171,2018-03-22,149.9055,"Mar 22, 18",147.2012,148.6789,1797340,1797340,148.4285
52,-0.77266,-0.09222599124837001,-0.524,146.5445,2018-03-23,149.3454,"Mar 23, 18",146.2064,147.5779,1784987,1784987,147.869
