,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.0568,0.0,1.096,97.5128,2018-01-08,97.914,"Jan 8, 18",96.1183,96.4461,1497696,1497696,97.4802
1,1.7125,0.017560771508971,1.756,99.2252,2018-01-09,99.876,"Jan 9, 18",97.8063,97.8553,1627517,1627517,99.212
2,2.7889,0.04616111936074,2.811,102.0141,2018-01-10,102.6795,"Jan 10, 18",99.8124,100.605,1827408,1827408,102.0287
3,1.4972,0.06151500110754601,1.468,103.5113,2018-01-11,103.5798,"Jan 11, 18",101.926,102.6306,1637024,1637024,103.0254
4,1.4287,0.07616641097373801,1.38,104.94,2018-01-12,105.2629,"Jan 12, 18",103.8342,103.981,1475592,1475592,104.724
5,-1.2428,0.063421417495959,-1.184,103.6972,2018-01-16,106.173,"Jan 16, 18",103.4232,105.5369,1887496,1887496,104.5294
6,0.42077699999999996,0.06773674840636301,0.406,104.118,2018-01-17,104.4213,"Jan 17, 18",103.3449,104.1963,1797401,1797401,103.9668
7,-1.321,0.054188783421253,-1.2690000000000001,102.7969,2018-01-18,104.1767,"Jan 18, 18",102.6306,103.8342,2504399,2504399,103.0256
8,2.5051,0.079878744123848,2.437,105.302,2018-01-19,105.3314,"Jan 19, 18",102.9927,103.1982,1884760,1884760,104.6477
9,1.3504,0.093727182482709,1.282,106.6524,2018-01-22,106.7601,"Jan 22, 18",104.8715,105.214,2068791,2068791,105.9969
10,3.1216,0.125739390110836,2.927,109.774,2018-01-23,110.0187,"Jan 23, 18",106.6524,106.6524,3373112,3373112,108.9602
11,0.518633,0.131058691782001,0.47200000000000003,110.2927,2018-01-24,111.8192,"Jan 24, 18",109.5979,110.1459,2224249,2224249,110.5022
12,-2.329,0.107174647841103,-2.112,107.9637,2018-01-25,110.3807,"Jan 25, 18",107.6995,110.3514,1731030,1731030,108.416
13,0.567561,0.112995422139452,0.526,108.5313,2018-01-26,108.5313,"Jan 26, 18",106.8824,107.9637,1695023,1695023,108.1736
14,0.7632700000000001,0.12082208694653401,0.7030000000000001,109.2945,2018-01-29,110.2242,"Jan 29, 18",108.59,108.6683,1875300,1875300,109.569
15,-1.5168,0.10526823145269101,-1.388,107.7778,2018-01-30,109.2554,"Jan 30, 18",107.5038,109.0793,1567748,1567748,108.2901
16,0.029355,0.10556870482644301,0.027,107.8071,2018-01-31,108.5704,"Jan 31, 18",107.3374,107.768,2048420,2048420,107.8957
17,0.15656899999999999,0.107174647841103,0.145,107.9637,2018-02-01,108.6096,"Feb 1, 18",107.0439,107.4157,1465814,1465814,107.8195
18,-2.7987,0.078473800362619,-2.592,105.165,2018-02-02,108.3943,"Feb 2, 18",104.9938,107.9148,2503658,2503658,106.0391
19,-4.8928,0.028298848971622003,-4.652,100.2723,2018-02-05,105.4978,"Feb 5, 18",100.0276,104.2158,1958863,1958863,102.5809
20,1.9865,0.048669508003051004,1.9809999999999999,102.2587,2018-02-06,102.4642,"Feb 6, 18",97.2877,98.002,2766280,2766280,100.8404
21,-0.958981,0.038835927180841,-0.9380000000000001,101.2998,2018-02-07,103.8146,"Feb 7, 18",101.2019,101.5053,2110359,2110359,102.3062
22,-4.8732,-0.011139050463118002,-4.811,96.4266,2018-02-08,101.6912,"Feb 8, 18",96.3776,101.4368,2277937,2277937,98.0552
23,1.4385,0.0036118335233930004,1.492,97.865,2018-02-09,98.7066,"Feb 9, 18",94.7141,98.0314,1809727,1809727,97.0538
24,1.732,0.021374629792191003,1.77,99.5971,2018-02-12,100.6148,"Feb 12, 18",97.9727,98.6087,1404947,1404947,99.616
25,-0.49906199999999995,0.016256327374457,-0.501,99.098,2018-02-13,99.8026,"Feb 13, 18",98.2173,98.9023,987821,987821,99.0791
26,2.6127000000000002,0.043050758464529,2.637,101.7108,2018-02-14,101.8575,"Feb 14, 18",98.5011,98.6577,1263225,1263225,100.8339
27,0.019572,0.043250732211566,0.019,101.7303,2018-02-15,102.9193,"Feb 15, 18",100.8398,102.2587,1344350,1344350,101.5085
28,0.577346,0.04917200613663,0.5680000000000001,102.3077,2018-02-16,103.1101,"Feb 16, 18",99.7634,100.8301,1988686,1988686,102.1323
29,-0.7437,0.041545315076584,-0.727,101.564,2018-02-20,102.9633,"Feb 20, 18",101.1041,101.7597,1189677,1189677,101.7666
30,0.166354,0.043250732211566,0.164,101.7303,2018-02-21,103.6189,"Feb 21, 18",101.1334,101.7108,1237554,1237554,102.3569
31,-1.2134,0.030807237613933003,-1.193,100.5169,2018-02-22,103.0514,"Feb 22, 18",100.2821,102.3468,1504202,1504202,101.3557
32,1.7418,0.048669508003051004,1.733,102.2587,2018-02-23,102.3468,"Feb 23, 18",100.8398,100.9964,910951,910951,101.691
33,2.2702,0.07195157969005,2.22,104.529,2018-02-26,104.5583,"Feb 26, 18",102.3566,102.748,1434953,1434953,103.9695
34,0.342495,0.075463939093124,0.328,104.8715,2018-02-27,106.4665,"Feb 27, 18",104.5486,104.9498,3284005,3284005,105.6915
35,-0.9981239999999999,0.065228359764051,-0.9520000000000001,103.8734,2018-02-28,106.6524,"Feb 28, 18",103.8146,104.9693,3278156,3278156,105.2795
36,-1.5363,0.04947247951038201,-1.479,102.337,2018-03-01,104.6219,"Mar 1, 18",101.6814,104.0691,2694378,2694378,103.0163
37,-0.29356499999999996,0.046462618240887,-0.28700000000000003,102.0435,2018-03-02,102.2587,"Mar 2, 18",99.4601,101.6912,2707349,2707349,100.9218
38,1.5363,0.06221747298816101,1.506,103.5798,2018-03-05,104.2941,"Mar 5, 18",101.1872,101.427,2290359,2290359,103.4155
