,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,2.9066,0.0,7.126,43.6942,2018-01-08,47.2087,"Jan 8, 18",43.3332,46.3348,23460829,23460829,44.3566
1,0.370449,0.008477097646827001,0.848,44.0646,2018-01-09,44.9195,"Jan 9, 18",43.7322,44.1501,10500163,10500163,44.3282
2,0.645914,0.023259379963473003,1.466,44.7105,2018-01-10,44.9005,"Jan 10, 18",43.5137,43.8462,3808752,3808752,44.5667
3,1.838,0.065324459539252,4.111,46.5485,2018-01-11,46.5913,"Jan 11, 18",44.7485,44.986,6246581,6246581,46.1322
4,2.142,0.11434698426793401,4.602,48.6905,2018-01-12,49.2794,"Jan 12, 18",46.6483,46.6578,7747448,7747448,48.368
5,0.23746799999999998,0.11978248829364001,0.488,48.928,2018-01-16,49.7116,"Jan 16, 18",47.8926,48.2251,6885254,6885254,48.985
6,0.598421,0.133477669805145,1.223,49.5264,2018-01-17,49.7924,"Jan 17, 18",48.34,48.7,4113573,4113573,49.2954
7,-0.123483,0.13065120771177802,-0.249,49.4029,2018-01-18,49.6689,"Jan 18, 18",49.0325,49.5834,3982283,3982283,49.3273
8,0.579422,0.143911548901227,1.173,49.9823,2018-01-19,50.1248,"Jan 19, 18",49.1487,49.5264,3871209,3871209,49.7487
9,0.5129319999999999,0.155652237596751,1.026,50.4953,2018-01-22,50.580799999999996,"Jan 22, 18",49.4314,49.8589,3591726,3591726,50.2839
10,0.854885,0.17521776345601903,1.693,51.3502,2018-01-23,51.4071,"Jan 23, 18",50.2768,50.5143,3192240,3192240,51.1449
11,-1.0354,0.15152125453721502,-2.016,50.3148,2018-01-24,51.3692,"Jan 24, 18",49.6736,51.3312,5551529,5551529,50.3513
12,0.189975,0.15586965775778,0.378,50.5048,2018-01-25,51.1032,"Jan 25, 18",50.0298,50.7802,3618291,3618291,50.4332
13,1.6813,0.19434616035995603,3.329,52.186,2018-01-26,52.243,"Jan 26, 18",50.7612,50.8277,7318581,7318581,51.3786
14,0.16147899999999998,0.198042303097436,0.309,52.3475,2018-01-29,52.832,"Jan 29, 18",50.8285,51.2932,8940951,8940951,51.9197
15,-0.123483,0.19521584100406902,-0.23600000000000002,52.224,2018-01-30,52.2525,"Jan 30, 18",50.4858,51.2932,7756255,7756255,51.7996
16,0.208971,0.19999908454669002,0.4,52.433,2018-01-31,53.620400000000004,"Jan 31, 18",52.3095,52.3855,5110203,5110203,52.7589
17,-0.721903,0.183477440941818,-1.377,51.7111,2018-02-01,52.7465,"Feb 1, 18",51.1032,51.9771,5356395,5356395,52.03
18,-2.5362,0.1254331238471,-4.904,49.1749,2018-02-02,51.2932,"Feb 2, 18",48.8046,51.2837,6567155,6567155,49.5971
19,-2.0137,0.079346915608936,-4.095,47.1612,2018-02-05,49.7924,"Feb 5, 18",47.0282,48.6905,7359006,7359006,48.4546
20,-0.921377,0.058259448622471004,-1.9540000000000002,46.2398,2018-02-06,46.9712,"Feb 6, 18",44.834,45.6699,9556611,9556611,46.1188
21,0.8263900000000001,0.07717271399865401,1.787,47.0662,2018-02-07,48.0731,"Feb 7, 18",46.3443,46.7338,6042727,6042727,47.4379
22,-2.0042,0.031303925921518004,-4.258,45.062,2018-02-08,47.1707,"Feb 8, 18",45.0525,46.9807,4587947,4587947,45.9543
23,0.360952,0.039563603407317,0.801,45.4229,2018-02-09,46.0689,"Feb 9, 18",43.8121,45.6414,5633152,5633152,45.0198
24,1.2823,0.068913036512855,2.823,46.7053,2018-02-12,47.0282,"Feb 12, 18",45.7364,45.7364,3380139,3380139,46.5656
25,0.436942,0.07891207528688,0.936,47.1422,2018-02-13,47.3892,"Feb 13, 18",46.3728,46.8478,2919529,2919529,46.9764
26,1.6528,0.116738606039245,3.5060000000000002,48.795,2018-02-14,49.1369,"Feb 14, 18",46.5628,46.5628,3674956,3674956,48.2761
27,0.142481,0.11999990845466801,0.292,48.9375,2018-02-15,49.5454,"Feb 15, 18",48.0161,49.2699,3207592,3207592,48.7241
28,-0.09498799999999999,0.11782570684438601,-0.194,48.8425,2018-02-16,49.3269,"Feb 16, 18",48.5385,48.8805,2738585,2738585,48.9305
29,0.664912,0.13304282948308901,1.361,49.5074,2018-02-20,49.7734,"Feb 20, 18",48.3961,48.6905,2636336,2636336,49.3812
30,-0.645913,0.118260547166443,-1.305,48.8615,2018-02-21,50.1248,"Feb 21, 18",48.8045,49.5834,2345413,2345413,49.4429
31,-0.07599,0.11652118587821701,-0.156,48.7855,2018-02-22,49.5588,"Feb 22, 18",48.5955,49.004,2121306,2121306,49.0357
32,1.8333,0.15847869969011902,3.758,50.6188,2018-02-23,50.8942,"Feb 23, 18",49.099,49.2794,3214483,3214483,50.312
33,0.246969,0.164129335243579,0.488,50.8657,2018-02-26,50.9004,"Feb 26, 18",49.7259,50.7897,2972017,2972017,50.5204
34,-0.645914,0.149347052926933,-1.27,50.2198,2018-02-27,51.3787,"Feb 27, 18",49.7639,50.9227,3662530,3662530,50.3029
35,0.503432,0.160868032828155,1.002,50.7232,2018-02-28,51.8061,"Feb 28, 18",50.1628,50.2008,4306415,4306415,50.9805
36,0.569924,0.17391324248984902,1.124,51.2932,2018-03-01,52.357,"Mar 1, 18",50.6377,51.1222,5929249,5929249,51.4978
37,0.11398499999999999,0.176519995788914,0.222,51.4071,2018-03-02,51.5449,"Mar 2, 18",50.0678,50.7042,3142904,3142904,50.827
