,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.46921399999999996,0.0,-1.208,38.3778,2018-01-08,38.8862,"Jan 8, 18",38.3583,38.72,4959693,4959693,38.5385
1,0.175955,0.004585984605683001,0.458,38.5538,2018-01-09,38.9155,"Jan 9, 18",38.4169,38.6418,6594309,6594309,38.6752
2,0.215057,0.010190787382288001,0.558,38.7689,2018-01-10,39.1305,"Jan 10, 18",38.4952,38.6222,7627096,7627096,38.8366
3,0.097754,0.012736529973057001,0.252,38.8666,2018-01-11,39.2674,"Jan 11, 18",38.3974,38.8764,6144238,6144238,38.671
4,-0.381237,0.0028037042248380004,-0.981,38.4854,2018-01-12,39.1501,"Jan 12, 18",36.8138,39.1403,8532072,8532072,38.6087
5,-1.4076,-0.033876355601415005,-3.658,37.0777,2018-01-16,38.6907,"Jan 16, 18",36.9311,38.5734,12961240,12961240,37.5455
6,0.127079,-0.030564545127651003,0.343,37.2048,2018-01-17,37.4687,"Jan 17, 18",36.9419,37.3026,10737223,10737223,37.1881
7,-0.7429239999999999,-0.049922090375164006,-1.9969999999999999,36.4619,2018-01-18,37.4296,"Jan 18, 18",35.9242,37.4296,13730959,13730959,36.466
8,1.1437,-0.020121007457436002,3.137,37.6056,2018-01-19,37.9673,"Jan 19, 18",36.022,36.892,11775729,11775729,37.2423
9,1.0264,0.006623620947526001,2.729,38.632,2018-01-22,38.7102,"Jan 22, 18",37.3026,37.3221,15163719,15163719,38.319
10,0.25415899999999997,0.013247241895053,0.658,38.8862,2018-01-23,39.0426,"Jan 23, 18",38.1823,38.5343,8378425,8378425,38.7559
11,-0.039102,0.012228423724132001,-0.101,38.8471,2018-01-24,39.2869,"Jan 24, 18",38.5734,38.9937,7679372,7679372,38.8968
12,-0.156404,0.008153151040445,-0.403,38.6907,2018-01-25,39.1305,"Jan 25, 18",38.5831,39.0132,7034589,7034589,38.8161
13,0.615844,0.024198885814194,1.592,39.3065,2018-01-26,39.3309,"Jan 26, 18",38.6027,38.7395,5504686,5504686,39.0756
14,-0.048875999999999996,0.022924711682274,-0.124,39.2576,2018-01-29,39.678,"Jan 29, 18",39.199,39.2087,5791854,5791854,39.4313
15,-0.518092,0.009424719499293,-1.32,38.7395,2018-01-30,39.2576,"Jan 30, 18",38.7137,39.023,5453665,5453665,38.8982
16,0.048877,0.010698893631213001,0.126,38.7884,2018-01-31,39.3945,"Jan 31, 18",38.7689,38.8568,6981714,6981714,39.0316
17,-0.019551,0.010190787382288001,-0.05,38.7689,2018-02-01,38.7786,"Feb 1, 18",38.153,38.6516,5474435,5474435,38.534
18,-0.8144359999999999,-0.011032419784354,-2.101,37.9544,2018-02-02,39.1368,"Feb 2, 18",37.7827,38.759,6191996,6191996,38.2775
19,-1.7662,-0.057053817571616004,-4.654,36.1882,2018-02-05,38.1801,"Feb 5, 18",35.8938,37.5423,10395410,10395410,37.0806
20,0.775181,-0.036854639922038,2.142,36.9634,2018-02-06,37.1302,"Feb 6, 18",34.785,35.3738,9274995,9274995,36.2836
21,-0.16681,-0.041200902605152,-0.451,36.7966,2018-02-07,37.4736,"Feb 7, 18",36.6003,36.7377,8031493,8031493,37.0082
22,-2.4727,-0.10563398631500501,-6.72,34.3238,2018-02-08,36.8456,"Feb 8, 18",34.314,36.7966,9244141,9244141,35.2432
23,0.049062999999999996,-0.10435460083694201,0.14300000000000002,34.3729,2018-02-09,35.1873,"Feb 9, 18",32.9746,34.6869,11802187,11802187,33.9323
24,1.1873,-0.073417444460078,3.454,35.5602,2018-02-12,35.8006,"Feb 12, 18",34.579,34.6869,7027417,7027417,35.3786
25,-0.225686,-0.079298448582253,-0.635,35.3345,2018-02-13,35.4621,"Feb 13, 18",34.8537,35.2462,4509913,4509913,35.2367
26,0.6770579999999999,-0.061655436215728006,1.916,36.0116,2018-02-14,36.0312,"Feb 14, 18",34.8684,35.1383,6964822,6964822,35.5276
27,0.137373,-0.058077847088681,0.381,36.1489,2018-02-15,36.4384,"Feb 15, 18",35.6289,36.3452,5219276,5219276,36.084
28,-0.10793499999999999,-0.060889368332734006,-0.299,36.041,2018-02-16,36.4826,"Feb 16, 18",35.9233,36.0508,4413116,4413116,36.1731
29,-0.166813,-0.065235631015847,-0.463,35.8742,2018-02-20,36.2176,"Feb 20, 18",35.6779,35.9429,4235073,4235073,35.9587
30,0.009814,-0.064980275054849,0.027,35.884,2018-02-21,36.7033,"Feb 21, 18",35.8153,35.9233,4423269,4423269,36.3184
31,-0.23549899999999999,-0.07111663513802201,-0.656,35.6485,2018-02-22,36.2176,"Feb 22, 18",35.5602,36.0803,7871225,7871225,35.7892
32,0.804619,-0.050151389605449,2.257,36.4531,2018-02-23,36.4629,"Feb 23, 18",35.7466,35.8546,3101317,3101317,36.2647
33,0.23549699999999998,-0.044015029522275005,0.646,36.6886,2018-02-26,36.6984,"Feb 26, 18",36.0999,36.5709,5200258,5200258,36.5304
34,-0.5691200000000001,-0.05884391497167601,-1.5510000000000002,36.1195,2018-02-27,37.3559,"Feb 27, 18",36.1097,36.6886,6428357,6428357,36.6638
35,-0.412122,-0.069581893698961,-1.141,35.7074,2018-02-28,36.826,"Feb 28, 18",35.6976,36.4727,4691290,4691290,36.1646
36,-0.5298700000000001,-0.083389355304368,-1.484,35.1775,2018-03-01,36.2863,"Mar 1, 18",35.0499,35.8153,7483001,7483001,35.5451
37,0.0785,-0.08134390194331001,0.223,35.256,2018-03-02,35.3344,"Mar 2, 18",34.0491,34.8929,5433802,5433802,34.8362
38,0.29437199999999997,-0.073672800421076,0.835,35.5504,2018-03-05,35.6976,"Mar 5, 18",34.7605,35.0303,6491297,6491297,35.4787
39,-0.029436999999999998,-0.074441473977143,-0.083,35.5209,2018-03-06,35.8546,"Mar 6, 18",34.9469,35.6583,4312701,4312701,35.4197
40,0.09812399999999999,-0.071882703021017,0.276,35.6191,2018-03-07,35.7074,"Mar 7, 18",35.0401,35.1383,4320827,4320827,35.4856
41,0.5298700000000001,-0.058077847088681,1.488,36.1489,2018-03-08,36.2176,"Mar 8, 18",35.4228,35.8153,4141577,4141577,35.8604
42,0.431747,-0.046826550766328,1.194,36.5807,2018-03-09,36.5905,"Mar 9, 18",35.9036,36.4826,5151327,5151327,36.287
43,-0.294373,-0.054497652288562,-0.805,36.2863,2018-03-12,36.8652,"Mar 12, 18",36.1195,36.5022,3977573,3977573,36.4381
44,-0.29437199999999997,-0.06216875381079601,-0.811,35.9919,2018-03-13,36.6199,"Mar 13, 18",35.9134,36.6199,5419721,5419721,36.1919
45,-0.5691200000000001,-0.07699763926019701,-1.581,35.4228,2018-03-14,36.5365,"Mar 14, 18",35.3198,36.2863,4231766,4231766,35.7574
46,-1.4032,-0.11356044379823702,-3.961,34.0196,2018-03-15,35.4719,"Mar 15, 18",33.843,35.3247,11898289,11898289,34.3032
47,0.520057,-0.10000833815382801,1.529,34.5397,2018-03-16,34.8537,"Mar 16, 18",34.0393,34.1766,13767804,13767804,34.5485
48,0.058873999999999996,-0.098473596714767,0.17,34.5986,2018-03-19,34.8046,"Mar 19, 18",34.2306,34.3631,7071388,7071388,34.5637
49,0.137374,-0.09489340191464801,0.397,34.736,2018-03-20,35.0058,"Mar 20, 18",34.6378,34.7458,4799813,4799813,34.7984
50,-0.09812399999999999,-0.09745217287077401,-0.28200000000000003,34.6378,2018-03-21,35.1873,"Mar 21, 18",34.6378,34.6869,4325081,4325081,34.878
51,-1.5405,-0.13759256653586102,-4.448,33.0973,2018-03-22,34.4612,"Mar 22, 18",33.0482,34.1178,5727993,5727993,33.6298
52,-1.1971,-0.16878507887372302,-3.617,31.9002,2018-03-23,33.3622,"Mar 23, 18",31.8609,33.2347,7830294,7830294,32.4744
53,0.775181,-0.148588506897216,2.43,32.6753,2018-03-26,32.7882,"Mar 26, 18",31.9983,32.43,8755048,8755048,32.443
54,-0.618182,-0.164694172151608,-1.892,32.0572,2018-03-27,33.0973,"Mar 27, 18",31.7922,32.832300000000004,5625044,5625044,32.513
55,0.43174599999999996,-0.153445481502326,1.347,32.4889,2018-03-28,33.0777,"Mar 28, 18",31.753,31.753,8187002,8187002,32.505
56,0.412122,-0.14270750277504102,1.2690000000000001,32.901,2018-03-29,33.0384,"Mar 29, 18",32.2436,32.5968,5954091,5954091,32.721
57,-0.8536809999999999,-0.16495213378567802,-2.5949999999999998,32.0473,2018-04-02,33.0678,"Apr 2, 18",31.6156,32.8029,6253009,6253009,32.1167
58,0.7555569999999999,-0.145263668058096,2.358,32.8029,2018-04-03,32.8863,"Apr 3, 18",32.224,32.2927,5184716,5184716,32.6188
59,0.470995,-0.13299094789175,1.436,33.2739,2018-04-04,33.3622,"Apr 4, 18",32.0179,32.0179,4956139,4956139,33.0142
60,0.8733059999999999,-0.11023560495911701,2.625,34.1472,2018-04-05,34.6771,"Apr 5, 18",33.4996,33.5683,8173150,8173150,34.2489
61,-0.9714300000000001,-0.135547113174804,-2.8449999999999998,33.1758,2018-04-06,33.8087,"Apr 6, 18",32.7637,33.6566,4349842,4349842,33.3077
62,0.049062999999999996,-0.134270333369812,0.148,33.2248,2018-04-09,34.0687,"Apr 9, 18",33.1758,33.5192,3661659,3661659,33.6093
63,0.5887439999999999,-0.11892813032534401,1.772,33.8136,2018-04-10,33.9068,"Apr 10, 18",33.4309,33.7645,4302014,4302014,33.7459
64,-0.21587299999999998,-0.12455377848652001,-0.638,33.5977,2018-04-11,34.0,"Apr 11, 18",33.3426,33.4309,4217399,4217399,33.7301
65,0.578934,-0.109469537076122,1.7229999999999999,34.1766,2018-04-12,34.422,"Apr 12, 18",33.8921,33.9411,4300886,4300886,34.2376
66,-0.745745,-0.12890004116963402,-2.182,33.4309,2018-04-13,34.628,"Apr 13, 18",33.2837,34.5005,5729227,5729227,33.6659
67,0.392497,-0.118672774364346,1.174,33.8234,2018-04-16,34.0,"Apr 16, 18",33.48,33.8038,4856971,4856971,33.7523
68,0.09812399999999999,-0.11611660908129101,0.29,33.9215,2018-04-17,34.4023,"Apr 17, 18",33.8234,34.1766,5485272,5485272,34.1005
69,0.313998,-0.10793479563706,0.926,34.2355,2018-04-18,34.579,"Apr 18, 18",34.0393,34.108,3345926,3345926,34.3308
70,0.45137099999999997,-0.09617278739271101,1.318,34.6869,2018-04-19,34.9224,"Apr 19, 18",34.2846,34.2846,5196836,5196836,34.6334
