,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.11,0.0,0.404,276.02,2018-01-08,277.5,"Jan 8, 18",273.97,274.66,543697,543697,275.4581
1,6.39,0.023150496340845,2.315,282.41,2018-01-09,282.65,"Jan 9, 18",276.675,277.42,379267,379267,280.4146
2,-1.18,0.018875443808419,-0.418,281.23,2018-01-10,282.31,"Jan 10, 18",279.54,282.12,353375,353375,280.9902
3,6.28,0.041627418303021003,2.233,287.51,2018-01-11,287.81,"Jan 11, 18",281.612,282.47,316088,316088,286.0836
4,4.99,0.059705818418955,1.736,292.5,2018-01-12,294.32,"Jan 12, 18",288.1,288.72,392970,392970,292.3674
5,1.35,0.064596768350119,0.462,293.85,2018-01-16,296.965,"Jan 16, 18",292.77,294.09,564596,564596,294.7859
6,0.59,0.066734294616332,0.201,294.44,2018-01-17,296.13,"Jan 17, 18",293.37,295.97,377979,377979,294.7701
7,-0.34,0.065502499818853,-0.115,294.1,2018-01-18,296.2055,"Jan 18, 18",292.41,294.49,315513,315513,294.1738
8,5.07,0.08387073400478201,1.724,299.17,2018-01-19,299.66,"Jan 19, 18",291.67,296.0,366018,366018,297.9249
9,-2.32,0.07546554597492901,-0.775,296.85,2018-01-22,299.33,"Jan 22, 18",294.455,297.33,279878,279878,296.7734
10,3.52,0.088218245054706,1.186,300.37,2018-01-23,300.69,"Jan 23, 18",296.16,297.0,325253,325253,299.1963
11,3.5300000000000002,0.10100717339323201,1.175,303.9,2018-01-24,306.14,"Jan 24, 18",299.64,300.04,423559,423559,304.0242
12,2.95,0.11169480472429501,0.971,306.85,2018-01-25,307.27,"Jan 25, 18",302.3025,304.25,385795,385795,305.6597
13,7.28,0.138069705093833,2.372,314.13,2018-01-26,314.6099,"Jan 26, 18",306.55,308.53,317291,317291,311.6638
14,3.15,0.14948192159988402,1.003,317.28,2018-01-29,320.36,"Jan 29, 18",312.68,312.68,560837,560837,318.1852
15,0.09,0.149807984928628,0.028,317.37,2018-01-30,319.98,"Jan 30, 18",314.61,315.62,348122,348122,317.7707
16,-0.46,0.148141439026157,-0.145,316.91,2018-01-31,321.38,"Jan 31, 18",316.73,319.98,440326,440326,318.5738
17,-1.71,0.141946235780015,-0.54,315.2,2018-02-01,318.47,"Feb 1, 18",313.97,315.96,393462,393462,316.4276
18,-7.92,0.11325266285051801,-2.513,307.28,2018-02-02,314.07,"Feb 2, 18",306.66,312.81,466927,466927,309.7301
19,-10.42,0.075501775233678,-3.391,296.86,2018-02-05,311.73,"Feb 5, 18",293.46,306.39,717578,717578,303.4777
20,-6.2,0.05303963480907101,-2.089,290.66,2018-02-06,292.84,"Feb 6, 18",268.4,277.0,1146715,1146715,286.3046
21,1.44,0.05825664806898,0.495,292.1,2018-02-07,300.84,"Feb 7, 18",288.62,290.61,560780,560780,295.2979
22,-9.1,0.025288022607057002,-3.115,283.0,2018-02-08,297.0,"Feb 8, 18",281.77,297.0,873529,873529,285.5679
23,-0.45,0.023657705963336002,-0.159,282.55,2018-02-09,287.5,"Feb 9, 18",274.28,287.16,973470,973470,280.6465
24,3.65,0.036881385406854005,1.292,286.2,2018-02-12,289.46,"Feb 12, 18",281.59,283.8,477808,477808,285.5973
25,-0.4,0.035432215056880004,-0.14,285.8,2018-02-13,287.43,"Feb 13, 18",281.46,285.37,381151,381151,285.0981
26,4.59,0.052061444822838004,1.6059999999999999,290.39,2018-02-14,291.01,"Feb 14, 18",281.8,283.61,418546,418546,287.8015
27,8.05,0.081225998116078,2.7720000000000002,298.44,2018-02-15,298.53,"Feb 15, 18",291.76,292.77,653671,653671,296.5085
28,-0.09,0.08089993478733401,-0.03,298.35,2018-02-16,300.14,"Feb 16, 18",296.68,297.72,473936,473936,298.4405
29,0.4,0.082349105137308,0.134,298.75,2018-02-20,301.29,"Feb 20, 18",296.52,297.12,301576,301576,299.0543
30,-6.03,0.06050286211144101,-2.018,292.72,2018-02-21,302.22,"Feb 21, 18",292.56,298.75,407381,407381,296.6072
31,0.27,0.061481052097674,0.092,292.99,2018-02-22,298.35,"Feb 22, 18",291.65,294.34,248241,248241,294.6397
32,4.79,0.07883486703862001,1.635,297.78,2018-02-23,298.06,"Feb 23, 18",292.48,294.54,317810,317810,295.6175
33,-2.62,0.069342801246286,-0.88,295.16,2018-02-26,299.9221,"Feb 26, 18",292.19,298.49,359261,359261,295.2139
34,-3.7800000000000002,0.055648141439026,-1.2810000000000001,291.38,2018-02-27,296.97,"Feb 27, 18",291.26,295.95,312874,312874,294.0081
35,-3.07,0.044525759002970004,-1.054,288.31,2018-02-28,294.345,"Feb 28, 18",288.24,292.5,503855,503855,290.982
36,-3.75,0.030939786971958004,-1.301,284.56,2018-03-01,288.3,"Mar 1, 18",278.99,288.28,708261,708261,283.8983
37,0.59,0.033077313238171,0.20700000000000002,285.15,2018-03-02,286.28,"Mar 2, 18",280.26,283.41,667375,667375,284.3511
38,0.43,0.034635171364393,0.151,285.58,2018-03-05,286.06,"Mar 5, 18",280.25,283.0,369263,369263,284.3214
39,-1.49,0.029237011810738,-0.522,284.09,2018-03-06,287.34,"Mar 6, 18",280.62,286.98,1736870,1736870,283.5789
40,2.93,0.039852184624302005,1.031,287.02,2018-03-07,288.27,"Mar 7, 18",280.96,282.2,1034727,1034727,284.9628
41,-1.01,0.036193029490616,-0.352,286.01,2018-03-08,288.4,"Mar 8, 18",283.66,288.4,724328,724328,285.4854
42,5.99,0.057894355481486005,2.094,292.0,2018-03-09,293.53,"Mar 9, 18",287.01,287.66,1014948,1014948,289.9077
43,-4.0,0.04340265198174,-1.37,288.0,2018-03-12,293.75,"Mar 12, 18",287.65,293.35,525660,525660,289.2477
44,1.51,0.048873270052894005,0.524,289.51,2018-03-13,293.25,"Mar 13, 18",287.75,288.72,834016,834016,291.2283
45,5.61,0.069197884211289,1.9380000000000002,295.12,2018-03-14,297.16,"Mar 14, 18",289.43,291.69,617999,617999,293.8882
46,0.88,0.072386058981233,0.298,296.0,2018-03-15,296.6,"Mar 15, 18",291.05,295.65,494060,494060,294.6966
47,3.23,0.08408810955727801,1.091,299.23,2018-03-16,299.565,"Mar 16, 18",292.43,296.17,583866,583866,298.3746
48,3.27,0.095935077168321,1.093,302.5,2018-03-19,304.14,"Mar 19, 18",298.25,300.84,622472,622472,301.498
