,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.609638,0.0,0.9470000000000001,65.0086,2018-01-08,66.1118,"Jan 8, 18",64.1038,65.028,8337187,8337187,64.9379
1,1.8966,0.029176139772276004,2.918,66.9053,2018-01-09,67.7568,"Jan 9, 18",66.286,67.273,18160831,18160831,67.0237
2,1.5386000000000002,0.052843777592503006,2.3,68.4439,2018-01-10,69.4406,"Jan 10, 18",67.0601,67.1665,10985166,10985166,68.4125
3,3.1643,0.10151887596410301,4.623,71.6082,2018-01-11,71.6662,"Jan 11, 18",68.2213,68.6084,12185998,12185998,70.4556
4,2.7095000000000002,0.14319797688305802,3.784,74.3177,2018-01-12,74.5112,"Jan 12, 18",72.0436,72.1307,14845951,14845951,73.8546
5,-1.7805,0.11580929292432,-2.396,72.5372,2018-01-16,75.0725,"Jan 16, 18",72.2275,74.3951,10167886,10167886,73.6581
6,1.7999,0.143494860679971,2.481,74.337,2018-01-17,74.7531,"Jan 17, 18",72.4123,72.5662,7083696,7083696,73.904
7,1.0451,0.159571195195712,1.4060000000000001,75.3821,2018-01-18,75.3918,"Jan 18, 18",73.7951,74.3757,7668552,7668552,74.7455
8,0.19353599999999999,0.16254926271293302,0.257,75.5757,2018-01-19,75.6434,"Jan 19, 18",74.4048,75.6434,7808136,7808136,75.2817
9,0.464485,0.169694471193042,0.615,76.0402,2018-01-22,76.0982,"Jan 22, 18",75.0628,75.5853,5621598,5621598,75.7889
10,-0.44513199999999997,0.16284614650984602,-0.585,75.595,2018-01-23,76.1563,"Jan 23, 18",75.3241,76.0402,5372678,5372678,75.6934
11,-1.1902,0.14453779961420402,-1.5750000000000002,74.4048,2018-01-24,75.7595,"Jan 24, 18",73.9016,75.7595,9765064,9765064,74.5552
12,-0.570931,0.135754346348021,-0.767,73.8338,2018-01-25,75.0531,"Jan 25, 18",73.3113,75.0434,6347651,6347651,73.7169
13,0.628992,0.14542998926295903,0.852,74.4628,2018-01-26,74.5306,"Jan 26, 18",73.3645,74.1435,4981242,4981242,74.0553
14,-0.145151,0.14319797688305802,-0.195,74.3177,2018-01-29,74.6467,"Jan 29, 18",73.9113,74.1919,3489411,3489411,74.335
15,-1.6451,0.11789209427675701,-2.214,72.6726,2018-01-30,74.2209,"Jan 30, 18",72.4017,73.9209,5626261,5626261,72.9876
16,0.116119,0.119679550090295,0.16,72.7888,2018-01-31,73.3016,"Jan 31, 18",72.184,72.9533,8706323,8706323,72.903
17,-0.241918,0.11595696569376901,-0.332,72.5468,2018-02-01,73.2049,"Feb 1, 18",71.7533,72.2178,4649130,4649130,72.7094
18,-1.9546999999999999,0.085888636272739,-2.694,70.5921,2018-02-02,72.0823,"Feb 2, 18",70.3696,71.8791,6807824,6807824,71.2304
19,-2.1095,0.053439083444344004,-2.988,68.4826,2018-02-05,71.7727,"Feb 5, 18",68.231,70.1083,6518197,6518197,70.0527
20,1.8773,0.082316801161692,2.741,70.3599,2018-02-06,70.6986,"Feb 6, 18",66.1795,67.2923,8051554,8051554,69.2168
21,0.522547,0.090354199290555,0.743,70.8824,2018-02-07,71.7485,"Feb 7, 18",70.0018,70.1857,6521872,6521872,71.0547
22,-2.0708,0.05849995231400101,-2.922,68.8116,2018-02-08,71.5017,"Feb 8, 18",68.7729,71.134,5705455,5705455,69.7518
23,1.2967,0.078446543995717,1.884,70.1083,2018-02-09,70.6115,"Feb 9, 18",66.6827,69.489,7733215,7733215,68.7897
24,-0.551577,0.069961512784462,-0.787,69.5567,2018-02-12,70.8631,"Feb 12, 18",69.218,70.7663,4624506,4624506,69.7782
25,1.9354,0.09973295840857901,2.782,71.4921,2018-02-13,71.5598,"Feb 13, 18",69.3583,69.5374,4417541,4417541,70.9721
26,1.4225,0.121614678673283,1.99,72.91460000000001,2018-02-14,74.1435,"Feb 14, 18",71.6662,71.8888,7388726,7388726,73.1187
27,0.667696,0.131884089182046,0.916,73.5822,2018-02-15,73.7468,"Feb 15, 18",72.692,73.2726,3428640,3428640,73.3595
28,-0.32901,0.12682322031238902,-0.447,73.2532,2018-02-16,74.3274,"Feb 16, 18",72.8758,73.679,4278959,4278959,73.5845
29,-2.166,0.09350455170546601,-2.957,71.0872,2018-02-20,72.0434,"Feb 20, 18",69.9359,71.0677,7085994,7085994,71.0893
30,0.097566,0.09500589152819701,0.137,71.1848,2018-02-21,72.863,"Feb 21, 18",71.1458,71.4385,8645235,8645235,71.8243
31,2.0196,0.126072550401023,2.8369999999999997,73.2044,2018-02-22,74.1118,"Feb 22, 18",71.6824,71.7019,6987057,6987057,73.3287
32,0.370754,0.13177641112099,0.506,73.5752,2018-02-23,74.4435,"Feb 23, 18",72.4824,73.6825,5475570,5475570,73.2912
33,1.4537,0.15413806788640202,1.976,75.0289,2018-02-26,75.1167,"Feb 26, 18",73.3508,74.3948,5779338,5779338,74.6082
34,-1.2976,0.13417763188255,-1.73,73.7313,2018-02-27,76.5217,"Feb 27, 18",73.4386,75.8485,6234349,6234349,74.3826
35,-0.156107,0.13177641112099,-0.212,73.5752,2018-02-28,74.8143,"Feb 28, 18",73.5752,74.2094,5520482,5520482,74.1044
36,-1.2489,0.112565106770488,-1.697,72.3263,2018-03-01,73.7118,"Mar 1, 18",71.2238,73.6728,7084406,7084406,72.2945
37,0.9951829999999999,0.127873850536698,1.376,73.3215,2018-03-02,73.6435,"Mar 2, 18",71.5165,71.8385,4956236,4956236,72.8564
38,-0.009757,0.12772463950923402,-0.013000000000000001,73.3118,2018-03-05,73.9069,"Mar 5, 18",72.1483,72.9508,7654766,7654766,73.2786
39,-3.2685,0.077446676285906,-4.458,70.0433,2018-03-06,72.8239,"Mar 6, 18",68.2383,72.4434,20019672,20019672,70.0461
40,-0.35124099999999997,0.07204277587888301,-0.501,69.692,2018-03-07,70.3848,"Mar 7, 18",68.8627,69.331,7684566,7684566,69.7281
41,-1.6391,0.046829188753487,-2.352,68.0529,2018-03-08,69.83840000000001,"Mar 8, 18",67.4675,69.692,8753859,8753859,68.2454
42,0.721996,0.057935411622462005,1.061,68.7749,2018-03-09,69.0969,"Mar 9, 18",67.6431,68.6676,6813029,6813029,68.3601
