,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.12,0.0,-0.264,45.29,2018-01-08,45.8,"Jan 8, 18",44.92,45.43,1935476,1935476,45.3277
1,0.06,0.0013247957606530001,0.132,45.35,2018-01-09,45.745,"Jan 9, 18",45.13,45.27,2220832,2220832,45.4219
2,-0.12,-0.0013247957606530001,-0.265,45.23,2018-01-10,45.53,"Jan 10, 18",44.72,45.19,2018575,2018575,45.2257
3,0.29,0.005078383749172,0.641,45.52,2018-01-11,45.62,"Jan 11, 18",45.03,45.2,1415554,1415554,45.4539
4,0.26,0.01081916537867,0.5710000000000001,45.78,2018-01-12,45.8,"Jan 12, 18",45.07,45.49,2325417,2325417,45.505
5,0.12,0.013468756899977001,0.262,45.9,2018-01-16,46.17,"Jan 16, 18",45.7,45.75,2684755,2684755,45.9747
6,1.09,0.037535879885184004,2.375,46.99,2018-01-17,47.57,"Jan 17, 18",45.9,46.11,2417603,2417603,47.0686
7,0.32,0.044601457275336,0.681,47.31,2018-01-18,47.42,"Jan 18, 18",46.79,46.96,2695777,2695777,47.2187
8,0.45,0.054537425480238,0.9510000000000001,47.76,2018-01-19,48.14,"Jan 19, 18",47.56,47.58,2554418,2554418,47.7867
9,-0.25,0.049017443144181,-0.523,47.51,2018-01-22,47.92,"Jan 22, 18",47.3,47.67,2380774,2380774,47.5359
10,0.07,0.050563038198277004,0.147,47.58,2018-01-23,47.74,"Jan 23, 18",47.24,47.51,2590694,2590694,47.5642
11,-0.04,0.049679841024508,-0.084,47.54,2018-01-24,48.56,"Jan 24, 18",47.43,47.73,1884714,1884714,47.7347
12,-0.11,0.047251048796643005,-0.231,47.43,2018-01-25,48.06,"Jan 25, 18",47.29,47.75,2103255,2103255,47.487
13,0.31,0.054095826893354,0.654,47.74,2018-01-26,47.96,"Jan 26, 18",47.28,47.67,1825794,1825794,47.6681
14,0.7000000000000001,0.06955177743431201,1.466,48.44,2018-01-29,48.8,"Jan 29, 18",47.51,47.74,2460560,2460560,48.4615
15,-0.59,0.056524619121218006,-1.218,47.85,2018-01-30,48.45,"Jan 30, 18",47.628,47.98,2865197,2865197,47.9939
16,-0.81,0.038639876352395006,-1.693,47.04,2018-01-31,48.13,"Jan 31, 18",46.97,47.78,2934617,2934617,47.3283
17,-0.08,0.036873482004857,-0.17,46.96,2018-02-01,47.69,"Feb 1, 18",46.11,46.75,2409216,2409216,47.2262
18,-1.0,0.014793552660631001,-2.129,45.96,2018-02-02,46.99,"Feb 2, 18",45.96,46.95,2707572,2707572,46.3073
19,-0.99,-0.007065577390152001,-2.154,44.97,2018-02-05,46.5,"Feb 5, 18",44.97,45.89,3337848,3337848,45.7612
20,4.05,0.082358136453963,9.006,49.02,2018-02-06,49.38,"Feb 6, 18",46.46,46.9,9419823,9419823,48.2111
21,1.08,0.10620446014572701,2.203,50.1,2018-02-07,50.71,"Feb 7, 18",48.93,48.93,7974146,7974146,50.2608
22,-1.25,0.07860454846544401,-2.495,48.85,2018-02-08,50.46,"Feb 8, 18",48.23,48.76,8124090,8124090,49.4391
23,0.21,0.083241333627732,0.43,49.06,2018-02-09,49.45,"Feb 9, 18",47.42,49.12,5827666,5827666,48.5632
24,0.85,0.10200927357032401,1.733,49.91,2018-02-12,50.35,"Feb 12, 18",49.11,49.11,4946341,4946341,49.9535
25,0.23,0.107087657319496,0.461,50.14,2018-02-13,50.25,"Feb 13, 18",49.65,49.91,2152698,2152698,49.98
26,0.35000000000000003,0.11481563258997501,0.6980000000000001,50.49,2018-02-14,50.99,"Feb 14, 18",49.74,49.97,2589854,2589854,50.4164
