,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.06,0.0,-0.17300000000000001,34.67,2018-01-08,34.83,"Jan 8, 18",34.265,34.6,1865602,1865602,34.6009
1,-0.08,-0.002307470435534,-0.231,34.59,2018-01-09,34.88,"Jan 9, 18",34.45,34.87,1478272,1478272,34.6676
2,-0.1,-0.005191808479953,-0.289,34.49,2018-01-10,34.62,"Jan 10, 18",34.16,34.36,2243615,2243615,34.4674
3,0.79,0.017594462070954,2.291,35.28,2018-01-11,35.61,"Jan 11, 18",34.42,34.59,4183064,4183064,35.1138
4,1.26,0.05393712143063101,3.571,36.54,2018-01-12,36.675,"Jan 12, 18",35.25,35.43,4419340,4419340,36.1736
5,-0.65,0.035188924141909,-1.779,35.89,2018-01-16,37.42,"Jan 16, 18",35.78,37.36,4054983,4054983,36.2087
6,0.01,0.035477357946351006,0.028,35.9,2018-01-17,36.23,"Jan 17, 18",35.17,36.21,4656368,4656368,35.7794
7,-0.28,0.027401211421978003,-0.78,35.62,2018-01-18,36.47,"Jan 18, 18",35.15,35.91,2940983,2940983,35.6505
8,-0.17,0.022497836746466,-0.47700000000000004,35.45,2018-01-19,35.8,"Jan 19, 18",35.055,35.54,3190837,3190837,35.4587
9,1.75,0.07297375252379501,4.937,37.2,2018-01-22,37.265,"Jan 22, 18",35.15,35.49,3137865,3137865,36.8233
10,-0.9,0.047014710124026006,-2.419,36.3,2018-01-23,38.17,"Jan 23, 18",36.26,37.19,3377347,3377347,36.6931
11,0.01,0.047303143928468,0.028,36.31,2018-01-24,36.83,"Jan 24, 18",35.84,36.35,2360976,2360976,36.2939
12,0.18,0.052494952408422,0.496,36.49,2018-01-25,36.8,"Jan 25, 18",35.58,36.77,1680501,1680501,36.3563
13,0.29,0.060859532737236,0.795,36.78,2018-01-26,36.97,"Jan 26, 18",36.12,36.8,1199350,1199350,36.6693
14,-0.45,0.047880011537352,-1.223,36.33,2018-01-29,37.48,"Jan 29, 18",36.14,36.55,1943966,1943966,36.5696
15,-1.43,0.0066339775021630005,-3.936,34.9,2018-01-30,36.11,"Jan 30, 18",34.88,36.04,2064581,2064581,35.2324
16,-0.23,0.0,-0.659,34.67,2018-01-31,35.14,"Jan 31, 18",34.09,34.99,2665955,2665955,34.4989
17,-0.05,-0.0014421690222090001,-0.14400000000000002,34.62,2018-02-01,34.95,"Feb 1, 18",34.23,34.28,1516931,1516931,34.6469
18,-0.27,-0.009229881742140001,-0.78,34.35,2018-02-02,34.93,"Feb 2, 18",34.0791,34.44,1493803,1493803,34.3915
19,1.27,0.027401211421978003,3.697,35.62,2018-02-05,36.2,"Feb 5, 18",34.18,34.34,4758249,4758249,35.5366
20,5.22,0.17796365734064,14.655,40.84,2018-02-06,41.31,"Feb 6, 18",34.76,34.89,11626468,11626468,39.6185
21,0.21,0.18402076723391902,0.514,41.05,2018-02-07,41.34,"Feb 7, 18",40.0,40.51,4229383,4229383,40.8961
22,-1.0,0.155177386789731,-2.436,40.05,2018-02-08,41.33,"Feb 8, 18",40.05,41.2,5234474,5234474,40.6113
23,-1.74,0.104989904816844,-4.345,38.31,2018-02-09,40.35,"Feb 9, 18",36.5,38.97,7047895,7047895,38.4141
24,-0.6000000000000001,0.08768387655033101,-1.566,37.71,2018-02-12,38.75,"Feb 12, 18",36.27,38.52,3842296,3842296,37.3975
25,2.17,0.150274012114219,5.754,39.88,2018-02-13,40.14,"Feb 13, 18",37.47,37.63,3643910,3643910,39.3511
26,0.84,0.17450245168733702,2.106,40.72,2018-02-14,40.93,"Feb 14, 18",39.02,39.5,6076945,6076945,40.4482
27,1.6800000000000002,0.22295933083357303,4.126,42.4,2018-02-15,47.02,"Feb 15, 18",41.45,46.0,19137874,19137874,43.8332
28,0.92,0.24949524084222602,2.17,43.32,2018-02-16,44.26,"Feb 16, 18",41.9,42.45,5179473,5179473,43.4222
29,-0.67,0.23017017594462003,-1.5470000000000002,42.65,2018-02-20,43.6,"Feb 20, 18",42.24,43.21,3659799,3659799,42.713
30,-0.28,0.22209402942024703,-0.657,42.37,2018-02-21,43.11,"Feb 21, 18",41.68,42.67,4005155,4005155,42.5058
31,-0.72,0.201326795500432,-1.699,41.65,2018-02-22,42.62,"Feb 22, 18",41.45,42.62,2757667,2757667,41.7418
32,0.65,0.22007499278915402,1.561,42.3,2018-02-23,42.52,"Feb 23, 18",41.26,41.78,2727294,2727294,41.9749
33,-0.85,0.195558119411595,-2.009,41.45,2018-02-26,42.68,"Feb 26, 18",41.13,42.4,2174376,2174376,41.525
34,-1.72,0.14594750504759102,-4.15,39.73,2018-02-27,42.1,"Feb 27, 18",39.64,41.64,3869345,3869345,40.456
35,0.35000000000000003,0.156042688203057,0.881,40.08,2018-02-28,40.6,"Feb 28, 18",39.55,40.09,2635469,2635469,40.1364
36,-0.32,0.14681280646091702,-0.798,39.76,2018-03-01,40.75,"Mar 1, 18",39.354,40.49,2093722,2093722,40.0033
37,-0.07,0.144793769829823,-0.176,39.69,2018-03-02,40.26,"Mar 2, 18",38.27,39.3,2220828,2220828,39.3667
38,2.2800000000000002,0.21055667724257202,5.745,41.97,2018-03-05,42.1099,"Mar 5, 18",39.325,39.54,2710047,2710047,41.3802
39,0.41000000000000003,0.22238246322468902,0.977,42.38,2018-03-06,42.64,"Mar 6, 18",41.15,41.89,2681738,2681738,42.0825
40,0.2,0.228151139313527,0.47200000000000003,42.58,2018-03-07,43.25,"Mar 7, 18",41.56,41.85,1958451,1958451,42.5581
41,-0.13,0.224401499855783,-0.305,42.45,2018-03-08,42.78,"Mar 8, 18",41.68,42.69,1775439,1775439,42.3223
42,0.58,0.24113066051341203,1.366,43.03,2018-03-09,43.0466,"Mar 9, 18",42.189,42.61,1743831,1743831,42.7611
43,0.14,0.24516873377559803,0.325,43.17,2018-03-12,43.26,"Mar 12, 18",42.49,43.2,1528189,1528189,42.9602
