,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.18711799999999998,0.0,-0.23900000000000002,78.0481,2018-01-08,78.511,"Jan 8, 18",77.518,77.9693,1409797,1409797,78.0405
1,0.23636000000000001,0.003027620147063,0.303,78.2844,2018-01-09,78.3829,"Jan 9, 18",77.5754,78.245,1117221,1117221,78.0915
2,-0.9454400000000001,-0.009085422963531,-1.208,77.339,2018-01-10,78.1072,"Jan 10, 18",76.9746,77.9102,1432396,1432396,77.3594
3,-0.039394,-0.009590239864903,-0.051000000000000004,77.2996,2018-01-11,77.3488,"Jan 11, 18",74.7411,76.7875,2973568,2973568,76.2471
4,1.103,0.00454207085118,1.427,78.4026,2018-01-12,78.639,"Jan 12, 18",77.2602,77.3488,2099397,2099397,78.2648
5,-0.42348,-0.0008840702079870001,-0.54,77.9791,2018-01-16,79.7026,"Jan 16, 18",77.2307,78.7572,1407922,1407922,78.3988
6,1.3788,0.016781958817703002,1.768,79.3579,2018-01-17,79.8799,"Jan 17, 18",78.2746,78.57,1082443,1082443,79.3667
7,0.315146,0.020820494028682003,0.397,79.6731,2018-01-18,79.9587,"Jan 18, 18",79.0428,79.3481,987909,987909,79.6392
8,1.4674,0.039621720451875,1.842,81.1405,2018-01-19,81.1897,"Jan 19, 18",79.8011,80.0079,1122005,1122005,80.7233
9,-0.443175,0.033943170942021005,-0.546,80.6973,2018-01-22,81.4261,"Jan 22, 18",80.1852,81.298,1348771,1348771,80.5979
10,-0.8863500000000001,0.022586071922314002,-1.098,79.8109,2018-01-23,80.8844,"Jan 23, 18",79.5647,80.6382,2535617,2535617,79.9519
11,-0.35454,0.018044001071134002,-0.444,79.4564,2018-01-24,79.9165,"Jan 24, 18",78.6193,79.7715,2589837,2589837,79.2093
12,-2.4916,-0.013879902265397,-3.136,76.9648,2018-01-25,77.9988,"Jan 25, 18",75.2905,77.6246,2461602,2461602,76.8849
13,0.935593,-0.0018924227495600002,1.216,77.9004,2018-01-26,78.0185,"Jan 26, 18",77.0928,77.2996,2112966,2112966,77.6436
14,0.0,-0.0018924227495600002,0.0,77.9004,2018-01-29,78.186,"Jan 29, 18",77.0341,77.6541,1803970,1803970,77.665
15,-1.0242,-0.015016380924071001,-1.315,76.8761,2018-01-30,78.0284,"Jan 30, 18",76.8367,77.3193,1408711,1408711,77.21
16,-1.7826,-0.037854861297072,-2.319,75.0936,2018-01-31,77.4572,"Jan 31, 18",74.6701,76.8958,2873590,2873590,75.705
17,-4.737,-0.09854948422831501,-6.308,70.3565,2018-02-01,71.2035,"Feb 1, 18",68.249,70.908,7952139,7952139,69.4201
18,-3.5060000000000002,-0.143470500883429,-4.983,66.8505,2018-02-02,69.7656,"Feb 2, 18",66.5551,69.0762,4546991,4546991,67.7614
19,-2.1962,-0.17160955872084002,-3.285,64.6543,2018-02-05,67.1854,"Feb 5, 18",64.6248,66.6831,3284757,3284757,65.7749
20,1.6053000000000002,-0.15104147314284302,2.483,66.2596,2018-02-06,67.1755,"Feb 6, 18",62.6847,64.093,3807951,3807951,65.8806
