,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.27,0.0,1.11,24.59,2018-01-08,24.78,"Jan 8, 18",23.88,24.37,17831260,17831260,24.3662
1,-0.42,-0.017080113867425,-1.708,24.17,2018-01-09,24.71,"Jan 9, 18",24.07,24.63,12587134,12587134,24.3134
2,0.08,-0.013826758845058,0.331,24.25,2018-01-10,24.42,"Jan 10, 18",23.76,24.0,10420723,10420723,24.1576
3,0.1,-0.009760065067100001,0.41200000000000003,24.35,2018-01-11,24.37,"Jan 11, 18",23.9,24.3,11670398,11670398,24.1648
4,1.06,0.033346888979259005,4.353,25.41,2018-01-12,25.85,"Jan 12, 18",24.93,24.94,37046059,37046059,25.467
5,-0.75,0.00284668564457,-2.952,24.66,2018-01-16,25.7089,"Jan 16, 18",24.51,25.58,32340744,32340744,25.0264
6,-0.1,-0.001220008133387,-0.406,24.56,2018-01-17,24.95,"Jan 17, 18",24.22,24.84,17026743,17026743,24.533
7,-0.52,-0.022366815778771,-2.117,24.04,2018-01-18,24.52,"Jan 18, 18",23.72,24.5,21118485,21118485,24.0621
8,-0.38,-0.037820252135014006,-1.581,23.66,2018-01-19,24.22,"Jan 19, 18",23.5,24.12,17529712,17529712,23.7257
9,-0.34,-0.051647010980073,-1.437,23.32,2018-01-22,23.5,"Jan 22, 18",22.86,23.17,23010628,23010628,23.2673
10,-0.5700000000000001,-0.07482716551443601,-2.444,22.75,2018-01-23,23.1691,"Jan 23, 18",22.41,22.51,35321246,35321246,22.7749
11,-0.38,-0.090280601870679,-1.67,22.37,2018-01-24,23.05,"Jan 24, 18",22.1,22.84,23186510,23186510,22.4893
12,-0.21,-0.098820658804392,-0.9390000000000001,22.16,2018-01-25,22.68,"Jan 25, 18",22.04,22.5,15501687,15501687,22.3186
13,2.11,-0.013013420089467001,9.522,24.27,2018-01-26,24.35,"Jan 26, 18",22.3,22.39,49683870,49683870,23.669
14,0.91,0.023993493289955002,3.749,25.18,2018-01-29,25.55,"Jan 29, 18",24.1,24.4,52739620,52739620,24.9825
15,0.44,0.041886945912972005,1.7469999999999999,25.62,2018-01-30,26.4,"Jan 30, 18",24.55,24.83,52388105,52388105,25.5708
16,0.19,0.049613664091093,0.742,25.81,2018-01-31,26.65,"Jan 31, 18",25.14,25.61,40451922,40451922,25.8836
17,1.33,0.103700691337942,5.153,27.14,2018-02-01,27.33,"Feb 1, 18",25.44,25.52,47582601,47582601,26.6034
18,-1.22,0.054087027246848,-4.495,25.92,2018-02-02,27.0301,"Feb 2, 18",25.7,26.56,32492112,32492112,26.2076
19,-0.79,0.021960146400975003,-3.048,25.13,2018-02-05,26.64,"Feb 5, 18",24.1,25.37,33918379,33918379,25.7255
20,0.11,0.026433509556730003,0.438,25.24,2018-02-06,25.58,"Feb 6, 18",24.2,24.59,26646515,26646515,24.9897
21,1.67,0.094347295648637,6.616,26.91,2018-02-07,27.08,"Feb 7, 18",25.76,25.83,48909339,48909339,26.5774
22,3.27,0.227328182187881,12.152,30.18,2018-02-08,35.0,"Feb 8, 18",29.71,34.15,162434360,162434360,32.11
23,1.33,0.28141520943472903,4.407,31.51,2018-02-09,31.805,"Feb 9, 18",29.68,30.37,67181217,67181217,31.0166
24,-0.56,0.258641724278161,-1.7770000000000001,30.95,2018-02-12,31.9,"Feb 12, 18",30.8631,31.44,37001023,37001023,31.3623
25,2.49,0.35990239934932805,8.045,33.44,2018-02-13,33.65,"Feb 13, 18",30.64,30.67,57653045,57653045,32.9512
26,0.31,0.37250915006100005,0.927,33.75,2018-02-14,33.98,"Feb 14, 18",32.55,32.85,39339174,39339174,33.3962
27,-0.14,0.366815778771858,-0.41500000000000004,33.61,2018-02-15,34.38,"Feb 15, 18",33.0599,34.03,32020505,32020505,33.7315
28,-0.55,0.344448962993086,-1.6360000000000001,33.06,2018-02-16,33.5,"Feb 16, 18",32.68,33.37,27900974,27900974,33.0596
29,-0.22,0.335502236681578,-0.665,32.84,2018-02-20,33.57,"Feb 20, 18",32.68,32.88,22766658,22766658,33.1338
