,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.5068469999999999,0.0,0.47700000000000004,106.8669,2018-01-08,107.5784,"Jan 8, 18",105.668,105.8045,4549786,4549786,106.7446
1,0.731031,0.0068402845034330004,0.684,107.5979,2018-01-09,108.173,"Jan 9, 18",106.3211,106.8474,4747752,4747752,107.5766
2,-0.672549,0.000547409908961,-0.625,106.9254,2018-01-10,107.2081,"Jan 10, 18",105.4731,107.0716,5737425,5737425,106.3584
3,0.945467,0.009394864078587,0.884,107.8709,2018-01-11,107.9586,"Jan 11, 18",106.6622,107.2665,3903763,3903763,107.5721
4,1.9981,0.028091953635784,1.8519999999999999,109.869,2018-01-12,110.1419,"Jan 12, 18",107.7831,107.9391,4578159,4578159,109.4219
5,0.194942,0.029915717588888002,0.177,110.0639,2018-01-16,111.024,"Jan 16, 18",109.1087,110.678,9251460,9251460,110.0868
6,6.0822,0.086829504739072,5.526,116.1461,2018-01-17,116.4093,"Jan 17, 18",110.639,111.0679,6916746,6916746,114.129
7,-2.6804,0.061747837730859005,-2.308,113.4657,2018-01-18,116.9454,"Jan 18, 18",113.066,115.9902,7970325,7970325,113.9036
8,0.40937799999999996,0.06557877135015601,0.361,113.8751,2018-01-19,114.5866,"Jan 19, 18",112.7834,114.0505,6367294,6367294,113.5998
9,2.544,0.089383148570792,2.234,116.419,2018-01-22,116.458,"Jan 22, 18",114.4891,114.9375,7217402,7217402,115.6711
10,0.438618,0.093488255016286,0.377,116.8577,2018-01-23,117.6959,"Jan 23, 18",115.8927,116.9844,8087143,8087143,116.5564
11,-9.9323,0.000547409908961,-8.499,106.9254,2018-01-24,111.1166,"Jan 24, 18",105.9313,108.3241,19223891,19223891,108.394
12,0.438619,0.004651580611021,0.41000000000000003,107.364,2018-01-25,108.8846,"Jan 25, 18",106.3211,108.0561,8564786,8564786,107.6514
13,3.4505,0.03693940780541,3.214,110.8145,2018-01-26,111.1166,"Jan 26, 18",106.7704,108.1243,7801563,7801563,109.3711
14,-1.0137,0.027453776613712,-0.915,109.8008,2018-01-29,110.5318,"Jan 29, 18",108.4362,109.6253,6389293,6389293,109.6418
15,-2.0974,0.007827493826432,-1.9100000000000001,107.7034,2018-01-30,109.2519,"Jan 30, 18",107.1251,108.9873,6492875,6492875,108.0941
