,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.05,0.0,0.339,14.78,2018-01-08,15.139,"Jan 8, 18",14.64,14.69,4838135,4838135,14.8169
1,-0.68,-0.046008119079837005,-4.601,14.1,2018-01-09,14.62,"Jan 9, 18",13.97,14.16,8791364,8791364,14.1694
2,-0.16,-0.056833558863328006,-1.135,13.94,2018-01-10,14.05,"Jan 10, 18",13.67,13.85,5960052,5960052,13.8461
3,0.19,-0.043978349120432005,1.363,14.13,2018-01-11,14.49,"Jan 11, 18",13.82,13.95,6438818,6438818,14.2748
4,0.01,-0.043301759133964,0.07100000000000001,14.14,2018-01-12,14.39,"Jan 12, 18",13.9,14.21,4573854,4573854,14.0762
5,-1.6600000000000001,-0.155615696887686,-11.74,12.48,2018-01-16,13.88,"Jan 16, 18",12.3,13.74,14256780,14256780,12.9959
6,-0.09,-0.16170500676589902,-0.721,12.39,2018-01-17,12.66,"Jan 17, 18",12.27,12.57,7005987,7005987,12.4401
7,-0.02,-0.16305818673883601,-0.161,12.37,2018-01-18,12.39,"Jan 18, 18",12.16,12.33,6691103,6691103,12.3013
8,0.48,-0.130581867388362,3.88,12.85,2018-01-19,12.98,"Jan 19, 18",12.3968,12.4,6101584,6101584,12.7487
9,0.43,-0.10148849797023,3.346,13.28,2018-01-22,13.28,"Jan 22, 18",12.67,12.85,4735057,4735057,13.1147
10,0.31,-0.080514208389715,2.334,13.59,2018-01-23,13.75,"Jan 23, 18",13.29,13.36,4143943,4143943,13.511
11,0.02,-0.07916102841677901,0.147,13.61,2018-01-24,13.76,"Jan 24, 18",13.23,13.61,3964507,3964507,13.525500000000001
12,-0.30000000000000004,-0.099458728010825,-2.204,13.31,2018-01-25,13.73,"Jan 25, 18",13.14,13.73,3314927,3314927,13.3118
13,-0.04,-0.10216508795669801,-0.301,13.27,2018-01-26,13.42,"Jan 26, 18",13.15,13.3,2584562,2584562,13.2575
