,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.85,0.0,-1.225,68.51,2018-01-08,69.37,"Jan 8, 18",68.01,69.37,4277877,4277877,68.4664
1,-0.03,-0.000437892278499,-0.044,68.48,2018-01-09,69.76,"Jan 9, 18",68.39,68.5,3056969,3056969,68.9756
2,4.6,0.066705590424755,6.717,73.08,2018-01-10,73.151,"Jan 10, 18",70.45,70.98,9380357,9380357,72.3531
3,3.37,0.11589548970953101,4.611,76.45,2018-01-11,77.09,"Jan 11, 18",73.25,73.615,6913386,6913386,75.703
4,1.9500000000000002,0.144358487811998,2.551,78.4,2018-01-12,78.84,"Jan 12, 18",76.48,76.74,4479310,4479310,78.0422
5,-0.91,0.13107575536418,-1.161,77.49,2018-01-16,79.0,"Jan 16, 18",76.8,78.35,3912380,3912380,77.8346
6,-0.91,0.11779302291636201,-1.174,76.58,2018-01-17,77.61,"Jan 17, 18",76.48,77.53,2951153,2951153,76.911
7,-0.28,0.11370602831703301,-0.366,76.3,2018-01-18,77.1,"Jan 18, 18",75.991,76.6,3442188,3442188,76.4689
8,0.2,0.11662531017369701,0.262,76.5,2018-01-19,76.84,"Jan 19, 18",75.8,76.82,3994614,3994614,76.2966
9,0.37,0.12202598160852401,0.484,76.87,2018-01-22,76.88,"Jan 22, 18",75.5,76.6,3010735,3010735,76.2994
10,1.1,0.138082031820172,1.431,77.97,2018-01-23,78.21,"Jan 23, 18",76.4,77.1,5115767,5115767,77.4779
11,-8.92,0.00788206101299,-11.44,69.05,2018-01-24,72.0,"Jan 24, 18",68.07,71.43,27117214,27117214,69.5963
12,-2.9699999999999998,-0.035469274558458004,-4.301,66.08,2018-01-25,69.4,"Jan 25, 18",65.8,69.355,16960258,16960258,66.8131
13,0.48,-0.028462998102466,0.726,66.56,2018-01-26,66.77,"Jan 26, 18",65.44,66.33,6503507,6503507,65.9729
14,-0.78,-0.039848197343453004,-1.172,65.78,2018-01-29,66.75,"Jan 29, 18",65.46,66.22,5414823,5414823,65.8936
15,1.23,-0.021894613924974,1.87,67.01,2018-01-30,67.52,"Jan 30, 18",65.78,66.26,7802302,7802302,66.7871
16,0.81,-0.010071522405488,1.209,67.82,2018-01-31,69.09,"Jan 31, 18",67.32,67.74,6234766,6234766,68.1914
17,-0.67,-0.01985111662531,-0.988,67.15,2018-02-01,67.95,"Feb 1, 18",66.23,67.22,5603314,5603314,66.9448
18,-1.47,-0.041307838271785004,-2.189,65.68,2018-02-02,66.89,"Feb 2, 18",65.48,66.63,4189758,4189758,66.0895
19,-2.2800000000000002,-0.07458765143774601,-3.471,63.4,2018-02-05,65.44,"Feb 5, 18",63.2811,65.0,5433829,5433829,64.4362
20,0.55,-0.066559626331922,0.868,63.95,2018-02-06,64.22,"Feb 6, 18",61.96,62.16,4670812,4670812,63.2532
21,1.4100000000000001,-0.045978689242446004,2.205,65.36,2018-02-07,66.5783,"Feb 7, 18",63.75,63.84,5694871,5694871,65.7353
22,-1.99,-0.07502554371624501,-3.045,63.37,2018-02-08,65.67,"Feb 8, 18",63.33,65.17,4634325,4634325,64.4426
23,-0.39,-0.080718143336739,-0.615,62.98,2018-02-09,64.52,"Feb 9, 18",60.44,64.24,6069985,6069985,62.3582
24,1.16,-0.063786308568092,1.842,64.14,2018-02-12,64.83,"Feb 12, 18",62.97,63.33,3279782,3279782,64.1139
25,1.56,-0.041015910086118004,2.432,65.7,2018-02-13,65.75,"Feb 13, 18",63.66,63.83,3151063,3151063,65.102
26,-0.02,-0.041307838271785004,-0.03,65.68,2018-02-14,66.32,"Feb 14, 18",65.16,65.4,2747602,2747602,65.7854
27,1.06,-0.025835644431470003,1.6139999999999999,66.74,2018-02-15,66.755,"Feb 15, 18",65.64,66.0,3722329,3722329,66.3695
28,-0.22,-0.029046854473799004,-0.33,66.52,2018-02-16,67.51,"Feb 16, 18",66.51,67.05,3309725,3309725,66.956
29,0.07,-0.028025105823967004,0.105,66.59,2018-02-20,66.72,"Feb 20, 18",65.78,66.1,3391476,3391476,66.4897
30,0.41000000000000003,-0.022040578017807,0.616,67.0,2018-02-21,68.52,"Feb 21, 18",66.36,66.39,3376144,3376144,67.5875
31,-0.30000000000000004,-0.026419500802802,-0.448,66.7,2018-02-22,67.7272,"Feb 22, 18",66.45,67.5,2534568,2534568,67.0576
32,0.87,-0.013720624726317,1.304,67.57,2018-02-23,67.6801,"Feb 23, 18",66.74,67.01,2656735,2656735,67.2803
33,1.69,0.010947306962487,2.501,69.26,2018-02-26,69.48,"Feb 26, 18",68.25,68.26,4628263,4628263,69.054
34,-1.4,-0.009487666034155,-2.021,67.86,2018-02-27,69.4,"Feb 27, 18",67.79,69.0,3531149,3531149,68.3471
35,-0.07,-0.010509414683987,-0.10300000000000001,67.79,2018-02-28,68.61,"Feb 28, 18",67.33,68.0,3042608,3042608,68.0067
36,-0.25,-0.014158517004816,-0.369,67.54,2018-03-01,69.34,"Mar 1, 18",67.02,67.78,4109064,4109064,68.1078
37,-0.03,-0.014596409283316,-0.044,67.51,2018-03-02,67.69,"Mar 2, 18",65.67,66.87,3234637,3234637,66.8651
38,-0.30000000000000004,-0.018975332068311,-0.444,67.21,2018-03-05,67.92,"Mar 5, 18",66.41,66.82,3036169,3036169,67.2283
39,0.31,-0.014450445190483002,0.461,67.52,2018-03-06,67.81,"Mar 6, 18",66.29,67.21,2472019,2472019,67.1324
40,0.29,-0.010217486498321,0.43,67.81,2018-03-07,67.91,"Mar 7, 18",66.531,66.81,2734129,2734129,67.4694
41,2.06,0.01985111662531,3.038,69.87,2018-03-08,70.55,"Mar 8, 18",68.05,68.32,7131571,7131571,69.7803
42,1.6800000000000002,0.044373084221281,2.404,71.55,2018-03-09,71.6399,"Mar 9, 18",69.73,70.5,5646136,5646136,71.0408
