,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-1.8142,0.0,-1.625,109.7975,2018-01-08,111.4378,"Jan 8, 18",108.9004,111.4323,1543797,1543797,109.6364
1,0.637952,0.005810696964867,0.581,110.4355,2018-01-09,111.0086,"Jan 9, 18",108.2724,110.0268,1228576,1228576,109.6468
2,-0.428625,0.001906236480794,-0.388,110.0068,2018-01-10,111.203,"Jan 10, 18",109.5732,110.4056,732925,732925,110.1897
3,4.5554,0.043395341423985004,4.141,114.5622,2018-01-11,114.60210000000001,"Jan 11, 18",110.1165,110.1165,982290,982290,113.6847
4,1.7145000000000001,0.059010451057628005,1.4969999999999999,116.2767,2018-01-12,116.4462,"Jan 12, 18",114.4526,114.632,1637289,1637289,115.9726
5,-0.229264,0.05692206106696401,-0.197,116.0474,2018-01-16,116.6256,"Jan 16, 18",114.8762,116.2867,620400,620400,115.9645
6,-0.368816,0.05356315034495301,-0.318,115.6786,2018-01-17,116.5957,"Jan 17, 18",115.3596,116.4362,642591,642591,115.722
7,1.2659,0.06509346751975201,1.094,116.9446,2018-01-18,117.0343,"Jan 18, 18",115.25,116.3066,803328,803328,116.2834
8,0.767536,0.07208360846103,0.656,117.7121,2018-01-19,119.8153,"Jan 19, 18",116.52590000000001,117.6623,1839851,1839851,118.1659
9,-0.279105,0.06954165623078801,-0.23700000000000002,117.433,2018-01-22,117.8317,"Jan 22, 18",115.858,117.8317,710168,710168,117.0186
10,-0.5582079999999999,0.06445775177030401,-0.47500000000000003,116.8748,2018-01-23,117.742,"Jan 23, 18",115.4494,117.5327,410252,410252,117.1155
11,0.737632,0.07117557321432601,0.631,117.6124,2018-01-24,117.7221,"Jan 24, 18",116.4262,117.5925,684019,684019,117.1312
12,1.1364,0.081525535645164,0.966,118.7488,2018-01-25,118.8883,"Jan 25, 18",117.0941,118.2404,359808,359808,118.2237
13,2.0933,0.10058972198820501,1.763,120.842,2018-01-26,120.9617,"Jan 26, 18",118.3201,118.8983,991013,991013,120.142
14,-0.956927,0.091874587308454,-0.792,119.8851,2018-01-29,121.4999,"Jan 29, 18",119.7356,120.9218,632848,632848,120.1732
15,2.2528,0.11239235866026001,1.879,122.1379,2018-01-30,125.4074,"Jan 30, 18",117.3433,119.3269,905324,905324,122.8335
16,-1.0267,0.10304150823106101,-0.841,121.1112,2018-01-31,122.4569,"Jan 31, 18",117.5825,122.3073,1124853,1124853,119.9307
17,-0.20932699999999999,0.10113527175026701,-0.17300000000000001,120.9019,2018-02-01,122.1778,"Feb 1, 18",118.8584,120.6028,594092,594092,120.7112
18,-1.9836,0.083068375873767,-1.641,118.9182,2018-02-02,120.9019,"Feb 2, 18",117.9713,120.0346,638383,638383,118.8836
19,-5.7416,0.030776657027710003,-4.828,113.1767,2018-02-05,119.5562,"Feb 5, 18",113.1767,118.7687,1045625,1045625,116.1582
20,3.3094,0.060916687538423005,2.924,116.486,2018-02-06,117.0841,"Feb 6, 18",111.1482,111.7213,1035230,1035230,114.9416
21,0.259168,0.06327739702634301,0.222,116.7452,2018-02-07,118.3301,"Feb 7, 18",115.3801,115.9677,497671,497671,117.1255
22,-2.2428,0.042850702429472004,-1.921,114.5024,2018-02-08,118.998,"Feb 8, 18",114.5024,116.6056,669718,669718,116.285
23,0.408686,0.046573009403674,0.357,114.9111,2018-02-09,115.8979,"Feb 9, 18",111.0835,115.6388,917580,917580,113.4601
24,0.32894399999999996,0.049568523873494,0.28600000000000003,115.24,2018-02-12,116.3764,"Feb 12, 18",113.5754,115.24,430050,430050,115.2615
25,0.588112,0.054924747831234,0.51,115.8281,2018-02-13,116.0898,"Feb 13, 18",113.6352,114.2731,387223,387223,115.2122
26,0.647921,0.060826521551037,0.559,116.4761,2018-02-14,117.1938,"Feb 14, 18",114.4825,115.2699,739855,739855,115.9378
27,1.6447,0.075805915435233,1.412,118.1208,2018-02-15,118.1906,"Feb 15, 18",114.8513,116.815,552037,552037,116.8966
28,-0.5980800000000001,0.070358614722557,-0.506,117.5227,2018-02-16,118.7139,"Feb 16, 18",117.0642,117.5925,563905,563905,117.822
29,-0.717696,0.06382203602085601,-0.611,116.805,2018-02-20,117.7619,"Feb 20, 18",116.2069,117.2735,622410,622410,116.8942
30,-1.7045,0.048298003142148,-1.459,115.1005,2018-02-21,117.9613,"Feb 21, 18",115.0307,116.9844,666903,666903,116.4004
31,1.236,0.059555090052141005,1.074,116.3365,2018-02-22,118.041,"Feb 22, 18",115.0805,115.0805,1066205,1066205,116.7746
32,-0.29904000000000003,0.056831895079578004,-0.257,116.0375,2018-02-23,116.9346,"Feb 23, 18",115.1802,116.7751,411997,411997,115.8448
33,0.309008,0.059646166807076004,0.266,116.3465,2018-02-26,117.0143,"Feb 26, 18",114.0987,116.0275,643079,643079,116.181
34,0.8771829999999999,0.067635419749994,0.754,117.2237,2018-02-27,119.3867,"Feb 27, 18",115.8979,116.7751,613056,613056,117.8811
35,-3.2923,0.037650219722671005,-2.809,113.9314,2018-02-28,118.2612,"Feb 28, 18",113.8516,117.3433,1159474,1159474,115.2584
36,1.8157,0.054187026116259,1.5939999999999999,115.7471,2018-03-01,119.4584,"Mar 1, 18",113.3927,115.2383,1468106,1468106,116.6476
37,7.8016000000000005,0.12524146724652202,6.74,123.5487,2018-03-02,125.125,"Mar 2, 18",115.6374,115.6473,2302265,2302265,122.2129
38,0.009975999999999999,0.12533254400145702,0.008,123.5587,2018-03-05,123.7083,"Mar 5, 18",121.4536,123.6485,1288705,1288705,122.807
39,1.0974,0.13532730708804802,0.888,124.6561,2018-03-06,125.6338,"Mar 6, 18",123.3691,123.9777,976781,976781,124.6741
40,1.2471,0.146685489196019,1.0,125.9032,2018-03-07,126.5816,"Mar 7, 18",123.3492,123.6385,721750,721750,125.4438
41,1.0675,0.15640702201780501,0.848,126.9706,2018-03-08,127.3797,"Mar 8, 18",125.8034,126.5117,768114,768114,126.5993
42,-0.608564,0.150865001479997,-0.47900000000000004,126.3621,2018-03-09,127.5193,"Mar 9, 18",125.8533,127.3497,674795,674795,126.561
43,-0.379106,0.14741228170040302,-0.30000000000000004,125.983,2018-03-12,127.8486,"Mar 12, 18",125.4243,126.3521,849225,849225,126.4733
44,-2.3844,0.125695940253648,-1.893,123.5986,2018-03-13,126.5017,"Mar 13, 18",123.439,126.5017,810644,810644,124.1137
45,-0.628518,0.11997176620597001,-0.509,122.9701,2018-03-14,124.7559,"Mar 14, 18",122.1121,123.8281,873692,873692,122.9947
46,0.568659,0.12515039049158602,0.462,123.5387,2018-03-15,125.7036,"Mar 15, 18",123.0898,123.439,713058,713058,124.1183
47,-0.319247,0.122243220474054,-0.258,123.2195,2018-03-16,123.868,"Mar 16, 18",122.2817,123.409,928280,928280,123.1963
48,-0.438965,0.11824495093239801,-0.356,122.7805,2018-03-19,123.5759,"Mar 19, 18",121.3339,123.3292,609864,609864,122.2559
49,-0.169599,0.11670028916869601,-0.138,122.6109,2018-03-20,123.4489,"Mar 20, 18",121.7928,123.2793,657194,657194,122.5537
50,1.3169,0.128694187026116,1.074,123.9278,2018-03-21,125.0651,"Mar 21, 18",122.556,122.9501,858197,858197,124.3311
51,-1.1872,0.11788155468020602,-0.9580000000000001,122.7406,2018-03-22,125.9081,"Mar 22, 18",122.6907,123.419,578020,578020,123.9419
52,-1.8556,0.10098135203442701,-1.512,120.885,2018-03-23,124.0924,"Mar 23, 18",120.7553,123.3592,743997,743997,122.2156
