,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-6.82,0.0,-2.866,231.14,2018-01-08,238.9913,"Jan 8, 18",230.18,237.25,1348934,1348934,232.3291
1,1.78,0.0077009604568650004,0.77,232.92,2018-01-09,233.54,"Jan 9, 18",227.818,231.2,940135,940135,231.1773
2,-2.47,-0.002985203772605,-1.06,230.45,2018-01-10,233.16,"Jan 10, 18",229.15,231.17,517646,517646,230.9534
3,2.7,0.008696028381067,1.172,233.15,2018-01-11,233.5,"Jan 11, 18",228.01,231.4,702856,702856,231.7883
4,4.17,0.026737042485074,1.7890000000000001,237.32,2018-01-12,237.72,"Jan 12, 18",233.49,233.54,1086690,1086690,236.3439
5,-0.2,0.025871766029246002,-0.084,237.12,2018-01-16,238.68,"Jan 16, 18",234.68,238.29,832400,832400,236.4989
6,1.57,0.032664186207493,0.662,238.69,2018-01-17,245.73,"Jan 17, 18",237.6,245.19,1363170,1363170,239.94
7,4.46,0.051959851172449,1.869,243.15,2018-01-18,243.96,"Jan 18, 18",238.255,238.82,1075346,1075346,242.3428
8,0.98,0.056199705806005,0.403,244.13,2018-01-19,247.3,"Jan 19, 18",241.6575,244.9,1235142,1235142,245.1914
9,-9.12,0.016743099420264,-3.7359999999999998,235.01,2018-01-22,241.785,"Jan 22, 18",232.74,240.88,1973572,1973572,235.8136
10,-6.22,-0.010166998355974,-2.6470000000000002,228.79,2018-01-23,234.78,"Jan 23, 18",227.88,233.85,1919241,1919241,230.1494
11,-4.48,-0.029549190966513,-1.9580000000000002,224.31,2018-01-24,228.33,"Jan 24, 18",220.67,228.33,1702006,1702006,224.0283
12,2.98,-0.016656571774681002,1.329,227.29,2018-01-25,228.74,"Jan 25, 18",223.0,224.87,1128703,1128703,226.7976
13,0.4,-0.014926018863026,0.176,227.69,2018-01-26,229.35,"Jan 26, 18",223.41,226.88,1450685,1450685,227.3501
14,1.46,-0.008609500735484001,0.641,229.15,2018-01-29,230.9,"Jan 29, 18",225.38,227.53,996321,996321,228.757
15,-3.1,-0.022021285800813,-1.353,226.05,2018-01-30,228.785,"Jan 30, 18",223.065,225.84,737836,737836,225.486
16,-3.95,-0.039110495803409,-1.7469999999999999,222.1,2018-01-31,226.89,"Jan 31, 18",221.02,226.46,989546,989546,223.3973
17,-2.7,-0.050791727957082006,-1.216,219.4,2018-02-01,222.02,"Feb 1, 18",217.53,220.6,810126,810126,219.9289
18,0.07,-0.050488881197542,0.032,219.47,2018-02-02,221.96,"Feb 2, 18",216.2,219.18,1030709,1030709,219.3013
19,-6.48,-0.07852383836635701,-2.9530000000000003,212.99,2018-02-05,224.39,"Feb 5, 18",212.99,218.51,1902090,1902090,218.0289
20,5.6,-0.054296097603184004,2.629,218.59,2018-02-06,222.13,"Feb 6, 18",207.34,210.79,1650174,1650174,217.3951
21,-0.53,-0.056589080211127005,-0.242,218.06,2018-02-07,221.67,"Feb 7, 18",216.91,217.99,753520,753520,218.9907
22,-8.97,-0.09539672925499601,-4.114,209.09,2018-02-08,219.94,"Feb 8, 18",209.01,218.88,1022063,1022063,213.0629
23,9.46,-0.054469152894349004,4.524,218.55,2018-02-09,220.44,"Feb 9, 18",205.5,211.0,1325542,1325542,212.4639
24,-9.07,-0.093709440166133,-4.15,209.48,2018-02-12,222.22,"Feb 12, 18",204.75,219.97,2647360,2647360,209.8046
25,-2.69,-0.105347408497014,-1.284,206.79,2018-02-13,211.25,"Feb 13, 18",206.26,208.44,1071585,1071585,207.681
26,-0.03,-0.10547719996538801,-0.015,206.76,2018-02-14,208.64,"Feb 14, 18",204.7,204.74,1299033,1299033,206.585
27,-2.76,-0.11741801505581001,-1.335,204.0,2018-02-15,208.25,"Feb 15, 18",203.38,207.24,1261140,1261140,205.0602
28,-0.85,-0.12109543999307701,-0.417,203.15,2018-02-16,205.7305,"Feb 16, 18",201.63,204.45,1061074,1061074,203.7855
29,-2.02,-0.129834732196936,-0.994,201.13,2018-02-20,205.0,"Feb 20, 18",199.5,200.15,985613,985613,202.1638
30,0.06,-0.129575149260188,0.03,201.19,2018-02-21,204.8399,"Feb 21, 18",199.83,202.21,728667,728667,202.4057
31,2.86,-0.117201695941853,1.422,204.05,2018-02-22,204.84,"Feb 22, 18",199.54,201.26,953784,953784,203.0352
32,3.06,-0.10396296616769,1.5,207.11,2018-02-23,207.21,"Feb 23, 18",203.77,205.0,852282,852282,206.1465
33,-8.18,-0.13935277321104,-3.95,198.93,2018-02-26,207.04,"Feb 26, 18",198.32,206.9,1634826,1634826,200.3046
34,4.13,-0.12148481439820001,2.076,203.06,2018-02-27,204.89,"Feb 27, 18",198.29,198.9,1217491,1217491,202.1245
35,0.29,-0.12023016353725001,0.14300000000000002,203.35,2018-02-28,208.98,"Feb 28, 18",203.33,204.49,997293,997293,205.9259
36,-2.64,-0.131651812754174,-1.298,200.71,2018-03-01,204.84,"Mar 1, 18",199.54,203.62,808077,808077,201.568
37,-6.71,-0.160681837847192,-3.343,194.0,2018-03-02,199.08,"Mar 2, 18",191.701,198.08,2207951,2207951,194.454
38,3.88,-0.14389547460413601,2.0,197.88,2018-03-05,198.34,"Mar 5, 18",192.5,194.0,1314496,1314496,195.5724
