,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-3.9172000000000002,0.0,-1.736,221.7693,2018-01-08,225.6668,"Jan 8, 18",221.6213,225.0945,2850845,2850845,222.6156
1,1.1051,0.004983106318142001,0.498,222.8744,2018-01-09,223.6144,"Jan 9, 18",220.3287,221.7693,2672161,2672161,222.1779
2,-1.6576,-0.00249132769955,-0.744,221.2168,2018-01-10,222.016,"Jan 10, 18",220.0623,221.8384,2311609,2311609,221.0485
3,1.1742,0.002802912756634,0.531,222.3909,2018-01-11,222.9139,"Jan 11, 18",220.7234,221.197,2543589,2543589,222.2164
4,3.2068,0.017262984551964,1.442,225.5977,2018-01-12,226.8409,"Jan 12, 18",223.5059,224.4235,3943796,3943796,225.0264
5,4.2033,0.036216464587298006,1.863,229.801,2018-01-16,231.8731,"Jan 16, 18",228.173,230.2648,6852619,6852619,230.5122
6,5.4564,0.060820411120926,2.374,235.2574,2018-01-17,235.7804,"Jan 17, 18",230.7384,231.5475,5124815,5124815,233.665
7,4.6671,0.08186525366676001,1.984,239.9245,2018-01-18,240.6546,"Jan 18, 18",235.3759,236.0764,6234153,6234153,238.6141
8,0.187471,0.082710726867965,0.078,240.112,2018-01-19,241.0987,"Jan 19, 18",237.8623,240.9309,4293632,4293632,239.6399
9,0.207205,0.083645031120177,0.08600000000000001,240.3192,2018-01-22,240.551,"Jan 22, 18",238.1484,240.3488,4012161,4012161,239.6652
10,1.6280000000000001,0.09098599310184001,0.677,241.9472,2018-01-23,243.6937,"Jan 23, 18",239.1845,239.7567,3300020,3300020,241.8894
11,-0.355209,0.089384328669477,-0.147,241.592,2018-01-24,244.0229,"Jan 24, 18",240.4672,242.7366,2733255,2733255,242.23
12,0.32561,0.09085252106581,0.135,241.9176,2018-01-25,242.9142,"Jan 25, 18",240.6546,241.4933,2420503,2420503,241.7251
13,3.2462,0.10549025496315301,1.342,245.1638,2018-01-26,245.4253,"Jan 26, 18",241.2072,241.74,2615342,2615342,244.2378
14,-1.0459,0.10077409271707101,-0.427,244.1179,2018-01-29,247.453,"Jan 29, 18",244.1081,245.9631,2564688,2564688,245.118
15,-10.6168,0.052900920010118,-4.349,233.5011,2018-01-30,239.5101,"Jan 30, 18",229.0117,229.7813,11565538,11565538,234.2214
16,0.12827000000000002,0.053479449139263,0.055,233.6294,2018-01-31,243.7134,"Jan 31, 18",232.623,239.6087,5187404,5187404,235.6255
17,-1.5392000000000001,0.04653845234665,-0.659,232.0901,2018-02-01,234.6555,"Feb 1, 18",230.7186,232.1296,4268312,4268312,232.5578
