,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.8704,0.0,1.389,136.549,2018-01-08,136.7351,"Jan 8, 18",134.6101,134.6296,5472315,5472315,136.2687
1,1.5277,0.011187925213659002,1.119,138.0767,2018-01-09,138.2431,"Jan 9, 18",136.3336,136.9113,6390817,6390817,137.754
2,-1.2730000000000001,0.0018645321459690002,-0.922,136.8036,2018-01-10,138.4684,"Jan 10, 18",135.8537,137.2639,9513713,9513713,137.1799
3,0.636524,0.006525862510893,0.465,137.4401,2018-01-11,138.0669,"Jan 11, 18",136.598,137.6752,3103196,3103196,137.4397
4,0.803,0.012406535382902002,0.584,138.2431,2018-01-12,138.8699,"Jan 12, 18",137.5577,137.8808,3268832,3268832,138.2106
5,-0.842171,0.006239518414635,-0.609,137.401,2018-01-16,139.242,"Jan 16, 18",136.9211,139.1245,5793329,5793329,137.7098
6,0.14689000000000002,0.00731532270467,0.107,137.5479,2018-01-17,138.7719,"Jan 17, 18",136.8624,137.401,3376714,3376714,137.7808
7,-0.029377999999999998,0.0071000153790940004,-0.021,137.5185,2018-01-18,137.9592,"Jan 18, 18",136.7155,137.7633,3882096,3882096,137.4935
8,0.803,0.012980688251103,0.584,138.3215,2018-01-19,138.6838,"Jan 19, 18",136.9015,138.0767,4592089,4592089,138.015
9,0.7050719999999999,0.018144402375703,0.51,139.0266,2018-01-22,139.1343,"Jan 22, 18",137.2149,138.4194,3277369,3277369,138.5262
10,-0.597353,0.013769416107038001,-0.43,138.4292,2018-01-23,139.4476,"Jan 23, 18",136.4511,138.4684,6179360,6179360,138.4052
11,-0.16647499999999998,0.012550073599953,-0.12,138.2627,2018-01-24,140.0842,"Jan 24, 18",137.0093,138.488,5229095,5229095,138.2983
12,-7.4326,-0.041881668851474006,-5.376,130.8301,2018-01-25,132.1913,"Jan 25, 18",129.087,131.78,13806679,13806679,130.6119
13,0.616938,-0.0373638767036,0.47200000000000003,131.447,2018-01-26,131.8387,"Jan 26, 18",129.9683,131.0357,5843344,5843344,131.0838
14,1.7823,-0.024311419343971002,1.3559999999999999,133.2293,2018-01-29,133.9246,"Jan 29, 18",131.3295,131.4177,5754187,5754187,133.1008
15,-0.6756949999999999,-0.029259826142996003,-0.507,132.5536,2018-01-30,134.2379,"Jan 30, 18",132.348,132.4851,5383553,5383553,133.1867
16,-1.8214000000000001,-0.042598627598883006,-1.374,130.7322,2018-01-31,134.14,"Jan 31, 18",130.2523,132.8768,5699893,5699893,131.2995
17,-1.0968,-0.050630909050963006,-0.839,129.6354,2018-02-01,130.9672,"Feb 1, 18",129.1262,129.7627,5597605,5597605,129.9018
18,-2.9574,-0.07228906839303101,-2.281,126.678,2018-02-02,128.9989,"Feb 2, 18",124.5824,128.9303,8181225,8181225,127.7077
19,-5.1118,-0.109724714205157,-4.035,121.5662,2018-02-05,129.0478,"Feb 5, 18",121.5564,125.924,6744419,6744419,125.2011
20,6.8647,-0.05945191835897701,5.647,128.4309,2018-02-06,128.7736,"Feb 6, 18",118.981,119.7448,15734299,15734299,125.6193
21,-2.1446,-0.07515763572051,-1.67,126.2863,2018-02-07,129.0869,"Feb 7, 18",126.2667,127.6377,5052960,5052960,127.6805
22,-4.015,-0.104561000080557,-3.179,122.2713,2018-02-08,126.0317,"Feb 8, 18",122.2223,126.0317,6325125,6325125,123.5516
23,2.3698,-0.08720605789862901,1.9380000000000002,124.6411,2018-02-09,125.6694,"Feb 9, 18",118.7068,123.8185,9155968,9155968,122.421
24,1.3318,-0.077452782517631,1.069,125.9729,2018-02-12,127.148,"Feb 12, 18",123.5346,125.1014,4161997,4161997,125.6938
25,-0.332951,-0.079890735193959,-0.264,125.64,2018-02-13,126.2912,"Feb 13, 18",124.1515,125.1014,5078094,5078094,125.3595
26,4.7886,-0.044822005287479004,3.811,130.4286,2018-02-14,130.7713,"Feb 14, 18",125.64,126.1296,4782108,4782108,129.5129
27,0.6854859999999999,-0.039801829379929,0.526,131.1141,2018-02-15,131.3295,"Feb 15, 18",128.6267,131.0749,3454388,3454388,130.2157
28,0.372121,-0.037076800269500006,0.28400000000000003,131.4862,2018-02-16,132.7201,"Feb 16, 18",130.3307,130.6734,3595817,3595817,131.5911
29,-3.9562,-0.066049549978396,-3.009,127.53,2018-02-20,130.977,"Feb 20, 18",127.2362,130.3796,3411992,3411992,128.524
30,2.2229,-0.049770412086503006,1.7429999999999999,129.7529,2018-02-21,132.5928,"Feb 21, 18",127.7748,127.7748,3900685,3900685,130.7436
31,1.0772,-0.041881668851474006,0.8300000000000001,130.8301,2018-02-22,131.447,"Feb 22, 18",128.9303,130.6342,3585853,3585853,130.6166
32,1.3416000000000001,-0.032056624361950004,1.025,132.1717,2018-02-23,132.3675,"Feb 23, 18",130.8301,131.7114,2515523,2515523,131.7491
33,3.7408,-0.004661330364924001,2.83,135.9125,2018-02-26,136.9603,"Feb 26, 18",132.7788,133.0824,5433911,5433911,135.8356
34,-4.2528,-0.035806194113468005,-3.129,131.6597,2018-02-27,137.0053,"Feb 27, 18",131.64,136.1783,10917237,10917237,133.7427
35,-3.4357,-0.06096712535426801,-2.61,128.224,2018-02-28,132.4374,"Feb 28, 18",128.0566,132.0043,5271925,5271925,129.78
36,-1.8114,-0.07423269302594601,-1.413,126.4126,2018-03-01,131.0592,"Mar 1, 18",125.5857,128.3618,5894323,5894323,127.4627
37,0.0886,-0.07358384169785201,0.07,126.5012,2018-03-02,127.151,"Mar 2, 18",123.3608,125.3691,6923043,6923043,125.484
38,1.7917,-0.06046254458106601,1.416,128.2929,2018-03-05,128.4997,"Mar 5, 18",123.4101,125.7629,5573089,5573089,126.1266
39,0.954912,-0.053469450526917005,0.744,129.2478,2018-03-06,129.6515,"Mar 6, 18",127.26,128.6572,3021312,3021312,128.7845
40,-0.177199,-0.054767153183106,-0.137,129.0706,2018-03-07,129.8976,"Mar 7, 18",127.1214,127.653,3339929,3339929,128.993
41,1.1518,-0.046332085917875,0.892,130.2224,2018-03-08,131.2413,"Mar 8, 18",128.3323,129.7499,3429408,3429408,129.8465
42,4.9222,-0.010284220316516001,3.7800000000000002,135.1447,2018-03-09,135.2431,"Mar 9, 18",131.4136,131.7286,6572100,6572100,134.2751
43,-0.610356,-0.014754410504654002,-0.452,134.5343,2018-03-12,135.6763,"Mar 12, 18",134.3965,134.8985,3279063,3279063,134.9523
44,0.167356,-0.013528476956989001,0.124,134.7017,2018-03-13,137.3793,"Mar 13, 18",133.8058,133.8058,4170308,4170308,135.7462
45,-1.9689,-0.027947476729965,-1.462,132.7328,2018-03-14,135.8042,"Mar 14, 18",132.2012,135.0954,3960453,3960453,133.4402
46,1.4078,-0.017638356926817002,1.061,134.1405,2018-03-15,134.869,"Mar 15, 18",132.3882,132.9986,3380924,3380924,133.8412
47,0.886,-0.011149843645870001,0.661,135.0265,2018-03-16,137.34,"Mar 16, 18",134.2685,134.5934,8320559,8320559,135.1076
48,-0.1772,-0.01244754630206,-0.131,134.8493,2018-03-19,135.1643,"Mar 19, 18",133.5892,134.6721,4154111,4154111,134.4495
49,0.777712,-0.0067521549041,0.577,135.627,2018-03-20,136.0503,"Mar 20, 18",134.2783,135.2628,4640356,4640356,135.3465
