,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.5011,0.0,1.215,125.0909,2018-01-08,125.4299,"Jan 8, 18",123.7061,124.0644,3243045,3243045,124.6324
1,-0.058105,-0.00046446224305600004,-0.046,125.0328,2018-01-09,125.8947,"Jan 9, 18",124.7907,125.149,2957717,2957717,125.3253
2,0.6585249999999999,0.004799709651141001,0.527,125.6913,2018-01-10,126.3402,"Jan 10, 18",124.4324,124.4614,2927883,2927883,125.6854
3,3.5541,0.033211848343884,2.8280000000000003,129.2454,2018-01-11,129.5456,"Jan 11, 18",125.9141,126.2433,4252297,4252297,128.6569
4,0.610105,0.038089101605312,0.47200000000000003,129.8555,2018-01-12,130.088,"Jan 12, 18",128.8,129.2357,4212455,4212455,129.65
5,-1.1718,0.028722313133888,-0.902,128.6838,2018-01-16,130.456,"Jan 16, 18",127.5991,130.1654,4126546,4126546,128.945
6,1.0943,0.037470351560345005,0.85,129.7781,2018-01-17,130.0589,"Jan 17, 18",128.2092,129.3132,3508825,3508825,129.4063
7,-0.406736,0.034218316440284,-0.313,129.3713,2018-01-18,131.2501,"Jan 18, 18",129.3132,130.3979,3371107,3371107,129.9843
8,-0.493894,0.030269987664969,-0.382,128.8774,2018-01-19,129.7878,"Jan 19, 18",127.7541,129.6328,3891715,3891715,128.78
9,-0.213054,0.028567225913315,-0.165,128.6644,2018-01-22,128.7902,"Jan 22, 18",126.9987,128.3351,3099993,3099993,128.2531
10,-0.765053,0.022450873724627,-0.595,127.8993,2018-01-23,128.6741,"Jan 23, 18",126.776,128.6741,2952740,2952740,127.8089
11,-0.36799899999999997,0.019509013045713,-0.28800000000000003,127.5313,2018-01-24,128.7578,"Jan 24, 18",126.04,128.3254,2862880,2862880,127.4724
12,-0.387368,0.016412864564888,-0.304,127.144,2018-01-25,127.8025,"Jan 25, 18",125.6139,127.7928,3166768,3166768,126.8758
13,1.3848,0.027483214206628002,1.089,128.5288,2018-01-26,128.5288,"Jan 26, 18",126.9019,127.0665,2044532,2044532,127.9099
14,-2.0143,0.011380524082886001,-1.5670000000000002,126.5145,2018-01-29,129.3423,"Jan 29, 18",126.4854,128.5675,2753769,2753769,127.3824
15,-2.4501,-0.008206032573112,-1.937,124.0644,2018-01-30,126.6113,"Jan 30, 18",124.0547,126.253,4124859,4124859,124.7313
