,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.07,0.0,0.624,172.45,2018-01-08,172.67,"Jan 8, 18",169.4272,171.29,1623595,1623595,171.6499
1,-0.02,-0.00011597564511400001,-0.012,172.43,2018-01-09,173.53,"Jan 9, 18",170.7,172.75,981464,981464,172.2991
2,0.77,0.004349086691794,0.447,173.2,2018-01-10,174.93,"Jan 10, 18",171.5,171.73,1100526,1100526,173.2519
3,6.79,0.043722818208176,3.92,179.99,2018-01-11,179.99,"Jan 11, 18",174.635,174.81,1533899,1533899,179.0636
4,0.9,0.048941722238329,0.5,180.89,2018-01-12,182.86,"Jan 12, 18",179.52,180.6,882618,882618,180.6297
5,-1.92,0.037808060307335,-1.061,178.97,2018-01-16,184.0,"Jan 16, 18",176.68,181.95,1083840,1083840,180.1792
6,1.2,0.044766599014207,0.671,180.17,2018-01-17,180.6799,"Jan 17, 18",177.52,178.76,693817,693817,180.0011
7,1.07,0.050971296027834005,0.594,181.24,2018-01-18,181.79,"Jan 18, 18",179.77,180.33,814440,814440,181.0116
8,2.43,0.06506233690924901,1.341,183.67,2018-01-19,184.25,"Jan 19, 18",180.8156,181.7,1208340,1208340,182.9745
9,3.45,0.08506813569150401,1.8780000000000001,187.12,2018-01-22,187.17,"Jan 22, 18",181.0,184.0,995444,995444,185.3799
10,-1.25,0.07781965787184701,-0.668,185.87,2018-01-23,188.73,"Jan 23, 18",183.88,187.5,1531460,1531460,185.8893
11,-0.35000000000000003,0.075790084082342,-0.188,185.52,2018-01-24,187.08,"Jan 24, 18",183.88,186.47,1836932,1836932,185.1928
12,-3.61,0.05485648013917,-1.9460000000000002,181.91,2018-01-25,189.0,"Jan 25, 18",176.55,186.0,3108655,3108655,181.755
13,3.46,0.074920266743983,1.9020000000000001,185.37,2018-01-26,187.25,"Jan 26, 18",180.44,184.69,1963237,1963237,184.6082
14,-4.9,0.046506233690924006,-2.643,180.47,2018-01-29,188.31,"Jan 29, 18",180.21,184.93,1996942,1996942,183.4719
15,1.67,0.05619020005798701,0.925,182.14,2018-01-30,182.99,"Jan 30, 18",176.79,177.06,1401099,1401099,180.642
16,-1.03,0.050217454334589004,-0.5650000000000001,181.11,2018-01-31,185.8875,"Jan 31, 18",179.78,185.1,1420321,1420321,181.6592
17,-1.46,0.041751232241229,-0.806,179.65,2018-02-01,183.53,"Feb 1, 18",178.45,180.68,1431361,1431361,180.7001
