,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.2225,0.0,0.9500000000000001,129.9022,2018-01-08,132.807,"Jan 8, 18",129.2959,132.2202,6624792,6624792,130.2411
1,1.4181,0.010917444046367,1.092,131.3204,2018-01-09,131.5062,"Jan 9, 18",130.1076,130.3913,4231944,4231944,131.0288
2,0.616161,0.015661012669531002,0.46900000000000003,131.9366,2018-01-10,132.5136,"Jan 10, 18",130.8118,131.1737,3282879,3282879,131.7449
3,0.08802199999999999,0.016338445384296,0.067,132.0246,2018-01-11,133.2667,"Jan 11, 18",131.7899,131.7899,4804153,4804153,132.1307
4,1.5551,0.028308989378163,1.178,133.5796,2018-01-12,133.5796,"Jan 12, 18",132.2593,132.631,5214333,5214333,133.1933
5,-2.5527,0.008658821790546,-1.911,131.027,2018-01-16,134.7044,"Jan 16, 18",130.9292,134.7044,5215928,5215928,132.2894
6,0.440115,0.012046755174277,0.336,131.4671,2018-01-17,131.9855,"Jan 17, 18",130.0294,131.7018,3913818,3913818,131.2895
7,0.185825,0.013477061974316001,0.14100000000000001,131.6529,2018-01-18,132.6799,"Jan 18, 18",131.4084,131.5942,3208588,3208588,131.8247
8,1.2617,0.023189753522265003,0.9580000000000001,132.9146,2018-01-19,132.9146,"Jan 19, 18",131.5356,132.093,3235284,3235284,132.4524
9,-0.6748419999999999,0.017994306485956003,-0.508,132.2397,2018-01-22,132.4931,"Jan 22, 18",130.6651,132.005,4103780,4103780,131.9113
10,0.801986,0.024168181909159002,0.606,133.0417,2018-01-23,133.4818,"Jan 23, 18",131.5453,132.8363,5727632,5727632,132.5647
11,-0.34231,0.021533122610702,-0.257,132.6994,2018-01-24,135.3401,"Jan 24, 18",131.0759,132.0539,5541974,5541974,133.1518
12,2.0245,0.037117924099822,1.526,134.7239,2018-01-25,135.2521,"Jan 25, 18",133.0223,133.8242,4542407,4542407,134.3495
13,0.22494799999999998,0.038849996381893,0.167,134.9489,2018-01-26,135.4575,"Jan 26, 18",133.6775,135.1347,3203557,3203557,134.5224
14,-1.2812000000000001,0.028987191902831003,-0.9490000000000001,133.6677,2018-01-29,136.1812,"Jan 29, 18",133.5112,135.0174,3480373,3480373,134.3187
15,-0.166264,0.027706998033905004,-0.124,133.5014,2018-01-30,134.0295,"Jan 30, 18",132.3375,133.0124,3571821,3571821,133.3007
16,1.4768,0.039075550683514,1.106,134.9782,2018-01-31,135.2814,"Jan 31, 18",133.5503,134.1078,5909248,5909248,134.7359
17,0.303189,0.041409614309842004,0.225,135.2814,2018-02-01,135.9465,"Feb 1, 18",133.521,133.9806,4200290,4200290,135.0468
18,-3.6285,0.013477061974316001,-2.682,131.6529,2018-02-02,134.9098,"Feb 2, 18",131.4475,134.4208,4684662,4684662,133.0172
19,-7.2081,-0.042011605654099005,-5.475,124.4448,2018-02-05,131.1893,"Feb 5, 18",123.1343,130.5477,6912958,6912958,127.3392
20,2.5135,-0.022661663928709,2.02,126.9584,2018-02-06,126.9584,"Feb 6, 18",120.5425,121.4325,8672837,8672837,124.5477
21,2.1125,-0.006399429724823,1.6640000000000001,129.0709,2018-02-07,130.4108,"Feb 7, 18",126.2248,126.5476,7906405,7906405,129.3713
22,-4.3914,-0.040204092001521,-3.402,124.6796,2018-02-08,129.4524,"Feb 8, 18",124.572,128.9536,7357528,7357528,127.3496
23,-2.3962,-0.058650276900622,-1.9220000000000002,122.2834,2018-02-09,127.1833,"Feb 9, 18",119.5253,126.3129,12116595,12116595,122.8841
24,2.2984,-0.040956966086794,1.88,124.5818,2018-02-12,125.6967,"Feb 12, 18",120.298,120.3664,9548320,9548320,123.8351
25,-1.5746,-0.053079162631579004,-1.264,123.0071,2018-02-13,124.171,"Feb 13, 18",122.2247,123.5842,5067454,5067454,123.1078
26,0.9095700000000001,-0.046076971752595,0.739,123.9167,2018-02-14,124.0145,"Feb 14, 18",121.2271,122.2345,6949653,6949653,122.8668
27,3.9339,-0.015793419972871002,3.175,127.8506,2018-02-15,127.8899,"Feb 15, 18",125.6771,125.8738,4556706,4556706,127.2038
28,-0.7277659999999999,-0.021396096447943002,-0.5690000000000001,127.1228,2018-02-16,128.8439,"Feb 16, 18",126.7884,127.7916,4784741,4784741,127.6557
