,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.476823,0.0,0.404,118.5501,2018-01-08,119.6796,"Jan 8, 18",117.2886,117.825,6660722,6660722,118.7023
1,-0.22847699999999999,-0.00192661161821,-0.193,118.3217,2018-01-09,119.176,"Jan 9, 18",117.8746,119.176,6562409,6562409,118.3116
2,-0.12914,-0.003016446211348,-0.109,118.1925,2018-01-10,118.2621,"Jan 10, 18",116.6826,117.9044,7490349,7490349,117.7155
3,0.854308,0.004189789801948,0.723,119.0468,2018-01-11,119.1859,"Jan 11, 18",117.8945,118.0137,5982149,5982149,118.8202
4,0.24834499999999998,0.006285106465536001,0.209,119.2952,2018-01-12,119.5535,"Jan 12, 18",118.9177,119.325,5585787,5585787,119.242
5,0.298014,0.008798811641660001,0.25,119.5932,2018-01-16,121.1329,"Jan 16, 18",119.1164,120.378,8803789,8803789,120.1377
6,1.5795,0.022122292600343003,1.321,121.1727,2018-01-17,121.3515,"Jan 17, 18",119.9309,120.3978,7991512,7991512,120.7647
7,1.1225,0.031590863272152,0.926,122.2952,2018-01-18,122.3796,"Jan 18, 18",121.2223,121.7091,8660985,8660985,122.0695
8,-0.407288,0.028155185023040003,-0.333,121.8879,2018-01-19,122.8316,"Jan 19, 18",121.1131,122.2356,8250687,8250687,121.8393
9,1.6192000000000002,0.041813545496798006,1.328,123.5071,2018-01-22,123.5071,"Jan 22, 18",121.5899,122.0568,9355047,9355047,122.8945
10,0.317882,0.044495112193072006,0.257,123.825,2018-01-23,124.6793,"Jan 23, 18",123.3879,123.7753,5683320,5683320,123.9165
11,-0.099337,0.043657491642773,-0.08,123.7257,2018-01-24,124.6197,"Jan 24, 18",122.8912,124.2224,6425224,6425224,123.8072
12,0.665565,0.049271152027708,0.538,124.3912,2018-01-25,124.6396,"Jan 25, 18",123.8051,124.1727,7166403,7166403,124.3354
13,1.0927,0.058488352181904006,0.878,125.4839,2018-01-26,125.5435,"Jan 26, 18",123.9343,124.9376,5604949,5604949,124.8985
14,-1.4702,0.046086844296208004,-1.172,124.0137,2018-01-29,126.0402,"Jan 29, 18",123.8598,125.9012,6257887,6257887,124.548
15,-1.2815,0.035277912038876,-1.033,122.7323,2018-01-30,123.4674,"Jan 30, 18",122.027,123.0005,8154371,8154371,122.8774
16,0.6754979999999999,0.040975924946499,0.55,123.4078,2018-01-31,123.6561,"Jan 31, 18",122.2257,122.9608,7338184,7338184,123.2829
17,1.4801,0.053460941829656,1.199,124.8879,2018-02-01,125.4243,"Feb 1, 18",123.2786,123.9144,11169657,11169657,124.2998
18,-4.7782,0.013156462963759,-3.826,120.1098,2018-02-02,122.9012,"Feb 2, 18",119.9011,122.9012,13937710,13937710,121.1335
19,-4.6093,-0.025724145319151,-3.838,115.5005,2018-02-05,120.3283,"Feb 5, 18",114.2488,117.9144,16623914,16623914,117.8299
20,3.6755,0.0052796243950860005,3.182,119.176,2018-02-06,119.5038,"Feb 6, 18",112.5005,114.4375,19053339,19053339,116.8461
21,-0.317882,0.002598057698812,-0.267,118.8581,2018-02-07,121.6495,"Feb 7, 18",118.421,119.2952,9293996,9293996,119.9109
22,-5.7517,-0.04591898277605801,-4.839,113.1064,2018-02-08,119.027,"Feb 8, 18",112.7885,118.7389,12673416,12673416,115.7083
23,2.4437,-0.025305756806615003,2.161,115.5501,2018-02-09,116.4342,"Feb 9, 18",110.2853,113.7918,17695515,17695515,113.5077
24,2.1358,-0.007289745010759001,1.8479999999999999,117.6859,2018-02-12,118.0535,"Feb 12, 18",116.1064,117.0104,11526322,11526322,117.4217
25,-0.11920399999999999,-0.008295227081208001,-0.101,117.5667,2018-02-13,118.0137,"Feb 13, 18",116.3549,117.07,7803914,7803914,117.2184
26,2.4636,0.012485860408384002,2.095,120.0303,2018-02-14,120.1495,"Feb 14, 18",116.7223,116.8415,9206447,9206447,119.2947
27,1.6519,0.026420053631333002,1.376,121.6822,2018-02-15,121.712,"Feb 15, 18",119.3835,121.105,6921256,6921256,120.6805
28,-0.42789699999999997,0.022810609185483003,-0.352,121.2543,2018-02-16,122.3887,"Feb 16, 18",120.9756,121.0353,6371435,6371435,121.6321
29,0.159217,0.024153501346688002,0.131,121.4135,2018-02-20,122.4484,"Feb 20, 18",120.4283,120.7567,6182797,6182797,121.6035
30,-1.5723,0.01089075420434,-1.295,119.8412,2018-02-21,122.2295,"Feb 21, 18",119.8213,121.4533,7676065,7676065,120.9115
31,-0.049756999999999996,0.010471522166577001,-0.042,119.7915,2018-02-22,120.7866,"Feb 22, 18",119.0319,120.08,4993959,4993959,119.968
32,2.5375,0.03187597479884,2.118,122.329,2018-02-23,122.3588,"Feb 23, 18",120.6283,120.9756,5036876,5036876,121.6333
33,1.6519,0.045810168021789006,1.35,123.9809,2018-02-26,123.9908,"Feb 26, 18",122.7171,122.9758,6270475,6270475,123.522
34,-1.214,0.035568928242152,-0.979,122.7668,2018-02-27,124.6874,"Feb 27, 18",122.7469,124.0903,7287215,7287215,123.5808
35,-0.427899,0.031959483796302,-0.34900000000000003,122.3389,2018-02-28,124.369,"Feb 28, 18",122.2792,123.0455,6780867,6780867,123.2327
36,-2.5276,0.010639383686728001,-2.066,119.8114,2018-03-01,123.3938,"Mar 1, 18",119.0352,122.6574,8819616,8819616,120.3901
37,0.36819199999999996,0.013745243572126002,0.307,120.1796,2018-03-02,120.3885,"Mar 2, 18",117.2838,118.5078,7581920,7581920,119.0813
38,1.1046,0.023061979703095002,0.919,121.2841,2018-03-05,121.712,"Mar 5, 18",118.8561,119.8611,5810235,5810235,120.6054
39,-0.8159909999999999,0.016178813851696002,-0.673,120.4681,2018-03-06,122.6375,"Mar 6, 18",120.08,122.2295,7464417,7464417,120.6696
