,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.53,0.0,0.47800000000000004,111.4,2018-01-08,111.47,"Jan 8, 18",109.91,110.69,902005,902005,110.9833
1,1.53,0.013734290843806,1.373,112.93,2018-01-09,113.22,"Jan 9, 18",111.66,111.71,555469,555469,112.6155
2,-1.25,0.002513464991023,-1.107,111.68,2018-01-10,112.9,"Jan 10, 18",111.45,112.9,472392,472392,111.8586
3,-0.15,0.001166965888689,-0.134,111.53,2018-01-11,112.58,"Jan 11, 18",111.16,111.9,681644,681644,111.5788
4,-3.04,-0.026122082585278,-2.726,108.49,2018-01-12,109.94,"Jan 12, 18",107.0,107.0,1462201,1462201,108.242
5,-0.41000000000000003,-0.029802513464991003,-0.378,108.08,2018-01-16,110.24,"Jan 16, 18",107.54,108.81,997513,997513,108.3362
6,1.24,-0.018671454219030003,1.147,109.32,2018-01-17,109.62,"Jan 17, 18",108.11,108.74,822478,822478,109.2609
7,0.25,-0.016427289048474,0.229,109.57,2018-01-18,109.97,"Jan 18, 18",108.858,109.09,545820,545820,109.5434
8,0.75,-0.009694793536804,0.684,110.32,2018-01-19,111.25,"Jan 19, 18",109.6,110.0,562441,562441,110.1663
9,-0.30000000000000004,-0.012387791741472,-0.272,110.02,2018-01-22,110.35,"Jan 22, 18",109.53,109.78,577881,577881,109.9386
10,0.79,-0.005296229802513,0.718,110.81,2018-01-23,111.17,"Jan 23, 18",109.45,109.77,737326,737326,110.6649
11,2.24,0.014811490125673002,2.021,113.05,2018-01-24,113.99,"Jan 24, 18",111.13,111.37,1191293,1191293,113.1551
12,13.96,0.140125673249551,12.349,127.01,2018-01-25,129.0499,"Jan 25, 18",121.12,123.0,4642033,4642033,126.4861
13,2.45,0.16211849192100503,1.929,129.46,2018-01-26,130.29,"Jan 26, 18",127.04,127.4,1715404,1715404,129.3155
14,-0.89,0.154129263913823,-0.687,128.57,2018-01-29,130.21,"Jan 29, 18",128.3,129.19,969074,969074,128.8625
15,-0.8300000000000001,0.14667863554757601,-0.646,127.74,2018-01-30,128.88,"Jan 30, 18",127.02,127.38,960887,960887,127.8357
16,-0.24,0.144524236983841,-0.188,127.5,2018-01-31,129.19,"Jan 31, 18",127.005,128.07,733064,733064,127.8884
17,-0.18,0.142908438061041,-0.14100000000000001,127.32,2018-02-01,127.72,"Feb 1, 18",125.94,126.78,760305,760305,126.7643
18,-2.46,0.120825852782764,-1.932,124.86,2018-02-02,127.9099,"Feb 2, 18",124.84,127.08,692185,692185,125.9672
19,-5.24,0.07378815080789901,-4.197,119.62,2018-02-05,124.84,"Feb 5, 18",119.59,124.49,1070000,1070000,122.007
20,-1.04,0.064452423698384,-0.869,118.58,2018-02-06,119.94,"Feb 6, 18",116.25,117.86,1367788,1367788,118.0308
21,-1.6600000000000001,0.049551166965888,-1.4,116.92,2018-02-07,118.9,"Feb 7, 18",116.74,118.24,924449,924449,117.5854
22,-4.1,0.012746858168761002,-3.507,112.82,2018-02-08,117.03,"Feb 8, 18",112.79,116.87,905109,905109,114.5752
