,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,1.6219000000000001,0.0,2.193,75.5849,2018-01-08,76.8942,"Jan 8, 18",74.1291,74.1291,3025060,3025060,75.792
1,-1.2018,-0.015898678175138,-1.5899999999999999,74.3832,2018-01-09,75.5068,"Jan 9, 18",74.2073,75.3016,2970654,2970654,74.562
2,-0.009772,-0.016028333701572,-0.013000000000000001,74.3734,2018-01-10,74.6274,"Jan 10, 18",73.9044,74.2659,2560396,2560396,74.3512
3,1.0454,-0.002197528871507,1.4060000000000001,75.4188,2018-01-11,75.4775,"Jan 11, 18",74.3636,74.4516,2332471,2332471,75.065
4,0.5960019999999999,0.005687643960632,0.79,76.0148,2018-01-12,76.2591,"Jan 12, 18",75.4775,75.5849,2016672,2016672,75.9897
5,-1.0943,-0.008790115486029001,-1.44,74.9205,2018-01-16,76.2103,"Jan 16, 18",74.8717,76.2005,2285889,2285889,75.3742
6,1.4265,0.010082701703647001,1.904,76.347,2018-01-17,76.4741,"Jan 17, 18",75.243,75.4384,1547788,1547788,76.2253
7,0.283345,0.01383212784564,0.371,76.6304,2018-01-18,77.539,"Jan 18, 18",76.435,76.5522,2188672,2188672,76.8349
8,1.3288,0.0314123588177,1.734,77.9592,2018-01-19,78.0178,"Jan 19, 18",76.8258,77.0798,2524946,2524946,77.6034
9,0.615545,0.039555519687133,0.79,78.5747,2018-01-22,78.8581,"Jan 22, 18",77.5781,77.9201,2146020,2146020,78.3862
10,0.439675,0.0453728191742,0.56,79.0144,2018-01-23,79.1414,"Jan 23, 18",77.9885,78.3989,2591459,2591459,78.7444
11,0.097705,0.046665405391817,0.124,79.1121,2018-01-24,80.2162,"Jan 24, 18",78.9075,79.3075,2193204,2193204,79.3861
12,-0.029311999999999998,0.04627776182809001,-0.037,79.0828,2018-01-25,79.5615,"Jan 25, 18",78.6822,79.415,2158365,2158365,79.1451
13,0.615544,0.054420922697522,0.778,79.6983,2018-01-26,79.7081,"Jan 26, 18",78.9655,79.5225,1925592,1925592,79.3519
14,0.957514,0.067088796836405,1.201,80.6558,2018-01-29,80.7829,"Jan 29, 18",79.5225,79.5225,2616037,2616037,80.4862
15,-0.566692,0.05959259058356801,-0.7030000000000001,80.0892,2018-01-30,81.0467,"Jan 30, 18",79.7863,80.4018,2126388,2126388,80.3518
16,-0.810955,0.048862934263325004,-1.013,79.2782,2018-01-31,80.7536,"Jan 31, 18",78.8825,80.2357,3698519,3698519,79.5631
17,-0.508069,0.042140692122368005,-0.641,78.7701,2018-02-01,79.415,"Feb 1, 18",76.8453,78.52590000000001,3054517,3054517,78.8746
18,-0.71325,0.032704945035317005,-0.905,78.0569,2018-02-02,79.4932,"Feb 2, 18",77.9201,78.7213,3193930,3193930,78.7409
19,-1.2311,0.016417300280876002,-1.577,76.8258,2018-02-05,79.8547,"Feb 5, 18",76.8258,78.3793,4641052,4641052,78.5766
20,0.713251,0.025853047367926003,0.928,77.539,2018-02-06,78.0667,"Feb 6, 18",74.6665,75.3993,4054669,4054669,77.2952
21,1.0845,0.040202474303729,1.399,78.6236,2018-02-07,79.6104,"Feb 7, 18",77.2313,77.6368,3589223,3589223,79.044
22,-1.6804999999999999,0.017967874535786,-2.137,76.943,2018-02-08,79.2977,"Feb 8, 18",76.9235,78.4868,3297650,3297650,77.8522
23,0.556921,0.02533707129334,0.724,77.5,2018-02-09,78.5063,"Feb 9, 18",75.2751,77.7247,3609774,3609774,77.0112
24,1.3483,0.043175290302692,1.74,78.8483,2018-02-12,79.8742,"Feb 12, 18",78.2718,78.5845,4039383,4039383,79.1615
