,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.12,0.0,0.124,97.0,2018-01-08,97.56,"Jan 8, 18",96.335,96.56,791601,791601,97.0241
1,-0.27,-0.0027835051546390003,-0.278,96.73,2018-01-09,97.19,"Jan 9, 18",96.33,97.02,566880,566880,96.8978
2,-0.39,-0.00680412371134,-0.403,96.34,2018-01-10,97.13,"Jan 10, 18",96.07,97.13,437528,437528,96.4006
3,0.33,-0.00340206185567,0.343,96.67,2018-01-11,96.73,"Jan 11, 18",96.03,96.39,357869,357869,96.4643
4,0.8300000000000001,0.005154639175257001,0.859,97.5,2018-01-12,97.59,"Jan 12, 18",96.43,96.78,734536,734536,97.1696
5,-0.30000000000000004,0.002061855670103,-0.308,97.2,2018-01-16,97.89,"Jan 16, 18",97.1,97.37,967582,967582,97.3953
6,0.81,0.01041237113402,0.833,98.01,2018-01-17,98.27,"Jan 17, 18",97.27,97.75,719836,719836,97.8736
7,0.19,0.012371134020618001,0.194,98.2,2018-01-18,98.719,"Jan 18, 18",96.2862,98.09,763973,763973,98.1723
8,0.7000000000000001,0.019587628865979003,0.713,98.9,2018-01-19,99.09,"Jan 19, 18",97.99,98.5,1088586,1088586,98.3905
9,0.62,0.025979381443298002,0.627,99.52,2018-01-22,99.55,"Jan 22, 18",98.34,99.01,628744,628744,99.0653
10,-0.27,0.023195876288659,-0.271,99.25,2018-01-23,99.3,"Jan 23, 18",97.33,99.08,922074,922074,98.95
11,-0.25,0.02061855670103,-0.252,99.0,2018-01-24,99.92,"Jan 24, 18",98.89,99.25,637390,637390,99.1846
12,-0.41000000000000003,0.016391752577319,-0.41400000000000003,98.59,2018-01-25,99.71,"Jan 25, 18",98.53,99.45,653215,653215,98.8825
13,-0.28,0.013505154639175001,-0.28400000000000003,98.31,2018-01-26,98.96,"Jan 26, 18",97.87,98.96,1477579,1477579,98.2007
14,-0.06,0.012886597938144001,-0.061,98.25,2018-01-29,98.86,"Jan 29, 18",97.54,98.0,1033914,1033914,98.4559
15,0.87,0.021855670103092,0.885,99.12,2018-01-30,99.4,"Jan 30, 18",97.875,98.29,1253586,1253586,98.8265
16,0.93,0.031443298969072005,0.9380000000000001,100.05,2018-01-31,100.54,"Jan 31, 18",98.72,99.17,1264569,1264569,100.0127
17,0.21,0.03360824742268,0.21,100.26,2018-02-01,100.34,"Feb 1, 18",98.0,99.23,1599836,1599836,99.9241
18,-1.43,0.018865979381443,-1.426,98.83,2018-02-02,100.26,"Feb 2, 18",98.8,99.84,1086583,1086583,99.3462
19,-3.94,-0.021752577319587,-3.987,94.89,2018-02-05,99.31,"Feb 5, 18",94.85,98.88,1257480,1257480,96.1745
20,0.12,-0.020515463917525,0.126,95.01,2018-02-06,95.44,"Feb 6, 18",92.401,93.53,1246944,1246944,94.4351
21,-0.32,-0.023814432989690004,-0.337,94.69,2018-02-07,96.4,"Feb 7, 18",94.52,94.61,940112,940112,95.2363
22,-2.41,-0.048659793814432,-2.545,92.28,2018-02-08,95.49,"Feb 8, 18",92.24,94.7,1038163,1038163,93.4609
