,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,2.5300000000000002,0.0,1.251,204.76,2018-01-08,205.29,"Jan 8, 18",200.68,202.28,483305,483305,204.2068
1,4.2,0.020511818714592,2.051,208.96,2018-01-09,210.08,"Jan 9, 18",205.53,206.24,532404,532404,208.7495
2,-1.6400000000000001,0.012502441883180001,-0.785,207.32,2018-01-10,209.42,"Jan 10, 18",204.35,207.92,308037,308037,206.6883
3,0.41000000000000003,0.014504786091033001,0.198,207.73,2018-01-11,208.1985,"Jan 11, 18",205.64,207.35,202846,202846,207.0467
4,2.02,0.024369994139480003,0.972,209.75,2018-01-12,210.04,"Jan 12, 18",205.955,207.51,252990,252990,209.2055
5,-0.81,0.020414143387380002,-0.386,208.94,2018-01-16,211.645,"Jan 16, 18",207.73,210.86,512190,512190,209.4147
6,0.22,0.021488571986716002,0.105,209.16,2018-01-17,210.91,"Jan 17, 18",207.12,210.91,589750,589750,209.0723
7,-1.29,0.015188513381519001,-0.617,207.87,2018-01-18,209.405,"Jan 18, 18",206.79,208.49,756743,756743,207.8827
8,2.85,0.029107247509279004,1.371,210.72,2018-01-19,211.1,"Jan 19, 18",208.4782,209.28,739714,739714,210.1548
9,4.05,0.048886501269779004,1.9220000000000002,214.77,2018-01-22,215.19,"Jan 22, 18",210.75,211.28,1242806,1242806,213.3721
10,-3.7800000000000002,0.030425864426645,-1.76,210.99,2018-01-23,218.72,"Jan 23, 18",206.62,218.5,1038577,1038577,211.3724
11,3.31,0.046591131080289006,1.569,214.3,2018-01-24,215.28,"Jan 24, 18",210.18,212.71,861288,861288,213.3649
12,2.91,0.060802891189685,1.358,217.21,2018-01-25,218.23,"Jan 25, 18",214.42,215.53,431516,431516,217.0191
13,0.93,0.065344793905059,0.428,218.14,2018-01-26,218.57,"Jan 26, 18",216.69,218.18,381249,381249,217.5584
14,0.56,0.068079703067005,0.257,218.7,2018-01-29,220.2,"Jan 29, 18",217.57,218.03,491316,491316,219.0719
15,-3.83,0.049374877905841004,-1.751,214.87,2018-01-30,217.0,"Jan 30, 18",214.6,217.0,491162,491162,215.3844
16,0.74,0.052988865012697006,0.34400000000000003,215.61,2018-01-31,219.795,"Jan 31, 18",214.62,216.23,603803,603803,215.4566
17,1.76,0.061584293807384005,0.8160000000000001,217.37,2018-02-01,218.66,"Feb 1, 18",213.52,214.16,453178,453178,216.9895
18,-4.88,0.037751513967571,-2.245,212.49,2018-02-02,217.41,"Feb 2, 18",212.26,215.88,642724,642724,214.3978
