,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.908214,0.0,1.275,72.12,2018-01-08,72.2665,"Jan 8, 18",71.0458,71.4364,5312506,5312506,71.7701
1,-0.41992799999999997,-0.005822240709927,-0.582,71.7001,2018-01-09,72.4477,"Jan 9, 18",71.4852,72.3446,4146746,4146746,71.9624
2,0.644539,0.003114254021075,0.899,72.3446,2018-01-10,72.4423,"Jan 10, 18",71.495,71.7099,4562627,4562627,72.1214
3,1.2695,0.020718247365501003,1.755,73.6142,2018-01-11,73.6728,"Jan 11, 18",72.1688,72.2177,6304492,6304492,73.348
4,0.673836,0.030061009428729003,0.915,74.288,2018-01-12,75.0888,"Jan 12, 18",73.7118,73.7802,6458426,6458426,74.4474
5,-0.039063,0.029520244037714003,-0.053,74.249,2018-01-16,74.8251,"Jan 16, 18",74.1415,74.6591,4751298,4751298,74.4528
6,-0.244143,0.026134220743205,-0.329,74.0048,2018-01-17,74.8544,"Jan 17, 18",73.8193,74.8349,4587098,4587098,74.2248
7,0.21484699999999998,0.029113976705490003,0.29,74.2197,2018-01-18,74.5615,"Jan 18, 18",73.7607,73.8193,5597610,5597610,74.2194
8,0.458989,0.035476982806433,0.618,74.6786,2018-01-19,74.7177,"Jan 19, 18",74.0048,74.0536,6849303,6849303,74.3683
9,0.908214,0.048071270105379,1.216,75.5869,2018-01-22,75.6259,"Jan 22, 18",74.6298,74.8447,3619597,3619597,75.1963
10,-0.371098,0.042925679423183004,-0.491,75.2158,2018-01-23,75.4013,"Jan 23, 18",74.415,75.1376,3754711,3754711,75.0862
11,0.302738,0.047122850804215,0.402,75.5185,2018-01-24,76.0068,"Jan 24, 18",75.1962,75.4892,4028268,4028268,75.5919
12,0.9179800000000001,0.05985163616195201,1.216,76.4365,2018-01-25,76.6025,"Jan 25, 18",75.538,76.0263,4118309,4118309,76.2241
13,0.859385,0.071767886855241,1.124,77.2959,2018-01-26,77.3447,"Jan 26, 18",76.2021,76.6611,3884558,3884558,76.8811
14,1.0938,0.086932889628397,1.415,78.3896,2018-01-29,78.79,"Jan 29, 18",77.2373,77.2959,6249765,6249765,78.3887
15,-4.043,0.030873544093177004,-5.158,74.3466,2018-01-30,77.3545,"Jan 30, 18",73.663,76.1337,11214271,11214271,74.9173
16,-0.84962,0.019093178036605003,-1.143,73.497,2018-01-31,75.0888,"Jan 31, 18",73.1552,74.9033,6742415,6742415,73.7906
17,0.7812600000000001,0.029925124792013,1.063,74.2782,2018-02-01,74.5615,"Feb 1, 18",71.9442,72.7841,5198419,5198419,73.8636
18,-2.4414,-0.003926788685524,-3.287,71.8368,2018-02-02,74.454,"Feb 2, 18",71.6221,74.1025,7024843,7024843,72.1859
19,-3.0567,-0.046310316139767,-4.255,68.7801,2018-02-05,72.4814,"Feb 5, 18",68.6727,71.8173,7085867,7085867,70.4724
20,1.3281,-0.027893788130893,1.931,70.1083,2018-02-06,70.4989,"Feb 6, 18",66.701,67.4813,6809107,6809107,69.2942
21,-0.25390799999999997,-0.031414309484193,-0.362,69.8544,2018-02-07,71.4852,"Feb 7, 18",69.493,69.6688,4328790,4328790,70.5276
