,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-5.33,0.0,-2.5220000000000002,205.99,2018-01-08,212.0,"Jan 8, 18",205.79,210.93,316596,316596,206.9579
1,0.86,0.004174959949512,0.417,206.85,2018-01-09,208.395,"Jan 9, 18",205.85,205.85,244736,244736,206.7605
2,-1.19,-0.00160201951551,-0.5750000000000001,205.66,2018-01-10,206.74,"Jan 10, 18",201.47,206.23,246196,246196,204.2657
3,0.23,-0.00048546045924500005,0.112,205.89,2018-01-11,207.78,"Jan 11, 18",205.36,205.99,326840,326840,206.2716
4,5.58,0.026603233166658,2.71,211.47,2018-01-12,212.0,"Jan 12, 18",206.325,207.15,227517,227517,211.1134
5,-1.27,0.020437885334239,-0.601,210.2,2018-01-16,215.58,"Jan 16, 18",209.48,213.09,285646,285646,211.0697
6,3.63,0.038060100004854006,1.7269999999999999,213.83,2018-01-17,214.6,"Jan 17, 18",211.26,211.26,329624,329624,213.285
7,2.1,0.04825476964901201,0.982,215.93,2018-01-18,216.65,"Jan 18, 18",213.08,213.79,236391,236391,215.5561
8,2.86,0.06213893878343601,1.325,218.79,2018-01-19,218.81,"Jan 19, 18",215.4572,217.21,236254,236254,217.6957
9,-0.44,0.060002912762755004,-0.201,218.35,2018-01-22,219.515,"Jan 22, 18",216.0,218.75,316961,316961,217.6693
10,0.42,0.062041846691586,0.192,218.77,2018-01-23,221.75,"Jan 23, 18",218.54,218.81,404865,404865,219.606
11,-3.0,0.047478032914219,-1.371,215.77,2018-01-24,219.95,"Jan 24, 18",215.35,219.95,295850,295850,217.0152
12,0.8300000000000001,0.051507354725957,0.385,216.6,2018-01-25,217.53,"Jan 25, 18",215.02,216.52,237534,237534,216.3691
13,2.01,0.061265109956794,0.928,218.61,2018-01-26,218.61,"Jan 26, 18",214.7105,217.99,271370,271370,217.3596
14,-0.9500000000000001,0.05665323559396,-0.435,217.66,2018-01-29,220.95,"Jan 29, 18",217.66,218.61,185090,185090,218.6869
15,-7.07,0.022331181125297,-3.248,210.59,2018-01-30,214.48,"Jan 30, 18",207.31,213.5,468308,468308,210.6002
16,-0.21,0.021311714160881002,-0.1,210.38,2018-01-31,215.38,"Jan 31, 18",209.84,212.83,295094,295094,210.9611
17,0.67,0.024564299237827002,0.318,211.05,2018-02-01,212.44,"Feb 1, 18",205.87,209.05,429591,429591,210.3696
