,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-1.2081,0.0,-1.512,78.7114,2018-01-08,80.2191,"Jan 8, 18",77.9092,80.2191,4875269,4875269,78.6095
1,-0.792527,-0.010068427190978,-1.007,77.9189,2018-01-09,79.3493,"Jan 9, 18",77.7352,78.7887,3810738,3810738,78.4294
2,0.280285,-0.006507316602169,0.36,78.1992,2018-01-10,78.2335,"Jan 10, 18",76.1599,76.5465,4941137,4941137,77.2764
3,1.2951000000000001,0.009946462647087,1.6560000000000001,79.4943,2018-01-11,80.1322,"Jan 11, 18",78.1895,78.2088,3822071,3822071,79.5247
4,0.840851,0.020628523949516003,1.058,80.3351,2018-01-12,80.5188,"Jan 12, 18",79.6876,79.9099,2990813,2990813,80.1568
5,0.7345379999999999,0.029961352485154004,0.914,81.0697,2018-01-16,82.1328,"Jan 16, 18",80.5091,80.8957,5574321,5574321,81.323
6,1.2371,0.045678262615072004,1.526,82.3068,2018-01-17,82.616,"Jan 17, 18",81.3789,81.7075,4397980,4397980,82.1554
7,1.1985000000000001,0.060903503177430006,1.456,83.5052,2018-01-18,83.6695,"Jan 18, 18",82.2198,82.3164,4603950,4603950,83.0647
8,-0.773196,0.051080275538232,-0.926,82.732,2018-01-19,84.1528,"Jan 19, 18",82.5194,83.2346,3938520,3938520,82.8811
9,0.618556,0.05893936583519001,0.748,83.3506,2018-01-22,83.4956,"Jan 22, 18",82.2488,83.0606,4534469,4534469,82.9578
10,1.0631,0.07244566860708801,1.276,84.4137,2018-01-23,84.6167,"Jan 23, 18",83.1283,83.5342,3081448,3081448,84.0898
11,-0.357604,0.067902489347159,-0.424,84.0561,2018-01-24,84.9453,"Jan 24, 18",83.2926,84.7617,4696601,4696601,84.0846
12,0.985825,0.080427993911936,1.173,85.042,2018-01-25,86.83,"Jan 25, 18",84.7085,85.2256,7284045,7284045,85.4235
13,1.5561,0.10019641373422401,1.83,86.598,2018-01-26,86.627,"Jan 26, 18",83.8048,83.8435,8188499,8188499,85.3153
14,-2.078,0.07379617183787801,-2.4,84.52,2018-01-29,86.7913,"Jan 29, 18",84.2591,85.7668,5004692,5004692,85.1666
15,-0.357603,0.06925299257794901,-0.423,84.1624,2018-01-30,84.3364,"Jan 30, 18",82.2584,83.1186,4730868,4730868,83.5018
16,1.8363,0.092583793453044,2.182,85.9988,2018-01-31,88.1347,"Jan 31, 18",85.6992,86.1921,8524324,8524324,86.7381
17,-1.2854,0.076251978747678,-1.495,84.7133,2018-02-01,86.1341,"Feb 1, 18",83.6985,84.5007,3555220,3555220,85.1075
18,-2.3196,0.046783566294081,-2.738,82.3938,2018-02-02,84.2108,"Feb 2, 18",82.1618,84.0755,5010389,5010389,82.7677
19,-3.6727,0.00012323500788900002,-4.457,78.7211,2018-02-05,83.022,"Feb 5, 18",78.7114,81.3789,5205198,5205198,80.7571
20,2.7062,0.034504531745084,3.438,81.4273,2018-02-06,81.7655,"Feb 6, 18",77.5613,77.8802,4835812,4835812,80.2906
21,-0.521907,0.027873980135024002,-0.641,80.9054,2018-02-07,82.4614,"Feb 7, 18",80.3158,81.1373,3737728,3737728,81.6017
22,-3.4987,-0.016577014257147003,-4.324,77.4066,2018-02-08,81.5819,"Feb 8, 18",77.4057,80.8474,3791583,3791583,78.9876
23,0.483247,-0.010436861750648,0.624,77.8899,2018-02-09,79.2333,"Feb 9, 18",75.29,78.0929,4628793,4628793,77.4122
24,1.6914,0.011051766326097001,2.171,79.5813,2018-02-12,80.2771,"Feb 12, 18",78.5278,78.5278,3296765,3296765,79.352
25,0.608892,0.018786351151167002,0.765,80.1901,2018-02-13,80.6637,"Feb 13, 18",78.8467,79.1173,2943448,2943448,80.1441
26,0.347937,0.023207565867206,0.434,80.5381,2018-02-14,80.7894,"Feb 14, 18",79.156,79.156,3273281,3273281,80.0966
27,1.1695,0.038064371869894004,1.452,81.7075,2018-02-15,81.7849,"Feb 15, 18",80.1805,81.06,3132701,3132701,81.3
28,0.357604,0.042607551129823,0.438,82.0651,2018-02-16,83.4279,"Feb 16, 18",81.4079,81.4659,2997450,2997450,82.4887
29,1.4981,0.06164037229677,1.8250000000000002,83.5632,2018-02-20,84.4224,"Feb 20, 18",81.292,81.3113,3761725,3761725,83.468
30,-0.763532,0.051940379665461,-0.914,82.7997,2018-02-21,84.607,"Feb 21, 18",82.7514,83.3989,2586308,2586308,83.7066
31,-0.13530899999999998,0.050221441875001,-0.163,82.6644,2018-02-22,84.3364,"Feb 22, 18",82.4131,83.0606,2270637,2270637,83.2191
32,3.489,0.094547930795285,4.221,86.1534,2018-02-23,86.3274,"Feb 23, 18",83.6019,84.0658,4259902,4259902,85.6491
33,0.07732,0.095529999466405,0.09,86.2307,2018-02-26,86.5207,"Feb 26, 18",85.2642,86.1534,2757084,2757084,86.1168
34,-1.962,0.07060476627273801,-2.275,84.2688,2018-02-27,86.917,"Feb 27, 18",84.061,86.424,3411297,3411297,85.0219
35,-0.144974,0.06876259347438801,-0.17200000000000001,84.1238,2018-02-28,85.6219,"Feb 28, 18",84.0948,85.1869,3101342,3101342,84.7301
36,0.222294,0.07158683494385801,0.264,84.3461,2018-03-01,85.8441,"Mar 1, 18",83.4182,84.4911,3554450,3554450,84.7099
37,0.947167,0.083619399477077,1.123,85.2932,2018-03-02,85.4382,"Mar 2, 18",83.1476,83.3892,2505386,2505386,84.456
38,1.643,0.104494393442373,1.9260000000000002,86.9363,2018-03-05,87.2842,"Mar 5, 18",85.042,85.0516,3410615,3410615,86.6142
39,3.721,0.15176835884001502,4.28,90.6573,2018-03-06,90.9859,"Mar 6, 18",87.6515,88.0768,6593604,6593604,89.9504
40,1.4207,0.169817840871843,1.5670000000000002,92.078,2018-03-07,93.6921,"Mar 7, 18",89.6425,89.6425,6005016,6005016,92.3579
41,1.8847,0.193762275858389,2.047,93.9627,2018-03-08,94.6296,"Mar 8, 18",92.1844,92.3003,4115765,4115765,93.7904
42,2.2519,0.22237185464875403,2.3970000000000002,96.2146,2018-03-09,96.6496,"Mar 9, 18",94.2817,94.6199,4540674,4540674,96.0839
43,3.1991,0.26301526843633805,3.325,99.4137,2018-03-12,99.6553,"Mar 12, 18",96.4176,96.6496,5762056,5762056,98.4221
44,0.048324,0.26363017301178704,0.049,99.4621,2018-03-13,102.7385,"Mar 13, 18",99.2011,99.7327,6893043,6893043,100.6649
45,0.280284,0.267191283600596,0.28200000000000003,99.7424,2018-03-14,101.0954,"Mar 14, 18",97.9833,99.984,3976260,3976260,99.6932
46,-0.9375009999999999,0.25528068361126804,-0.9400000000000001,98.8049,2018-03-15,99.9453,"Mar 15, 18",98.2636,99.665,2696491,2696491,98.9737
47,4.0786,0.30709782826884,4.128,102.8835,2018-03-16,103.3764,"Mar 16, 18",99.9646,100.3996,7289856,7289856,102.1703
48,-3.1798,0.26669961403303705,-3.091,99.7037,2018-03-19,102.8255,"Mar 19, 18",98.9837,102.4389,4434090,4434090,100.2376
49,0.492913,0.27296173108342603,0.494,100.1966,2018-03-20,100.9988,"Mar 20, 18",99.6602,100.071,2499204,2499204,100.2257
50,-0.802192,0.262770068884558,-0.801,99.3944,2018-03-21,101.0954,"Mar 21, 18",99.3171,100.2159,2381684,2381684,100.1706
51,-1.9427,0.23809003524267103,-1.9540000000000002,97.4518,2018-03-22,99.2978,"Mar 22, 18",97.0265,98.1766,3234779,3234779,97.9198
52,-8.2055,0.13384084135207802,-8.42,89.2462,2018-03-23,95.9924,"Mar 23, 18",89.2269,95.1128,8564416,8564416,91.3815
53,1.8653,0.157538806322845,2.09,91.1115,2018-03-26,91.3435,"Mar 26, 18",88.5407,91.0536,4380356,4380356,90.1535
54,-2.02,0.131876704009838,-2.217,89.0916,2018-03-27,92.4936,"Mar 27, 18",88.5117,91.7494,3326370,3326370,90.6491
