,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.541241,0.0,0.863,63.2383,2018-01-08,63.2673,"Jan 8, 18",62.5617,62.639,1979616,1979616,63.0929
1,-0.5025809999999999,-0.007947715229536,-0.795,62.7357,2018-01-09,63.161,"Jan 9, 18",62.4312,63.1126,1670416,1670416,62.7283
2,-1.1985000000000001,-0.026899837598417003,-1.9100000000000001,61.5372,2018-01-10,62.5424,"Jan 10, 18",61.5092,62.5424,1998306,1998306,61.7285
3,-0.08698499999999999,-0.028275586155858002,-0.14100000000000001,61.4502,2018-01-11,61.9915,"Jan 11, 18",61.1603,61.6822,1429328,1429328,61.4796
4,0.048325,-0.027510227188270002,0.079,61.4986,2018-01-12,61.9335,"Jan 12, 18",60.9863,61.4986,1266874,1266874,61.5703
5,-0.463921,-0.034847552827954,-0.754,61.0346,2018-01-16,61.8658,"Jan 16, 18",60.5031,61.5276,2173148,2173148,61.0739
6,0.405931,-0.028427392893230003,0.665,61.4406,2018-01-17,61.7209,"Jan 17, 18",60.9863,61.2279,2037840,2037840,61.3954
7,-0.289951,-0.033013221418033,-0.47200000000000003,61.1506,2018-01-18,61.745,"Jan 18, 18",60.8123,61.4019,2022616,2022616,61.2296
8,-0.154641,-0.035457942417806004,-0.253,60.996,2018-01-19,61.7015,"Jan 19, 18",60.909,61.3149,1780238,1780238,61.21
9,-0.09665000000000001,-0.036987079032801004,-0.158,60.8993,2018-01-22,61.4889,"Jan 22, 18",60.7882,61.3149,1452096,1452096,61.0662
10,0.5509069999999999,-0.028275586155858002,0.905,61.4502,2018-01-23,62.0205,"Jan 23, 18",61.0733,61.0733,1954761,1954761,61.5842
11,-0.328611,-0.033471804270513,-0.535,61.1216,2018-01-24,61.5372,"Jan 24, 18",61.025,61.5372,1401498,1401498,61.1904
12,0.869852,-0.019715900016287,1.423,61.9915,2018-01-25,62.0881,"Jan 25, 18",60.938,61.054,1573875,1573875,61.7314
13,-0.125645,-0.021703619483762003,-0.203,61.8658,2018-01-26,62.3877,"Jan 26, 18",61.4986,62.1075,1966567,1966567,61.7969
14,-0.9568369999999999,-0.036833690975247003,-1.5470000000000002,60.909,2018-01-29,61.6919,"Jan 29, 18",60.8897,61.6145,1930899,1930899,61.1057
15,0.28995000000000004,-0.032247862450445,0.47600000000000003,61.199,2018-01-30,61.4406,"Jan 30, 18",60.7737,60.9767,2118340,2118340,61.1631
16,0.9471719999999999,-0.017271179016513,1.548,62.1461,2018-01-31,62.2331,"Jan 31, 18",60.6384,61.7305,2960188,2960188,61.8043
17,-1.6431,-0.043252269589789005,-2.644,60.5031,2018-02-01,62.2234,"Feb 1, 18",60.1648,61.9335,4066611,4066611,60.7163
18,-0.570236,-0.052270538581840005,-0.9420000000000001,59.9328,2018-02-02,60.7834,"Feb 2, 18",59.8748,60.1745,1878203,1878203,60.1127
19,-0.8118639999999999,-0.065107695810924,-1.355,59.121,2018-02-05,60.7447,"Feb 5, 18",59.0243,59.7202,2469868,2469868,59.7105
20,-0.9471719999999999,-0.080085960565037,-1.6019999999999999,58.1738,2018-02-06,58.831,"Feb 6, 18",57.101,58.5991,2744404,2744404,57.9886
21,-0.318946,-0.085128790622138,-0.548,57.8549,2018-02-07,58.947,"Feb 7, 18",57.8162,58.1835,1904680,1904680,58.2055
22,-0.34794,-0.090631784851901,-0.601,57.5069,2018-02-08,58.7924,"Feb 8, 18",57.3716,57.7775,2096492,2096492,58.0564
23,1.5464,-0.066178249573438,2.689,59.0533,2018-02-09,59.4979,"Feb 9, 18",57.4972,57.5069,2797354,2797354,58.5483
24,0.173971,-0.063426752458557,0.295,59.2273,2018-02-12,59.4786,"Feb 12, 18",58.4735,59.0243,2359789,2359789,59.1573
25,0.37305099999999997,-0.057528428183553006,0.63,59.6003,2018-02-13,59.7271,"Feb 13, 18",58.2252,59.1615,1778517,1778517,59.1881
26,-0.9460379999999999,-0.07248771709549401,-1.587,58.6543,2018-02-14,59.298,"Feb 14, 18",58.6348,59.298,2105467,2105467,58.8505
27,1.1508,-0.054289884452934006,1.962,59.8051,2018-02-15,59.8149,"Feb 15, 18",58.5665,58.7713,2408067,2408067,59.4258
28,0.585178,-0.045035998753919004,0.978,60.3903,2018-02-16,60.5756,"Feb 16, 18",59.5906,59.7564,1936321,1936321,60.2463
29,-0.994802,-0.060766971914172005,-1.647,59.3955,2018-02-20,60.4196,"Feb 20, 18",58.9176,60.1563,1373990,1373990,59.3853
30,-0.7607309999999999,-0.072796074530782,-1.2810000000000001,58.6348,2018-02-21,59.9124,"Feb 21, 18",58.625,59.4248,2364262,2364262,59.3095
31,0.21456499999999998,-0.06940256142242901,0.366,58.8494,2018-02-22,59.3663,"Feb 22, 18",58.586,58.8103,2221456,2221456,58.9537
32,1.4727000000000001,-0.046114459117338004,2.502,60.3221,2018-02-23,60.3708,"Feb 23, 18",58.6445,58.6445,1617553,1617553,59.8882
33,-0.224318,-0.049662941603427005,-0.372,60.0977,2018-02-26,60.4586,"Feb 26, 18",59.8149,60.2245,1418418,1418418,60.0639
34,-1.0241,-0.06585566025652101,-1.704,59.0737,2018-02-27,60.4098,"Feb 27, 18",59.0542,60.1953,2028736,2028736,59.4201
35,-0.6339429999999999,-0.075881230203847,-1.073,58.4397,2018-02-28,59.4931,"Feb 28, 18",58.43,59.2882,1910418,1910418,58.8109
36,-0.282836,-0.08035320367562,-0.484,58.1569,2018-03-01,59.1127,"Mar 1, 18",57.9033,58.4202,2054759,2054759,58.3039
37,-0.156046,-0.082820063157928,-0.268,58.0009,2018-03-02,58.9176,"Mar 2, 18",57.4644,58.1862,1962710,1962710,57.9319
38,1.4044,-0.060612002536437004,2.421,59.4053,2018-03-05,59.5224,"Mar 5, 18",57.6302,57.8838,1993911,1993911,59.06
39,-0.8094969999999999,-0.07341278940135901,-1.363,58.5958,2018-03-06,59.3858,"Mar 6, 18",58.4495,59.2492,1676498,1676498,58.7304
40,-0.40962299999999996,-0.079889876862597,-0.6990000000000001,58.1862,2018-03-07,58.7031,"Mar 7, 18",57.9716,58.4007,1391754,1391754,58.231
41,0.6046819999999999,-0.070329215048475,1.039,58.7908,2018-03-08,58.8591,"Mar 8, 18",58.0399,58.2544,1455056,1455056,58.6186
42,0.263331,-0.06616401769181,0.448,59.0542,2018-03-09,59.0639,"Mar 9, 18",58.4885,58.8006,1415220,1415220,58.8457
43,0.3316,-0.060920359971725006,0.562,59.3858,2018-03-12,59.7564,"Mar 12, 18",58.9957,59.1419,2145757,2145757,59.4261
44,-0.08777599999999999,-0.06230875909061401,-0.148,59.298,2018-03-13,60.1465,"Mar 13, 18",59.0737,59.5028,1806389,1806389,59.4893
45,0.487647,-0.054598241888222,0.8220000000000001,59.7856,2018-03-14,60.166,"Mar 14, 18",59.3614,59.4638,1780169,1780169,59.7745
46,0.6534500000000001,-0.044264314505608006,1.093,60.4391,2018-03-15,60.5854,"Mar 15, 18",59.7661,59.7661,3181310,3181310,60.3897
47,0.468141,-0.036862154738504,0.775,60.9072,2018-03-16,60.995,"Mar 16, 18",60.283,60.5854,4860018,4860018,60.7693
48,-0.6632009999999999,-0.047349470178673005,-1.089,60.244,2018-03-19,61.0535,"Mar 19, 18",59.9612,60.8975,2362881,2362881,60.4738
49,-0.224318,-0.050896371344580006,-0.372,60.0197,2018-03-20,60.6342,"Mar 20, 18",59.8442,60.3806,1894299,1894299,60.0365
50,-0.24382399999999999,-0.054751629945776,-0.406,59.7759,2018-03-21,60.7609,"Mar 21, 18",59.7027,60.0197,1396232,1396232,59.9097
51,0.12678899999999999,-0.052746515956311,0.212,59.9027,2018-03-22,60.8292,"Mar 22, 18",59.6101,59.7271,1924797,1924797,60.1501
52,-0.897273,-0.06693570194012101,-1.498,59.0054,2018-03-23,60.5074,"Mar 23, 18",58.8737,60.127,1670087,1670087,59.521
53,0.633942,-0.056911713312976,1.074,59.6393,2018-03-26,59.7661,"Mar 26, 18",59.0932,59.1322,1096782,1096782,59.4851
54,1.1216,-0.039175626163258,1.881,60.7609,2018-03-27,61.2778,"Mar 27, 18",59.5857,59.8247,1596726,1596726,60.6093
55,-0.019506,-0.039483983598547004,-0.032,60.7414,2018-03-28,61.3071,"Mar 28, 18",60.5464,60.9462,1433056,1433056,60.8579
56,0.409624,-0.033005314817128005,0.674,61.1511,2018-03-29,61.5704,"Mar 29, 18",60.7609,60.7609,1588096,1588096,61.2048
57,-0.399871,-0.039329014220812,-0.654,60.7512,2018-04-02,61.5997,"Apr 2, 18",60.3952,61.3754,2041817,2041817,60.8651
58,0.253577,-0.035318786241881006,0.417,61.0048,2018-04-03,61.2681,"Apr 3, 18",60.5366,60.7122,1692666,1692666,60.9141
59,0.42913,-0.028533341345355002,0.7030000000000001,61.4339,2018-04-04,61.5948,"Apr 4, 18",60.5951,60.917,2338833,2338833,61.2492
60,0.37061299999999997,-0.022672968754694003,0.603,61.8045,2018-04-05,61.9508,"Apr 5, 18",60.5756,61.3071,1843496,1843496,61.4639
61,-0.32184799999999997,-0.027761657097044003,-0.521,61.4827,2018-04-06,62.1849,"Apr 6, 18",61.2974,61.824,1633835,1633835,61.5767
62,-0.390119,-0.033931968443174004,-0.635,61.0925,2018-04-09,61.6923,"Apr 9, 18",61.0535,61.4729,2275002,2275002,61.3554
63,-0.292589,-0.038557329972500005,-0.47900000000000004,60.8,2018-04-10,61.2876,"Apr 10, 18",60.7219,61.0633,1718586,1718586,60.9133
64,-0.078023,-0.039792341033835006,-0.128,60.7219,2018-04-11,61.0136,"Apr 11, 18",60.4879,60.682900000000004,1305654,1305654,60.6944
65,-0.6924600000000001,-0.050741401966846005,-1.1400000000000001,60.0295,2018-04-12,61.0243,"Apr 12, 18",59.8929,60.8877,2121248,2121248,60.1622
66,0.029258,-0.050279656474003,0.049,60.0587,2018-04-13,60.3806,"Apr 13, 18",59.8718,60.1563,1370554,1370554,60.1182
67,0.8094969999999999,-0.037478869609081006,1.348,60.8682,2018-04-16,60.956,"Apr 16, 18",60.2245,60.3513,1264127,1264127,60.7122
68,0.5949289999999999,-0.028070014532332002,0.977,61.4632,2018-04-17,61.5802,"Apr 17, 18",60.6439,60.9365,1142237,1142237,61.3054
69,-0.419377,-0.034702071371305,-0.682,61.0438,2018-04-18,61.9801,"Apr 18, 18",60.9853,61.629,1393364,1393364,61.4019
70,-0.048763999999999995,-0.035473755619616,-0.08,60.995,2018-04-19,61.1315,"Apr 19, 18",60.4537,60.9853,1012406,1012406,60.8126
71,-0.380366,-0.041489097588012,-0.624,60.6146,2018-04-20,61.0925,"Apr 20, 18",60.3513,61.034,1200460,1200460,60.6893
72,0.058518,-0.040562443961966003,0.097,60.6732,2018-04-23,61.1901,"Apr 23, 18",60.5464,60.7024,1261138,1261138,60.7081
73,0.380366,-0.034548683313751,0.627,61.0535,2018-04-24,61.4241,"Apr 24, 18",60.5879,60.8487,1291448,1291448,61.023
74,0.19505899999999998,-0.031463527640686,0.319,61.2486,2018-04-25,61.3656,"Apr 25, 18",60.6244,60.8487,1439723,1439723,61.079
75,0.780237,-0.019126067588787002,1.274,62.0288,2018-04-26,62.0776,"Apr 26, 18",61.1364,61.3559,1990740,1990740,61.8525
76,0.848507,-0.005708565853288001,1.3679999999999999,62.8773,2018-04-27,63.2382,"Apr 27, 18",61.8045,61.902,2284082,2284082,62.8348
77,-0.185307,-0.008638752148618001,-0.295,62.692,2018-04-30,63.2382,"Apr 30, 18",62.6628,63.0236,2689852,2689852,62.867
78,0.380366,-0.002623410180223,0.607,63.0724,2018-05-01,63.326,"May 1, 18",62.5945,63.1407,2566155,2566155,62.9469
79,-0.282836,-0.007095383651995001,-0.448,62.7896,2018-05-02,63.326,"May 2, 18",62.5067,63.0821,1737126,1737126,62.8504
80,0.117036,-0.005245239040265,0.186,62.9066,2018-05-03,63.1992,"May 3, 18",62.0581,62.7603,1313766,1313766,62.7109
