,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.5514589999999999,0.0,0.338,163.5513,2018-01-08,164.8864,"Jan 8, 18",162.4435,163.1159,918863,918863,163.6305
1,-0.6578809999999999,-0.004022591076928,-0.402,162.8934,2018-01-09,164.3059,"Jan 9, 18",162.4774,164.0447,1108711,1108711,163.3256
2,-2.0897,-0.016799621892335,-1.283,160.8037,2018-01-10,161.6792,"Jan 10, 18",158.9848,161.6067,827694,827694,160.6541
3,2.7283,-0.000118617216738,1.697,163.5319,2018-01-11,163.7932,"Jan 11, 18",159.1686,161.4325,953738,953738,162.5651
4,3.599,0.021886710775151003,2.201,167.1309,2018-01-12,167.3631,"Jan 12, 18",163.0095,164.2866,1081757,1081757,166.487
5,-3.6764,-0.000591863225789,-2.2,163.4545,2018-01-16,167.5615,"Jan 16, 18",162.1872,167.3728,844276,844276,164.2022
6,2.351,0.013782831441877,1.438,165.8055,2018-01-17,166.6956,"Jan 17, 18",163.0579,164.2576,805092,805092,165.2775
7,-3.8602,-0.009819548973319001,-2.328,161.9453,2018-01-18,166.4537,"Jan 18, 18",161.239,166.3279,1061482,1061482,162.6931
8,0.13544699999999998,-0.008991674171956001,0.084,162.0807,2018-01-19,162.3516,"Jan 19, 18",160.1168,161.9163,879683,879683,161.7647
9,-0.8513769999999999,-0.014196768842558001,-0.525,161.2294,2018-01-22,161.5196,"Jan 22, 18",158.443,161.5196,1109286,1109286,160.058
10,5.1566,0.017332176509755,3.198,166.386,2018-01-23,171.2427,"Jan 23, 18",164.8574,170.4252,2152063,2152063,166.8085
11,6.7626,0.058680670835389005,4.064,173.1486,2018-01-24,175.9736,"Jan 24, 18",167.8372,168.0307,2261389,2261389,173.1626
12,3.9859999999999998,0.08305222887253101,2.302,177.1346,2018-01-25,181.3721,"Jan 25, 18",173.197,174.1548,2563883,2563883,177.7398
13,2.7862999999999998,0.100088473769392,1.573,179.9209,2018-01-26,180.8691,"Jan 26, 18",178.4988,179.6984,1472157,1472157,179.627
14,-3.3571,0.07956219241302201,-1.866,176.5638,2018-01-29,178.8857,"Jan 29, 18",176.2736,178.4117,968139,968139,176.9955
15,-0.416014,0.07701864797161401,-0.23600000000000002,176.1478,2018-01-30,177.1346,"Jan 30, 18",174.2032,175.8092,843016,843016,175.7288
16,-0.628857,0.073173371290842,-0.357,175.5189,2018-01-31,177.628,"Jan 31, 18",174.5805,177.0475,822514,822514,175.9754
17,1.0352,0.07950288380465301,0.59,176.5541,2018-02-01,178.4988,"Feb 1, 18",174.5418,174.745,799249,799249,176.8441
18,-4.2859,0.053297650339679,-2.428,172.2682,2018-02-02,175.6834,"Feb 2, 18",171.4942,175.3738,852221,852221,173.2001
19,-5.979,0.016740313283966,-3.471,166.2892,2018-02-05,173.2841,"Feb 5, 18",165.9506,171.2137,1295595,1295595,169.2401
