,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-0.806805,0.0,-0.539,148.9737,2018-01-08,149.4951,"Jan 8, 18",148.3144,149.0917,632741,632741,148.9269
1,0.41324099999999997,0.002773643938493,0.277,149.3869,2018-01-09,150.9316,"Jan 9, 18",149.2196,149.5935,560196,560196,149.8599
2,1.7514,0.014530081484181001,1.172,151.1383,2018-01-10,152.3779,"Jan 10, 18",148.8359,149.0032,1131156,1131156,151.2269
3,1.1315,0.022125381862704,0.749,152.2698,2018-01-11,152.4173,"Jan 11, 18",150.5578,151.7089,630513,630513,151.9357
4,0.688738,0.026748345513335003,0.452,152.9585,2018-01-12,153.4406,"Jan 12, 18",151.827,152.3681,558065,558065,152.7734
5,-2.8337,0.007726867225557,-1.853,150.1248,2018-01-16,153.1258,"Jan 16, 18",149.9772,152.0139,727260,727260,151.3029
6,1.9383,0.020737888634033003,1.291,152.0631,2018-01-17,152.4469,"Jan 17, 18",150.5086,151.1481,434064,434064,151.8313
7,-0.9740700000000001,0.014199821847748002,-0.641,151.0891,2018-01-18,152.5354,"Jan 18, 18",150.3807,151.8664,723695,723695,151.1799
8,0.32469000000000003,0.016379401196318002,0.215,151.4138,2018-01-19,152.2156,"Jan 19, 18",150.7349,151.6892,448481,448481,151.4025
9,0.698576,0.021068148270466002,0.461,152.1123,2018-01-22,152.8995,"Jan 22, 18",150.5282,151.1481,439284,439284,152.1439
10,3.2174,0.042665248966763006,2.115,155.3297,2018-01-23,155.8217,"Jan 23, 18",150.1248,152.0041,733580,733580,155.039
11,1.1315,0.050260549345287,0.728,156.4612,2018-01-24,156.8253,"Jan 24, 18",155.0345,155.5855,443655,443655,156.2195
12,1.1315,0.057855849723810006,0.723,157.5927,2018-01-25,158.0847,"Jan 25, 18",156.2644,156.8056,439234,439234,157.5096
13,3.7093,0.082754875525008,2.354,161.302,2018-01-26,161.548,"Jan 26, 18",157.6517,158.2814,563723,563723,160.558
14,-2.1941,0.068026772510852,-1.3599999999999999,159.1079,2018-01-29,161.3611,"Jan 29, 18",158.5077,161.3611,536944,536944,159.4815
15,-1.348,0.058978866739565004,-0.847,157.76,2018-01-30,160.1902,"Jan 30, 18",157.6714,158.4093,553403,553403,158.3983
16,0.127909,0.059837407542405005,0.081,157.8879,2018-01-31,159.4326,"Jan 31, 18",157.2188,158.2322,629229,629229,158.1183
17,3.3945,0.082623308677974,2.15,161.2824,2018-02-01,161.3512,"Feb 1, 18",156.6295,157.6813,516149,516149,160.5358
18,-2.2236000000000002,0.06769651287441901,-1.379,159.0587,2018-02-02,162.3351,"Feb 2, 18",158.9603,160.5739,431522,431522,160.0168
19,-4.0931,0.040221864664702005,-2.573,154.9657,2018-02-05,161.7842,"Feb 5, 18",154.4048,159.0194,696380,696380,156.9843
20,0.8855179999999999,0.046165866861063005,0.5710000000000001,155.8512,2018-02-06,156.4612,"Feb 6, 18",150.642,152.4862,814092,814092,154.2247
21,-1.0036,0.039429107285379,-0.644,154.8476,2018-02-07,157.5632,"Feb 7, 18",154.4442,155.1231,972858,972858,156.0268
22,-4.9392,0.006274261832793,-3.19,149.9084,2018-02-08,158.1142,"Feb 8, 18",149.8001,155.6249,898937,898937,152.7657
23,-0.216461,0.004820985180605,-0.14400000000000002,149.6919,2018-02-09,152.7765,"Feb 9, 18",144.733,151.6696,1034651,1034651,148.1452
24,1.9777,0.018096482801997,1.321,151.6696,2018-02-12,153.1651,"Feb 12, 18",149.8297,150.8234,564631,564631,151.6785
25,1.1413,0.025757566604038003,0.753,152.8109,2018-02-13,153.5538,"Feb 13, 18",150.2527,150.8726,446575,446575,152.4062
26,3.8766,0.051779609420991,2.537,156.6875,2018-02-14,156.9827,"Feb 14, 18",151.2858,151.9352,672244,672244,155.3684
27,0.364045,0.054223664982476,0.232,157.0516,2018-02-15,158.5373,"Feb 15, 18",156.0676,157.3172,322162,322162,156.9246
28,-0.383725,0.051647371314533,-0.244,156.6678,2018-02-16,158.1535,"Feb 16, 18",155.7036,156.6285,446547,446547,157.01
29,0.41324299999999997,0.054421686512451,0.264,157.0811,2018-02-20,158.1634,"Feb 20, 18",156.3235,156.5891,642696,642696,157.1712
30,-2.0465,0.040683691148169006,-1.303,155.0345,2018-02-21,157.8092,"Feb 21, 18",154.9558,156.9335,428244,428244,156.6979
31,-1.0233,0.033815364725451005,-0.66,154.0113,2018-02-22,157.819,"Feb 22, 18",153.3816,155.7036,412049,412049,154.4021
32,3.3748,0.05646902775456301,2.191,157.3861,2018-02-23,157.6124,"Feb 23, 18",154.2404,154.454,341977,341977,156.6138
33,1.2299,0.06472484740595101,0.781,158.616,2018-02-26,158.7832,"Feb 26, 18",157.1991,157.5927,341747,341747,158.1082
34,-0.19678299999999999,0.06340380886022101,-0.124,158.4192,2018-02-27,160.4264,"Feb 27, 18",157.8682,159.0489,585501,585501,158.9168
35,-3.06,0.042863270496738,-1.932,155.3592,2018-02-28,160.023,"Feb 28, 18",155.3199,158.734,667358,667358,157.524
36,-2.8632,0.023644441938409002,-1.843,152.4961,2018-03-01,157.022,"Mar 1, 18",151.8959,155.8413,425337,425337,153.9437
37,-0.06887499999999999,0.023181944195519003,-0.045,152.4272,2018-03-02,152.7715,"Mar 2, 18",150.2429,151.8172,598256,598256,151.7397
38,1.9678,0.03639098713397,1.291,154.395,2018-03-05,155.251,"Mar 5, 18",151.1284,151.6007,397742,397742,154.0345
39,0.5017929999999999,0.039759366921812006,0.325,154.8968,2018-03-06,155.6741,"Mar 6, 18",153.2045,154.5918,376090,376090,154.4716
40,1.3972,0.049137532329531004,0.902,156.2939,2018-03-07,156.6482,"Mar 7, 18",154.0408,154.0408,467590,467590,155.8037
41,0.708415,0.053893405346044004,0.453,157.0024,2018-03-08,157.332,"Mar 8, 18",155.615,156.4514,566521,566521,156.5305
42,4.4965,0.084075914070738,2.864,161.4988,2018-03-09,161.5382,"Mar 9, 18",156.4366,157.8288,490946,490946,160.5237
43,-1.161,0.07628259216224001,-0.719,160.3378,2018-03-12,161.7448,"Mar 12, 18",159.5605,160.8888,315703,315703,160.4896
