,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.436032,0.0,0.669,65.6566,2018-01-08,66.1702,"Jan 8, 18",65.0462,65.2981,2040743,2040743,65.6355
1,-0.348827,-0.005312489528851,-0.531,65.3078,2018-01-09,65.9861,"Jan 9, 18",65.1721,65.4822,2250275,2250275,65.4615
2,0.00969,-0.005164751144591,0.015,65.3175,2018-01-10,65.6179,"Jan 10, 18",64.9687,65.4241,1378607,1378607,65.3368
3,0.823615,0.007379303832364001,1.2610000000000001,66.1411,2018-01-11,66.1411,"Jan 11, 18",65.1334,65.6372,1335220,1335220,65.9411
4,0.910821,0.021251481191533,1.377,67.0519,2018-01-12,67.1391,"Jan 12, 18",65.9958,66.5771,1580890,1580890,66.9007
5,-0.494168,0.013725962051035,-0.737,66.5578,2018-01-16,67.798,"Jan 16, 18",66.2671,67.2554,1602405,1602405,66.8344
6,0.561997,0.022285649881352003,0.844,67.1198,2018-01-17,67.3426,"Jan 17, 18",66.6159,67.0422,1461614,1461614,67.0987
7,-1.2015,0.003984367146638,-1.79,65.9182,2018-01-18,67.236,"Jan 18, 18",65.7632,66.9938,2306338,2306338,66.2173
8,1.0949,0.020662050730619,1.661,67.0132,2018-01-19,67.1488,"Jan 19, 18",66.0636,66.1605,1436388,1436388,66.7964
9,-0.368204,0.015054084433248,-0.549,66.645,2018-01-22,67.2021,"Jan 22, 18",66.1411,67.1004,1413300,1413300,66.5205
10,-0.358516,0.00959233344401,-0.538,66.2864,2018-01-23,66.6934,"Jan 23, 18",65.9861,66.6934,2125917,2125917,66.2361
11,0.32944799999999996,0.014610869280468002,0.497,66.6159,2018-01-24,67.1585,"Jan 24, 18",66.2671,66.2671,1248564,1248564,66.7578
12,0.329445,0.0196278820408,0.495,66.9453,2018-01-25,67.517,"Jan 25, 18",66.3058,66.8194,1130003,1130003,66.9494
13,1.1434,0.037042734469954,1.708,68.0887,2018-01-26,69.329,"Jan 26, 18",67.0132,67.6624,1891377,1891377,67.9215
14,-1.8023,0.00959233344401,-2.6470000000000002,66.2864,2018-01-29,68.4501,"Jan 29, 18",65.8213,68.2147,5584286,5584286,66.55
15,-0.24223799999999998,0.0059034430658910005,-0.365,66.0442,2018-01-30,67.3143,"Jan 30, 18",65.7245,65.7245,3750744,3750744,66.3341
16,-1.4825,-0.016676160507854,-2.245,64.5617,2018-01-31,66.3155,"Jan 31, 18",64.0385,66.3155,3950306,3950306,64.9307
17,-0.339136,-0.021840911652446,-0.525,64.2226,2018-02-01,64.8718,"Feb 1, 18",63.1567,63.1567,2062510,2062510,64.168
18,0.9302,-0.007673257524757,1.448,65.1528,2018-02-02,65.4435,"Feb 2, 18",63.8398,63.9609,2711178,2711178,65.0226
19,-3.1782,-0.05607966297371401,-4.878,61.9746,2018-02-05,64.8911,"Feb 5, 18",61.7905,64.8911,3116866,3116866,63.3312
20,0.571686,-0.047372236759137,0.922,62.5463,2018-02-06,62.6141,"Feb 6, 18",60.0764,61.025,3195188,3195188,61.6702
21,-0.125965,-0.04929131267839,-0.201,62.4203,2018-02-07,63.8931,"Feb 7, 18",62.149,62.3912,2440702,2440702,63.0289
22,-3.3817,-0.100797178044552,-5.418,59.0386,2018-02-08,62.3815,"Feb 8, 18",58.9999,62.0715,2336074,2336074,60.2376
