,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,-2.1479,0.0,-1.331,159.1776,2018-01-08,160.992,"Jan 8, 18",158.393,160.9626,1803804,1803804,159.647
1,1.0788,0.006777335504493,0.678,160.2564,2018-01-09,160.6193,"Jan 9, 18",158.9716,159.766,2453611,2453611,159.7659
2,-1.3731,-0.0018482500050250002,-0.857,158.8834,2018-01-10,159.3051,"Jan 10, 18",157.2945,159.0403,2296933,2296933,158.503
3,0.490382,0.0012319572603180001,0.309,159.3737,2018-01-11,160.2485,"Jan 11, 18",157.8732,158.8834,2420690,2420690,159.1739
4,2.9815,0.019963236033210003,1.871,162.3553,2018-01-12,162.6593,"Jan 12, 18",158.0203,159.6974,2680185,2680185,160.8756
5,3.1286,0.039618011579518005,1.927,165.4839,2018-01-16,169.3089,"Jan 16, 18",164.22,167.3179,3264359,3264359,167.0233
6,4.7665,0.069562551514786,2.88,170.2504,2018-01-17,171.4469,"Jan 17, 18",167.6219,168.2594,2367291,2367291,170.0128
7,1.8536000000000001,0.081207406067185,1.089,172.104,2018-01-18,172.6827,"Jan 18, 18",168.3673,170.0248,1847374,1847374,171.5914
8,4.08,0.10683915324769301,2.371,176.184,2018-01-19,176.3998,"Jan 19, 18",173.0848,173.3496,1840753,1840753,175.0487
9,15.2901,0.20289601049393802,8.678,191.4741,2018-01-22,192.0723,"Jan 22, 18",181.4605,183.981,6777532,6777532,187.3433
10,-0.274613,0.201170265162937,-0.14300000000000002,191.1994,2018-01-23,197.8098,"Jan 23, 18",190.8465,193.1512,4261754,4261754,193.8934
11,5.5217,0.23585919124298801,2.888,196.7211,2018-01-24,198.0844,"Jan 24, 18",190.4639,193.0923,3248360,3248360,194.8044
12,0.019614,0.23598232414611,0.01,196.7407,2018-01-25,199.7125,"Jan 25, 18",194.3477,196.8879,3491113,3491113,196.8349
13,-19.9193,0.110844113744647,-10.125,176.8215,2018-01-26,198.104,"Jan 26, 18",174.6148,198.104,22145560,22145560,180.6692
14,-16.4866,0.0072704953460780005,-9.324,160.3349,2018-01-29,168.5341,"Jan 29, 18",159.2168,167.7396,25903548,25903548,163.5428
15,7.7578,0.056007252276702,4.839,168.0927,2018-01-30,168.9852,"Jan 30, 18",157.629,157.7947,16494619,16494619,164.1255
16,-5.6884,0.020271068291015,-3.384,162.4043,2018-01-31,173.5752,"Jan 31, 18",159.4718,169.9365,11253126,11253126,165.0694
17,4.8057,0.050461874032527006,2.959,167.21,2018-02-01,168.4752,"Feb 1, 18",160.8743,162.8162,6416095,6416095,166.3194
18,-3.8544,0.026247411696118002,-2.305,163.3556,2018-02-02,169.6717,"Feb 2, 18",162.8064,164.7189,5398823,5398823,165.0455
19,-1.0592,0.019593209094746003,-0.648,162.2964,2018-02-05,167.4944,"Feb 5, 18",162.1199,162.4337,4916767,4916767,164.9729
20,-2.2165,0.005668511147297,-1.366,160.0799,2018-02-06,164.4321,"Feb 6, 18",159.1187,160.3545,3672737,3672737,160.7915
21,13.8287,0.09254442836177901,8.639,173.9086,2018-02-07,176.6351,"Feb 7, 18",169.6227,172.1825,15719925,15719925,173.3074
22,-7.8853,0.043006679331765,-4.534,166.0233,2018-02-08,175.7525,"Feb 8, 18",165.8958,174.7717,5312619,5312619,169.4401
23,-3.0011,0.024152895884848,-1.808,163.0222,2018-02-09,165.4937,"Feb 9, 18",157.7947,165.4054,5511089,5511089,161.9423
24,-3.2365,0.0038202611422710002,-1.9849999999999999,159.7857,2018-02-12,164.5325,"Feb 12, 18",158.8834,164.3952,3427519,3427519,160.7121
25,1.7065000000000001,0.014540990692157,1.068,161.4922,2018-02-13,162.3651,"Feb 13, 18",159.3639,159.8641,2122892,2122892,161.2305
26,7.1e-05,0.014541618921255,0.0,161.4923,2018-02-14,162.6924,"Feb 14, 18",159.9084,160.8528,2116686,2116686,161.6321
27,-0.147563,0.013614352773254,-0.091,161.3447,2018-02-15,163.5876,"Feb 15, 18",159.1706,161.9054,2642400,2642400,161.6263
28,0.265612,0.015282929256377002,0.165,161.6103,2018-02-16,164.6599,"Feb 16, 18",159.8691,161.4431,3451213,3451213,162.332
29,0.6296,0.019238259654624,0.39,162.2399,2018-02-20,164.2074,"Feb 20, 18",160.6266,161.2168,1915826,1915826,162.3888
30,1.4166,0.028137753050680003,0.873,163.6565,2018-02-21,166.2536,"Feb 21, 18",161.8661,162.0136,1962863,1962863,164.5542
31,-2.1347,0.014726946505035001,-1.304,161.5218,2018-02-22,164.9452,"Feb 22, 18",159.4362,163.686,2533350,2533350,161.374
32,2.8922,0.032896588464708006,1.791,164.414,2018-02-23,164.6796,"Feb 23, 18",161.4431,162.3186,1904851,1904851,163.481
33,1.8396,0.044453490943449005,1.119,166.2536,2018-02-26,166.9619,"Feb 26, 18",164.4927,165.3387,1776347,1776347,165.9247
34,-0.245938,0.042908675592545006,-0.148,166.0077,2018-02-27,166.893,"Feb 27, 18",163.8041,166.6668,2023184,2023184,165.834
35,-1.2297,0.035183342379832006,-0.741,164.778,2018-02-28,167.1882,"Feb 28, 18",164.1189,165.9978,2578012,2578012,165.2622
36,-4.0137,0.009968111091007,-2.436,160.7643,2018-03-01,165.7224,"Mar 1, 18",160.6069,165.5158,2561471,2561471,162.8747
37,-0.35415,0.007742923627444001,-0.22,160.4101,2018-03-02,160.843,"Mar 2, 18",153.9961,159.1509,4147623,4147623,157.9926
38,1.9675,0.020103331121966002,1.227,162.3776,2018-03-05,164.0107,"Mar 5, 18",156.0816,158.7082,2803580,2803580,159.9241
39,1.6920000000000002,0.030733595681804,1.042,164.0697,2018-03-06,164.5812,"Mar 6, 18",161.3447,163.9221,1257555,1257555,163.1495
40,1.6035,0.040807249261202,0.977,165.6732,2018-03-07,166.4799,"Mar 7, 18",161.9448,162.4367,1551927,1551927,165.264
