,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.417317,0.0,0.329,127.4207,2018-01-08,127.9274,"Jan 8, 18",125.5129,126.894,808623,808623,126.9373
1,-0.625975,-0.004912859527533,-0.491,126.7947,2018-01-09,128.1659,"Jan 9, 18",126.0306,127.3909,551533,551533,126.8911
2,-2.0468,-0.020976968420358,-1.6139999999999999,124.7478,2018-01-10,127.4008,"Jan 10, 18",124.4597,127.053,843205,843205,125.5695
3,2.0866,-0.0046012931964740005,1.673,126.8344,2018-01-11,127.9175,"Jan 11, 18",125.0559,125.4434,1100478,1100478,127.0533
4,-0.506741,-0.008577884127147,-0.4,126.3277,2018-01-12,129.3284,"Jan 12, 18",126.1687,127.1921,1459944,1459944,127.4005
5,-1.3016,-0.018792864895578,-1.03,125.0261,2018-01-16,126.9735,"Jan 16, 18",124.9267,126.8642,1218533,1218533,125.7205
6,0.616039,-0.013958485552190002,0.493,125.6421,2018-01-17,127.1822,"Jan 17, 18",124.3603,125.4434,646677,646677,125.9214
7,-1.7984,-0.028072361868989003,-1.431,123.8437,2018-01-18,125.8209,"Jan 18, 18",123.476,125.3937,984731,984731,124.4062
8,-0.596166,-0.032751350447768,-0.481,123.2475,2018-01-19,123.9132,"Jan 19, 18",121.8664,123.2674,830863,830863,122.9034
9,2.7424,-0.011228944747595001,2.225,125.9899,2018-01-22,126.0048,"Jan 22, 18",123.4164,123.7244,773828,773828,125.1519
10,-1.7388,-0.024875863968727003,-1.38,124.251,2018-01-23,126.3178,"Jan 23, 18",123.7642,125.8209,1025666,1025666,124.8773
11,-0.814761,-0.031269644571093005,-0.656,123.4363,2018-01-24,125.1155,"Jan 24, 18",123.0885,124.6982,1186302,1186302,123.81
12,-3.9546,-0.06230541819343301,-3.204,119.4817,2018-01-25,124.5392,"Jan 25, 18",118.8061,123.7046,1330552,1330552,120.8054
13,-0.466999,-0.06597044279304601,-0.391,119.0147,2018-01-26,121.0268,"Jan 26, 18",118.5775,119.9388,855357,855357,119.4739
14,-1.093,-0.074548326920194,-0.918,117.9217,2018-01-29,119.2979,"Jan 29, 18",117.1378,118.4682,1004159,1004159,118.3782
15,-4.3222000000000005,-0.108469032111736,-3.665,113.5995,2018-01-30,116.2624,"Jan 30, 18",111.8807,116.2624,1646050,1646050,113.6223
16,-2.1164,-0.12507857828437602,-1.863,111.4831,2018-01-31,114.1957,"Jan 31, 18",110.421,113.3213,1066506,1066506,111.7507
17,1.2023,-0.11564290574451401,1.078,112.6854,2018-02-01,114.8515,"Feb 1, 18",111.2546,112.3178,1076052,1076052,112.439
18,-2.4443,-0.134825817155297,-2.169,110.2411,2018-02-02,111.4831,"Feb 2, 18",109.0985,111.4831,1162116,1162116,110.2497
19,-3.0206,-0.158531541578409,-2.74,107.2205,2018-02-05,111.1751,"Feb 5, 18",107.1411,109.5257,1186573,1186573,108.5026
20,0.546486,-0.15424259951483502,0.51,107.767,2018-02-06,109.4959,"Feb 6, 18",105.283,107.1311,1224614,1224614,107.2623
21,-2.5337,-0.17412712377188302,-2.351,105.2333,2018-02-07,109.5357,"Feb 7, 18",105.0346,107.7472,1385702,1385702,106.6731
22,-5.6835,-0.21873055162936603,-5.401,99.5499,2018-02-08,105.7599,"Feb 8, 18",99.5399,105.1936,1465293,1465293,102.0093
23,0.0,-0.21873055162936603,0.0,99.5499,2018-02-09,100.4441,"Feb 9, 18",94.9495,100.0765,1769777,1769777,97.505
24,0.705463,-0.21319455943971402,0.709,100.2553,2018-02-12,102.7394,"Feb 12, 18",99.3512,100.8416,993360,993360,100.7486
25,-1.1128,-0.22192783433147,-1.11,99.1425,2018-02-13,100.2156,"Feb 13, 18",97.1125,99.3909,1507022,1507022,98.7472
26,2.4761,-0.202495355935103,2.498,101.6186,2018-02-14,101.9368,"Feb 14, 18",97.8697,98.695,1564205,1564205,100.3059
27,-3.4108,-0.22926337714358802,-3.356,98.2078,2018-02-15,98.9735,"Feb 15, 18",95.1848,97.5017,3764119,3764119,96.9437
28,-0.029833,-0.22949803289418402,-0.03,98.1779,2018-02-16,100.475,"Feb 16, 18",97.6271,97.7106,2091382,2091382,99.0201
29,-0.357987,-0.232306838684766,-0.365,97.82,2018-02-20,100.1568,"Feb 20, 18",97.1239,99.1326,1450331,1450331,98.296
30,-3.2219,-0.257592369214735,-3.294,94.5981,2018-02-21,97.7006,"Feb 21, 18",94.5682,97.5316,1674370,1674370,95.6873
31,0.308266,-0.255173609939358,0.326,94.9063,2018-02-22,96.8454,"Feb 22, 18",93.2357,95.0654,1531734,1531734,95.1838
32,3.2418,-0.229731903842939,3.416,98.1481,2018-02-23,98.2177,"Feb 23, 18",95.4632,95.7715,1252396,1252396,97.1085
33,-0.35798599999999997,-0.232541494435362,-0.365,97.7901,2018-02-26,98.7448,"Feb 26, 18",97.0543,98.2078,955590,955590,97.6698
34,-0.41765199999999997,-0.23581882692529502,-0.427,97.3725,2018-02-27,98.6354,"Feb 27, 18",96.6466,97.7603,1627663,1627663,97.607
35,-1.8198,-0.250100650836167,-1.869,95.5527,2018-02-28,98.1978,"Feb 28, 18",95.5527,97.5614,1244665,1244665,96.5563
36,-0.735862,-0.25587600758746404,-0.77,94.8168,2018-03-01,96.4377,"Mar 1, 18",94.0114,95.4334,1199012,1199012,95.1478
37,0.497204,-0.251973972831729,0.524,95.314,2018-03-02,95.851,"Mar 2, 18",93.4346,94.3495,997637,997637,95.0399
