,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.480512,0.0,0.661,73.1948,2018-01-08,73.3321,"Jan 8, 18",71.7337,72.8124,2483233,2483233,72.7893
1,0.196128,0.0026791520709120004,0.268,73.3909,2018-01-09,73.8359,"Jan 9, 18",72.4397,73.2831,1797763,1797763,73.4299
2,-0.725672,-0.0072341204566440005,-0.989,72.6653,2018-01-10,73.1556,"Jan 10, 18",72.3024,72.9791,1866125,1866125,72.7125
3,0.23535299999999998,-0.004019411215004,0.324,72.9006,2018-01-11,73.489,"Jan 11, 18",72.5966,73.1262,1142787,1142787,72.9096
4,0.31380399999999997,0.000267778585363,0.43,73.2144,2018-01-12,73.4302,"Jan 12, 18",72.8124,73.1654,1063253,1063253,73.2129
5,-0.872767,-0.011655199549694,-1.192,72.3417,2018-01-16,74.0136,"Jan 16, 18",72.0867,73.5282,2122989,2122989,72.7821
6,2.0495,0.016345423445381,2.833,74.3912,2018-01-17,74.6462,"Jan 17, 18",72.7241,73.0085,2782406,2782406,73.9603
7,0.431481,0.022240650975205,0.58,74.8227,2018-01-18,75.0972,"Jan 18, 18",74.401,74.5775,1510282,1510282,74.7946
8,-0.578577,0.014335717837879002,-0.773,74.2441,2018-01-19,75.7641,"Jan 19, 18",74.0774,75.5091,2050323,2050323,74.528
9,-0.264771,0.010717974500920002,-0.357,73.9793,2018-01-22,74.4991,"Jan 22, 18",73.6537,74.2539,2102818,2102818,73.9651
10,0.098063,0.012058233645012,0.133,74.0774,2018-01-23,74.5285,"Jan 23, 18",73.9744,74.1264,2256238,2256238,74.1913
11,-2.0201,-0.015540721472017,-2.727,72.0573,2018-01-24,73.4204,"Jan 24, 18",71.8611,73.3125,4697640,4697640,72.4827
12,-3.6676,-0.06564810614961701,-5.09,68.3897,2018-01-25,73.5478,"Jan 25, 18",68.3112,73.3713,5865162,5865162,70.2433
13,2.1574,-0.036173334717766,3.155,70.5471,2018-01-26,70.5569,"Jan 26, 18",68.8604,69.5272,4831247,4831247,69.8302
14,0.23535299999999998,-0.032958625476126005,0.334,70.7824,2018-01-29,71.0864,"Jan 29, 18",69.5272,70.1156,3647319,3647319,70.3445
15,-0.049032,-0.033628071939536,-0.069,70.7334,2018-01-30,71.0374,"Jan 30, 18",69.792,70.1156,2562147,2562147,70.6341
16,0.8727659999999999,-0.021703727587205002,1.234,71.6062,2018-01-31,71.7925,"Jan 31, 18",70.5275,71.2924,2810387,2810387,71.3778
17,-0.519737,-0.028805324968440002,-0.726,71.0864,2018-02-01,72.3809,"Feb 1, 18",70.9001,71.361,3935212,3935212,71.7044
18,-1.8142,-0.053589872504604,-2.552,69.2723,2018-02-02,71.1845,"Feb 2, 18",69.2428,70.4294,2935363,2935363,70.0044
19,-3.5989,-0.10276003213343,-5.195,65.6733,2018-02-05,68.8898,"Feb 5, 18",65.4085,68.6839,3952117,3952117,67.3484
20,2.3363,-0.070841098001497,3.557,68.0096,2018-02-06,68.0589,"Feb 6, 18",63.5933,64.6185,5438944,5438944,65.9418
21,-1.9913,-0.09804658254411501,-2.928,66.0183,2018-02-07,68.0392,"Feb 7, 18",66.0085,67.3689,1984773,1984773,66.8539
22,-4.091,-0.153938531152486,-6.197,61.9273,2018-02-08,66.3042,"Feb 8, 18",61.9174,66.1958,4033231,4033231,63.1722
23,2.5236,-0.11946067206960001,4.075,64.4509,2018-02-09,65.141,"Feb 9, 18",61.3851,62.8342,5380579,5380579,63.2384
24,-0.256305,-0.12296228693841602,-0.398,64.1946,2018-02-12,65.8705,"Feb 12, 18",63.9383,64.5495,2895335,2895335,64.5211
25,0.16758299999999998,-0.12067250679009901,0.261,64.3622,2018-02-13,64.5199,"Feb 13, 18",63.0018,63.544,2368223,2368223,63.8883
26,1.5477,-0.09952756206725001,2.4050000000000002,65.9099,2018-02-14,66.5309,"Feb 14, 18",63.9975,63.9975,3258199,3258199,65.8689
27,0.354885,-0.094678856967981,0.538,66.2648,2018-02-15,66.7281,"Feb 15, 18",65.348,66.5999,1816016,1816016,66.0882
28,-0.128153,-0.09643034751102501,-0.193,66.1366,2018-02-16,66.755,"Feb 16, 18",65.9,66.107,1670541,1670541,66.311
29,2.0702,-0.06814691754059,3.13,68.2068,2018-02-20,68.4039,"Feb 20, 18",65.969,65.969,2752959,2752959,67.9493
30,-0.719627,-0.07797821703181,-1.055,67.4872,2018-02-21,68.8098,"Feb 21, 18",67.4773,68.1969,2384940,2384940,67.9723
31,0.463321,-0.07164853240940601,0.687,67.9505,2018-02-22,68.5715,"Feb 22, 18",67.5266,67.7139,2601889,2601889,68.0999
32,1.1041,-0.056564127506325,1.625,69.0546,2018-02-23,69.1038,"Feb 23, 18",67.7927,68.5025,1909991,1909991,68.5362
33,1.4195,-0.03717067332652,2.056,70.4741,2018-02-26,70.6614,"Feb 26, 18",69.5179,69.5179,1858190,1858190,70.2819
34,-0.049290999999999995,-0.037844218441747006,-0.07,70.4248,2018-02-27,72.1204,"Feb 27, 18",70.2868,70.4248,2271111,2271111,70.9688
35,-0.187299,-0.0404031433927,-0.266,70.2375,2018-02-28,71.6176,"Feb 28, 18",69.9911,71.2036,2369457,2369457,70.6556
36,-0.443606,-0.046463683212468,-0.632,69.7939,2018-03-01,70.8438,"Mar 1, 18",68.8574,70.3657,2485083,2485083,69.8672
37,1.4097,-0.027204118325345004,2.02,71.2036,2018-03-02,71.3317,"Mar 2, 18",68.8081,69.0644,2438002,2438002,70.5523
38,0.5619000000000001,-0.019527343472487,0.789,71.7655,2018-03-05,72.3865,"Mar 5, 18",70.1882,70.4642,1974235,1974235,71.7326
39,1.1632,-0.003635504161497,1.621,72.9287,2018-03-06,73.5103,"Mar 6, 18",71.9725,72.2978,1934626,1934626,72.786
40,-0.039431999999999995,-0.00417379376677,-0.054,72.8893,2018-03-07,73.1308,"Mar 7, 18",71.9035,72.1204,1867115,1867115,72.5983
41,1.7251,0.019394820397077,2.367,74.6144,2018-03-08,74.6637,"Mar 8, 18",72.9583,73.3132,3511081,3511081,74.0158
42,0.502752,0.026264160842026003,0.674,75.1172,2018-03-09,75.8072,"Mar 9, 18",74.7228,74.7228,2819578,2819578,75.3005
43,0.857637,0.037980840168973004,1.142,75.9748,2018-03-12,76.8522,"Mar 12, 18",75.7481,75.8171,2502706,2502706,76.3087
44,-0.9167839999999999,0.025455360216846003,-1.207,75.058,2018-03-13,76.9113,"Mar 13, 18",74.2201,76.4085,4179376,4179376,75.2117
45,-0.128153,0.023705235891074,-0.171,74.9299,2018-03-14,75.5213,"Mar 14, 18",74.2891,75.4819,2185591,2185591,74.8286
46,-0.177442,0.021280200232803,-0.23700000000000002,74.7524,2018-03-15,75.6889,"Mar 15, 18",74.1708,75.1763,1478528,1478528,74.7901
47,0.197157,0.023974380693710003,0.264,74.9496,2018-03-16,75.5312,"Mar 16, 18",74.4468,74.7031,3700090,3700090,74.9444
48,-1.0154,0.010101810511129001,-1.355,73.9342,2018-03-19,74.9101,"Mar 19, 18",73.1456,74.6933,2540822,2540822,73.8223
49,1.1731,0.026128905332072003,1.587,75.1073,2018-03-20,75.127,"Mar 20, 18",74.0427,74.0427,1736083,1736083,74.8105
50,-0.512612,0.019125675594441,-0.683,74.5947,2018-03-21,75.6593,"Mar 21, 18",74.4567,75.0087,1878893,1878893,75.0864
51,-1.7054,-0.00417379376677,-2.286,72.8893,2018-03-22,74.2595,"Mar 22, 18",72.84,73.4709,1639346,1639346,73.3921
52,-2.0406,-0.032052823424614005,-2.8,70.8487,2018-03-23,73.254,"Mar 23, 18",70.829,72.909,2319937,2319937,71.5261
53,2.2969,-0.0006721788979540001,3.242,73.1456,2018-03-26,73.4709,"Mar 26, 18",71.8148,72.2682,3003350,3003350,72.956
54,-2.0899,-0.029224753671025002,-2.857,71.0557,2018-03-27,73.9046,"Mar 27, 18",70.7304,73.8061,3025722,3025722,72.2027
55,-0.719627,-0.039056053162246,-1.013,70.3361,2018-03-28,71.45,"Mar 28, 18",69.9319,70.7994,2209225,2209225,70.652
56,0.877354,-0.027070229032663002,1.2469999999999999,71.2134,2018-03-29,72.1006,"Mar 29, 18",70.2474,70.8684,2300086,2300086,71.2533
57,-3.1545,-0.07016755288627001,-4.43,68.0589,2018-04-02,71.4205,"Apr 2, 18",67.8963,70.8388,3263851,3263851,68.729
58,0.650621,-0.061278943312912004,0.9560000000000001,68.7095,2018-04-03,69.3897,"Apr 3, 18",68.1181,68.9461,2662977,2662977,68.7444
59,1.4195,-0.041884122915835,2.066,70.1291,2018-04-04,70.3213,"Apr 4, 18",67.0731,67.1224,2619906,2619906,69.0877
60,-0.43374799999999997,-0.047810773442922005,-0.618,69.6953,2018-04-05,70.824,"Apr 5, 18",68.9757,70.4248,1685847,1685847,69.7378
61,-4.3375,-0.10707044762742701,-6.223,65.3578,2018-04-06,67.8618,"Apr 6, 18",65.2396,67.0633,3230355,3230355,66.2555
62,0.42389000000000004,-0.101279052610294,0.649,65.7817,2018-04-09,67.9899,"Apr 9, 18",65.4367,65.9,2585634,2585634,66.5253
63,1.3111,-0.08336657795362501,1.9929999999999999,67.0928,2018-04-10,67.9406,"Apr 10, 18",66.1563,66.9647,1718020,1718020,67.0536
64,-0.04929000000000001,-0.084040123068851,-0.073,67.0435,2018-04-11,67.6942,"Apr 11, 18",66.6394,66.7774,1945696,1945696,67.1316
65,1.4984,-0.06356872346122901,2.235,68.5419,2018-04-12,69.163,"Apr 12, 18",67.5562,67.5562,1793755,1793755,68.5876
66,-1.0252,-0.077575182936492,-1.496,67.5167,2018-04-13,69.0546,"Apr 13, 18",67.3491,68.9757,1302213,1302213,67.8693
67,-0.305595,-0.08175034292053501,-0.453,67.2111,2018-04-16,67.7435,"Apr 16, 18",66.5112,67.1323,2524934,2524934,67.136
68,1.6857000000000002,-0.05872001836196,2.508,68.8968,2018-04-17,69.301,"Apr 17, 18",67.359,67.8322,3137410,3137410,68.7399
69,-1.8533,-0.084040123068851,-2.69,67.0435,2018-04-18,68.4138,"Apr 18, 18",66.9745,68.1082,4074098,4074098,67.5121
70,-3.0658,-0.125925612201959,-4.573,63.9777,2018-04-19,66.4225,"Apr 19, 18",63.9482,66.038,7698991,7698991,64.5799
