,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
0,0.374481,0.0,0.45,83.6725,2018-01-08,83.6821,"Jan 8, 18",83.1573,83.25,10927088,10927088,83.5227
1,-0.355277,-0.004246317487824,-0.425,83.3172,2018-01-09,83.6821,"Jan 9, 18",83.202,83.4805,8131631,8131631,83.4295
2,-0.662544,-0.012164092144969002,-0.795,82.6547,2018-01-10,83.7205,"Jan 10, 18",82.5587,83.5381,10822328,10822328,82.9455
3,0.8161769999999999,-0.0024093937673660003,0.987,83.4709,2018-01-11,83.8934,"Jan 11, 18",82.5107,82.9236,14366028,14366028,83.44
4,0.566523,0.004361050524365,0.679,84.0374,2018-01-12,84.4887,"Jan 12, 18",83.7109,83.7301,9834511,9834511,84.0084
5,-0.528114,-0.001950461621201,-0.628,83.5093,2018-01-16,84.2678,"Jan 16, 18",83.154,84.2486,10882786,10882786,83.5969
6,0.989014,0.009869431414144,1.184,84.4983,2018-01-17,84.6999,"Jan 17, 18",83.4709,83.7301,10545961,10545961,84.2867
7,-0.547319,0.003328453195494,-0.648,83.951,2018-01-18,84.6807,"Jan 18, 18",83.8646,84.2775,9223679,9223679,84.0915
8,-0.268858,0.000114733036541,-0.32,83.6821,2018-01-19,84.2678,"Jan 19, 18",83.1636,84.0854,13090032,13090032,83.6586
9,1.0562,0.012738952463473,1.262,84.7384,2018-01-22,84.7768,"Jan 22, 18",83.5861,83.7013,10270380,10270380,84.386
10,0.048007999999999995,0.01331261764618,0.057,84.7864,2018-01-23,84.94,"Jan 23, 18",84.2486,84.7384,10281817,10281817,84.6911
11,0.220848,0.015951477486629,0.26,85.0072,2018-01-24,85.3798,"Jan 24, 18",84.5079,84.9688,10316111,10316111,84.9879
12,-0.153632,0.014115748901968001,-0.181,84.8536,2018-01-25,85.3337,"Jan 25, 18",84.6903,85.0264,11271867,11271867,84.9828
13,0.6049300000000001,0.021345125339866003,0.713,85.4585,2018-01-26,85.4585,"Jan 26, 18",84.9496,85.1128,10514408,10514408,85.2779
14,-0.9506049999999999,0.009984164450685,-1.112,84.5079,2018-01-29,85.7466,"Jan 29, 18",84.4503,85.0648,9315696,9315696,84.9342
15,-1.1811,-0.004131584451283,-1.3980000000000001,83.3268,2018-01-30,84.8632,"Jan 30, 18",83.3268,84.0566,12407974,12407974,83.7619
16,0.499308,0.0018369237204570001,0.599,83.8262,2018-01-31,83.9894,"Jan 31, 18",82.8948,83.1156,14404736,14404736,83.5806
17,1.6996,0.022148256595655003,2.027,85.5257,2018-02-01,85.6986,"Feb 1, 18",83.8742,84.0182,17971012,17971012,84.8978
18,-4.3593,-0.029951298216259,-5.097,81.1664,2018-02-02,82.5875,"Feb 2, 18",79.6951,81.7425,29822144,29822144,80.7329
19,-4.6186,-0.085149840150587,-5.69,76.5478,2018-02-05,80.6479,"Feb 5, 18",75.021,79.9661,30452693,30452693,77.6155
20,-1.3155000000000001,-0.100871851564134,-1.7189999999999999,75.2323,2018-02-06,77.1527,"Feb 6, 18",73.84,75.3859,36262761,36262761,75.059
21,-1.3538999999999999,-0.117052795123845,-1.8,73.8784,2018-02-07,76.2501,"Feb 7, 18",73.8592,75.3187,21994450,21994450,74.843
22,-0.8353800000000001,-0.127036959574531,-1.131,73.043,2018-02-08,74.4929,"Feb 8, 18",73.0046,74.3585,25650789,25650789,73.7219
23,0.46559399999999995,-0.12147240730227901,0.637,73.5086,2018-02-09,74.1876,"Feb 9, 18",71.685,73.9645,29491592,29491592,72.9829
24,0.620817,-0.11405300427261,0.845,74.1294,2018-02-12,75.2944,"Feb 12, 18",73.5678,74.7405,19340419,19340419,74.2825
25,-0.11640299999999999,-0.115444142340673,-0.157,74.013,2018-02-13,74.4495,"Feb 13, 18",73.4601,73.819,11926610,11926610,74.0559
26,0.15520299999999998,-0.11358929158325601,0.21,74.1682,2018-02-14,74.3622,"Feb 14, 18",72.912,73.5183,17188405,17188405,73.6553
27,-0.242506,-0.11648749589172001,-0.327,73.9257,2018-02-15,74.401,"Feb 15, 18",73.1885,74.3234,14432424,14432424,73.7412
28,0.32011,-0.112661866204547,0.433,74.2458,2018-02-16,74.8084,"Feb 16, 18",73.5765,73.8675,13722431,13722431,74.2466
29,-0.7663209999999999,-0.12182019181929502,-1.032,73.4795,2018-02-20,75.148,"Feb 20, 18",73.1992,74.1779,13387346,13387346,73.8618
30,-0.8342229999999999,-0.131790014640413,-1.135,72.6453,2018-02-21,74.144,"Feb 21, 18",72.6259,73.5474,11714985,11714985,73.3764
31,0.940925,-0.12054498192357001,1.295,73.5862,2018-02-22,74.5368,"Feb 22, 18",72.9314,73.043,14020186,14020186,73.8318
32,1.6199,-0.10118378200723001,2.201,75.2062,2018-02-23,75.2935,"Feb 23, 18",73.6735,73.8093,13378795,13378795,74.7934
33,1.2707,-0.085997191430876,1.69,76.4769,2018-02-26,76.5642,"Feb 26, 18",75.2353,75.4099,16940419,16940419,76.1954
34,-1.2998,-0.10153156652424601,-1.7000000000000002,75.1771,2018-02-27,77.476,"Feb 27, 18",75.1771,76.6321,14629517,14629517,76.1249
35,-1.7072,-0.12193611999163301,-2.271,73.4698,2018-02-28,75.9046,"Feb 28, 18",73.431,75.8173,17087816,17087816,74.2676
36,-0.523815,-0.128196241297917,-0.713,72.946,2018-03-01,74.3824,"Mar 1, 18",72.6113,73.2661,15696665,15696665,73.263
37,0.339509,-0.124138755266067,0.465,73.2855,2018-03-02,73.5959,"Mar 2, 18",72.2476,72.6453,15630250,15630250,72.8883
38,0.69842,-0.115791926857689,0.9530000000000001,73.9839,2018-03-05,74.2652,"Mar 5, 18",72.8694,72.9751,14890975,14890975,73.8706
39,-0.08730299999999999,-0.116835280408736,-0.11800000000000001,73.8966,2018-03-06,74.6726,"Mar 6, 18",73.5872,74.3719,10754291,10754291,74.0661
40,-1.8624,-0.139093489497744,-2.52,72.0342,2018-03-07,72.9848,"Mar 7, 18",71.3552,72.752,27255463,27255463,71.9491
41,-0.13580399999999998,-0.140716483910484,-0.189,71.8984,2018-03-08,72.5289,"Mar 8, 18",71.4813,72.267,19299848,19299848,71.9246
42,0.42681199999999997,-0.13561564432758602,0.594,72.3252,2018-03-09,72.8102,"Mar 9, 18",71.9857,72.5774,19714061,19714061,72.2899
43,0.659617,-0.12773252860856302,0.912,72.9848,2018-03-12,73.3146,"Mar 12, 18",72.4513,72.6259,14226706,14226706,72.9104
44,-0.6887179999999999,-0.135963428844602,-0.9440000000000001,72.2961,2018-03-13,73.5474,"Mar 13, 18",72.0245,73.0721,13739675,13739675,72.5564
45,-0.902125,-0.14674474887209002,-1.248,71.394,2018-03-14,72.5483,"Mar 14, 18",71.3261,72.4028,14820676,14820676,71.689
46,0.795422,-0.13723863874032602,1.114,72.1894,2018-03-15,72.752,"Mar 15, 18",71.879,72.1215,15640605,15640605,72.2485
47,0.679018,-0.129123666676626,0.9410000000000001,72.8684,2018-03-16,72.8684,"Mar 16, 18",72.1312,72.1312,32109720,32109720,72.6854
48,-0.9409259999999999,-0.14036869939346802,-1.291,71.9275,2018-03-19,72.7617,"Mar 19, 18",71.651,72.752,12744781,12744781,72.0303
49,-0.15520399999999998,-0.142223550150885,-0.216,71.7723,2018-03-20,72.461,"Mar 20, 18",71.7335,71.9954,13003183,13003183,71.9191
50,1.0185,-0.13005109205533402,1.419,72.7908,2018-03-21,73.3728,"Mar 21, 18",71.7626,72.0051,15418459,15418459,72.694
51,-1.4938,-0.14790403059547602,-2.052,71.297,2018-03-22,72.461,"Mar 22, 18",71.1902,72.1894,17737019,17737019,71.7855
52,-0.591716,-0.15497684424392702,-0.8300000000000001,70.7052,2018-03-23,71.9857,"Mar 23, 18",70.4918,71.5977,20157333,20157333,71.2947
53,1.0767,-0.142107621978547,1.5230000000000001,71.782,2018-03-26,71.9275,"Mar 26, 18",70.5741,71.4425,15032698,15032698,71.4086
54,-0.291008,-0.14558546714870402,-0.405,71.491,2018-03-27,72.65,"Mar 27, 18",71.0787,71.782,15821908,15821908,71.8672
55,-0.863324,-0.155904269622635,-1.208,70.6276,2018-03-28,71.7917,"Mar 28, 18",70.5985,71.5298,18163875,18163875,71.1159
56,1.746,-0.135036003465893,2.472,72.3737,2018-03-29,72.6453,"Mar 29, 18",71.0641,71.132,14882885,14882885,72.1692
57,-1.3483,-0.151151214556753,-1.863,71.0253,2018-04-02,72.17,"Apr 2, 18",69.9923,72.0439,17891083,17891083,70.7719
58,1.746,-0.130282948400011,2.458,72.7714,2018-04-03,72.8878,"Apr 3, 18",70.9089,71.2485,15999151,15999151,72.0174
59,-0.145504,-0.13202187098509002,-0.2,72.6259,2018-04-04,72.8102,"Apr 4, 18",71.2387,71.8305,13122170,13122170,72.1042
60,1.1155,-0.11869013116615301,1.536,73.7414,2018-04-05,74.0324,"Apr 5, 18",72.7714,72.8102,14199993,14199993,73.6582
61,-1.1155,-0.13202187098509002,-1.513,72.6259,2018-04-06,73.83840000000001,"Apr 6, 18",71.9905,73.3728,14299567,14299567,72.8538
62,0.0,-0.13202187098509002,0.0,72.6259,2018-04-09,73.5183,"Apr 9, 18",72.558,72.9654,11103111,11103111,73.0055
63,2.1341,-0.106517673070602,2.938,74.7599,2018-04-10,75.439,"Apr 10, 18",73.7802,73.7996,19292201,19292201,74.8854
64,0.349209,-0.10234306373061601,0.467,75.1092,2018-04-11,75.7009,"Apr 11, 18",74.4495,74.7987,13733954,13733954,75.0685
65,-0.203705,-0.104777555349726,-0.271,74.9055,2018-04-12,75.793,"Apr 12, 18",74.6969,75.5263,13270354,13270354,75.0893
66,0.601416,-0.09759000866473401,0.803,75.5069,2018-04-13,75.8464,"Apr 13, 18",75.2741,75.4681,10924966,10924966,75.5434
67,0.6790200000000001,-0.08947503660103301,0.899,76.1859,2018-04-16,76.7145,"Apr 16, 18",75.3808,75.7785,10743642,10743642,76.1948
68,-0.203706,-0.091909528220143,-0.267,75.9822,2018-04-17,76.3993,"Apr 17, 18",75.7009,76.1859,10478093,10478093,75.9939
69,0.863323,-0.08159192088201,1.1360000000000001,76.8455,2018-04-18,77.3693,"Apr 18, 18",76.5739,76.6709,12061415,12061415,76.9313
70,0.19400599999999998,-0.079273357435238,0.252,77.0395,2018-04-19,77.4275,"Apr 19, 18",76.4478,76.9425,11291467,11291467,76.9024
71,-0.40741099999999997,-0.084142340673459,-0.529,76.6321,2018-04-20,77.0201,"Apr 20, 18",75.987,76.9425,12072220,12072220,76.4414
72,0.5529149999999999,-0.07753443485015901,0.722,77.185,2018-04-23,77.2141,"Apr 23, 18",76.3896,76.5545,11729830,11729830,76.8176
73,-1.1834,-0.09167767187546601,-1.533,76.0016,2018-04-24,77.5342,"Apr 24, 18",75.633,77.4081,14101979,14101979,76.6043
74,1.1155,-0.07834593205653,1.468,77.1171,2018-04-25,77.2335,"Apr 25, 18",75.1625,75.8561,13865599,13865599,76.4401
